species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
comcha,AD,2.0077172647275394,4.782699999999999,6.4463,postbreeding_migration,1.0,0.0,0.0001,112.0,100.0,0.8372831322130724,abundant,83.72831322130723,,peak_abundance_with_occupancy_days_modifiers,1.0
comswi,AD,1.694458976731489,1.8462666666666667,4.4437,breeding,1.0,0.0,0.0001,70.0,100.0,0.7066442792366142,common,70.66442792366142,,peak_abundance_with_occupancy_days_modifiers,1.0
eurgri1,AD,1.5900919808365628,3.64235,3.9042,nonbreeding,1.0,0.0003,0.001,105.0,100.0,0.6631198613527886,common,66.31198613527886,,peak_abundance_with_occupancy_days_modifiers,1.0
comhom1,AD,1.455781965392076,1.9830764912606886,3.287835093652926,breeding,0.7488881222146894,5.702909986113493e-05,0.0001348894990928164,91.0,74.88881222146894,0.6071082344197469,common,60.710823441974696,,peak_abundance_with_occupancy_days_modifiers,0.7488881222146894
coatit2,AD,1.157604205798323,2.1823,2.1823,resident,0.9752,,,,97.52,0.48275845026684,common,48.275845026684,,peak_abundance_with_occupancy_days_modifiers,0.9752
yebcho1,AD,1.0423240843213206,1.8358,1.8358,resident,0.5561,0.0002,0.0003,365.0,55.61000000000001,0.43468290552360805,common,43.468290552360806,,peak_abundance_with_occupancy_days_modifiers,0.5561
redcro,AD,0.8422996759623861,0.854525,1.3217,postbreeding_migration,0.9611,,,,96.11,0.35126624816246155,common,35.12662481624616,,peak_abundance_with_occupancy_days_modifiers,0.9611
eurcrm1,AD,0.8317345203159882,0.784025,1.2973,breeding,1.0,0.0001,0.0003,112.0,100.0,0.3468602360374749,common,34.68602360374749,,peak_abundance_with_occupancy_days_modifiers,1.0
rebcho1,AD,0.7784529371390452,1.1781,1.1781,resident,0.5035,0.0,0.0001,365.0,50.349999999999994,0.32464008998632443,common,32.464008998632444,,peak_abundance_with_occupancy_days_modifiers,0.5035
eurrob1,AD,0.7726974593179544,0.88615,1.1656,prebreeding_migration,1.0,0.0001,0.0001,119.0,100.0,0.3222398693068058,common,32.22398693068058,,peak_abundance_with_occupancy_days_modifiers,1.0
citfin1,AD,0.7613197156629943,1.1411,1.1411,breeding,0.7404,0.0034,0.0183,98.0,74.03999999999999,0.3174949816613657,common,31.74949816613657,,peak_abundance_with_occupancy_days_modifiers,0.7404
