species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
comcha,AD,2.551006656027732,7.487332443352457,11.820002622141631,nonbreeding,1.0,6.677889531161914e-05,0.00013624888522356177,112.0,100.0,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,1.0
eurgri1,AD,1.859587608409181,5.346499438148088,5.421088222560138,nonbreeding,1.0,0.0003037322032395992,0.0010606463704043,203.0,100.0,0.7755082673977755,abundant,77.55082673977755,,peak_abundance_with_occupancy_days_modifiers,1.0
coatit2,AD,1.572163921840605,3.817060666607397,3.817060666607397,resident,1.0,5.132419272553829e-05,0.0003360075161730141,365.0,100.0,0.6556432800361093,common,65.56432800361092,,peak_abundance_with_occupancy_days_modifiers,1.0
comhom1,AD,1.455781965392076,1.9830764912606886,3.287835093652926,breeding,0.7488881222146894,5.702909986113493e-05,0.0001348894990928164,91.0,74.88881222146894,0.6071082344197469,common,60.710823441974696,,peak_abundance_with_occupancy_days_modifiers,0.7488881222146894
misthr1,AD,1.2309503492334066,1.8065462522956057,2.424482444611434,nonbreeding,1.0,0.0001046436790427806,0.00031820172844531367,126.0,100.0,0.5133461678653187,common,51.334616786531875,,peak_abundance_with_occupancy_days_modifiers,1.0
eurcrm1,AD,1.213253723813418,1.5190162811079602,2.3644137358883888,breeding,1.0,0.000148751930088107,0.0003485383167259998,112.0,100.0,0.5059661018462818,common,50.596610184628176,,peak_abundance_with_occupancy_days_modifiers,1.0
yebcho1,AD,1.0423240843213206,1.8358,1.8358,resident,0.5561,0.0002,0.0003,365.0,55.61000000000001,0.43468290552360805,common,43.468290552360806,,peak_abundance_with_occupancy_days_modifiers,0.5561
blared1,AD,1.0145825769104582,1.488556514405204,1.7582118157468818,postbreeding_migration,1.0,0.00010006561316147438,0.0002431625001052373,119.0,100.0,0.4231137983463426,common,42.31137983463426,,peak_abundance_with_occupancy_days_modifiers,1.0
redcro,AD,0.9520126391452495,1.4074484823078406,1.5909190002977622,nonbreeding,1.0,4.916130191851151e-05,0.00012670422221406743,217.0,100.0,0.3970201075688515,common,39.702010756885144,,peak_abundance_with_occupancy_days_modifiers,1.0
norwhe,AD,0.9370126476468447,0.8710202089868616,1.5523452634367627,breeding,0.7391823498091113,4.0393485066750416e-05,0.00014365085337064294,98.0,73.91823498091114,0.3907646252429283,common,39.07646252429283,,peak_abundance_with_occupancy_days_modifiers,0.7391823498091113
