species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
houspa,AE,3.6230037575618756,36.44988943273256,36.44988943273256,resident,0.9447294981247792,0.0050033171393913,0.0344069246324537,365.0,94.47294981247792,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9447294981247792
eucdov,AE,3.38533201509214,28.52779476234653,28.52779476234653,resident,0.896254859659576,0.0051123899200728,0.064398622246189,365.0,89.6254859659576,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.896254859659576
rocpig,AE,2.120501056635569,7.33531290538075,7.33531290538075,resident,0.805532838774539,0.006212743183884,0.0111117381405715,365.0,80.5532838774539,0.8843176266663725,abundant,88.43176266663725,,peak_abundance_with_occupancy_days_modifiers,0.805532838774539
bkhgul,AE,1.5073939974181014,1.1321049513012136,3.514949479912071,nonbreeding,0.0708468960229909,0.0056304352307538,0.0090926405055422,161.0,7.08468960229909,0.628632123561825,common,62.863212356182494,,peak_abundance_with_occupancy_days_modifiers,0.0708468960229909
crelar1,AE,1.3328987865878954,2.3548840990687925,2.792019726775206,breeding,0.8706847408629972,0.0064457457748492,0.0084350885824695,161.0,87.06847408629972,0.5558619684972261,common,55.58619684972261,,peak_abundance_with_occupancy_days_modifiers,0.8706847408629972
barswa,AE,1.1569061102288305,0.8945850063347744,2.1800792257157378,postbreeding_migration,0.84332853761113,0.0028947222410385,0.0007337417744494274,154.0,84.332853761113,0.48246732180205193,common,48.24673218020519,,peak_abundance_with_occupancy_days_modifiers,0.84332853761113
lbbgul,AE,1.061754050504442,0.9147806227889258,1.8914382725939216,nonbreeding,0.080727702488529,0.0099257111031836,0.035182255718258,147.0,8.0727702488529,0.4427858307862475,common,44.27858307862475,,peak_abundance_with_occupancy_days_modifiers,0.080727702488529
rewlap1,AE,1.0094838187517694,1.3281099916717174,1.744184152968112,breeding,0.412720332862903,0.0077326599597748,0.0108374582423973,203.0,41.2720332862903,0.4209874510381308,common,42.09874510381308,,peak_abundance_with_occupancy_days_modifiers,0.412720332862903
commoo3,AE,0.904096685773449,1.042,1.4697,breeding,0.793,0.0054,0.0242,294.0,79.3,0.3770376029468368,common,37.70376029468368,,peak_abundance_with_occupancy_days_modifiers,0.793
whiwag,AE,0.890545485445842,1.0422706125142753,1.436458341431012,postbreeding_migration,0.7757797653335218,0.0057789445710767,0.0061351327660648,77.0,77.57797653335217,0.3713863134675458,common,37.13863134675458,,peak_abundance_with_occupancy_days_modifiers,0.7757797653335218
grefla3,AE,0.863593527656163,1.0410547487017137,1.3716680535761328,nonbreeding,0.0439167968242618,0.0071094990605855,0.0086080045929323,133.0,4.3916796824261795,0.36014647405695055,rare,36.01464740569506,rare,peak_abundance_with_occupancy_days_modifiers,0.0439167968242618
mallar3,AE,0.7563752336692415,0.47212433531867776,1.130539499221314,nonbreeding,0.0519723793581311,0.0016737098700088,0.0012836744654188,154.0,5.19723793581311,0.3154329725111568,common,31.543297251115682,,peak_abundance_with_occupancy_days_modifiers,0.0519723793581311
grecor,AE,0.7194462541124469,0.2920889248930896,1.053295891624168,nonbreeding,0.1096745475188096,0.0031063430302126,0.0038641304892389,133.0,10.967454751880961,0.30003239185372965,common,30.003239185372966,,peak_abundance_with_occupancy_days_modifiers,0.1096745475188096
dunlin,AE,0.6840938757380132,0.5312286289999145,0.9819751058998274,nonbreeding,0.0550293677532669,0.0073709630984503,0.0085301517305476,140.0,5.50293677532669,0.2852893049577048,fairly_common,28.52893049577048,,peak_abundance_with_occupancy_days_modifiers,0.0550293677532669
litsti,AE,0.6634103374649815,0.5863085078997282,0.9414018931940052,postbreeding_migration,0.2652917775061438,0.0045121801495758,0.0123529306361478,126.0,26.52917775061438,0.2766635995285875,fairly_common,27.66635995285875,,peak_abundance_with_occupancy_days_modifiers,0.2652917775061438
kenplo1,AE,0.6528831533809138,0.5892611897796778,0.9210715962251964,nonbreeding,0.0945456519150496,0.0083227258417833,0.0242925063300373,98.0,9.45456519150496,0.27227342277504546,fairly_common,27.227342277504547,,peak_abundance_with_occupancy_days_modifiers,0.0945456519150496
