species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
houspa,AF,1.1628040811569023,2.198890660654888,2.198890660654888,resident,0.5722990075590724,0.0249659035878697,0.0170972796756605,365.0,57.22990075590724,0.4849269667227363,common,48.492696672273624,,peak_abundance_with_occupancy_days_modifiers,0.5722990075590724
comswi,AF,0.7733613790428786,0.404935845490656,1.1670382619487036,breeding,0.4249459426080426,0.0077843936361887,0.0063194078076381,70.0,42.494594260804256,0.3225167453374046,common,32.25167453374046,,peak_abundance_with_occupancy_days_modifiers,0.4249459426080426
crelar1,AF,0.734483603102207,1.013417068486046,1.0844053340891535,nonbreeding,0.6341905747853875,0.0383437322723076,0.0353792559038012,161.0,63.419057478538754,0.3063034534636103,common,30.630345346361032,,peak_abundance_with_occupancy_days_modifiers,0.6341905747853875
barswa,AF,0.5215193321548632,0.34392272894681986,0.6845851507472607,breeding,0.2367032686518381,0.003279026883512,0.003058257222281,112.0,23.67032686518381,0.21749045426251842,fairly_common,21.749045426251843,,peak_abundance_with_occupancy_days_modifiers,0.2367032686518381
whiwag,AF,0.44022947788670186,0.2462324568696142,0.5530635713684933,postbreeding_migration,0.6508845072750712,0.0115469683147749,0.0083526681140276,154.0,65.08845072750712,0.18358995193853864,fairly_common,18.358995193853865,,peak_abundance_with_occupancy_days_modifiers,0.6508845072750712
eubeat1,AF,0.3811372470143297,0.22695599905605154,0.4639485141850527,prebreeding_migration,0.3472738400180574,0.0057422950181571,0.004628078245898,56.0,34.72738400180574,0.15894657758323957,fairly_common,15.894657758323957,,peak_abundance_with_occupancy_days_modifiers,0.3472738400180574
eurmag1,AF,0.38095137828950076,0.4636764372275878,0.4636764372275878,resident,0.5748158603790463,0.0203396040318145,0.0113829359707994,365.0,57.481586037904634,0.15886906430443326,common,15.886906430443325,,peak_abundance_with_occupancy_days_modifiers,0.5748158603790463
steeag1,AF,0.3766764820082275,0.39955758664905544,0.4574327273836036,nonbreeding,0.4377248894549428,0.0497962410942169,0.0691651429841032,105.0,43.77248894549428,0.1570862940851632,fairly_common,15.70862940851632,,peak_abundance_with_occupancy_days_modifiers,0.4377248894549428
eurcoo,AF,0.3570851518738529,0.29831307483063213,0.4291575601170015,postbreeding_migration,0.0143044010383056,0.0022595964289308,0.0030103206216114,63.0,1.4304401038305599,0.14891607482804306,rare,14.891607482804305,rare,peak_abundance_with_occupancy_days_modifiers,0.0143044010383056
spaspa1,AF,0.32606108532089606,0.2883,0.3855,nonbreeding,0.4041,,,,40.410000000000004,0.13597803416175847,fairly_common,13.597803416175847,,peak_abundance_with_occupancy_days_modifiers,0.4041
mallar3,AF,0.3174298855359087,0.23134773485354473,0.3735929327565945,postbreeding_migration,0.0263678225311532,0.0018686665367096,0.001420331840419,98.0,2.63678225311532,0.1323785442745648,rare,13.23785442745648,rare,peak_abundance_with_occupancy_days_modifiers,0.0263678225311532
horlar,AF,0.30235668782182995,0.251655787429285,0.3530437548781738,postbreeding_migration,0.1696779513809637,0.0009230190862660576,0.0006817279702821431,56.0,16.96779513809637,0.12609253258545203,fairly_common,12.609253258545202,,peak_abundance_with_occupancy_days_modifiers,0.1696779513809637
eurrol1,AF,0.3012320755880665,0.26533027654529356,0.351522960630814,breeding,0.3846487586683315,0.0463293527634846,0.0681011565741494,84.0,38.46487586683315,0.12562353285618072,fairly_common,12.562353285618071,,peak_abundance_with_occupancy_days_modifiers,0.3846487586683315
eursta,AF,0.2868147469623906,0.16640361182572042,0.3321774007048588,postbreeding_migration,0.0637001720165421,0.0012868263104241,0.00018782369561146485,70.0,6.3700172016542105,0.11961103982146583,fairly_common,11.961103982146582,,peak_abundance_with_occupancy_days_modifiers,0.0637001720165421
