species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
laugul,AG,2.507719447853157,4.3017,11.2769,breeding,0.9364,0.0028,0.0029,161.0,93.64,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9364
magfri,AG,3.389290103903515,17.042825,28.6449,postbreeding_migration,0.8273,0.0027,0.0222,140.0,82.73,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8273
categr1,AG,1.5638209636284977,2.8068363678465293,3.777039311148904,prebreeding_migration,0.4696969696969697,3.199669428438479e-05,8.008335508720923e-05,140.0,46.96969696969697,0.6521639962213617,common,65.21639962213617,,peak_abundance_with_occupancy_days_modifiers,0.4696969696969697
banana,AG,1.2374172515452917,2.4467,2.4467,resident,0.7364,0.0001,0.0012,365.0,73.64,0.5160430756015512,common,51.604307560155114,,peak_abundance_with_occupancy_days_modifiers,0.7364
manshe,AG,1.1969907062453151,2.3101407337862554,2.3101407337862554,prebreeding_migration,0.267607228276401,0.0001375982230172342,0.00011377418286509102,56.0,26.760722827640098,0.4991838967380813,common,49.91838967380813,,peak_abundance_with_occupancy_days_modifiers,0.267607228276401
zendov,AG,1.0043748665867402,1.7302,1.7302,resident,0.7364,0.0069,0.0277,365.0,73.64,0.4188568524990766,common,41.88568524990766,,peak_abundance_with_occupancy_days_modifiers,0.7364
cargra1,AG,0.9636703779209299,1.6213,1.6213,resident,0.4818,0.0008,0.002,365.0,48.18,0.40188176224907257,common,40.18817622490726,,peak_abundance_with_occupancy_days_modifiers,0.4818
cogdov,AG,0.9631361491056598,1.6199,1.6199,resident,0.7182,0.0003,0.0014,365.0,71.82,0.40165897152867275,common,40.165897152867274,,peak_abundance_with_occupancy_days_modifiers,0.7182
whcpig2,AG,0.9546649329910466,1.5978,1.5978,resident,0.7182,0.0106,0.016,365.0,71.82,0.398126200014124,common,39.812620001412405,,peak_abundance_with_occupancy_days_modifiers,0.7182
grykin,AG,0.9087826163838334,1.439925,1.4813,postbreeding_migration,1.0,0.0026,0.0051,112.0,100.0,0.37899178779533343,common,37.899178779533344,,peak_abundance_with_occupancy_days_modifiers,1.0
