species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
laugul,AI,2.6677697266001865,5.901066666666666,13.4078,breeding,1.0,0.0012,0.0013,112.0,100.0,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,1.0
lesyel,AI,2.163874597654665,3.9128249999999998,7.7048,postbreeding_migration,0.6512,0.0,0.0012,154.0,65.12,0.9024057982021038,abundant,90.24057982021037,,peak_abundance_with_occupancy_days_modifiers,0.6512
magfri,AI,2.1072147701504034,3.7098500000000003,7.2253,nonbreeding,0.8837,0.0012,0.002,140.0,88.37,0.8787768148403161,abundant,87.87768148403161,,peak_abundance_with_occupancy_days_modifiers,0.8837
leater1,AI,1.9884632158336257,3.0688333333333326,6.3043,breeding,0.5814,0.0023,0.0054,98.0,58.14,0.8292535701582442,abundant,82.92535701582442,,peak_abundance_with_occupancy_days_modifiers,0.5814
semsan,AI,1.9020179701480733,1.8810499999999999,5.6994,postbreeding_migration,0.8605,0.0011,0.0001,133.0,86.05000000000001,0.7932031026227417,abundant,79.32031026227418,,peak_abundance_with_occupancy_days_modifiers,0.8605
bknsti,AI,1.480604040590632,2.502775,3.3956,postbreeding_migration,0.8837,0.0001,0.0002,140.0,88.37,0.6174598437999131,common,61.74598437999131,,peak_abundance_with_occupancy_days_modifiers,0.8837
whcpin,AI,1.2601357228247811,1.6805,2.5259,nonbreeding,0.5116,0.0002,0.0013,105.0,51.160000000000004,0.5255174140087396,common,52.551741400873965,,peak_abundance_with_occupancy_days_modifiers,0.5116
semplo,AI,1.0510313930386626,1.181325,1.8606,nonbreeding,0.4651,0.0006,0.0012,161.0,46.51,0.4383141353008704,common,43.83141353008704,,peak_abundance_with_occupancy_days_modifiers,0.4651
rudtur,AI,0.9597332897169918,1.179075,1.611,postbreeding_migration,0.8372,0.0002,0.0005,119.0,83.72,0.4002398689401361,common,40.02398689401361,,peak_abundance_with_occupancy_days_modifiers,0.8372
banana,AI,0.9562419473763828,1.6019,1.6019,resident,0.5581,0.0,0.0003,365.0,55.81,0.39878386609455113,common,39.87838660945511,,peak_abundance_with_occupancy_days_modifiers,0.5581
