species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
comcha,AL,2.429548845696463,5.45497639458389,10.35375862728847,nonbreeding,0.9735220874145812,0.0042492602878565,0.0078008462038933,112.0,97.35220874145813,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9735220874145812
eursta,AL,2.6837380359905785,8.449208838511955,13.639714924752104,postbreeding_migration,0.181794117145995,0.0007635251968065017,0.0010832090598683,126.0,18.1794117145995,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.181794117145995
eurcoo,AL,1.9314347862152326,2.2097206387068296,5.899402310710837,nonbreeding,0.0938976561132447,0.0011504577238691,0.0048880499798447,154.0,9.38976561132447,0.8054708677753163,abundant,80.54708677753163,,peak_abundance_with_occupancy_days_modifiers,0.0938976561132447
bkhgul,AL,1.9060126859128368,2.6996138871449173,5.726215723731739,nonbreeding,0.1082909820173511,0.0029907569574584,0.0051476182132083,161.0,10.82909820173511,0.7948690284911811,abundant,79.48690284911811,,peak_abundance_with_occupancy_days_modifiers,0.1082909820173511
barswa,AL,1.8805112371592705,4.072926870825292,5.556856113969388,postbreeding_migration,0.8388785713242178,0.0008203367855486008,0.0014719026988424,119.0,83.88785713242179,0.7842340983326985,abundant,78.42340983326986,,peak_abundance_with_occupancy_days_modifiers,0.8388785713242178
grefla3,AL,1.7210077527197107,4.050893340699123,4.590159124704385,nonbreeding,0.0961494018526258,0.0038198817576384,0.0070692964713391,133.0,9.61494018526258,0.717715978776369,common,71.77159787763689,,peak_abundance_with_occupancy_days_modifiers,0.0961494018526258
grecor,AL,1.50690360154356,1.5963382987219346,3.512735910120467,nonbreeding,0.160032202337593,0.0017457760689033,0.0049634595462832,133.0,16.0032202337593,0.6284276125975203,common,62.84276125975203,,peak_abundance_with_occupancy_days_modifiers,0.160032202337593
gnwtea,AL,1.3921389549771186,1.4024752041738349,3.023446827276396,nonbreeding,0.0764611944350917,0.0010001362056355,0.0028587511207503,154.0,7.6461194435091695,0.580567037588959,common,58.0567037588959,,peak_abundance_with_occupancy_days_modifiers,0.0764611944350917
yelgul1,AL,1.3794292779414958,2.45554475011559,2.9726337106921856,nonbreeding,0.1260162777249515,0.0108276338125897,0.0158608505137635,133.0,12.60162777249515,0.5752666905805633,common,57.526669058056335,,peak_abundance_with_occupancy_days_modifiers,0.1260162777249515
norlap,AL,1.357661525540109,1.274363189810572,2.8870927980630894,nonbreeding,0.1327574699795443,0.0021668476684514,0.0034678071479173,84.0,13.27574699795443,0.566188832740682,common,56.618883274068196,,peak_abundance_with_occupancy_days_modifiers,0.1327574699795443
