species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,AM,2.6463338166435655,6.096712740676729,13.102242349841823,prebreeding_migration,0.2760227430914272,0.0014286983083483,0.0016333662161637,126.0,27.60227430914272,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.2760227430914272
combuz1,AM,2.2596226125597427,2.463362003920164,8.57947331160605,postbreeding_migration,0.8645762307270737,0.0029999049507054,0.0159175030491715,105.0,86.45762307270736,0.9423358218320926,abundant,94.23358218320926,,peak_abundance_with_occupancy_days_modifiers,0.8645762307270737
eubeat1,AM,2.04958506114068,2.7217584973431546,6.764678570906228,postbreeding_migration,0.9825062756605152,0.0018214148721958,0.0065829659528411,63.0,98.25062756605152,0.8547433594749079,abundant,85.47433594749079,,peak_abundance_with_occupancy_days_modifiers,0.9825062756605152
barswa,AM,1.8070283490566585,2.9247737152522606,5.092316268441956,postbreeding_migration,0.8563116114155089,0.0005556919126255427,0.0006417258483078647,105.0,85.63116114155089,0.753589353778506,abundant,75.3589353778506,,peak_abundance_with_occupancy_days_modifiers,0.8563116114155089
comswi,AM,1.7007502858792507,2.069936207294254,4.478055958265967,breeding,0.8806301753869876,0.0032006854430313,0.0048110418386637,77.0,88.06301753869876,0.7092679589356944,common,70.92679589356943,,peak_abundance_with_occupancy_days_modifiers,0.8806301753869876
eurcoo,AM,1.630219392088927,2.480752431601248,4.104994591113947,nonbreeding,0.0314467319081649,0.0005522070839225325,0.0033622763959596,154.0,3.14467319081649,0.6798542916290262,rare,67.98542916290262,rare,peak_abundance_with_occupancy_days_modifiers,0.0314467319081649
comcha,AM,1.5669648500565392,2.061279730230263,3.7920814131459015,nonbreeding,0.7546388999823593,0.0032078169643016,0.0027824296872611,112.0,75.46388999823593,0.6534750986968141,common,65.3475098696814,,peak_abundance_with_occupancy_days_modifiers,0.7546388999823593
skylar,AM,1.2611355344386481,1.4035133270051379,2.5294269986426308,postbreeding_migration,0.7567463591356907,0.0027519372607145,0.003496469228184,154.0,75.67463591356906,0.5259343678370444,common,52.59343678370444,,peak_abundance_with_occupancy_days_modifiers,0.7567463591356907
callar1,AM,1.133226107209564,1.0091884467473249,2.1056595466525776,nonbreeding,0.2964494251282222,0.005078839448292,0.0134279064010007,91.0,29.64494251282222,0.4725919935139938,common,47.25919935139938,,peak_abundance_with_occupancy_days_modifiers,0.2964494251282222
eurmag1,AM,1.1043123983895826,2.0171491587746324,2.0171491587746324,resident,0.7882747476251826,0.0020413441987909,0.0036241165270453,365.0,78.82747476251825,0.4605340403798526,common,46.05340403798526,,peak_abundance_with_occupancy_days_modifiers,0.7882747476251826
