species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
whfibi,AR-NE,2.367276727409181,3.4006125000000003,9.6683,prebreeding_migration,0.9159,0.0357,0.042,119.0,91.59,0.9872310747944142,abundant,98.72310747944142,,peak_abundance_with_occupancy_days_modifiers,0.9159
monpar,AR-NE,2.0899733865892434,4.615775,7.0847,resident,1.0,0.0411,0.0443,365.0,100.0,0.8715865994223428,abundant,87.15865994223428,,peak_abundance_with_occupancy_days_modifiers,1.0
eardov1,AR-NE,2.053546644134469,3.4222499999999996,6.7955,resident,1.0,0.0137,0.0232,365.0,100.0,0.8563954679046333,abundant,85.63954679046333,,peak_abundance_with_occupancy_days_modifiers,1.0
pigdov1,AR-NE,2.0359989288369977,3.734425,6.6599,resident,1.0,0.0168,0.0521,365.0,100.0,0.849077502230097,abundant,84.9077502230097,,peak_abundance_with_occupancy_days_modifiers,1.0
picpig2,AR-NE,1.7668689203829289,3.282925,4.8525,resident,1.0,0.0126,0.0287,365.0,100.0,0.736841571200469,common,73.6841571200469,,peak_abundance_with_occupancy_days_modifiers,1.0
soulap1,AR-NE,1.6671028646284993,2.31279375,4.2968,prebreeding_migration,1.0,0.0077,0.02,175.0,100.0,0.6952358943862347,common,69.52358943862347,,peak_abundance_with_occupancy_days_modifiers,1.0
categr1,AR-NE,1.5872034080057855,1.0471462878194946,3.890054301399428,nonbreeding,0.959593236533102,0.0087437342720357,0.0099921949923776,140.0,95.95932365331021,0.6619152329173664,common,66.19152329173664,,peak_abundance_with_occupancy_days_modifiers,0.959593236533102
chcbla2,AR-NE,1.5624720831533556,2.2569500000000002,3.7706,resident,0.8829,0.0288,0.0542,365.0,88.29,0.6516014693710677,common,65.16014693710676,,peak_abundance_with_occupancy_days_modifiers,0.8829
chacha1,AR-NE,1.3317061708354876,1.8483333333333334,2.7875,resident,0.9886,0.0895,0.1161,365.0,98.86,0.5553646090979493,common,55.536460909794926,,peak_abundance_with_occupancy_days_modifiers,0.9886
brcmar1,AR-NE,1.2093781689844867,0.7309437499999999,2.3514,breeding,0.9989,0.0098,0.0409,126.0,99.89,0.5043498699478768,common,50.43498699478768,,peak_abundance_with_occupancy_days_modifiers,0.9989
boboli,AR-NE,1.1925882454592978,0.8092272727272728,2.2956,nonbreeding,0.6864,0.1114,0.1265,91.0,68.64,0.497347927988337,common,49.7347927988337,,peak_abundance_with_occupancy_days_modifiers,0.6864
grekis,AR-NE,1.142310143933829,1.5025750000000002,2.134,resident,1.0,0.0079,0.0174,365.0,100.0,0.47638033107289973,common,47.63803310728997,,peak_abundance_with_occupancy_days_modifiers,1.0
rufhor2,AR-NE,1.1229471136829037,1.20775,2.0739,resident,0.9999,0.0159,0.029,365.0,99.99,0.4683053202621363,common,46.830532026213625,,peak_abundance_with_occupancy_days_modifiers,0.9999
bawcow4,AR-NE,1.0959420601122307,1.135275,1.992,resident,0.9999,0.0349,0.042,365.0,99.99,0.4570433381910187,common,45.70433381910187,,peak_abundance_with_occupancy_days_modifiers,0.9999
blkvul,AR-NE,1.0826861381178505,1.48555,1.9526,resident,1.0,0.0058,0.0094,365.0,100.0,0.45151518934116897,common,45.15151893411689,,peak_abundance_with_occupancy_days_modifiers,1.0
bucpar,AR-NE,1.0564004398588003,0.95085,1.876,resident,0.9953,0.066,0.0941,365.0,99.53,0.44055320173594115,common,44.05532017359411,,peak_abundance_with_occupancy_days_modifiers,0.9953
wfwduc1,AR-NE,1.0559831066121506,0.8657750000000001,1.8748,resident,0.9397,0.0112,0.009,365.0,93.97,0.4403791602540699,common,44.03791602540699,,peak_abundance_with_occupancy_days_modifiers,0.9397
reccar,AR-NE,1.0521494142577688,1.329175,1.8638,resident,0.9999,0.0503,0.0727,365.0,99.99,0.4387803863635373,common,43.87803863635373,,peak_abundance_with_occupancy_days_modifiers,0.9999
souscr1,AR-NE,1.0492469591227804,0.8230999999999999,1.8555,resident,0.9402,0.0518,0.1087,365.0,94.02000000000001,0.4375699685575916,common,43.75699685575916,,peak_abundance_with_occupancy_days_modifiers,0.9402
recfin1,AR-NE,0.9884253296333542,0.970525,1.687,resident,1.0,0.0245,0.0738,365.0,100.0,0.41220537896129666,common,41.22053789612966,,peak_abundance_with_occupancy_days_modifiers,1.0
