species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
wilpha,AR-NW,3.0877962811469324,4.115977777777778,20.9287,nonbreeding,0.148,0.007,0.1413,133.0,14.799999999999999,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.148
andfla2,AR-NW,1.814459971734387,1.0570638005812878,5.137760718029309,breeding,0.1767673110279314,0.130406728862669,0.1071947069429516,175.0,17.676731102793138,0.7566885811559617,abundant,75.66885811559617,,peak_abundance_with_occupancy_days_modifiers,0.1767673110279314
jamfla1,AR-NW,1.723478530578563,1.698551224493767,4.60398824340204,nonbreeding,0.1439730092331938,0.1586088951849789,0.118950782833199,98.0,14.397300923319381,0.718746373175524,common,71.8746373175524,,peak_abundance_with_occupancy_days_modifiers,0.1439730092331938
chifla1,AR-NW,1.6700625342505353,1.1468916666666666,4.3125,prebreeding_migration,0.0928,0.012,0.0242,133.0,9.28,0.696470172486538,common,69.6470172486538,,peak_abundance_with_occupancy_days_modifiers,0.0928
pigdov1,AR-NW,1.6263540248104134,1.9014333333333333,4.0853,resident,0.6236,0.0164,0.0501,365.0,62.36000000000001,0.6782423082691347,common,67.82423082691346,,peak_abundance_with_occupancy_days_modifiers,0.6236
gryfin3,AR-NW,1.4741286339124884,2.064688734576179,3.3672286595255714,nonbreeding,0.6257049483559077,0.1032066946487819,0.2068264200325732,133.0,62.57049483559077,0.6147593894674822,common,61.47593894674822,,peak_abundance_with_occupancy_days_modifiers,0.6257049483559077
absfin1,AR-NW,1.4716897789265635,1.7115606998899484,3.356590599750118,resident,0.7385113263033565,0.0677662155951807,0.0976311850211772,365.0,73.85113263033564,0.6137423079403651,common,61.374230794036514,,peak_abundance_with_occupancy_days_modifiers,0.7385113263033565
picpig2,AR-NW,1.3818344303977972,1.3626333333333334,2.9822,resident,0.6384,0.0126,0.0276,365.0,63.839999999999996,0.5762697170611546,common,57.62697170611546,,peak_abundance_with_occupancy_days_modifiers,0.6384
monpar,AR-NW,1.218289824920729,1.0013666666666667,2.3814,resident,0.3963,0.0255,0.0234,365.0,39.629999999999995,0.5080663191345179,common,50.806631913451795,,peak_abundance_with_occupancy_days_modifiers,0.3963
eardov1,AR-NW,1.200988355284976,1.3757000000000001,2.3234,resident,0.6225,0.0134,0.0124,365.0,62.25000000000001,0.500851045877166,common,50.0851045877166,,peak_abundance_with_occupancy_days_modifiers,0.6225
bryfin1,AR-NW,1.1472047611103362,1.335425611868761,2.1493773326094265,resident,0.7087075674249805,0.065777209981964,0.1133461693712698,365.0,70.87075674249806,0.47842154497912465,common,47.84215449791247,,peak_abundance_with_occupancy_days_modifiers,0.7087075674249805
rucspa1,AR-NW,1.1218078462712984,1.8227,2.0704,resident,0.7008,0.0173,0.0198,365.0,70.08,0.4678302088490028,common,46.78302088490028,,peak_abundance_with_occupancy_days_modifiers,0.7008
whfibi,AR-NW,1.0712068329775088,0.7438416666666666,1.9189,breeding,0.5259,0.0263,0.0196,119.0,52.59,0.4467279472666037,common,44.67279472666037,,peak_abundance_with_occupancy_days_modifiers,0.5259
