species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
monpar,AR-PAMPAS,2.5274471668022196,8.7698,11.5215,resident,0.9999,0.125,0.1633,365.0,99.99,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9999
whfibi,AR-PAMPAS,3.2380351080079985,8.220600000000001,24.4836,prebreeding_migration,0.9966,0.1117,0.2642,119.0,99.66000000000001,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9966
eardov1,AR-PAMPAS,3.0105125057905773,11.585625,19.2978,resident,1.0,0.0424,0.0986,365.0,100.0,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,1.0
chcbla2,AR-PAMPAS,2.408826220799154,2.82215,10.1209,resident,0.9574,0.0709,0.217,365.0,95.74000000000001,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9574
picpig2,AR-PAMPAS,2.40051003314925,4.219775,10.0288,resident,1.0,0.039,0.0588,365.0,100.0,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,1.0
categr1,AR-PAMPAS,2.2511351787146987,1.8377823491473828,8.498512227538358,prebreeding_migration,0.9563391940698244,0.0282277075326575,0.0385119257411318,140.0,95.63391940698244,0.9387962869986389,abundant,93.87962869986389,,peak_abundance_with_occupancy_days_modifiers,0.9563391940698244
rocpig,AR-PAMPAS,2.219833720197078,2.105,8.2058,resident,0.8813,0.0006,0.0006,365.0,88.13,0.9257425648979686,abundant,92.57425648979685,,peak_abundance_with_occupancy_days_modifiers,0.8813
soulap1,AR-PAMPAS,2.1261700583041594,4.53820625,7.3827,prebreeding_migration,1.0,0.0241,0.1133,175.0,100.0,0.8866817839892127,abundant,88.66817839892127,,peak_abundance_with_occupancy_days_modifiers,1.0
gryfin1,AR-PAMPAS,2.067090581620805,4.756585714285714,6.9018,breeding,0.9769,0.0859,0.2705,161.0,97.69,0.8620437285438606,abundant,86.20437285438605,,peak_abundance_with_occupancy_days_modifiers,0.9769
eursta,AR-PAMPAS,2.034352644363578,1.2830125000000001,6.6473,prebreeding_migration,0.8251,0.0144,0.0031,140.0,82.50999999999999,0.8483909482791822,abundant,84.83909482791822,,peak_abundance_with_occupancy_days_modifiers,0.8251
chifla1,AR-PAMPAS,2.006911170612712,2.933191666666666,6.4403,nonbreeding,0.7201,0.1425,0.161,133.0,72.00999999999999,0.836946964856653,abundant,83.6946964856653,,peak_abundance_with_occupancy_days_modifiers,0.7201
pigdov1,AR-PAMPAS,2.0053508770686452,2.9708,6.4287,resident,1.0,0.0513,0.0671,365.0,100.0,0.836296271908647,abundant,83.6296271908647,,peak_abundance_with_occupancy_days_modifiers,1.0
burpar,AR-PAMPAS,1.9813745675242,3.9548117692439577,6.252705469939937,resident,0.8104525729444032,0.1266483693384977,0.1551685879426062,365.0,81.04525729444032,0.8262973742017989,abundant,82.6297374201799,,peak_abundance_with_occupancy_days_modifiers,0.8104525729444032
rucspa1,AR-PAMPAS,1.8315409225730628,3.44395,5.2435,resident,1.0,0.0417,0.0967,365.0,100.0,0.7638118909320147,abundant,76.38118909320147,,peak_abundance_with_occupancy_days_modifiers,1.0
boboli,AR-PAMPAS,1.742113939337647,2.0881,4.7094,nonbreeding,0.4426,0.0895,0.3273,91.0,44.26,0.7265179422554933,common,72.65179422554932,,peak_abundance_with_occupancy_days_modifiers,0.4426
chicar1,AR-PAMPAS,1.6742701404355875,2.7449000000000003,4.3349,resident,0.9877,0.087,0.2307,365.0,98.77,0.6982248805560617,common,69.82248805560617,,peak_abundance_with_occupancy_days_modifiers,0.9877
brhgul2,AR-PAMPAS,1.652880470276937,1.64894375,4.222,postbreeding_migration,0.8576,0.396,0.525,189.0,85.76,0.689304695258024,common,68.9304695258024,,peak_abundance_with_occupancy_days_modifiers,0.8576
bknsti,AR-PAMPAS,1.6513281361942849,1.8833,4.2139,breeding,0.996,0.0771,0.1595,140.0,99.6,0.6886573216632461,common,68.8657321663246,,peak_abundance_with_occupancy_days_modifiers,0.996
whwcoo1,AR-PAMPAS,1.6456743224903667,1.9203899689833732,4.184504756647021,breeding,0.5885801541299936,0.3551182492603014,0.4552542008006783,105.0,58.858015412999364,0.6862994982136339,common,68.6299498213634,,peak_abundance_with_occupancy_days_modifiers,0.5885801541299936
uplgoo1,AR-PAMPAS,1.617425923156283,1.4286874999999999,4.0401,nonbreeding,0.7858,0.122,0.0756,140.0,78.58000000000001,0.6745190006854339,common,67.4519000685434,,peak_abundance_with_occupancy_days_modifiers,0.7858
bawcow4,AR-PAMPAS,1.6148233847104383,2.359025,4.027,resident,0.9998,0.1067,0.1349,365.0,99.98,0.6734336578535898,common,67.34336578535898,,peak_abundance_with_occupancy_days_modifiers,0.9998
rubthr1,AR-PAMPAS,1.6039026209354232,1.06005,3.9724,resident,0.9064,0.0175,0.0346,365.0,90.64,0.668879345620316,common,66.8879345620316,,peak_abundance_with_occupancy_days_modifiers,0.9064
rufhor2,AR-PAMPAS,1.592190019024547,2.601025,3.9145,resident,0.9064,0.049,0.1189,365.0,90.64,0.6639948112356231,common,66.39948112356231,,peak_abundance_with_occupancy_days_modifiers,0.9064
kelgul,AR-PAMPAS,1.517607670615811,1.07975,3.5613,resident,0.2448,0.0303,0.0292,365.0,24.48,0.6328915561206916,common,63.28915561206916,,peak_abundance_with_occupancy_days_modifiers,0.2448
brcmar1,AR-PAMPAS,1.497298919162802,1.1921153846153847,3.4696,postbreeding_migration,1.0,0.0294,0.0824,126.0,100.0,0.6244221489354025,common,62.442214893540246,,peak_abundance_with_occupancy_days_modifiers,1.0
tatdot1,AR-PAMPAS,1.4668636379123379,1.376287125215595,3.3356157337166557,nonbreeding,0.8897929818779826,0.3709168487275893,0.4349479005297023,105.0,88.97929818779826,0.611729650811852,common,61.172965081185204,,peak_abundance_with_occupancy_days_modifiers,0.8897929818779826
shicow,AR-PAMPAS,1.437510152504161,2.8720749999999997,3.2102,resident,1.0,0.0337,0.1141,365.0,100.0,0.5994882965954432,common,59.94882965954432,,peak_abundance_with_occupancy_days_modifiers,1.0
yebtea1,AR-PAMPAS,1.3874936416953727,1.3612,3.0048,nonbreeding,0.9751,0.1474,0.2435,217.0,97.50999999999999,0.5786297914821575,common,57.86297914821576,,peak_abundance_with_occupancy_days_modifiers,0.9751
grekis,AR-PAMPAS,1.3806283394932637,1.907975,2.9774,resident,1.0,0.024,0.046,365.0,100.0,0.575766738086962,common,57.5766738086962,,peak_abundance_with_occupancy_days_modifiers,1.0
wfwduc1,AR-PAMPAS,1.3757135815757036,1.598675,2.9579,resident,0.9731,0.0349,0.0397,365.0,97.31,0.5737171248393306,common,57.37171248393306,,peak_abundance_with_occupancy_days_modifiers,0.9731
neocor,AR-PAMPAS,1.352246246980318,1.347875,2.8661,resident,0.334,0.0746,0.0368,365.0,33.4,0.5639304861726641,common,56.39304861726641,,peak_abundance_with_occupancy_days_modifiers,0.334
gybmar,AR-PAMPAS,1.343517331763832,0.7033444444444444,2.8325,breeding,1.0,0.0054,0.008,98.0,100.0,0.5602902457853934,common,56.02902457853934,,peak_abundance_with_occupancy_days_modifiers,1.0
y00678,AR-PAMPAS,1.330808077901754,1.6421000000000001,2.7841,resident,1.0,0.0276,0.0944,365.0,100.0,0.5549900752540731,common,55.49900752540731,,peak_abundance_with_occupancy_days_modifiers,1.0
saffin,AR-PAMPAS,1.305680657125645,1.3264749999999998,2.6902,resident,0.9989,0.0398,0.0505,365.0,99.89,0.5445111268774891,common,54.45111268774892,,peak_abundance_with_occupancy_days_modifiers,0.9989
guicuc1,AR-PAMPAS,1.3049758399423024,1.3595000000000002,2.6876,resident,0.9998,0.0436,0.1024,365.0,99.98,0.5442171952820027,common,54.42171952820027,,peak_abundance_with_occupancy_days_modifiers,0.9998
reccar,AR-PAMPAS,1.3001916620664788,0.733025,2.67,resident,0.9646,0.0857,0.1392,365.0,96.46000000000001,0.5422220381414492,common,54.22220381414492,,peak_abundance_with_occupancy_days_modifiers,0.9646
