species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
uplgoo1,AR-PAT,2.7296746971988726,8.608125,14.3279,nonbreeding,0.9015,0.2838,0.4647,140.0,90.14999999999999,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9015
kelgul,AR-PAT,2.483872782197703,5.528200000000001,10.9876,resident,0.4493,0.1287,0.1146,365.0,44.93,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4493
sooshe,AR-PAT,2.1184170027341076,1.5022685578235953,7.31795975273393,breeding,0.0904902018043886,0.00034439719605448973,0.0005021472378468209,91.0,9.04902018043886,0.8834485086839892,abundant,88.34485086839892,,peak_abundance_with_occupancy_days_modifiers,0.0904902018043886
rucspa1,AR-PAT,1.8507513863582683,4.299,5.3646,resident,0.9893,0.033,0.0869,365.0,98.92999999999999,0.7718232765847277,abundant,77.18232765847277,,peak_abundance_with_occupancy_days_modifiers,0.9893
magpen1,AR-PAT,1.8493281619765058,1.4543678356530965,5.355548189006809,breeding,0.1466795131248053,0.0636195246093887,0.1178690321641912,154.0,14.667951312480529,0.7712297459172681,abundant,77.12297459172682,,peak_abundance_with_occupancy_days_modifiers,0.1466795131248053
whrsan,AR-PAT,1.6385305866373727,0.8507111111111111,4.1476,nonbreeding,0.2276,0.0197,0.0964,126.0,22.759999999999998,0.6833203289671567,common,68.33203289671566,,peak_abundance_with_occupancy_days_modifiers,0.2276
mosfin1,AR-PAT,1.6326337060846126,3.325275824823102,4.117334541266312,resident,0.8726258991541808,0.1214992561674439,0.2264594092537886,365.0,87.26258991541808,0.680861138768296,common,68.0861138768296,,peak_abundance_with_occupancy_days_modifiers,0.8726258991541808
chiwig1,AR-PAT,1.4985286978458574,0.7356416666666665,3.4751,breeding,0.9199,0.1437,0.367,217.0,91.99000000000001,0.6249350064805196,common,62.493500648051956,,peak_abundance_with_occupancy_days_modifiers,0.9199
hudgod,AR-PAT,1.3919035998844012,0.3105818181818182,3.0225,nonbreeding,0.0991,0.0205,0.2092,126.0,9.91,0.5804688868918091,common,58.04688868918091,,peak_abundance_with_occupancy_days_modifiers,0.0991
magoys1,AR-PAT,1.3030486125166236,0.583225,2.6805,nonbreeding,0.1087,0.4364,0.3913,133.0,10.870000000000001,0.5434134790198536,common,54.34134790198536,,peak_abundance_with_occupancy_days_modifiers,0.1087
bkbalb,AR-PAT,1.3030470960027631,0.5526539767363211,2.6804944184749693,breeding,0.1287156025946283,0.001061628979311,0.0009575983335338289,119.0,12.87156025946283,0.5434128465844518,common,54.341284658445176,,peak_abundance_with_occupancy_days_modifiers,0.1287156025946283
chifla1,AR-PAT,1.2418753413744035,1.0888583333333333,2.4621,prebreeding_migration,0.7492,0.1371,0.1213,133.0,74.92,0.5179022434641697,common,51.79022434641697,,peak_abundance_with_occupancy_days_modifiers,0.7492
chiswa1,AR-PAT,1.2047425080280258,0.58719,2.3359,breeding,0.8999,0.1887,0.1122,119.0,89.99000000000001,0.5024166491733719,common,50.24166491733719,,peak_abundance_with_occupancy_days_modifiers,0.8999
chicar1,AR-PAT,1.1497489041154894,1.3819666666666668,2.1574,resident,0.877,0.0631,0.056,365.0,87.7,0.479482535020689,common,47.9482535020689,,peak_abundance_with_occupancy_days_modifiers,0.877
redsho1,AR-PAT,1.120602064893029,0.3714083333333334,2.0667,breeding,0.7386,0.1343,0.2307,189.0,73.86,0.46732735895728833,common,46.73273589572883,,peak_abundance_with_occupancy_days_modifiers,0.7386
lotmea1,AR-PAT,1.114846465106857,1.4323666666666668,2.0491,resident,0.9498,0.1452,0.1582,365.0,94.98,0.4649270874143801,common,46.49270874143801,,peak_abundance_with_occupancy_days_modifiers,0.9498
