species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eardov1,AR,2.506763898407984,10.518006141164467,11.265174418095391,nonbreeding,0.621945647957554,0.3622695517667378,0.6301123061730676,140.0,62.194564795755404,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.621945647957554
whfibi,AR,2.4048587254570823,6.65680026561765,10.076865292561262,prebreeding_migration,0.3665633778659394,0.6224424719284152,0.804403611437131,133.0,36.65633778659394,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3665633778659394
monpar,AR,2.1289314227544835,7.405879678819251,7.405879678819251,resident,0.584539416255621,0.6026540128317202,0.7102753839095702,365.0,58.4539416255621,0.8878333624095253,abundant,88.78333624095252,,peak_abundance_with_occupancy_days_modifiers,0.584539416255621
uplgoo1,AR,2.0991967616891123,4.528052350724449,7.159613165708325,nonbreeding,0.615474338994577,0.9452823927058333,0.9212416966561836,147.0,61.5474338994577,0.8754330455972442,abundant,87.54330455972442,,peak_abundance_with_occupancy_days_modifiers,0.615474338994577
rucspa1,AR,1.9414553928211329,5.968886060323388,5.968886060323388,resident,0.9442537089302244,0.389681514560771,0.6896379603200008,365.0,94.42537089302245,0.8096497853116965,abundant,80.96497853116965,,peak_abundance_with_occupancy_days_modifiers,0.9442537089302244
pigdov1,AR,1.5994381387541678,3.950250289086693,3.950250289086693,resident,0.6239962695993528,0.3629712966605111,0.5889656724620138,365.0,62.39962695993528,0.6670175119397961,common,66.7017511939796,,peak_abundance_with_occupancy_days_modifiers,0.6239962695993528
boboli,AR,1.469138188389836,3.345488534389294,3.345488534389294,nonbreeding,0.3875068006027993,0.7454079791618302,0.9362534753917466,140.0,38.75068006027993,0.6126782120368981,common,61.267821203689806,,peak_abundance_with_occupancy_days_modifiers,0.3875068006027993
shicow,AR,1.4168037472304709,2.1884653567767356,3.1239182675663506,breeding,0.7448653230432882,0.3117137005604731,0.5552954247068692,140.0,74.48653230432882,0.5908530548863566,common,59.08530548863566,,peak_abundance_with_occupancy_days_modifiers,0.7448653230432882
soulap1,AR,1.4076549119867403,2.8245888389470672,3.0863612820773416,prebreeding_migration,0.5915170834241702,0.2276922436295562,0.4167985306096173,182.0,59.15170834241702,0.5870376942459172,common,58.70376942459173,,peak_abundance_with_occupancy_days_modifiers,0.5915170834241702
gryfin1,AR,1.381454182863043,2.8561308026415615,2.9806860661201555,nonbreeding,0.4920878118613915,0.4166102260831262,0.890284736509434,182.0,49.20878118613915,0.5761111415224028,common,57.61111415224028,,peak_abundance_with_occupancy_days_modifiers,0.4920878118613915
chifla1,AR,1.372401428277253,2.23482003647098,2.9448125143040533,prebreeding_migration,0.206528156768815,0.8161803198894353,0.7422113422386871,91.0,20.6528156768815,0.572335849628514,common,57.2335849628514,,peak_abundance_with_occupancy_days_modifiers,0.206528156768815
spwpig3,AR,1.3332662590203779,2.7934134455491564,2.7934134455491564,resident,0.6771649641190065,0.7095403250541373,0.8772571119569449,365.0,67.71649641190065,0.5560152164045268,common,55.60152164045268,,peak_abundance_with_occupancy_days_modifiers,0.6771649641190065
burpar,AR,1.2787550326914443,2.5921648128283192,2.5921648128283192,resident,0.426939726112679,0.97290370910668,0.938058108821338,365.0,42.6939726112679,0.5332822693291033,common,53.328226932910326,,peak_abundance_with_occupancy_days_modifiers,0.426939726112679
picpig2,AR,1.209528817609145,2.351904921832615,2.351904921832615,resident,0.6685637691376924,0.2189795403260816,0.2529905151366074,365.0,66.85637691376924,0.5044126953040828,common,50.441269530408285,,peak_abundance_with_occupancy_days_modifiers,0.6685637691376924
eursta,AR,1.1080999597310124,1.326017907180556,2.028598465077423,breeding,0.3482873948497707,0.047066840468367,0.0181140103640606,126.0,34.82873948497707,0.4621135761437351,common,46.21135761437351,,peak_abundance_with_occupancy_days_modifiers,0.3482873948497707
chcbla2,AR,1.0826664886228956,1.952541983471196,1.952541983471196,resident,0.4112639380045345,0.3043049390972814,0.507306660316568,365.0,41.12639380045345,0.4515069948652977,common,45.150699486529774,,peak_abundance_with_occupancy_days_modifiers,0.4112639380045345
chicar1,AR,1.072877858994759,1.923781635375684,1.923781635375684,resident,0.6138984879590533,0.7517511129679356,0.8560405314047382,365.0,61.38984879590533,0.44742481924270966,common,44.74248192427097,,peak_abundance_with_occupancy_days_modifiers,0.6138984879590533
gryfin3,AR,1.0516676356341552,1.3839374571345717,1.862420614683556,nonbreeding,0.4120515740938565,0.3469112794249003,0.4320715273673787,133.0,41.20515740938565,0.4385794690719947,common,43.85794690719947,,peak_abundance_with_occupancy_days_modifiers,0.4120515740938565
cliswa,AR,1.0452546265196545,1.0783334276943775,1.844122620505056,prebreeding_migration,0.6006057893600835,0.5747192896456738,0.4305803583889901,77.0,60.06057893600835,0.43590503654474894,common,43.590503654474894,,peak_abundance_with_occupancy_days_modifiers,0.6006057893600835
categr1,AR,1.0276000086291874,1.0135633411150353,1.7943513614286015,nonbreeding,0.4417153249988083,0.1041492599580381,0.1271895450530305,140.0,44.171532499880826,0.4285424890262062,common,42.85424890262062,,peak_abundance_with_occupancy_days_modifiers,0.4417153249988083
wilpha,AR,1.0259263908560445,1.3018773120607148,1.7896785966275184,prebreeding_migration,0.2022200448969497,0.8435526590266154,0.9254777984189256,112.0,20.22200448969497,0.4278445362039422,common,42.78445362039422,,peak_abundance_with_occupancy_days_modifiers,0.2022200448969497
saffin,AR,0.9637732371107401,1.621569638661419,1.621569638661419,resident,0.594185202158746,0.2331871920260993,0.3087142580674452,365.0,59.4185202158746,0.40192465786297915,common,40.192465786297916,,peak_abundance_with_occupancy_days_modifiers,0.594185202158746
mosfin1,AR,0.9480322412131514,1.5806266091619527,1.5806266091619527,resident,0.5270909944670377,0.6536911927364834,0.813071266227129,365.0,52.70909944670377,0.3953601527004084,common,39.53601527004084,,peak_abundance_with_occupancy_days_modifiers,0.5270909944670377
y00678,AR,0.9466924633749875,1.5771714579067952,1.5771714579067952,resident,0.8509718049359458,0.2306334588811611,0.4153239360429311,365.0,85.09718049359458,0.3948014219445817,common,39.48014219445817,,peak_abundance_with_occupancy_days_modifiers,0.8509718049359458
lotmea1,AR,0.9327327069744368,1.541444720611622,1.541444720611622,resident,0.518297113493032,0.8568352108075835,0.8841245540269977,365.0,51.829711349303196,0.3889797513491602,common,38.89797513491602,,peak_abundance_with_occupancy_days_modifiers,0.518297113493032
brhgul2,AR,0.9230740698922164,1.2309220499395601,1.5170159924119635,breeding,0.1876818060367998,0.8261032183124835,0.8667167464372478,140.0,18.76818060367998,0.3849517868288629,common,38.49517868288629,,peak_abundance_with_occupancy_days_modifiers,0.1876818060367998
guicuc1,AR,0.8724181822087138,1.3926898233689924,1.3926898233689924,resident,0.5896891603552038,0.2249983064982025,0.3254906608388385,365.0,58.96891603552038,0.36382664084849375,common,36.382664084849374,,peak_abundance_with_occupancy_days_modifiers,0.5896891603552038
fotfly,AR,0.8711826047267328,0.9504690095538163,1.3897352953518944,breeding,0.7101860082107135,0.29439906017535,0.5464207648964542,77.0,71.01860082107136,0.3633113650163933,common,36.33113650163933,,peak_abundance_with_occupancy_days_modifiers,0.7101860082107135
bknsti,AR,0.8496783139293117,1.2348114615509695,1.3388943411660006,breeding,0.3223358596108019,0.3729449911303817,0.5592879040764556,119.0,32.233585961080195,0.3543433791992623,common,35.43433791992623,,peak_abundance_with_occupancy_days_modifiers,0.3223358596108019
docsee1,AR,0.8419592461845802,0.5660426001644436,1.3209097587033345,breeding,0.5544296535803754,0.4171232341672937,0.672998821584165,119.0,55.44296535803754,0.3511242779181111,common,35.112427791811115,,peak_abundance_with_occupancy_days_modifiers,0.5544296535803754
bawcow4,AR,0.8413085315404658,1.3194,1.3194,resident,0.583,0.5729,0.7833,365.0,58.3,0.3508529088339414,common,35.08529088339414,,peak_abundance_with_occupancy_days_modifiers,0.583
barswa,AR,0.7962891924058685,0.819929968577113,1.2172976783308087,nonbreeding,0.5090492520878187,0.088705681712803,0.0295047112006308,91.0,50.90492520878187,0.33207838617430113,common,33.20783861743011,,peak_abundance_with_occupancy_days_modifiers,0.5090492520878187
tatdot1,AR,0.792015858790355,0.8852048602095287,1.2078426422765969,nonbreeding,0.3894960068492951,0.9477458239183796,0.953951668773492,105.0,38.94960068492951,0.3302962676372699,common,33.02962676372699,,peak_abundance_with_occupancy_days_modifiers,0.3894960068492951
soumar,AR,0.7849840733428132,0.6847697824593549,1.1923720232975163,postbreeding_migration,0.1588693351614984,0.9992976397489765,0.9999686341920756,91.0,15.88693351614984,0.32736378533609933,common,32.73637853360994,,peak_abundance_with_occupancy_days_modifiers,0.1588693351614984
bryfin1,AR,0.7540073725386568,1.1255006455611007,1.1255006455611007,resident,0.3389021774264888,0.1793897392641021,0.3000657744720678,365.0,33.89021774264888,0.31444549772130864,common,31.444549772130863,,peak_abundance_with_occupancy_days_modifiers,0.3389021774264888
wfwduc1,AR,0.7408075792337643,1.0976288321432344,1.0976288321432344,resident,0.4108380599625811,0.1071604551735334,0.1410368350782769,365.0,41.08380599625811,0.30894075635306356,common,30.894075635306358,,peak_abundance_with_occupancy_days_modifiers,0.4108380599625811
yebpin1,AR,0.7229143762726347,0.8464620652109728,1.06042933528434,prebreeding_migration,0.2724398503509018,0.714188236648735,0.8143539605446762,210.0,27.24398503509018,0.30147871113194424,common,30.147871113194423,,peak_abundance_with_occupancy_days_modifiers,0.2724398503509018
rufhor2,AR,0.7218803993828178,1.0583,1.0583,resident,0.591,0.2643,0.466,365.0,59.099999999999994,0.3010475092769065,common,30.10475092769065,,peak_abundance_with_occupancy_days_modifiers,0.591
brcmar1,AR,0.7080226042401215,0.5209183264336,1.029973226884997,breeding,0.4375530892683059,0.1512104915970911,0.3872241253752563,133.0,43.75530892683059,0.2952683598286806,common,29.52683598286806,,peak_abundance_with_occupancy_days_modifiers,0.4375530892683059
reccar,AR,0.7053560750243428,1.024567454496354,1.024567454496354,resident,0.325638210947846,0.4366578280564535,0.5281406411974591,365.0,32.5638210947846,0.2941563307730217,common,29.41563307730217,,peak_abundance_with_occupancy_days_modifiers,0.325638210947846
kelgul,AR,0.6983712887583148,1.010475555289586,1.010475555289586,resident,0.0366563511770012,0.1667388748137636,0.2514769956481544,365.0,3.6656351177001203,0.2912434486529129,rare,29.12434486529129,rare,peak_abundance_with_occupancy_days_modifiers,0.0366563511770012
grekis,AR,0.6806604386726687,0.9751817879969616,0.9751817879969616,resident,0.5092783858835228,0.1422798011502126,0.1993078057907066,365.0,50.92783858835228,0.2838574504875395,common,28.385745048753954,,peak_abundance_with_occupancy_days_modifiers,0.5092783858835228
whwcoo1,AR,0.6722705888921228,0.8367086982258156,0.95867963161117,breeding,0.1602627631155758,0.773576137960857,0.9226806893649436,105.0,16.02627631155758,0.28035861136986834,fairly_common,28.035861136986835,,peak_abundance_with_occupancy_days_modifiers,0.1602627631155758
ashgoo1,AR,0.6671230272954976,0.5213127337199437,0.9486231130397418,nonbreeding,0.1344527135429703,0.9748346610842442,0.9858510594906108,126.0,13.44527135429703,0.2782119114472241,fairly_common,27.821191144722413,,peak_abundance_with_occupancy_days_modifiers,0.1344527135429703
houwre,AR,0.6346172383695419,0.775975,0.8863,prebreeding_migration,0.9467,0.1504,0.3134,126.0,94.67,0.264655944556301,fairly_common,26.465594455630097,,peak_abundance_with_occupancy_days_modifiers,0.9467
souscr1,AR,0.6264362881505489,0.870931224910498,0.870931224910498,resident,0.3279254780788149,0.4357459918234588,0.6948544592883329,365.0,32.79254780788149,0.2612442233223516,fairly_common,26.12442233223516,,peak_abundance_with_occupancy_days_modifiers,0.3279254780788149
pecsan,AR,0.6001405140254971,0.4903407547335146,0.8223748516270595,nonbreeding,0.3126738607366351,0.7887432710071921,0.8667186352799026,119.0,31.267386073663513,0.2502780337546295,fairly_common,25.02780337546295,,peak_abundance_with_occupancy_days_modifiers,0.3126738607366351
jamfla1,AR,0.5938879392235673,0.6766769919282927,0.8110158650131603,breeding,0.0747255059415462,0.3246957421651982,0.2006041731360888,98.0,7.47255059415462,0.24767050753242173,fairly_common,24.767050753242174,,peak_abundance_with_occupancy_days_modifiers,0.0747255059415462
magpen1,AR,0.5907420321382515,0.42742223143447783,0.8053275295505402,breeding,0.0161854726642574,0.222477326015356,0.2832221945980704,154.0,1.6185472664257399,0.24635856237743398,rare,24.635856237743397,rare,peak_abundance_with_occupancy_days_modifiers,0.0161854726642574
scrcow1,AR,0.5902419605392943,0.8044249622191497,0.8044249622191497,resident,0.7248493929172743,0.5299772268918348,0.7747834056844151,365.0,72.48493929172743,0.24615001632263755,common,24.615001632263755,,peak_abundance_with_occupancy_days_modifiers,0.7248493929172743
yebtea1,AR,0.5889322522157534,0.7436845701556091,0.8020632387489655,nonbreeding,0.2254852879550859,0.5960430568190893,0.6317886616139335,217.0,22.54852879550859,0.245603825528403,fairly_common,24.560382552840302,,peak_abundance_with_occupancy_days_modifiers,0.2254852879550859
gyhsif1,AR,0.5845917094189779,0.6091781710470263,0.7942582573206581,nonbreeding,0.5683265171956345,0.760060147283326,0.7994546762622898,168.0,56.83265171956345,0.24379367858578446,fairly_common,24.379367858578448,,peak_abundance_with_occupancy_days_modifiers,0.5683265171956345
grpfin1,AR,0.5733779183607307,0.7742502127996109,0.7742502127996109,resident,0.5916160370511642,0.630353391467949,0.7883109736186192,365.0,59.16160370511642,0.2391171644838318,common,23.91171644838318,,peak_abundance_with_occupancy_days_modifiers,0.5916160370511642
trokin,AR,0.5716796774675587,0.35461803915601753,0.7712396655742602,nonbreeding,0.7297385737531162,0.1241682349139082,0.1423485905284,126.0,72.97385737531162,0.23840894302293777,fairly_common,23.840894302293776,,peak_abundance_with_occupancy_days_modifiers,0.7297385737531162
miskit,AR,0.5579615304066027,0.418196537835479,0.7471074425017146,prebreeding_migration,0.4838536159126871,0.6009905593276135,0.6522637226833133,91.0,48.38536159126871,0.23268803134819782,fairly_common,23.268803134819784,,peak_abundance_with_occupancy_days_modifiers,0.4838536159126871
chbmoc1,AR,0.5560188809658629,0.7437167197647908,0.7437167197647908,resident,0.5579525880029242,0.2660028269423287,0.3416941882370767,365.0,55.79525880029242,0.23187788360622716,common,23.187788360622715,,peak_abundance_with_occupancy_days_modifiers,0.5579525880029242
ausneg1,AR,0.5547345753426057,0.3856316086024062,0.74147869203965,breeding,0.6173430263199392,0.9300177174138526,0.9464844182945744,105.0,61.73430263199392,0.23134228656084055,fairly_common,23.134228656084055,,peak_abundance_with_occupancy_days_modifiers,0.6173430263199392
whtdov,AR,0.5382645660249723,0.7130314281562613,0.7130314281562613,resident,0.4127896920766531,0.0791922347364772,0.1483592317499082,365.0,41.27896920766531,0.22447375918832832,fairly_common,22.447375918832833,,peak_abundance_with_occupancy_days_modifiers,0.4127896920766531
bbwduc,AR,0.524883325902572,0.5241466165863254,0.6902616271242473,breeding,0.4289086305589825,0.1464728024005441,0.0916393944849059,119.0,42.89086305589825,0.21889334861986165,fairly_common,21.889334861986164,,peak_abundance_with_occupancy_days_modifiers,0.4289086305589825
