species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
commyn,AS,0.8987809833585134,1.4566066407776894,1.4566066407776894,resident,0.6382978723404256,4.963132199643647e-05,3.226328631462434e-05,365.0,63.829787234042556,0.37482078285663656,common,37.482078285663654,,peak_abundance_with_occupancy_days_modifiers,0.6382978723404256
revbul,AS,0.4298906652193489,0.5370894570220658,0.5370894570220658,resident,0.5106382978723404,5.394373668264001e-05,1.3915117714222716e-05,365.0,51.06382978723404,0.17927833216738517,common,17.927833216738517,,peak_abundance_with_occupancy_days_modifiers,0.5106382978723404
bubrai1,AS,0.19957090759717377,0.2208787759422864,0.2208787759422864,resident,0.2631578947368421,0.00028904240252044974,0.0032777795011075,365.0,26.31578947368421,0.08322753285395663,fairly_common,8.322753285395663,,peak_abundance_with_occupancy_days_modifiers,0.2631578947368421
pacreh1,AS,0.17388072597176565,0.1899136315639081,0.1899136315639081,resident,0.3421052631578947,0.0005033589530133777,0.0005984636034987634,365.0,34.210526315789465,0.07251389497458947,uncommon,7.2513894974589475,,peak_abundance_with_occupancy_days_modifiers,0.3421052631578947
junmyn1,AS,0.12239460821360591,0.1302,0.1302,resident,0.1084,0.0001,0.0001,365.0,10.84,0.0510425161607538,uncommon,5.104251616075381,,peak_abundance_with_occupancy_days_modifiers,0.1084
pagplo,AS,0.11491339235595975,0.0875576318552096,0.1217762789639987,nonbreeding,0.2236842105263158,0.000189010695781726,5.219282293056272e-05,35.0,22.36842105263158,0.04792260682087859,uncommon,4.792260682087859,,peak_abundance_with_occupancy_days_modifiers,0.2236842105263158
pabduc1,AS,0.10409132605745176,0.1097017949779004,0.1097017949779004,resident,0.0384979299478456,1.2844555193053665e-05,1.6965775143008033e-05,365.0,3.84979299478456,0.043409454632260085,rare,4.340945463226008,rare,peak_abundance_with_occupancy_days_modifiers,0.0384979299478456
wantat1,AS,0.10315608242295228,0.0782213846124053,0.1086644386040403,postbreeding_migration,0.5319148936170213,0.0039491758241758,0.0023770572599316,98.0,53.191489361702125,0.04301942774280044,uncommon,4.301942774280044,,peak_abundance_with_occupancy_days_modifiers,0.5319148936170213
rocpig,AS,0.0026585697570721215,0.0026621068875235,0.0026621068875235,resident,0.1426901451729841,2.708490576258455e-06,9.924806315147206e-09,365.0,14.269014517298409,0.0011087097035599397,very_rare,0.11087097035599397,,peak_abundance_with_occupancy_days_modifiers,0.1426901451729841
purswa6,AS,0.0018290761864967692,0.0018307499666797,0.0018307499666797,breeding,0.1702127659574468,0.000228741350717676,2.694590265077305e-06,7.0,17.02127659574468,0.0007627840161518657,very_rare,0.07627840161518658,,peak_abundance_with_occupancy_days_modifiers,0.1702127659574468
