species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
brambl,AT,7.025670661435853,388.35380000000004,1124.1489,nonbreeding,0.7424,0.0045,0.2705,63.0,74.24,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7424
eursta,AT,2.373928533062181,4.872375,9.7395,postbreeding_migration,0.3257,0.0018,0.0058,140.0,32.57,0.9900050932131742,abundant,99.00050932131742,,peak_abundance_with_occupancy_days_modifiers,0.3257
gwfgoo,AT,2.2257688413754093,4.026833333333333,8.2606,nonbreeding,0.0388,0.0018,0.0066,42.0,3.88,0.9282177026763608,rare,92.82177026763608,rare,peak_abundance_with_occupancy_days_modifiers,0.0388
comcha,AT,1.7055477724089896,2.700825,4.5044,postbreeding_migration,0.9997,0.0074,0.0115,112.0,99.97,0.711268666216017,common,71.1268666216017,,peak_abundance_with_occupancy_days_modifiers,0.9997
cowpig1,AT,1.3026681570524985,1.06315,2.6791,postbreeding_migration,0.4542,0.0063,0.0056,112.0,45.42,0.5432548167678192,common,54.32548167678192,,peak_abundance_with_occupancy_days_modifiers,0.4542
mallar3,AT,1.2610428809309326,1.84405,2.5291,nonbreeding,0.1397,0.0012,0.0029,126.0,13.969999999999999,0.5258957283231479,common,52.58957283231479,,peak_abundance_with_occupancy_days_modifiers,0.1397
eursis,AT,1.1980050325461444,1.312025,2.3135,nonbreeding,0.9188,0.0088,0.0174,154.0,91.88,0.49960690366100063,common,49.96069036610006,,peak_abundance_with_occupancy_days_modifiers,0.9188
fieldf,AT,1.0102909631613453,1.0605499999999999,1.7464,nonbreeding,0.4269,0.0048,0.0021,91.0,42.69,0.4213240564014809,common,42.13240564014809,,peak_abundance_with_occupancy_days_modifiers,0.4269
comhom1,AT,0.9323688526941508,0.9419236730036475,1.5405201732823688,breeding,0.4465987144098348,0.0080884152046696,0.0113771777923763,91.0,44.65987144098348,0.38882801232852254,common,38.88280123285225,,peak_abundance_with_occupancy_days_modifiers,0.4465987144098348
gretit1,AT,0.8984932928435744,1.4559,1.4559,resident,0.8263,,,,82.63000000000001,0.37470080659320143,common,37.470080659320146,,peak_abundance_with_occupancy_days_modifiers,0.8263
barswa,AT,0.878048739617287,1.0629,1.4062,postbreeding_migration,0.534,0.0008,0.0013,119.0,53.400000000000006,0.3661747656696426,common,36.61747656696426,,peak_abundance_with_occupancy_days_modifiers,0.534
eurbla,AT,0.8650395418633607,1.000275,1.3751,prebreeding_migration,0.9613,0.0075,0.0124,119.0,96.13000000000001,0.3607495088198117,common,36.074950881981174,,peak_abundance_with_occupancy_days_modifiers,0.9613
blackc1,AT,0.8020912675491244,0.531375,1.2302,breeding,0.9086,0.0105,0.021,140.0,90.86,0.33449803944651635,common,33.449803944651634,,peak_abundance_with_occupancy_days_modifiers,0.9086
yebcho1,AT,0.7268237069193292,1.0685,1.0685,resident,0.2935,0.0211,0.0369,365.0,29.349999999999998,0.3031090286404034,common,30.31090286404034,,peak_abundance_with_occupancy_days_modifiers,0.2935
gragoo,AT,0.6510744041380375,0.611,0.9176,nonbreeding,0.04,0.0015,0.0051,112.0,4.0,0.27151911575280196,rare,27.151911575280195,rare,peak_abundance_with_occupancy_days_modifiers,0.04
comchi1,AT,0.6353591567925511,0.531675,0.8877,breeding,0.9408,0.0031,0.0049,133.0,94.08,0.26496534857049026,fairly_common,26.496534857049024,,peak_abundance_with_occupancy_days_modifiers,0.9408
yellow2,AT,0.6063903166336634,0.533975,0.8338,nonbreeding,0.3098,0.0066,0.0101,112.0,30.98,0.25288440388224254,fairly_common,25.288440388224252,,peak_abundance_with_occupancy_days_modifiers,0.3098
coatit2,AT,0.5956445991987067,0.8142,0.8142,resident,0.6947,,,,69.47,0.24840309164277335,fairly_common,24.840309164277336,,peak_abundance_with_occupancy_days_modifiers,0.6947
eurgol,AT,0.5944312076207876,0.6046,0.812,nonbreeding,0.9264,0.0069,0.0048,245.0,92.64,0.2478970680512997,common,24.78970680512997,,peak_abundance_with_occupancy_days_modifiers,0.9264
eurrob1,AT,0.5645748997601815,0.5295500000000001,0.7587,prebreeding_migration,0.9866,0.0098,0.0136,119.0,98.66,0.23544602058509265,fairly_common,23.544602058509266,,peak_abundance_with_occupancy_days_modifiers,0.9866
redcro,AT,0.5512379343772523,0.50575,0.7354,postbreeding_migration,0.7242,,,,72.42,0.22988407401710725,fairly_common,22.988407401710724,,peak_abundance_with_occupancy_days_modifiers,0.7242
bkhgul,AT,0.5240182175519738,0.47272499999999995,0.6888,prebreeding_migration,0.0831,0.0015,0.0018,175.0,8.309999999999999,0.21853257041557062,fairly_common,21.85325704155706,,peak_abundance_with_occupancy_days_modifiers,0.0831
tunbeg1,AT,0.49511571084826744,0.3104995072345313,0.6406880734826059,nonbreeding,0.0850244299479863,0.0039298724500066,0.0011870588212947,63.0,8.50244299479863,0.20647928892676862,fairly_common,20.647928892676862,,peak_abundance_with_occupancy_days_modifiers,0.0850244299479863
carcro1,AT,0.47945878801649067,0.44509999999999994,0.6152,nonbreeding,0.5204,0.0076,0.0059,105.0,52.04,0.19994984495588786,fairly_common,19.994984495588785,,peak_abundance_with_occupancy_days_modifiers,0.5204
blutit,AT,0.4668737362368079,0.595,0.595,resident,0.6946,0.0064,0.0088,365.0,69.46,0.19470147071600877,common,19.470147071600877,,peak_abundance_with_occupancy_days_modifiers,0.6946
eutspa,AT,0.4603320095490045,0.5846,0.5846,resident,0.2721,0.0016,0.0011,365.0,27.21,0.19197335879135033,fairly_common,19.197335879135032,,peak_abundance_with_occupancy_days_modifiers,0.2721
eurcoo,AT,0.44916296337388373,0.29185,0.567,nonbreeding,0.0349,0.0007,0.001,154.0,3.49,0.18731550475501188,rare,18.731550475501187,rare,peak_abundance_with_occupancy_days_modifiers,0.0349
eurlin1,AT,0.4371575548406541,0.30937499999999996,0.5483,postbreeding_migration,0.3736,0.005,0.0044,133.0,37.36,0.1823088605243741,fairly_common,18.23088605243741,,peak_abundance_with_occupancy_days_modifiers,0.3736
norlap,AT,0.4272918293342715,0.237825,0.5331,prebreeding_migration,0.099,0.001,0.002,133.0,9.9,0.17819453342331218,fairly_common,17.81945334233122,,peak_abundance_with_occupancy_days_modifiers,0.099
