species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
yefhon1,AU-ACT,2.402529970520549,4.4779,10.0511,postbreeding_migration,1.0,0.0045,0.0145,168.0,100.0,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,1.0
succoc,AU-ACT,1.5506216545415665,3.7144,3.7144,resident,1.0,0.0007,0.0024,365.0,100.0,0.646659456787691,common,64.6659456787691,,peak_abundance_with_occupancy_days_modifiers,1.0
criros2,AU-ACT,1.43746264769429,3.21,3.21,resident,1.0,0.0056,0.0095,365.0,100.0,0.5994684855509786,common,59.946848555097866,,peak_abundance_with_occupancy_days_modifiers,1.0
galah,AU-ACT,1.3293800351351364,2.7787,2.7787,resident,0.6145,0.0002,0.0003,365.0,61.45,0.5543945351640546,common,55.43945351640546,,peak_abundance_with_occupancy_days_modifiers,0.6145
supfai1,AU-ACT,1.3219424892289318,2.7507,2.7507,resident,0.9302,0.0018,0.0029,365.0,93.02,0.5512928376084623,common,55.12928376084623,,peak_abundance_with_occupancy_days_modifiers,0.9302
strtho1,AU-ACT,1.2599371722433683,2.5252,2.5252,resident,0.952,0.0068,0.0124,365.0,95.19999999999999,0.5254346119849544,common,52.54346119849544,,peak_abundance_with_occupancy_days_modifiers,0.952
whnhon2,AU-ACT,1.1168906723540621,2.05533936742476,2.05533936742476,resident,0.9548521306277956,0.00533375915565,0.0122059059699718,365.0,95.48521306277956,0.46577958805124886,common,46.57795880512489,,peak_abundance_with_occupancy_days_modifiers,0.9548521306277956
litrav1,AU-ACT,1.0856958967348829,1.9615,1.9615,resident,0.7191,0.0025,0.0044,365.0,71.91,0.4527703561748397,common,45.27703561748397,,peak_abundance_with_occupancy_days_modifiers,0.7191
ausmag2,AU-ACT,1.0740804964787776,1.9273,1.9273,resident,0.6871,0.0002,0.0011,365.0,68.71000000000001,0.4479263580286863,common,44.79263580286863,,peak_abundance_with_occupancy_days_modifiers,0.6871
eursta,AU-ACT,1.0461604286656856,1.5837,1.8467,prebreeding_migration,0.3685,0.0001,0.0,140.0,36.85,0.4362827853798655,common,43.628278537986546,,peak_abundance_with_occupancy_days_modifiers,0.3685
redwat1,AU-ACT,1.002872016387274,1.7261,1.7261,resident,1.0,0.002,0.0033,365.0,100.0,0.4182301152864407,common,41.823011528644074,,peak_abundance_with_occupancy_days_modifiers,1.0
gryfan1,AU-ACT,1.0004480398808784,1.1890749999999999,1.7195,breeding,1.0,0.0028,0.0058,119.0,100.0,0.41721923856722243,common,41.72192385672224,,peak_abundance_with_occupancy_days_modifiers,1.0
piecur1,AU-ACT,0.9717632809979795,1.6426,1.6426,resident,1.0,0.0027,0.0061,365.0,100.0,0.4052567649728592,common,40.525676497285914,,peak_abundance_with_occupancy_days_modifiers,1.0
silver3,AU-ACT,0.946625931670228,1.577,1.577,resident,0.9951,0.0021,0.002,365.0,99.51,0.39477367606864033,common,39.477367606864036,,peak_abundance_with_occupancy_days_modifiers,0.9951
brotho1,AU-ACT,0.8984932928435744,1.4559,1.4559,resident,0.9557,0.0048,0.0056,365.0,95.57,0.37470080659320143,common,37.470080659320146,,peak_abundance_with_occupancy_days_modifiers,0.9557
spopar1,AU-ACT,0.8405753146263769,1.3176,1.3177,breeding,1.0,0.0021,0.0071,217.0,100.0,0.35054713363082624,common,35.05471336308263,,peak_abundance_with_occupancy_days_modifiers,1.0
rufwhi1,AU-ACT,0.8142137085393889,0.46115000000000006,1.2574,breeding,1.0,0.0003,0.0009,133.0,100.0,0.3395534900025856,common,33.955349000258565,,peak_abundance_with_occupancy_days_modifiers,1.0
whttre3,AU-ACT,0.7857263618530385,1.194,1.194,resident,0.8512,0.0042,0.0065,365.0,85.11999999999999,0.3276733436886453,common,32.76733436886453,,peak_abundance_with_occupancy_days_modifiers,0.8512
whbscr1,AU-ACT,0.7753721208156147,1.1714,1.1714,resident,0.9038,0.0045,0.0066,365.0,90.38000000000001,0.32335528978742545,common,32.335528978742545,,peak_abundance_with_occupancy_days_modifiers,0.9038
burtho1,AU-ACT,0.756836642925344,1.131522776695966,1.131522776695966,resident,0.6716309725815682,0.0022742141872443,0.0092844077796752,365.0,67.16309725815682,0.3156253951166546,common,31.56253951166546,,peak_abundance_with_occupancy_days_modifiers,0.6716309725815682
ausrav1,AU-ACT,0.6955443051596668,1.0048,1.0048,resident,0.8759,0.0005,0.0008,365.0,87.59,0.29006450492225155,common,29.006450492225156,,peak_abundance_with_occupancy_days_modifiers,0.8759
