species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
galah,AU-NSW,1.5869877835965085,3.889,3.889,resident,0.9037,0.1015,0.1489,365.0,90.36999999999999,0.6618253105543161,common,66.18253105543161,,peak_abundance_with_occupancy_days_modifiers,0.9037
budger,AU-NSW,1.479875774741421,2.6887,3.3924,breeding,0.5894,0.0843,0.0627,210.0,58.940000000000005,0.6171561333512241,common,61.71561333512241,,peak_abundance_with_occupancy_days_modifiers,0.5894
whbwoo5,AU-NSW,1.1099046194096336,1.140694416959993,2.0340689893426647,prebreeding_migration,0.7343586446157911,0.5126372180513378,0.5469892889653954,126.0,73.43586446157911,0.46286617768521743,common,46.286617768521744,,peak_abundance_with_occupancy_days_modifiers,0.7343586446157911
zebfin2,AU-NSW,1.0683821520301164,1.9106666725186456,1.9106666725186456,resident,0.4681837061376234,0.0707765038991758,0.019865097165653,365.0,46.81837061376234,0.4455499638161021,common,44.55499638161021,,peak_abundance_with_occupancy_days_modifiers,0.4681837061376234
gretea1,AU-NSW,0.975992575120199,1.6538,1.6538,resident,0.3442,0.2467,0.3041,365.0,34.42,0.40702051761468494,common,40.702051761468496,,peak_abundance_with_occupancy_days_modifiers,0.3442
yefhon1,AU-NSW,0.9335017686045094,0.863925,1.5434,postbreeding_migration,0.3191,0.4964,0.7606,168.0,31.91,0.38930047495990194,common,38.930047495990195,,peak_abundance_with_occupancy_days_modifiers,0.3191
wilwag1,AU-NSW,0.8730342947072194,1.3941644436935767,1.3941644436935767,resident,0.8790805712780797,0.0962352338129938,0.121193118593717,365.0,87.90805712780796,0.3640835797171319,common,36.40835797171319,,peak_abundance_with_occupancy_days_modifiers,0.8790805712780797
crepig1,AU-NSW,0.8629743397722113,1.3702,1.3702,resident,0.8404,0.1003,0.0928,365.0,84.04,0.3598882526529653,common,35.98882526529653,,peak_abundance_with_occupancy_days_modifiers,0.8404
ausmag2,AU-NSW,0.8536064904967651,1.3481,1.3481,resident,0.9337,0.1103,0.2656,365.0,93.37,0.3559815560671241,common,35.59815560671241,,peak_abundance_with_occupancy_days_modifiers,0.9337
eursta,AU-NSW,0.8172656603963387,1.031225,1.2643,nonbreeding,0.3969,0.0267,0.0089,140.0,39.69,0.3408262527840011,common,34.08262527840011,,peak_abundance_with_occupancy_days_modifiers,0.3969
stnibi1,AU-NSW,0.7942874201719236,0.9031244226400419,1.2128635928991345,breeding,0.3086304806167342,0.2302852379260129,0.4804332430639033,133.0,30.86304806167342,0.33124358231249246,common,33.124358231249246,,peak_abundance_with_occupancy_days_modifiers,0.3086304806167342
supfai1,AU-NSW,0.7791872526523298,1.1797,1.1797,resident,0.6167,0.4134,0.422,365.0,61.67,0.3249463233408895,common,32.494632334088955,,peak_abundance_with_occupancy_days_modifiers,0.6167
succoc,AU-NSW,0.7442204507439459,1.1048,1.1048,resident,0.5373,0.1372,0.2435,365.0,53.73,0.31036403432057824,common,31.036403432057824,,peak_abundance_with_occupancy_days_modifiers,0.5373
rerpar1,AU-NSW,0.7405077519197829,1.097,1.097,resident,0.5323,0.5077,0.5696,365.0,53.23,0.3088157186512996,common,30.88157186512996,,peak_abundance_with_occupancy_days_modifiers,0.5323
litcor2,AU-NSW,0.7404123730270595,1.0968,1.0968,resident,0.3968,0.1206,0.0911,365.0,39.68,0.3087759425635757,common,30.877594256357572,,peak_abundance_with_occupancy_days_modifiers,0.3968
tremar2,AU-NSW,0.709315761721529,0.9520500000000001,1.0326,breeding,0.9305,0.1153,0.195,203.0,93.05,0.29580764838564005,common,29.580764838564004,,peak_abundance_with_occupancy_days_modifiers,0.9305
welswa1,AU-NSW,0.7060140462667689,0.8349,1.0259,prebreeding_migration,0.7835,0.3522,0.3994,140.0,78.35,0.2944307260937391,common,29.44307260937391,,peak_abundance_with_occupancy_days_modifiers,0.7835
maglar1,AU-NSW,0.6636153779539075,0.9418,0.9418,resident,0.8487,0.0987,0.1233,365.0,84.87,0.2767491080540231,common,27.67491080540231,,peak_abundance_with_occupancy_days_modifiers,0.8487
faimar2,AU-NSW,0.6432213717902195,0.431075,0.9026,breeding,0.7363,0.1343,0.1323,210.0,73.63,0.2682441468928595,common,26.824414689285952,,peak_abundance_with_occupancy_days_modifiers,0.7363
cockat,AU-NSW,0.6104718438910374,0.7180500000000001,0.8413,breeding,0.5948,0.0872,0.0671,287.0,59.48,0.25458653295504846,common,25.458653295504845,,peak_abundance_with_occupancy_days_modifiers,0.5948
maswoo1,AU-NSW,0.6056355388797893,0.5359014457412573,0.8324164107718154,breeding,0.7261417774803163,0.0963736685193884,0.0660501106282627,189.0,72.61417774803162,0.25256963711055064,common,25.256963711055064,,peak_abundance_with_occupancy_days_modifiers,0.7261417774803163
ausrav1,AU-NSW,0.6043706101690995,0.8301,0.8301,resident,0.9446,0.1927,0.2272,365.0,94.46,0.25204212086535044,common,25.204212086535044,,peak_abundance_with_occupancy_days_modifiers,0.9446
noimin1,AU-NSW,0.532861050626603,0.7038,0.7038,resident,0.5144,0.3844,0.4361,365.0,51.44,0.22222031823964863,common,22.222031823964862,,peak_abundance_with_occupancy_days_modifiers,0.5144
rufwhi1,AU-NSW,0.5259112611840315,0.456375,0.692,breeding,0.9846,0.109,0.1681,133.0,98.46000000000001,0.21932203092851804,fairly_common,21.932203092851804,,peak_abundance_with_occupancy_days_modifiers,0.9846
whwfai1,AU-NSW,0.5081866601010102,0.662274192231063,0.662274192231063,resident,0.414608958248282,0.0800026641139616,0.1075406258882816,365.0,41.4608958248282,0.2119302981518249,fairly_common,21.19302981518249,,peak_abundance_with_occupancy_days_modifiers,0.414608958248282
litrav1,AU-NSW,0.46561903092791146,0.593,0.593,resident,0.419,0.5032,0.4615,365.0,41.9,0.194178217960507,fairly_common,19.4178217960507,,peak_abundance_with_occupancy_days_modifiers,0.419
emu1,AU-NSW,0.4386917264390266,0.5506771809212262,0.5506771809212262,resident,0.6355632997980433,0.1458663408821394,0.4056853757615641,365.0,63.556329979804325,0.18294865977489855,common,18.294865977489856,,peak_abundance_with_occupancy_days_modifiers,0.6355632997980433
grysht1,AU-NSW,0.40393059801621284,0.4977,0.4977,resident,0.951,0.1107,0.1796,365.0,95.1,0.16845214326012717,common,16.845214326012716,,peak_abundance_with_occupancy_days_modifiers,0.951
weebil1,AU-NSW,0.4028132784731665,0.4960275250388527,0.4960275250388527,resident,0.5177588014170538,0.1197396963253922,0.1080318669580176,365.0,51.77588014170538,0.1679861848191055,common,16.798618481910548,,peak_abundance_with_occupancy_days_modifiers,0.5177588014170538
criros2,AU-NSW,0.3898098684975912,0.4767,0.4767,resident,0.2616,0.5001,0.4846,365.0,26.16,0.16256334166032146,fairly_common,16.256334166032147,,peak_abundance_with_occupancy_days_modifiers,0.2616
pabduc1,AU-NSW,0.3893357261782807,0.476,0.476,resident,0.3515,0.2262,0.3129,365.0,35.15,0.16236560895502394,fairly_common,16.236560895502393,,peak_abundance_with_occupancy_days_modifiers,0.3515
easros1,AU-NSW,0.3884545792747581,0.4747,0.4747,resident,0.3974,0.5623,0.661,365.0,39.739999999999995,0.1619981421546518,fairly_common,16.19981421546518,,peak_abundance_with_occupancy_days_modifiers,0.3974
gryfan1,AU-NSW,0.38464996839424437,0.36825,0.4691,postbreeding_migration,0.8763,0.3506,0.3574,119.0,87.63,0.1604114961807125,fairly_common,16.04114961807125,,peak_abundance_with_occupancy_days_modifiers,0.8763
bkfcus1,AU-NSW,0.36512910658529024,0.377375,0.4407,prebreeding_migration,0.9957,0.105,0.1211,147.0,99.57000000000001,0.1522706644978621,fairly_common,15.22706644978621,,peak_abundance_with_occupancy_days_modifiers,0.9957
noifri1,AU-NSW,0.36442120309567094,0.3482719179500111,0.4396804843444262,prebreeding_migration,0.3226593769362951,0.3035269028236151,0.3738016131516694,161.0,32.26593769362951,0.1519754458126886,fairly_common,15.19754458126886,,peak_abundance_with_occupancy_days_modifiers,0.3226593769362951
pieduc1,AU-NSW,0.3636480417260209,0.4385678092034378,0.4385678092034378,resident,0.1661430701293659,0.2551808998038363,0.3712392046266496,365.0,16.614307012936592,0.15165301247774657,fairly_common,15.165301247774657,,peak_abundance_with_occupancy_days_modifiers,0.1661430701293659
spopar1,AU-NSW,0.3565549367381563,0.34550000000000003,0.4284,nonbreeding,0.6217,0.4246,0.4881,217.0,62.17,0.14869495794203416,common,14.869495794203416,,peak_abundance_with_occupancy_days_modifiers,0.6217
strpar1,AU-NSW,0.34783599527152803,0.4068,0.416,breeding,0.9459,0.1632,0.1906,308.0,94.59,0.14505887693151812,common,14.505887693151811,,peak_abundance_with_occupancy_days_modifiers,0.9459
rabeat1,AU-NSW,0.3438733521015234,0.1801,0.4104,breeding,0.8352,0.0917,0.0905,154.0,83.52000000000001,0.14340632637397022,fairly_common,14.340632637397022,,peak_abundance_with_occupancy_days_modifiers,0.8352
varfai1,AU-NSW,0.32800794392334626,0.3882,0.3882,resident,0.594,0.0845,0.0926,365.0,59.4,0.13678993726050315,common,13.678993726050315,,peak_abundance_with_occupancy_days_modifiers,0.594
shtshe,AU-NSW,0.3180845608547034,0.13297565982324874,0.3744924845727981,prebreeding_migration,0.0088225138199267,0.0081849993867218,0.0003011366958204162,105.0,0.8822513819926701,0.13265156508836817,very_rare,13.265156508836817,very_rare,peak_abundance_with_occupancy_days_modifiers,0.0088225138199267
whwtri1,AU-NSW,0.3007710369934986,0.165325,0.3509,breeding,0.8556,0.0984,0.1302,126.0,85.56,0.12543126482854916,fairly_common,12.543126482854916,,peak_abundance_with_occupancy_days_modifiers,0.8556
rebfir1,AU-NSW,0.2956502421009578,0.344,0.344,resident,0.2859,0.4875,0.528,365.0,28.59,0.12329572748851976,fairly_common,12.329572748851977,,peak_abundance_with_occupancy_days_modifiers,0.2859
strtho1,AU-NSW,0.2937138446834998,0.3414,0.3414,resident,0.2401,0.5914,0.5774,365.0,24.01,0.12248818704276955,fairly_common,12.248818704276955,,peak_abundance_with_occupancy_days_modifiers,0.2401
silver3,AU-NSW,0.29289346950231393,0.3403,0.3403,resident,0.3012,0.2225,0.1488,365.0,30.12,0.12214606401909453,fairly_common,12.214606401909453,,peak_abundance_with_occupancy_days_modifiers,0.3012
piecur1,AU-NSW,0.29266961396282004,0.34,0.34,resident,0.3932,0.3625,0.4367,365.0,39.32,0.12205270900812583,fairly_common,12.205270900812582,,peak_abundance_with_occupancy_days_modifiers,0.3932
brotre2,AU-NSW,0.2917736903550345,0.3388,0.3388,resident,0.5959,0.4379,0.4657,365.0,59.589999999999996,0.12167907984343758,common,12.167907984343758,,peak_abundance_with_occupancy_days_modifiers,0.5959
laukoo1,AU-NSW,0.291698993809715,0.3387,0.3387,resident,0.6606,0.2811,0.3036,365.0,66.06,0.12164792896451185,common,12.164792896451186,,peak_abundance_with_occupancy_days_modifiers,0.6606
brotho1,AU-NSW,0.27543235002286376,0.3171,0.3171,resident,0.254,0.4355,0.4186,365.0,25.4,0.11486421160563491,fairly_common,11.486421160563491,,peak_abundance_with_occupancy_days_modifiers,0.254
plwduc1,AU-NSW,0.275287335840543,0.3169090156685183,0.3169090156685183,resident,0.2863425617874273,0.2100482793146607,0.0555702542707904,365.0,28.634256178742728,0.1148037359943913,fairly_common,11.48037359943913,,peak_abundance_with_occupancy_days_modifiers,0.2863425617874273
whttre3,AU-NSW,0.2740647764925959,0.3153,0.3153,resident,0.3176,0.5358,0.5866,365.0,31.759999999999998,0.11429388914585886,fairly_common,11.429388914585886,,peak_abundance_with_occupancy_days_modifiers,0.3176
redwat1,AU-NSW,0.2611327372182444,0.2984,0.2984,resident,0.397,0.2708,0.1984,365.0,39.7,0.10890080988128376,fairly_common,10.890080988128375,,peak_abundance_with_occupancy_days_modifiers,0.397
whnhon2,AU-NSW,0.2507234210162442,0.2849546437302258,0.2849546437302258,resident,0.2432949383360264,0.4666392861819183,0.5810495425989248,365.0,24.32949383360264,0.10455978785247241,fairly_common,10.455978785247241,,peak_abundance_with_occupancy_days_modifiers,0.2432949383360264
