species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
zebfin2,AU-NT,3.030878150702056,19.71541586137652,19.71541586137652,resident,0.7081072108896028,0.1817595140669045,0.3480463089248284,365.0,70.81072108896028,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7081072108896028
budger,AU-NT,2.694127055728387,11.233550000000001,13.7926,nonbreeding,0.8386,0.211,0.367,210.0,83.86,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8386
maswoo1,AU-NT,1.3048796420282345,2.3336862806218357,2.687245277634133,nonbreeding,0.8381985686761926,0.2501652460482901,0.3590080433710245,189.0,83.81985686761925,0.544177077635849,common,54.4177077635849,,peak_abundance_with_occupancy_days_modifiers,0.8381985686761926
galah,AU-NT,1.2306049981266065,2.4233,2.4233,resident,0.9212,0.1757,0.1576,365.0,92.12,0.5132021452673688,common,51.32021452673688,,peak_abundance_with_occupancy_days_modifiers,0.9212
cockat,AU-NT,1.2238048429543043,2.24525,2.4001,breeding,0.853,0.2348,0.3673,287.0,85.3,0.5103662602938076,common,51.03662602938076,,peak_abundance_with_occupancy_days_modifiers,0.853
plwduc1,AU-NT,1.142297880308025,2.1339615660324003,2.1339615660324003,resident,0.1607241462247938,0.2001887530671301,0.6353597628314351,365.0,16.072414622479382,0.4763752167437031,common,47.63752167437031,,peak_abundance_with_occupancy_days_modifiers,0.1607241462247938
crepig1,AU-NT,1.0095989090078068,1.7445,1.7445,resident,0.8127,0.1647,0.2007,365.0,81.27,0.4210354474028357,common,42.103544740283574,,peak_abundance_with_occupancy_days_modifiers,0.8127
maggoo1,AU-NT,0.8541022886241383,0.7765899698373125,1.3492644722306069,breeding,0.051711311416031,0.2070413131416131,0.6288234973767242,182.0,5.1711311416031,0.3561883199458462,common,35.618831994584625,,peak_abundance_with_occupancy_days_modifiers,0.051711311416031
wilwag1,AU-NT,0.8426783477780693,1.322579328832487,1.322579328832487,resident,0.9453369612360516,0.1757184595940113,0.1952140241740983,365.0,94.53369612360515,0.3514241665753209,common,35.14241665753209,,peak_abundance_with_occupancy_days_modifiers,0.9453369612360516
blfwoo1,AU-NT,0.7218803993828178,1.0583,1.0583,resident,0.9177,0.1983,0.2675,365.0,91.77,0.3010475092769065,common,30.10475092769065,,peak_abundance_with_occupancy_days_modifiers,0.9177
