species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
zebfin2,AU-QLD,1.9328153493114328,5.908933948926921,5.908933948926921,resident,0.6211489606920106,0.2043441615437658,0.1336929666569051,365.0,62.114896069201066,0.8060466073048368,abundant,80.60466073048367,,peak_abundance_with_occupancy_days_modifiers,0.6211489606920106
budger,AU-QLD,1.8975448945989617,4.66905,5.6695,nonbreeding,0.6109,0.197,0.1934,210.0,61.09,0.7913376852294745,abundant,79.13376852294745,,peak_abundance_with_occupancy_days_modifiers,0.6109
galah,AU-QLD,1.425827525455217,3.1613,3.1613,resident,0.896,0.219,0.2636,365.0,89.60000000000001,0.5946162626991047,common,59.461626269910475,,peak_abundance_with_occupancy_days_modifiers,0.896
cockat,AU-QLD,0.9719524706990564,1.50955,1.6431,breeding,0.7025,0.2407,0.3098,287.0,70.25,0.4053356632063322,common,40.53356632063322,,peak_abundance_with_occupancy_days_modifiers,0.7025
crepig1,AU-QLD,0.9478669153088992,1.5802,1.5802,resident,0.855,0.2221,0.233,365.0,85.5,0.39529120644319377,common,39.52912064431938,,peak_abundance_with_occupancy_days_modifiers,0.855
wilwag1,AU-QLD,0.8857883814321598,1.4248953805853914,1.4248953805853914,resident,0.9067357243956408,0.2160129612679112,0.269550782471995,365.0,90.67357243956408,0.36940244700446606,common,36.940244700446605,,peak_abundance_with_occupancy_days_modifiers,0.9067357243956408
litcor2,AU-QLD,0.8761351818970604,1.4016,1.4016,resident,0.3193,0.2112,0.2535,365.0,31.929999999999996,0.3653767501174482,common,36.53767501174482,,peak_abundance_with_occupancy_days_modifiers,0.3193
railor5,AU-QLD,0.8688216946321063,1.3841,1.3841,resident,0.5245,0.8806,0.8973,365.0,52.449999999999996,0.3623267890336936,common,36.23267890336936,,peak_abundance_with_occupancy_days_modifiers,0.5245
maglar1,AU-QLD,0.8261034078085708,1.2844,1.2844,resident,0.9549,0.2417,0.3661,365.0,95.49,0.3445118797221276,common,34.45118797221276,,peak_abundance_with_occupancy_days_modifiers,0.9549
maswoo1,AU-QLD,0.745936443294314,0.8905595179933077,1.1084149218224226,breeding,0.6906826677054301,0.199484512843391,0.191394273356995,189.0,69.068266770543,0.3110796587975244,common,31.10796587975244,,peak_abundance_with_occupancy_days_modifiers,0.6906826677054301
faimar2,AU-QLD,0.7405554379549365,0.9158,1.0971,nonbreeding,0.4267,0.3336,0.5385,210.0,42.67,0.30883560527257725,common,30.883560527257725,,peak_abundance_with_occupancy_days_modifiers,0.4267
whbwoo5,AU-QLD,0.7062195902506995,0.6203483821938388,1.0263164543554224,postbreeding_migration,0.7086166960221301,0.4508951642982952,0.6173666774070343,126.0,70.86166960221301,0.2945164445929005,common,29.45164445929005,,peak_abundance_with_occupancy_days_modifiers,0.7086166960221301
dobfin1,AU-QLD,0.6429059641231986,0.902,0.902,resident,0.6134,0.5174,0.5567,365.0,61.339999999999996,0.26811261167920825,common,26.811261167920826,,peak_abundance_with_occupancy_days_modifiers,0.6134
torcro2,AU-QLD,0.6135085578997286,0.8469,0.8469,resident,0.7228,0.2474,0.4083,365.0,72.28,0.2558529410601645,common,25.58529410601645,,peak_abundance_with_occupancy_days_modifiers,0.7228
rabeat1,AU-QLD,0.6084603723927514,0.5638,0.8376,postbreeding_migration,0.9823,0.3046,0.3285,154.0,98.22999999999999,0.2537476841858366,fairly_common,25.37476841858366,,peak_abundance_with_occupancy_days_modifiers,0.9823
blakit1,AU-QLD,0.5753203939465027,0.5678500000000001,0.7777,breeding,0.78,0.0673,0.0878,147.0,78.0,0.23992723972264945,fairly_common,23.992723972264944,,peak_abundance_with_occupancy_days_modifiers,0.78
succoc,AU-QLD,0.5398794441567278,0.7158,0.7158,resident,0.6575,0.3654,0.3434,365.0,65.75,0.22514721567747303,common,22.514721567747305,,peak_abundance_with_occupancy_days_modifiers,0.6575
tremar2,AU-QLD,0.51204488017072,0.54735,0.6687,nonbreeding,0.9145,0.249,0.277,203.0,91.45,0.21353930089413697,common,21.353930089413698,,peak_abundance_with_occupancy_days_modifiers,0.9145
blfwoo1,AU-QLD,0.5093445274841925,0.6642,0.6642,resident,0.7492,0.2074,0.2152,365.0,74.92,0.21241316635558555,common,21.241316635558555,,peak_abundance_with_occupancy_days_modifiers,0.7492
rewpar1,AU-QLD,0.4873543271905112,0.6280033530487977,0.6280033530487977,resident,0.691950854938798,0.5744157990193877,0.4431425569511786,365.0,69.1950854938798,0.20324254053921348,common,20.324254053921347,,peak_abundance_with_occupancy_days_modifiers,0.691950854938798
litfri1,AU-QLD,0.4603951149666255,0.43015000000000003,0.5847,breeding,0.9113,0.4566,0.4649,217.0,91.13,0.19199967579457264,common,19.199967579457265,,peak_abundance_with_occupancy_days_modifiers,0.9113
ausmag2,AU-QLD,0.44954578734333933,0.5676,0.5676,resident,0.9119,0.2345,0.2434,365.0,91.19,0.1874751547504885,common,18.74751547504885,,peak_abundance_with_occupancy_days_modifiers,0.9119
brohon1,AU-QLD,0.43327480874743163,0.5423,0.5423,resident,0.9009,0.2865,0.2775,365.0,90.09,0.18068962963582433,common,18.068962963582432,,peak_abundance_with_occupancy_days_modifiers,0.9009
