species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
zebfin2,AU-SA,2.699380053078001,13.870509939793823,13.870509939793823,resident,0.8068039550158305,0.1484208352780806,0.1754899438484817,365.0,80.68039550158305,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8068039550158305
budger,AU-SA,2.3759563652796167,9.526050000000001,9.7613,breeding,0.9285,0.1618,0.22,210.0,92.85,0.9908507649322186,abundant,99.08507649322186,,peak_abundance_with_occupancy_days_modifiers,0.9285
galah,AU-SA,1.3968385749955619,3.0424,3.0424,resident,0.993,0.1359,0.142,365.0,99.3,0.5825269313640357,common,58.252693136403565,,peak_abundance_with_occupancy_days_modifiers,0.993
litcor2,AU-SA,1.3349221162474116,2.7997,2.7997,resident,0.5145,0.1905,0.2835,365.0,51.449999999999996,0.5567057625037738,common,55.67057625037738,,peak_abundance_with_occupancy_days_modifiers,0.5145
whwfai1,AU-SA,1.1530378134984736,2.1678014979018405,2.1678014979018405,resident,0.8035084399779178,0.1886732161850446,0.428359380652834,365.0,80.35084399779177,0.4808541167658525,common,48.08541167658525,,peak_abundance_with_occupancy_days_modifiers,0.8035084399779178
crepig1,AU-SA,1.0620174581985549,1.8922,1.8922,resident,0.9749,0.1418,0.1562,365.0,97.49,0.4428956803268428,common,44.28956803268428,,peak_abundance_with_occupancy_days_modifiers,0.9749
maswoo1,AU-SA,0.9809818205961474,1.0532527995320848,1.6670735445958584,breeding,0.9479655220222908,0.1531029472219778,0.1609688039636093,189.0,94.79655220222908,0.4091011945869223,common,40.91011945869223,,peak_abundance_with_occupancy_days_modifiers,0.9479655220222908
cockat,AU-SA,0.6982839646650977,0.8651,1.0103,breeding,0.7871,0.1406,0.0982,287.0,78.71000000000001,0.29120703167748957,common,29.120703167748957,,peak_abundance_with_occupancy_days_modifiers,0.7871
wilwag1,AU-SA,0.5996671402788474,0.8215123913648725,0.8215123913648725,resident,0.96956407311435,0.129162362581386,0.086902469706978,365.0,96.956407311435,0.25008062156902666,common,25.008062156902668,,peak_abundance_with_occupancy_days_modifiers,0.96956407311435
varfai1,AU-SA,0.5370779949100564,0.711,0.711,resident,0.9272,0.1607,0.2067,365.0,92.72,0.22397892059867996,common,22.397892059867996,,peak_abundance_with_occupancy_days_modifiers,0.9272
blfwoo1,AU-SA,0.5325675458843945,0.7033,0.7033,resident,0.9088,0.1409,0.1276,365.0,90.88000000000001,0.22209791725511105,common,22.209791725511106,,peak_abundance_with_occupancy_days_modifiers,0.9088
tremar2,AU-SA,0.4799539600989036,0.594,0.616,nonbreeding,0.9376,0.1429,0.1428,203.0,93.76,0.20015634775358307,common,20.015634775358308,,peak_abundance_with_occupancy_days_modifiers,0.9376
ausrav1,AU-SA,0.47784778326878463,0.6126,0.6126,resident,0.8669,0.2155,0.2044,365.0,86.69,0.1992780037933562,common,19.92780037933562,,peak_abundance_with_occupancy_days_modifiers,0.8669
ausmag2,AU-SA,0.44243971089952583,0.5565,0.5565,resident,0.9854,0.1419,0.1336,365.0,98.54,0.1845116906974814,common,18.45116906974814,,peak_abundance_with_occupancy_days_modifiers,0.9854
faimar2,AU-SA,0.4219288341388295,0.31179999999999997,0.5249,breeding,0.7816,0.145,0.0938,210.0,78.16,0.17595799071176024,common,17.595799071176025,,peak_abundance_with_occupancy_days_modifiers,0.7816
gretea1,AU-SA,0.4111157796169787,0.5085,0.5085,resident,0.1381,0.1206,0.1139,365.0,13.81,0.17144859672591203,fairly_common,17.144859672591203,,peak_abundance_with_occupancy_days_modifiers,0.1381
souwhi1,AU-SA,0.3652551573207887,0.440881612740602,0.440881612740602,resident,0.6211771600858031,0.2308071169702698,0.2687406702809444,365.0,62.11771600858032,0.1523232317375278,common,15.232323173752778,,peak_abundance_with_occupancy_days_modifiers,0.6211771600858031
litcro1,AU-SA,0.3345418031042651,0.3973,0.3973,resident,0.7664,0.2328,0.2963,365.0,76.64,0.13951476817995104,common,13.951476817995104,,peak_abundance_with_occupancy_days_modifiers,0.7664
rabeat1,AU-SA,0.3266383275621933,0.2601,0.3863,breeding,0.9572,0.1282,0.1039,154.0,95.72,0.13621876287407775,fairly_common,13.621876287407774,,peak_abundance_with_occupancy_days_modifiers,0.9572
auspip2,AU-SA,0.2988445396578918,0.3483,0.3483,resident,0.9596,0.1629,0.2162,365.0,95.96000000000001,0.12462785303760866,common,12.462785303760866,,peak_abundance_with_occupancy_days_modifiers,0.9596
