species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
shtshe,AU-TAS,3.2371860227621534,15.701929857950894,24.461971434776203,breeding,0.1291136337575966,0.0122233198362987,0.0135610805404996,98.0,12.91136337575966,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1291136337575966
supfai1,AU-TAS,1.2858384647955194,2.6177,2.6177,resident,0.8821,0.059,0.0934,365.0,88.21,0.536236289958957,common,53.6236289958957,,peak_abundance_with_occupancy_days_modifiers,0.8821
silver3,AU-TAS,1.0669496081592682,1.9065,1.9065,resident,0.9036,0.0666,0.0831,365.0,90.36,0.44495254661982214,common,44.495254661982216,,peak_abundance_with_occupancy_days_modifiers,0.9036
forrav1,AU-TAS,1.0390391971332085,1.8265,1.8265,resident,0.9785,0.6796,0.9227,365.0,97.85000000000001,0.4333130011639908,common,43.33130011639908,,peak_abundance_with_occupancy_days_modifiers,0.9785
silgul2,AU-TAS,0.9962842075665866,1.7082,1.7082,resident,0.1739,0.0979,0.1019,365.0,17.39,0.41548278561970375,common,41.54827856197038,,peak_abundance_with_occupancy_days_modifiers,0.1739
greros2,AU-TAS,0.9360933591703348,1.55,1.55,resident,0.8536,1.0,1.0,365.0,85.36,0.3903812521711606,common,39.03812521711606,,peak_abundance_with_occupancy_days_modifiers,0.8536
eursta,AU-TAS,0.892776424809087,1.19285,1.4419,breeding,0.2529,0.0016,0.0013,140.0,25.290000000000003,0.3723166874453224,common,37.23166874453224,,peak_abundance_with_occupancy_days_modifiers,0.2529
gryfan1,AU-TAS,0.8763849841382528,1.2179,1.4022,postbreeding_migration,0.9,0.0845,0.1565,119.0,90.0,0.3654809257434757,common,36.54809257434757,,peak_abundance_with_occupancy_days_modifiers,0.9
welswa1,AU-TAS,0.8657971176571688,0.719625,1.3769,nonbreeding,0.85,0.0391,0.0576,140.0,85.0,0.36106544246478867,common,36.10654424647887,,peak_abundance_with_occupancy_days_modifiers,0.85
crehon,AU-TAS,0.8028532406480026,1.2319,1.2319,resident,0.8633,0.4446,0.7203,365.0,86.33,0.3348158069101424,common,33.48158069101424,,peak_abundance_with_occupancy_days_modifiers,0.8633
