species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
galah,AU-VIC,1.3640743142180471,2.9121,2.9121,resident,0.8044,0.0261,0.0322,365.0,80.44,0.5688631733387409,common,56.88631733387409,,peak_abundance_with_occupancy_days_modifiers,0.8044
ausmag2,AU-VIC,1.2869987500243143,2.6219,2.6219,resident,0.8371,0.0286,0.1491,365.0,83.71,0.5367201664826556,common,53.67201664826556,,peak_abundance_with_occupancy_days_modifiers,0.8371
supfai1,AU-VIC,1.2834030167702524,2.6089,2.6089,resident,0.8791,0.1702,0.2695,365.0,87.91,0.5352206292447904,common,53.522062924479044,,peak_abundance_with_occupancy_days_modifiers,0.8791
lobcor1,AU-VIC,1.1769252670367722,2.244383238897727,2.244383238897727,resident,0.4478429740885723,0.7769972709140169,0.957460780399275,365.0,44.784297408857235,0.4908159586399648,common,49.08159586399648,,peak_abundance_with_occupancy_days_modifiers,0.4478429740885723
gretea1,AU-VIC,1.0930971079799996,1.9835,1.9835,resident,0.2337,0.0484,0.1053,365.0,23.369999999999997,0.4558569009998268,common,45.58569009998268,,peak_abundance_with_occupancy_days_modifiers,0.2337
succoc,AU-VIC,1.0180889099351913,1.7679,1.7679,resident,0.8373,0.0617,0.1125,365.0,83.73,0.4245760527927769,common,42.457605279277686,,peak_abundance_with_occupancy_days_modifiers,0.8373
redwat1,AU-VIC,1.0074468409159962,1.7386,1.7386,resident,0.9394,0.185,0.3338,365.0,93.94,0.4201379653000001,common,42.01379653000001,,peak_abundance_with_occupancy_days_modifiers,0.9394
eursta,AU-VIC,0.961531748119742,1.3321999999999998,1.6157,prebreeding_migration,0.4489,0.0089,0.0035,140.0,44.89,0.400989884348712,common,40.0989884348712,,peak_abundance_with_occupancy_days_modifiers,0.4489
shtshe,AU-VIC,0.9227104218771155,0.8965282773286125,1.516100850947119,prebreeding_migration,0.0295999371583963,0.0081718936727164,0.0017993443317967,98.0,2.95999371583963,0.3848001338274886,rare,38.480013382748865,rare,peak_abundance_with_occupancy_days_modifiers,0.0295999371583963
litrav1,AU-VIC,0.9170104727985039,1.5018,1.5018,resident,0.7632,0.2646,0.3374,365.0,76.32,0.3824230704322389,common,38.24230704322389,,peak_abundance_with_occupancy_days_modifiers,0.7632
welswa1,AU-VIC,0.8915471179832394,1.134775,1.4389,prebreeding_migration,0.7523,0.0975,0.1617,140.0,75.22999999999999,0.371804026679945,common,37.1804026679945,,peak_abundance_with_occupancy_days_modifiers,0.7523
whbwoo5,AU-VIC,0.8868242290673501,0.8717569738237151,1.427408504112775,prebreeding_migration,0.5105648948455952,0.1035650090480963,0.1072727464190386,98.0,51.05648948455952,0.3698344290209207,common,36.983442902092065,,peak_abundance_with_occupancy_days_modifiers,0.5105648948455952
rerpar1,AU-VIC,0.8865323097098796,1.4267,1.4267,resident,0.58,0.1598,0.2139,365.0,57.99999999999999,0.3697126891931717,common,36.97126891931717,,peak_abundance_with_occupancy_days_modifiers,0.58
stnibi1,AU-VIC,0.8261600354658708,1.0038388846226596,1.2845293638830884,nonbreeding,0.257071764578599,0.0675289366218089,0.1808299903426974,133.0,25.707176457859898,0.3445354952894722,common,34.45354952894722,,peak_abundance_with_occupancy_days_modifiers,0.257071764578599
criros2,AU-VIC,0.8084382248946799,1.2444,1.2444,resident,0.6019,0.3322,0.3652,365.0,60.19,0.3371449262466009,common,33.71449262466009,,peak_abundance_with_occupancy_days_modifiers,0.6019
yefhon1,AU-VIC,0.7706173513268442,0.72535,1.1611,postbreeding_migration,0.5495,0.2203,0.3055,168.0,54.949999999999996,0.32137239689685243,common,32.137239689685245,,peak_abundance_with_occupancy_days_modifiers,0.5495
wilwag1,AU-VIC,0.6913257523394705,0.9963604591464724,0.9963604591464724,resident,0.6619596553936354,0.0209054908237627,0.0249864102259836,365.0,66.19596553936354,0.28830523175129563,common,28.830523175129564,,peak_abundance_with_occupancy_days_modifiers,0.6619596553936354
brotho1,AU-VIC,0.6299411046561527,0.8775,0.8775,resident,0.5251,0.2599,0.3344,365.0,52.51,0.2627058453311868,common,26.27058453311868,,peak_abundance_with_occupancy_days_modifiers,0.5251
eurcoo,AU-VIC,0.61664403457383,0.55735,0.8527,prebreeding_migration,0.0628,0.0027,0.0072,154.0,6.279999999999999,0.2571605363958199,fairly_common,25.716053639581993,,peak_abundance_with_occupancy_days_modifiers,0.0628
tremar2,AU-VIC,0.6138874995743133,0.67155,0.8476,breeding,0.8662,0.0296,0.0462,203.0,86.61999999999999,0.2560109720129268,common,25.601097201292678,,peak_abundance_with_occupancy_days_modifiers,0.8662
ausshe1,AU-VIC,0.5839865814445349,0.793172829900148,0.793172829900148,resident,0.4619806478074224,0.395508216227624,0.2884366870766331,365.0,46.198064780742236,0.2435413206194847,fairly_common,24.35413206194847,,peak_abundance_with_occupancy_days_modifiers,0.4619806478074224
gryfan1,AU-VIC,0.5676406453202232,0.653875,0.7641,postbreeding_migration,0.8637,0.1512,0.2519,119.0,86.37,0.23672453578749506,fairly_common,23.672453578749504,,peak_abundance_with_occupancy_days_modifiers,0.8637
strtho1,AU-VIC,0.5608721412501264,0.7522,0.7522,resident,0.4212,0.2996,0.3673,365.0,42.120000000000005,0.23390185034877786,fairly_common,23.390185034877785,,peak_abundance_with_occupancy_days_modifiers,0.4212
grysht1,AU-VIC,0.5549764715012789,0.7419,0.7419,resident,0.9465,0.0318,0.0773,365.0,94.65,0.23144316509436844,common,23.144316509436845,,peak_abundance_with_occupancy_days_modifiers,0.9465
silgul2,AU-VIC,0.5516988169755705,0.7362,0.7362,resident,0.0456,0.0743,0.1271,365.0,4.5600000000000005,0.23007627698924973,rare,23.007627698924974,rare,peak_abundance_with_occupancy_days_modifiers,0.0456
strpar1,AU-VIC,0.5318040301511824,0.6348499999999999,0.702,breeding,0.9536,0.0444,0.0929,308.0,95.36,0.22177950646299954,common,22.177950646299955,,peak_abundance_with_occupancy_days_modifiers,0.9536
spopar1,AU-VIC,0.4918874227457398,0.5565,0.6354,nonbreeding,0.8722,0.1734,0.2563,217.0,87.22,0.20513298821916506,common,20.513298821916507,,peak_abundance_with_occupancy_days_modifiers,0.8722
crepig1,AU-VIC,0.47983019006347116,0.6158,0.6158,resident,0.5891,0.0203,0.012,365.0,58.91,0.20010473163972006,common,20.010473163972005,,peak_abundance_with_occupancy_days_modifiers,0.5891
nehhon2,AU-VIC,0.4779717988949124,0.6128,0.6128,resident,0.4572,0.2875,0.2387,365.0,45.72,0.19932972232649426,fairly_common,19.932972232649426,,peak_abundance_with_occupancy_days_modifiers,0.4572
weebil1,AU-VIC,0.4778051159388605,0.6125311961316134,0.6125311961316134,resident,0.4711419343684984,0.0314330009773174,0.0384855537876073,365.0,47.11419343684984,0.1992602101347222,fairly_common,19.92602101347222,,peak_abundance_with_occupancy_days_modifiers,0.4711419343684984
whbscr1,AU-VIC,0.4602689001488384,0.5845,0.5845,resident,0.467,0.2318,0.3284,365.0,46.7,0.1919470401272777,fairly_common,19.19470401272777,,peak_abundance_with_occupancy_days_modifiers,0.467
