species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
zebfin2,AU-WA,2.37445756926644,9.745183087462602,9.745183087462602,resident,0.7898080390591085,0.3784532567833123,0.3211542355461048,365.0,78.98080390591085,0.9902257184465864,abundant,99.02257184465864,,peak_abundance_with_occupancy_days_modifiers,0.7898080390591085
budger,AU-WA,1.8003392243075034,4.8524,5.0517,breeding,0.8432,0.3854,0.2962,210.0,84.32,0.7507997720878307,abundant,75.07997720878306,,peak_abundance_with_occupancy_days_modifiers,0.8432
galah,AU-WA,1.1322404696480937,2.1026,2.1026,resident,0.9589,0.3414,0.2553,365.0,95.89,0.47218095072465627,common,47.21809507246563,,peak_abundance_with_occupancy_days_modifiers,0.9589
maswoo1,AU-WA,1.052254316084689,1.5458379501400978,1.8641004336096756,nonbreeding,0.7378615859634203,0.4111000435511611,0.4648991359050181,189.0,73.78615859634203,0.4388241338232826,common,43.88241338232826,,peak_abundance_with_occupancy_days_modifiers,0.7378615859634203
crepig1,AU-WA,0.8845110653381288,1.4218,1.4218,resident,0.927,0.3507,0.3053,365.0,92.7,0.36886976481916767,common,36.88697648191677,,peak_abundance_with_occupancy_days_modifiers,0.927
oripra,AU-WA,0.7911809208313108,0.614,1.206,prebreeding_migration,0.0639,0.1108,0.6733,49.0,6.39,0.3299480714635188,common,32.99480714635188,,peak_abundance_with_occupancy_days_modifiers,0.0639
wilwag1,AU-WA,0.6889392254672898,0.9916017718902628,0.9916017718902628,resident,0.917483047011878,0.3183620981554753,0.2732241847033441,365.0,91.7483047011878,0.28730997274259185,common,28.730997274259185,,peak_abundance_with_occupancy_days_modifiers,0.917483047011878
cockat,AU-WA,0.6340869594304004,0.70275,0.8853,breeding,0.7055,0.3278,0.2238,287.0,70.55,0.2644348010621889,common,26.443480106218892,,peak_abundance_with_occupancy_days_modifiers,0.7055
litcor2,AU-WA,0.6074258801544675,0.8357,0.8357,resident,0.2912,0.2805,0.2202,365.0,29.12,0.2533162674137952,fairly_common,25.33162674137952,,peak_abundance_with_occupancy_days_modifiers,0.2912
blfwoo1,AU-WA,0.566108947389222,0.7614,0.7614,resident,0.9699,0.3911,0.3592,365.0,96.99,0.23608576813639012,common,23.60857681363901,,peak_abundance_with_occupancy_days_modifiers,0.9699
tremar2,AU-WA,0.4926820195297012,0.57605,0.6367,breeding,0.9377,0.3521,0.3812,203.0,93.77,0.2054643608161985,common,20.546436081619852,,peak_abundance_with_occupancy_days_modifiers,0.9377
weebil1,AU-WA,0.48321959345064874,0.6212858896876967,0.6212858896876967,resident,0.4009577242484111,0.293918642047582,0.428899441847998,365.0,40.09577242484111,0.2015182226397761,fairly_common,20.15182226397761,,peak_abundance_with_occupancy_days_modifiers,0.4009577242484111
faimar2,AU-WA,0.466622921086258,0.301275,0.5946,breeding,0.6486,0.3129,0.2763,210.0,64.86,0.19459687267396955,common,19.459687267396955,,peak_abundance_with_occupancy_days_modifiers,0.6486
