species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
leater1,AW,2.3879968874928186,6.105448017733685,9.891654867192972,breeding,0.8260869565217391,0.0013897015798712,0.0076109810683398,98.0,82.6086956521739,0.9958720527047868,abundant,99.58720527047869,,peak_abundance_with_occupancy_days_modifiers,0.8260869565217391
laugul,AW,2.137106797961152,5.234291705262402,7.474882577100526,breeding,1.0,0.0010657029005652,0.000611967957076437,161.0,100.0,0.8912427586827529,abundant,89.12427586827529,,peak_abundance_with_occupancy_days_modifiers,1.0
barswa,AW,1.8672266700617957,2.1010190671633766,5.470327141492263,postbreeding_migration,1.0,2.2971710058919635e-05,9.913979634553954e-06,154.0,100.0,0.7786940035470028,abundant,77.86940035470028,,peak_abundance_with_occupancy_days_modifiers,1.0
eardov1,AW,1.8477861167358027,4.3434841482211715,5.345755198727483,nonbreeding,0.7391304347826086,5.325772824460961e-05,4.461465570821445e-05,140.0,73.91304347826086,0.7705866631028533,abundant,77.05866631028533,,peak_abundance_with_occupancy_days_modifiers,0.7391304347826086
houspa,AW,1.617597957660439,4.040967145691747,4.040967145691747,resident,0.7391304347826086,2.1078290972167974e-05,2.0539918425542995e-05,365.0,73.91304347826086,0.6745907446461096,common,67.45907446461096,,peak_abundance_with_occupancy_days_modifiers,0.7391304347826086
baepig2,AW,1.5814967567450455,3.862227940041086,3.862227940041086,resident,0.7391304347826086,0.0078395204058104,0.0322209515873179,365.0,73.91304347826086,0.6595353744950758,common,65.95353744950758,,peak_abundance_with_occupancy_days_modifiers,0.7391304347826086
santer1,AW,1.522280109519377,2.3883613996693622,3.5826622636421868,breeding,0.7608695652173914,0.0006819155983322293,0.0021412477889139,189.0,76.08695652173914,0.6348401144904292,common,63.484011449042924,,peak_abundance_with_occupancy_days_modifiers,0.7608695652173914
cargra1,AW,1.5028535804879959,3.4944961952126543,3.4944961952126543,resident,0.5,0.0004556530697149197,0.0012976138681384,365.0,50.0,0.6267386226314,common,62.67386226314,,peak_abundance_with_occupancy_days_modifiers,0.5
cogdov,AW,1.4122446017136654,2.680115399801213,3.105159518511399,breeding,0.7391304347826086,0.0001304636599405402,0.0011734275739762,147.0,73.91304347826086,0.5889517435286322,common,58.89517435286322,,peak_abundance_with_occupancy_days_modifiers,0.7391304347826086
magfri,AW,1.4018322210419543,2.667265968316275,3.0626368004342783,breeding,0.8043478260869565,0.0009067592424674214,0.0005940835735903624,140.0,80.43478260869566,0.5846094435166888,common,58.46094435166888,,peak_abundance_with_occupancy_days_modifiers,0.8043478260869565
royter1,AW,1.3399016914306294,2.1624702719931044,2.81866807911707,nonbreeding,0.6521739130434783,0.0009369060684744492,0.0013002087862253,126.0,65.21739130434783,0.5587824066507079,common,55.87824066507079,,peak_abundance_with_occupancy_days_modifiers,0.6521739130434783
bkfgra,AW,1.1853802426974092,2.2719307127206223,2.2719307127206223,resident,0.717391304347826,0.0024471635150166,0.0078738979196236,365.0,71.73913043478261,0.49434195735915404,common,49.4341957359154,,peak_abundance_with_occupancy_days_modifiers,0.717391304347826
tromoc,AW,1.157084989650003,2.1806481273277947,2.1806481273277947,resident,0.6956521739130435,0.0002837558635488991,0.0007741362210223078,365.0,69.56521739130434,0.48254192031484,common,48.254192031484,,peak_abundance_with_occupancy_days_modifiers,0.6956521739130435
semsan,AW,1.100804060665735,1.001322168269721,2.006582527056984,postbreeding_migration,0.9130434782608696,0.0020617375866216,0.00012064594442529912,147.0,91.30434782608697,0.45907094990895253,common,45.90709499089525,,peak_abundance_with_occupancy_days_modifiers,0.9130434782608696
brnpel,AW,1.0977650747032692,1.679868942734016,1.997459434458743,postbreeding_migration,0.782608695652174,0.0010980296468004,0.00023120452179454823,161.0,78.26086956521739,0.4578035943255207,common,45.78035943255207,,peak_abundance_with_occupancy_days_modifiers,0.782608695652174
banana,AW,1.0863934631710193,1.9635665636995565,1.9635665636995565,resident,0.5434782608695652,5.254407922806442e-05,0.0006922952711063925,365.0,54.347826086956516,0.453061263973879,common,45.3061263973879,,peak_abundance_with_occupancy_days_modifiers,0.5434782608695652
bknsti,AW,1.0848319363850252,1.5868122913348286,1.9589424863781617,postbreeding_migration,0.6304347826086957,8.392199306051933e-05,0.00013884278762446724,119.0,63.04347826086957,0.4524100567240429,common,45.24100567240429,,peak_abundance_with_occupancy_days_modifiers,0.6304347826086957
leasan,AW,0.8801085400906876,0.8636942268551693,1.4111613998918429,nonbreeding,0.7608695652173914,0.0004837996240185779,0.0003559728764366176,161.0,76.08695652173914,0.3670337691869216,common,36.70337691869216,,peak_abundance_with_occupancy_days_modifiers,0.7608695652173914
grykin,AW,0.7582789588827693,0.7873097549840484,1.1345993241538173,postbreeding_migration,0.7391304347826086,0.0012163709215798,0.0009305659712723118,98.0,73.91304347826086,0.3162268875895691,common,31.622688758956908,,peak_abundance_with_occupancy_days_modifiers,0.7391304347826086
comter,AW,0.7566513411666669,0.6100059323463305,1.1311278383692969,breeding,0.9347826086956522,3.3764895815665656e-05,2.0548590325202103e-05,147.0,93.47826086956522,0.3155481182810983,common,31.55481182810983,,peak_abundance_with_occupancy_days_modifiers,0.9347826086956522
buwtea,AW,0.7542052168312546,0.6490653940032327,1.1259212053340415,nonbreeding,0.217391304347826,0.0002234986478331806,0.0002021998968801171,154.0,21.7391304347826,0.31452800519978025,common,31.452800519978023,,peak_abundance_with_occupancy_days_modifiers,0.217391304347826
ventro1,AW,0.7234578727116527,1.0615494756594948,1.0615494756594948,resident,0.6956521739130435,0.0008907446068197634,0.0044775745243779,365.0,69.56521739130434,0.3017053667516385,common,30.170536675163852,,peak_abundance_with_occupancy_days_modifiers,0.6956521739130435
shicow,AW,0.6178608372187666,0.5830131447671548,0.8549557423785977,nonbreeding,0.5652173913043478,8.42981691086117e-05,5.029807134780215e-05,140.0,56.52173913043478,0.25766798251272915,fairly_common,25.766798251272917,,peak_abundance_with_occupancy_days_modifiers,0.5652173913043478
rudtur,AW,0.5877976624654986,0.5321890289449822,0.8000197957229355,nonbreeding,0.6521739130434783,0.0005250131253281332,0.0005182664998038354,154.0,65.21739130434783,0.2451306648515688,fairly_common,24.51306648515688,,peak_abundance_with_occupancy_days_modifiers,0.6521739130434783
whcpin,AW,0.5758828175391876,0.6829996074590345,0.7787001016347305,nonbreeding,0.2826086956521739,0.00015901946153563872,0.0005020885965750499,154.0,28.26086956521739,0.24016178857850032,fairly_common,24.016178857850033,,peak_abundance_with_occupancy_days_modifiers,0.2826086956521739
lesyel,AW,0.5741264755015484,0.48617499974637246,0.7755788376797801,postbreeding_migration,0.8913043478260869,0.0001132980430910224,0.00012106306222761132,182.0,89.13043478260869,0.23942933705838465,common,23.942933705838463,,peak_abundance_with_occupancy_days_modifiers,0.8913043478260869
snoegr,AW,0.5593065630170796,0.5537570977947959,0.74945894005182,postbreeding_migration,0.6956521739130435,8.47974136788828e-05,7.063055611681936e-05,147.0,69.56521739130434,0.23324895351428862,fairly_common,23.32489535142886,,peak_abundance_with_occupancy_days_modifiers,0.6956521739130435
y00475,AW,0.5523751578372234,0.5002886949147543,0.737374660194568,prebreeding_migration,0.2391304347826087,0.00020858863713399213,7.771221752213975e-05,147.0,23.91304347826087,0.23035833303620276,fairly_common,23.035833303620276,,peak_abundance_with_occupancy_days_modifiers,0.2391304347826087
boboli,AW,0.5330929951421921,0.7041952328999406,0.7041952328999406,postbreeding_migration,1.0,0.00019913937158540915,0.0004231539322008073,56.0,100.0,0.2223170466156625,fairly_common,22.23170466156625,,peak_abundance_with_occupancy_days_modifiers,1.0
greegr,AW,0.5078142766456576,0.5660175593245937,0.6616553040626256,breeding,0.7391304347826086,3.0625664306689e-05,2.4561903478091004e-05,154.0,73.91304347826086,0.21177500218891238,fairly_common,21.177500218891236,,peak_abundance_with_occupancy_days_modifiers,0.7391304347826086
yelwar,AW,0.505069086653611,0.5533,0.6571,postbreeding_migration,1.0,0.0002,0.0004,119.0,100.0,0.2106301690416153,fairly_common,21.06301690416153,,peak_abundance_with_occupancy_days_modifiers,1.0
bkbplo,AW,0.4823095813004686,0.35758159452867083,0.6198111709369265,nonbreeding,0.717391304347826,0.0003724689044899433,0.0001744636875273858,140.0,71.73913043478261,0.20113871809656134,fairly_common,20.113871809656132,,peak_abundance_with_occupancy_days_modifiers,0.717391304347826
comgal1,AW,0.4661823040005887,0.4674379875600014,0.5938975467630054,breeding,0.217391304347826,5.804571680655685e-05,0.00016058517115333137,133.0,21.7391304347826,0.19441312107703046,fairly_common,19.441312107703045,,peak_abundance_with_occupancy_days_modifiers,0.217391304347826
wessan,AW,0.45836916646169584,0.2769923157369097,0.5814927293838043,prebreeding_migration,0.6739130434782609,0.0012342957901697,8.077428503045742e-05,126.0,67.3913043478261,0.19115478964465948,fairly_common,19.11547896446595,,peak_abundance_with_occupancy_days_modifiers,0.6739130434782609
semplo,AW,0.45682491269664555,0.43668118848607107,0.5790523880201838,postbreeding_migration,0.8043478260869565,0.0011019835704267,0.0003641067067986853,161.0,80.43478260869566,0.19051078580405464,fairly_common,19.051078580405463,,peak_abundance_with_occupancy_days_modifiers,0.8043478260869565
greyel,AW,0.44568078102752684,0.3672861665305074,0.5615529096482889,nonbreeding,0.4130434782608695,0.00010437725235123495,0.00022972140611962624,175.0,41.30434782608695,0.1858633219237354,fairly_common,18.58633219237354,,peak_abundance_with_occupancy_days_modifiers,0.4130434782608695
rocpig,AW,0.41670443086534453,0.5169540818618692,0.5169540818618692,resident,0.2608695652173913,1.083396230503382e-05,4.216761875958991e-06,365.0,26.08695652173913,0.17377924532085415,fairly_common,17.377924532085416,,peak_abundance_with_occupancy_days_modifiers,0.2608695652173913
soulap1,AW,0.3882283697570017,0.21509419201427826,0.4743664465520693,prebreeding_migration,0.5217391304347826,2.8678803376929094e-05,9.541032509804684e-06,182.0,52.17391304347826,0.16190380545849897,common,16.190380545849898,,peak_abundance_with_occupancy_days_modifiers,0.5217391304347826
blkski,AW,0.3747458145975343,0.2656806826159574,0.454621624039567,breeding,0.2608695652173913,0.0001570105197048202,0.00015986138758917237,84.0,26.08695652173913,0.15628114323783696,fairly_common,15.628114323783695,,peak_abundance_with_occupancy_days_modifiers,0.2608695652173913
y00678,AW,0.36887303768803825,0.4461039913129871,0.4461039913129871,resident,0.6086956521739131,2.4399616926014263e-05,1.737480055413046e-05,365.0,60.86956521739131,0.15383200503896874,common,15.383200503896873,,peak_abundance_with_occupancy_days_modifiers,0.6086956521739131
sander,AW,0.3668279812272467,0.24552085486483638,0.4431496489307154,nonbreeding,0.6739130434782609,0.0005466778805719092,0.00011197395288198409,168.0,67.3913043478261,0.1529791502525272,fairly_common,15.29791502525272,,peak_abundance_with_occupancy_days_modifiers,0.6739130434782609
osprey,AW,0.365633348965838,0.3087108988674236,0.4414266451849076,postbreeding_migration,0.9565217391304348,0.00018988543578707517,0.0003641992038117552,147.0,95.65217391304348,0.15248094990367936,fairly_common,15.248094990367935,,peak_abundance_with_occupancy_days_modifiers,0.9565217391304348
bkpwar,AW,0.3567082215652313,0.15919937704271375,0.4286189688288647,postbreeding_migration,0.7391304347826086,9.71575348704465e-05,0.00038396032610386535,98.0,73.91304347826086,0.1487588826800383,fairly_common,14.87588826800383,,peak_abundance_with_occupancy_days_modifiers,0.7391304347826086
stisan,AW,0.3514717300580893,0.29811329203590314,0.4211575705558061,postbreeding_migration,0.9347826086956522,0.00037557901765221385,0.000235553762820154,126.0,93.47826086956522,0.14657509610414216,fairly_common,14.657509610414216,,peak_abundance_with_occupancy_days_modifiers,0.9347826086956522
cliswa,AW,0.3416728260609677,0.4072997903694277,0.4072997903694277,postbreeding_migration,0.7391304347826086,5.3445926084284224e-05,2.1314837318377106e-05,105.0,73.91304347826086,0.14248863573688592,fairly_common,14.248863573688592,,peak_abundance_with_occupancy_days_modifiers,0.7391304347826086
burowl,AW,0.33325953808320596,0.34136488102376455,0.3955094393180764,nonbreeding,0.7391304347826086,4.06762303662416e-05,5.379622334961057e-05,98.0,73.91304347826086,0.13898002213177907,fairly_common,13.898002213177907,,peak_abundance_with_occupancy_days_modifiers,0.7391304347826086
bbwduc,AW,0.32668552672958,0.3253203956207827,0.3863654337499452,nonbreeding,0.1521739130434782,1.9595206577022227e-05,1.824483598466456e-05,119.0,15.217391304347819,0.13623844645572625,fairly_common,13.623844645572625,,peak_abundance_with_occupancy_days_modifiers,0.1521739130434782
neocor,AW,0.3088904599378026,0.3619131782780523,0.3619131782780523,resident,0.108695652173913,1.907130379061234e-05,1.647168121071241e-05,365.0,10.8695652173913,0.12881732719599717,fairly_common,12.881732719599718,,peak_abundance_with_occupancy_days_modifiers,0.108695652173913
grnher,AW,0.30259569035359474,0.31407223165075737,0.353367174408682,breeding,0.8478260869565217,0.0005401283599161213,0.0005658311102260401,119.0,84.78260869565217,0.12619220438283035,fairly_common,12.619220438283035,,peak_abundance_with_occupancy_days_modifiers,0.8478260869565217
shbdow,AW,0.2814217235596492,0.15489403141723213,0.3250122750177979,postbreeding_migration,0.8478260869565217,0.0010808863267879,0.00027660479332008715,140.0,84.78260869565217,0.11736197437481367,fairly_common,11.736197437481367,,peak_abundance_with_occupancy_days_modifiers,0.8478260869565217
sposan,AW,0.2811542631117525,0.2659172361743623,0.3246579340294651,postbreeding_migration,0.9130434782608696,0.00024045097916982076,0.0002967988494715116,140.0,91.30434782608697,0.11725043470461591,fairly_common,11.725043470461591,,peak_abundance_with_occupancy_days_modifiers,0.9130434782608696
roster,AW,0.28076484258341616,0.24150271866423334,0.3241421854649873,prebreeding_migration,0.9347826086956522,0.00021059952296759217,4.6917884806962187e-05,77.0,93.47826086956522,0.11708803373041408,fairly_common,11.708803373041409,,peak_abundance_with_occupancy_days_modifiers,0.9347826086956522
brtpar1,AW,0.2774313047101412,0.3197354564200277,0.3197354564200277,resident,0.1739130434782608,7.912096606699568e-05,4.8838024637359646e-05,365.0,17.391304347826082,0.11569784045921894,fairly_common,11.569784045921894,,peak_abundance_with_occupancy_days_modifiers,0.1739130434782608
killde,AW,0.2692694967299782,0.26629411888248083,0.3090078668547389,postbreeding_migration,0.717391304347826,0.000194621372965322,2.745240006512396e-05,161.0,71.73913043478261,0.11229410215890606,fairly_common,11.229410215890606,,peak_abundance_with_occupancy_days_modifiers,0.717391304347826
whrsan,AW,0.2658696794232245,0.2312295152552669,0.3045650359405124,prebreeding_migration,0.6956521739130435,0.0003280188524519409,7.000706009527432e-05,112.0,69.56521739130434,0.11087626821706502,fairly_common,11.087626821706502,,peak_abundance_with_occupancy_days_modifiers,0.6956521739130435
nosfly1,AW,0.25597191979332073,0.2917164557653924,0.2917164557653924,resident,0.4130434782608695,0.0003909384580564186,0.0022015332321289,365.0,41.30434782608695,0.10674858184886392,fairly_common,10.674858184886391,,peak_abundance_with_occupancy_days_modifiers,0.4130434782608695
amekes,AW,0.24831203461231474,0.268425165037827,0.2818598544387066,prebreeding_migration,0.7391304347826086,2.3183456830698715e-05,3.9775375257162215e-05,98.0,73.91304347826086,0.10355416161379381,fairly_common,10.355416161379381,,peak_abundance_with_occupancy_days_modifiers,0.7391304347826086
banswa,AW,0.2254850018061429,0.14150752749739456,0.2529302422848085,postbreeding_migration,0.9782608695652174,0.00010357053394223172,1.743885069072899e-05,91.0,97.82608695652173,0.09403454953351628,fairly_common,9.403454953351629,,peak_abundance_with_occupancy_days_modifiers,0.9782608695652174
pecsan,AW,0.22166995368028852,0.2481593594724393,0.2481593594724393,postbreeding_migration,0.6956521739130435,7.622532205198568e-05,5.0001858096243934e-05,140.0,69.56521739130434,0.09244355089019264,fairly_common,9.244355089019264,,peak_abundance_with_occupancy_days_modifiers,0.6956521739130435
categr1,AW,0.20449951962884874,0.11039661510807014,0.226910866473032,nonbreeding,0.108695652173913,4.611814361558867e-06,2.7140034998136614e-06,98.0,10.8695652173913,0.08528292371592837,fairly_common,8.528292371592837,,peak_abundance_with_occupancy_days_modifiers,0.108695652173913
blteme1,AW,0.1943324694600901,0.2145,0.2145,resident,0.383,0.0001,0.0008,365.0,38.3,0.08104293447032067,fairly_common,8.104293447032067,,peak_abundance_with_occupancy_days_modifiers,0.383
triher,AW,0.1908630192768297,0.16625200014601904,0.2102936538260268,postbreeding_migration,0.6304347826086957,0.0005477796037097901,0.0002754087703510375,140.0,63.04347826086957,0.07959606136346828,fairly_common,7.959606136346828,,peak_abundance_with_occupancy_days_modifiers,0.6304347826086957
bncfly,AW,0.18116715487951912,0.1835730724725062,0.1986155169813529,prebreeding_migration,0.3260869565217391,1.8466197625246987e-05,3.7372035454868907e-05,98.0,32.60869565217391,0.07555257184693265,uncommon,7.555257184693264,,peak_abundance_with_occupancy_days_modifiers,0.3260869565217391
brcmar1,AW,0.17200664292098053,0.11231389105238987,0.1876857228901075,prebreeding_migration,0.2608695652173913,2.485691736939244e-05,1.8943496540589737e-05,35.0,26.08695652173913,0.0717323416381929,uncommon,7.1732341638192905,,peak_abundance_with_occupancy_days_modifiers,0.2608695652173913
grbani,AW,0.1671887417197664,0.16934238483562414,0.1819773326911356,postbreeding_migration,0.2391304347826087,6.333669209730819e-05,3.466560412624317e-05,133.0,23.91304347826087,0.06972312077860482,uncommon,6.972312077860482,,peak_abundance_with_occupancy_days_modifiers,0.2391304347826087
bcnher,AW,0.1532481256211847,0.15768428616549654,0.1656141618023748,prebreeding_migration,0.217391304347826,2.0121253770800343e-05,2.579395123534582e-05,112.0,21.7391304347826,0.06390943230908595,uncommon,6.390943230908595,,peak_abundance_with_occupancy_days_modifiers,0.217391304347826
pibgre,AW,0.14654487260932303,0.13853525710494616,0.1578268843662479,prebreeding_migration,0.1956521739130435,7.568876778686043e-05,0.00017574068743277598,182.0,19.565217391304348,0.061113958675227474,uncommon,6.111395867522748,,peak_abundance_with_occupancy_days_modifiers,0.1956521739130435
grbher3,AW,0.14622288224596672,0.12463758352501111,0.1574541352810743,prebreeding_migration,0.4347826086956521,0.00016557524981165815,7.345974696865277e-05,147.0,43.47826086956521,0.06097967826398148,uncommon,6.097967826398148,,peak_abundance_with_occupancy_days_modifiers,0.4347826086956521
whtdov,AW,0.14495304912844154,0.1559852944767993,0.1559852944767993,resident,0.1739130434782608,7.426785817067125e-06,7.224446006715896e-06,365.0,17.391304347826082,0.0604501167222702,uncommon,6.04501167222702,,peak_abundance_with_occupancy_days_modifiers,0.1739130434782608
yelori1,AW,0.14455612297971007,0.1555265447367792,0.1555265447367792,resident,0.1739130434782608,9.56434412510162e-05,0.00011309242743398708,365.0,17.391304347826082,0.06028458566124597,uncommon,6.028458566124597,,peak_abundance_with_occupancy_days_modifiers,0.1739130434782608
yebcuc,AW,0.1424647751542739,0.07670458785318968,0.1531124620333961,postbreeding_migration,0.7391304347826086,6.414755446882052e-05,0.0001838518348605544,84.0,73.91304347826086,0.05941242587630439,uncommon,5.941242587630438,,peak_abundance_with_occupancy_days_modifiers,0.7391304347826086
