species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
mallar3,AZ,2.4204570135889347,4.59275,10.251,nonbreeding,0.5092,0.0045,0.0055,126.0,50.92,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5092
eursta,AZ,3.27368592802812,12.7306,25.4085,postbreeding_migration,0.6817,0.0057,0.0091,140.0,68.17,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6817
eurcoo,AZ,2.2333850571929066,3.9206250000000002,8.3314,nonbreeding,0.4391,0.0057,0.015,154.0,43.91,0.931393911372335,abundant,93.1393911372335,,peak_abundance_with_occupancy_days_modifiers,0.4391
litbus1,AZ,2.128779448905499,7.404602301996759,7.404602301996759,postbreeding_migration,0.2931711192901535,0.1189520487901258,0.8586720872972842,28.0,29.31711192901535,0.8877699843918496,abundant,88.77699843918496,,peak_abundance_with_occupancy_days_modifiers,0.2931711192901535
gnwtea,AZ,2.11853003455394,3.4904,7.3189,nonbreeding,0.5773,0.006,0.0098,140.0,57.730000000000004,0.8834956466141206,abundant,88.34956466141206,,peak_abundance_with_occupancy_days_modifiers,0.5773
grefla3,AZ,1.9609360714968025,3.403627229207549,6.10597565416066,nonbreeding,0.3076902985063637,0.0379870385912258,0.0292227999079686,133.0,30.76902985063637,0.8177738593263784,abundant,81.77738593263784,,peak_abundance_with_occupancy_days_modifiers,0.3076902985063637
whiter2,AZ,1.6497933540374732,2.083057373210882,4.205903936989614,breeding,0.3665667279256622,0.0090260332968541,0.0603741115167274,126.0,36.65667279256622,0.6880172677900757,common,68.80172677900757,,peak_abundance_with_occupancy_days_modifiers,0.3665667279256622
comcha,AZ,1.6351056591826783,2.11875,4.13,nonbreeding,0.9969,0.008,0.0101,112.0,99.69,0.6818920232802709,common,68.1892023280271,,peak_abundance_with_occupancy_days_modifiers,0.9969
grecor,AZ,1.609397911634079,1.83195,3.9998,postbreeding_migration,0.3763,0.0036,0.0091,98.0,37.63,0.6711710598419478,common,67.11710598419478,,peak_abundance_with_occupancy_days_modifiers,0.3763
barswa,AZ,1.595237563032959,2.300375,3.9295,postbreeding_migration,0.8519,0.0013,0.0046,154.0,85.19,0.6652657358014217,common,66.52657358014217,,peak_abundance_with_occupancy_days_modifiers,0.8519
skylar,AZ,1.559175665281993,1.70975,3.7549,postbreeding_migration,0.7727,0.011,0.013,154.0,77.27000000000001,0.6502267563430397,common,65.02267563430397,,peak_abundance_with_occupancy_days_modifiers,0.7727
rook1,AZ,1.5375336641424253,2.21425,3.6531,nonbreeding,0.6172,0.0059,0.0106,217.0,61.72,0.6412013408525996,common,64.12013408525996,,peak_abundance_with_occupancy_days_modifiers,0.6172
norlap,AZ,1.4371062896694937,1.692575,3.2085,nonbreeding,0.3396,0.0178,0.0207,133.0,33.96,0.5993198727116946,common,59.93198727116946,,peak_abundance_with_occupancy_days_modifiers,0.3396
eubeat1,AZ,1.2291726053476781,1.4694333333333336,2.4184,postbreeding_migration,0.9905,0.0083,0.0122,98.0,99.05000000000001,0.5126047910813135,common,51.26047910813135,,peak_abundance_with_occupancy_days_modifiers,0.9905
bkhgul,AZ,1.1503188309903025,1.4491999999999998,2.1592,nonbreeding,0.1375,0.0108,0.0104,175.0,13.750000000000002,0.47972021298822926,common,47.97202129882292,,peak_abundance_with_occupancy_days_modifiers,0.1375
norsho,AZ,1.0415126966275368,1.019775,1.8335,prebreeding_migration,0.3767,0.0062,0.0071,126.0,37.669999999999995,0.43434453057329725,common,43.434453057329726,,peak_abundance_with_occupancy_days_modifiers,0.3767
comswi,AZ,1.0381897297689218,1.0994,1.8241,breeding,0.9365,0.0048,0.0068,98.0,93.65,0.4329587457576255,common,43.29587457576255,,peak_abundance_with_occupancy_days_modifiers,0.9365
houspa,AZ,0.9707410376529265,1.6399,1.6399,resident,0.4866,0.0022,0.0026,365.0,48.66,0.40483045638605425,common,40.483045638605425,,peak_abundance_with_occupancy_days_modifiers,0.4866
combuz1,AZ,0.9642424494073273,0.536625,1.6228,postbreeding_migration,0.9476,0.0064,0.0136,154.0,94.76,0.4021203345891105,common,40.21203345891105,,peak_abundance_with_occupancy_days_modifiers,0.9476
categr1,AZ,0.9608059688490802,0.9792343126978384,1.6138022679123385,breeding,0.5033931343676332,0.0040904697919223,0.0054510997422851,140.0,50.33931343676332,0.40068721088382175,common,40.068721088382176,,peak_abundance_with_occupancy_days_modifiers,0.5033931343676332
corbun1,AZ,0.9554729827493109,1.000725,1.5999,nonbreeding,0.7705,0.0153,0.0195,91.0,77.05,0.39846318293720273,common,39.84631829372027,,peak_abundance_with_occupancy_days_modifiers,0.7705
comcra,AZ,0.9536250515208451,0.6819999999999999,1.5951,nonbreeding,0.3635,0.0054,0.0012,126.0,36.35,0.3976925357578081,common,39.76925357578081,,peak_abundance_with_occupancy_days_modifiers,0.3635
