species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
brambl,BA,5.9265184762666445,125.09763333333335,373.8472,nonbreeding,0.6793,0.0026,0.0556,49.0,67.93,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6793
eursta,BA,2.070980850761969,3.6045249999999998,6.9326,postbreeding_migration,0.2484,0.0013,0.002,140.0,24.84,0.863666096787084,abundant,86.3666096787084,,peak_abundance_with_occupancy_days_modifiers,0.2484
comcha,BA,1.5374047095342687,2.95405,3.6525,nonbreeding,1.0,0.0047,0.0069,112.0,100.0,0.6411475626039749,common,64.11475626039748,,peak_abundance_with_occupancy_days_modifiers,1.0
barswa,BA,1.2530486419725286,1.6387999999999998,2.501,postbreeding_migration,0.9759,0.0006,0.0012,119.0,97.59,0.5225618717327078,common,52.25618717327079,,peak_abundance_with_occupancy_days_modifiers,0.9759
mallar3,BA,1.2152094362519237,1.381925,2.371,nonbreeding,0.0921,0.0005,0.0008,126.0,9.21,0.50678169728145,common,50.678169728144994,,peak_abundance_with_occupancy_days_modifiers,0.0921
gretit1,BA,1.1756350562941809,2.2402,2.2402,resident,0.9996,,,,99.96000000000001,0.4902778989685407,common,49.02778989685407,,peak_abundance_with_occupancy_days_modifiers,0.9996
gwfgoo,BA,1.1713359697996388,1.4461000000000002,2.2263,nonbreeding,0.0295,0.0008,0.0011,42.0,2.9499999999999997,0.4884850406467821,rare,48.84850406467821,rare,peak_abundance_with_occupancy_days_modifiers,0.0295
comhom1,BA,1.039519886027264,0.7251963761097397,1.827858993759484,postbreeding_migration,0.9448884146824276,0.0062963983016747,0.0108028261323739,91.0,94.48884146824275,0.4335134640030099,common,43.35134640030099,,peak_abundance_with_occupancy_days_modifiers,0.9448884146824276
eursis,BA,1.0330777160803966,0.7190500000000001,1.8097,nonbreeding,0.9657,0.0057,0.0084,154.0,96.57,0.43082687046410634,common,43.08268704641063,,peak_abundance_with_occupancy_days_modifiers,0.9657
fieldf,BA,1.0286189168475748,1.076825,1.7972,postbreeding_migration,0.9933,0.0012,0.0001,56.0,99.33,0.42896740675716205,common,42.8967406757162,,peak_abundance_with_occupancy_days_modifiers,0.9933
eurbla,BA,0.9816289331822906,1.2739,1.6688,prebreeding_migration,1.0,0.0062,0.0093,119.0,100.0,0.4093710614962423,common,40.93710614962423,,peak_abundance_with_occupancy_days_modifiers,1.0
cowpig1,BA,0.9403197096735162,0.897675,1.5608,postbreeding_migration,0.9464,0.0059,0.0027,112.0,94.64,0.39214377722849947,common,39.214377722849946,,peak_abundance_with_occupancy_days_modifiers,0.9464
