species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
carmar1,BB,2.7193290636521517,12.37065797489743,14.170140630977098,breeding,0.627906976744186,0.0067950169875424,0.0782650255942403,203.0,62.7906976744186,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.627906976744186
categr1,BB,2.1208538020630896,6.425613103997568,7.338253667534784,nonbreeding,0.6162790697674418,4.888523223252399e-05,0.00017283048149854718,140.0,61.627906976744185,0.8844647329355753,abundant,88.44647329355753,,peak_abundance_with_occupancy_days_modifiers,0.6162790697674418
laugul,BB,2.069375415853405,2.5028293228764853,6.919874944401714,breeding,0.3945963697593747,0.0008137642408742153,0.0009987610915119928,161.0,39.45963697593747,0.8629965784278897,abundant,86.29965784278897,,peak_abundance_with_occupancy_days_modifiers,0.3945963697593747
cargra1,BB,2.013670388220067,6.490760952927346,6.490760952927346,resident,0.7441860465116279,0.0012679041939893,0.0045060617703524,365.0,74.4186046511628,0.839765777539605,abundant,83.9765777539605,,peak_abundance_with_occupancy_days_modifiers,0.7441860465116279
comgal1,BB,1.7545330577773182,3.2256276001070816,4.780747836412385,breeding,0.5697674418604651,0.0002844240123521285,0.0024113028380791,133.0,56.97674418604651,0.7316971169177704,common,73.16971169177704,,peak_abundance_with_occupancy_days_modifiers,0.5697674418604651
zendov,BB,1.6237220325276949,4.0719331281129705,4.0719331281129705,resident,0.7441860465116279,0.0050373868555686,0.0342354761315804,365.0,74.4186046511628,0.6771446822332624,common,67.71446822332624,,peak_abundance_with_occupancy_days_modifiers,0.7441860465116279
scnpig1,BB,1.4599651121179973,3.3058093051577724,3.3058093051577724,resident,1.0,0.0055844155844155,0.0208571897347405,365.0,100.0,0.6088527421025363,common,60.88527421025363,,peak_abundance_with_occupancy_days_modifiers,1.0
semsan,BB,1.4301345546424997,1.21699823315642,3.1792614931284,postbreeding_migration,0.5348837209302325,0.0014890327014489,0.0003286412575622465,147.0,53.48837209302325,0.5964124333810111,common,59.64124333810111,,peak_abundance_with_occupancy_days_modifiers,0.5348837209302325
bkfgra,BB,1.3799910073850619,2.9748658828957137,2.9748658828957137,resident,0.7441860465116279,0.0047460140897293,0.0192753693296625,365.0,74.4186046511628,0.575500949953747,common,57.5500949953747,,peak_abundance_with_occupancy_days_modifiers,0.7441860465116279
barbul1,BB,1.1842719277672744,2.268306391876797,2.268306391876797,resident,0.7441860465116279,1.0,1.0,365.0,74.4186046511628,0.4938797541333887,common,49.38797541333887,,peak_abundance_with_occupancy_days_modifiers,0.7441860465116279
bbwduc,BB,1.1691826421013902,1.7513462230454873,2.2193601933676144,prebreeding_migration,0.5813953488372093,0.00014749738422607662,0.0001813618043586132,119.0,58.139534883720934,0.48758703324726144,common,48.75870332472614,,peak_abundance_with_occupancy_days_modifiers,0.5813953488372093
grykin,BB,1.1246381920318498,1.8664245770074601,2.079102603502052,nonbreeding,0.7441860465116279,0.0022896393817973,0.0049348270354552,98.0,74.4186046511628,0.469010554710083,common,46.9010554710083,,peak_abundance_with_occupancy_days_modifiers,0.7441860465116279
eucdov,BB,1.1226908609645554,2.0731124056849715,2.0731124056849715,resident,0.6627906976744186,3.806038915078592e-05,4.711244015945827e-05,365.0,66.27906976744185,0.46819845457819453,common,46.819845457819454,,peak_abundance_with_occupancy_days_modifiers,0.6627906976744186
cogdov,BB,1.054608173543487,1.6975721347817156,1.870850058489068,breeding,0.7441860465116279,0.0002530204313998355,0.0014828780443973,147.0,74.4186046511628,0.4398057686283968,common,43.98057686283968,,peak_abundance_with_occupancy_days_modifiers,0.7441860465116279
buwtea,BB,0.9899285911554777,1.4096660982716338,1.6910423012666924,nonbreeding,0.4418604651162791,0.0008492948617660863,0.0005677642227381292,98.0,44.18604651162791,0.41283228770880387,common,41.283228770880385,,peak_abundance_with_occupancy_days_modifiers,0.4418604651162791
shicow,BB,0.9769343732458649,1.6368923466219458,1.6563005211741426,nonbreeding,0.7441860465116279,0.00020750318549812112,0.00018217444580905185,140.0,74.4186046511628,0.40741327793927024,common,40.74132779392702,,peak_abundance_with_occupancy_days_modifiers,0.7441860465116279
semplo,BB,0.9109735228681565,1.1180409230717598,1.4867422558193983,postbreeding_migration,0.5930232558139535,0.0010351966873706,0.0022721838682955,161.0,59.30232558139535,0.37990546676587755,common,37.990546676587755,,peak_abundance_with_occupancy_days_modifiers,0.5930232558139535
magfri,BB,0.832924735595934,1.0140701534898464,1.300035909400229,breeding,0.431589779424316,0.0007821753413636668,0.0004445764537450309,140.0,43.1589779424316,0.34735659436198046,common,34.73565943619805,,peak_abundance_with_occupancy_days_modifiers,0.431589779424316
leasan,BB,0.6324171157667016,0.7710070503413561,0.8821544707427884,nonbreeding,0.627906976744186,0.000746433705628663,0.0004160307947253948,175.0,62.7906976744186,0.26373842216581195,fairly_common,26.373842216581195,,peak_abundance_with_occupancy_days_modifiers,0.627906976744186
snoegr,BB,0.6307666173676715,0.6694686004186617,0.8790505400230718,breeding,0.6046511627906976,0.00015641120505809774,0.00017057267860698147,147.0,60.46511627906976,0.2630501108714226,fairly_common,26.30501108714226,,peak_abundance_with_occupancy_days_modifiers,0.6046511627906976
banana,BB,0.6039228705448269,0.8292807751270228,0.8292807751270228,resident,0.6046511627906976,0.000109291684794374,0.0005466230661282179,365.0,60.46511627906976,0.25185539893910464,common,25.185539893910462,,peak_abundance_with_occupancy_days_modifiers,0.6046511627906976
lesyel,BB,0.5768906910628894,0.2910365843255083,0.780493710087179,postbreeding_migration,0.5116279069767442,0.0001510640574546965,0.00019446485546885305,182.0,51.162790697674424,0.24058210448434286,common,24.058210448434288,,peak_abundance_with_occupancy_days_modifiers,0.5116279069767442
