species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,BD,2.5958606973539826,5.501622792503702,12.40812273222166,nonbreeding,0.7296743848019572,0.0066268055952593,0.015674155476726,154.0,72.96743848019572,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7296743848019572
amufal1,BD,2.63086346355978,6.451469727076304,12.885754570294672,postbreeding_migration,0.138563157601678,0.010196960508547,0.0112203595502476,56.0,13.856315760167801,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.138563157601678
lewduc1,BD,3.1629655729264727,8.37045,22.6406,nonbreeding,0.744,0.0435,0.1953,112.0,74.4,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.744
categr2,BD,2.3038425241582132,7.1944451508500435,9.012582220621988,nonbreeding,0.8145951761114467,0.0275784389422038,0.0418964435157643,126.0,81.45951761114468,0.9607769573145715,abundant,96.07769573145714,,peak_abundance_with_occupancy_days_modifiers,0.8145951761114467
litcor1,BD,2.1663302491740293,7.726202222791203,7.726202222791203,resident,0.7902204312138789,0.0502217673829684,0.1032996955603854,365.0,79.02204312138788,0.9034298844277289,abundant,90.34298844277289,,peak_abundance_with_occupancy_days_modifiers,0.7902204312138789
spodov,BD,2.019673800921525,6.535866340032606,6.535866340032606,resident,0.8885024975195246,0.0217047726529335,0.0616584640342662,365.0,88.85024975195246,0.8422693950952008,abundant,84.22693950952008,,peak_abundance_with_occupancy_days_modifiers,0.8885024975195246
commyn,BD,2.0128234849352595,6.484419688468474,6.484419688468474,resident,0.839002076804987,0.0224990035757465,0.0495342092770191,365.0,83.9002076804987,0.8394125914374367,abundant,83.94125914374368,,peak_abundance_with_occupancy_days_modifiers,0.839002076804987
aspsta2,BD,1.9968612420414995,6.3659,6.3659,resident,0.8185,0.056,0.1712,365.0,81.85,0.8327558191109573,abundant,83.27558191109573,,peak_abundance_with_occupancy_days_modifiers,0.8185
revbul,BD,1.8390868337738264,5.29079109940119,5.29079109940119,resident,0.906895397412934,0.0330409589258496,0.0472746882733606,365.0,90.6895397412934,0.7669587803255441,abundant,76.6958780325544,,peak_abundance_with_occupancy_days_modifiers,0.906895397412934
inpher1,BD,1.8050635665720856,4.55347705395396,5.080357943747657,nonbreeding,0.8481816278824327,0.0491361614606685,0.0894489834464748,126.0,84.81816278824327,0.752769975840336,abundant,75.2769975840336,,peak_abundance_with_occupancy_days_modifiers,0.8481816278824327
bladro1,BD,1.7131728655541256,3.9888662464461464,4.546531988740887,postbreeding_migration,0.8624334838916694,0.0314110234682184,0.0594464657306946,126.0,86.24334838916694,0.7144485770451657,common,71.44485770451658,,peak_abundance_with_occupancy_days_modifiers,0.8624334838916694
houspa,BD,1.7040288377039767,4.496045522368997,4.496045522368997,resident,0.740891946035554,0.0074452110340527,0.0080528929019713,365.0,74.0891946035554,0.7106352212435683,common,71.06352212435682,,peak_abundance_with_occupancy_days_modifiers,0.740891946035554
gadwal,BD,1.5263902324506966,1.7923335505585,3.6015363296941865,nonbreeding,0.2064012934810251,0.0202819616844526,0.0591548391576525,63.0,20.64012934810251,0.6365541688855251,common,63.65541688855251,,peak_abundance_with_occupancy_days_modifiers,0.2064012934810251
asiope1,BD,1.4795569915795803,3.391,3.391,resident,0.7146,0.0555,0.0846,365.0,71.46000000000001,0.6170231904468958,common,61.70231904468958,,peak_abundance_with_occupancy_days_modifiers,0.7146
chtsta2,BD,1.4596533037118067,2.5042075069381986,3.3044669269142566,postbreeding_migration,0.8358104247426807,0.0963314449740737,0.2950793623347517,140.0,83.58104247426807,0.6087227078972364,common,60.872270789723636,,peak_abundance_with_occupancy_days_modifiers,0.8358104247426807
norpin,BD,1.3624883226566005,1.6419373024222697,2.905900360000358,nonbreeding,0.1754861799511703,0.0159954412648772,0.0245971966069043,63.0,17.54861799511703,0.5682017634850921,common,56.82017634850921,,peak_abundance_with_occupancy_days_modifiers,0.1754861799511703
houcro1,BD,1.296599153924205,2.6568391495037558,2.6568391495037558,resident,0.589307966490616,0.0339071926801696,0.0351183887140733,365.0,58.9307966490616,0.5407238458796656,common,54.07238458796656,,peak_abundance_with_occupancy_days_modifiers,0.589307966490616
rocpig,BD,1.2867055765692414,2.6208383107002358,2.6208383107002358,resident,0.6449809067259133,0.0094388393160239,0.0075331248447419,365.0,64.49809067259133,0.5365979036555844,common,53.659790365558436,,peak_abundance_with_occupancy_days_modifiers,0.6449809067259133
litegr,BD,1.268819413438541,2.2894429607977855,2.556651148227585,nonbreeding,0.8200338505837377,0.0242274977548686,0.0293595553771453,119.0,82.00338505837377,0.5291387942717841,common,52.913879427178415,,peak_abundance_with_occupancy_days_modifiers,0.8200338505837377
blakit1,BD,1.2610416658816384,1.2218115981696482,2.5290957119721407,nonbreeding,0.6922448789418861,0.0106880116439914,0.0370959005815639,105.0,69.22448789418861,0.5258952216082351,common,52.589522160823506,,peak_abundance_with_occupancy_days_modifiers,0.6922448789418861
