species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
comcha,BE,2.88025420410844,7.703796900787207,16.818802216668853,postbreeding_migration,0.991795625354596,0.0044967899841059,0.0072407330415664,112.0,99.1795625354596,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.991795625354596
bkhgul,BE,3.1601941304654084,9.741815369729853,22.57517214400279,nonbreeding,0.3181438036290757,0.008701266117339,0.0200973986304148,161.0,31.814380362907567,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3181438036290757
comcra,BE,2.880018739136693,5.633463042161204,16.814607006840202,postbreeding_migration,0.6255492099204737,0.0034970324198378,0.0048633158251842,91.0,62.55492099204737,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6255492099204737
eursta,BE,3.607894244275449,20.93001109334321,35.888293237564625,postbreeding_migration,0.7508290288490403,0.0033841602837301,0.0035629409093227,126.0,75.08290288490403,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7508290288490403
gwfgoo,BE,2.412388990841712,4.12446170094575,10.160591873890738,nonbreeding,0.1812342339284396,0.0026559417331845,0.0021841194217107,133.0,18.12342339284396,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1812342339284396
cowpig1,BE,3.626424895787446,17.526136749645502,36.578230091404,postbreeding_migration,0.9929672168593456,0.010061530213539,0.0223109090003799,112.0,99.29672168593456,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9929672168593456
skylar,BE,1.8296070812416043,2.168709403878037,5.231437728665616,postbreeding_migration,0.8117415934568146,0.0040066753488817,0.007749271047226,154.0,81.17415934568146,0.7630054164569215,abundant,76.30054164569215,,peak_abundance_with_occupancy_days_modifiers,0.8117415934568146
norlap,BE,1.7944351457761554,2.828642618127594,5.016075556192217,nonbreeding,0.092083493844544,0.0018149863539409,0.0061764323509429,168.0,9.2083493844544,0.7483375800987461,abundant,74.8337580098746,,peak_abundance_with_occupancy_days_modifiers,0.092083493844544
mallar3,BE,1.7832819516962575,3.487049648007483,4.949349891743995,nonbreeding,0.3108943088436135,0.0040171289721357,0.0034876422887557,154.0,31.089430884361352,0.7436863368995875,common,74.36863368995876,,peak_abundance_with_occupancy_days_modifiers,0.3108943088436135
mewgul,BE,1.7369211051737825,1.6021170997143492,4.679828878041061,nonbreeding,0.3391371036459804,0.0116682719933309,0.029163470583037,154.0,33.91371036459804,0.7243523622058674,common,72.43523622058675,,peak_abundance_with_occupancy_days_modifiers,0.3391371036459804
carcro1,BE,1.6697048232207492,3.397875,4.3106,nonbreeding,0.9969,0.0053,0.0151,105.0,99.69,0.6963209954003474,common,69.63209954003474,,peak_abundance_with_occupancy_days_modifiers,0.9969
redwin,BE,1.6607392067896511,1.9698,4.2632,postbreeding_migration,0.9923,0.0088,0.0123,63.0,99.22999999999999,0.6925820429394941,common,69.2582042939494,,peak_abundance_with_occupancy_days_modifiers,0.9923
barswa,BE,1.628262300837886,2.493027762892666,4.09501342107917,postbreeding_migration,0.9162181861042824,0.0011164782588477,0.0010200778997469,98.0,91.62181861042824,0.6790381211843692,common,67.90381211843692,,peak_abundance_with_occupancy_days_modifiers,0.9162181861042824
eurbla,BE,1.5499810849493032,3.2591789708938146,3.7113810657362087,nonbreeding,0.9912121258491822,0.0052134880355763,0.0101458752092638,119.0,99.12121258491821,0.6463923185187558,common,64.63923185187558,,peak_abundance_with_occupancy_days_modifiers,0.9912121258491822
gretit1,BE,1.5427698928773446,3.6775285969717273,3.6775285969717273,resident,0.98217496500792,0.0029251715400435,0.0044123600155764,365.0,98.217496500792,0.6433850178439673,common,64.33850178439673,,peak_abundance_with_occupancy_days_modifiers,0.98217496500792
gragoo,BE,1.5034120674347493,2.2103204282271736,3.4970070137343363,nonbreeding,0.169552292276232,0.0034998406466088,0.0060602490100524,154.0,16.9552292276232,0.6269715297783838,common,62.69715297783838,,peak_abundance_with_occupancy_days_modifiers,0.169552292276232
blutit,BE,1.474089214210634,3.367056508066985,3.367056508066985,resident,0.9875574720927132,0.0036060713716301,0.0095409901795457,365.0,98.75574720927132,0.6147429501749488,common,61.47429501749488,,peak_abundance_with_occupancy_days_modifiers,0.9875574720927132
bargoo,BE,1.447398990080996,1.3154421335025197,3.2520405200577738,nonbreeding,0.0888809852312604,0.0108114941341311,0.006082321414946,119.0,8.88809852312604,0.6036122621785167,common,60.36122621785167,,peak_abundance_with_occupancy_days_modifiers,0.0888809852312604
eurjac,BE,1.4161201180171321,2.3363,3.1211,nonbreeding,0.724,0.0073,0.0104,140.0,72.39999999999999,0.5905679593606704,common,59.05679593606704,,peak_abundance_with_occupancy_days_modifiers,0.724
eurcoo,BE,1.3310568137837073,1.8921192090565673,2.785041358520867,nonbreeding,0.2545881354470805,0.003296756725309,0.0043908938958502,154.0,25.458813544708047,0.5550938061737571,common,55.50938061737571,,peak_abundance_with_occupancy_days_modifiers,0.2545881354470805
eurrob1,BE,1.3247026509681028,2.07544562523745,2.76106683912983,postbreeding_migration,0.9935365747689004,0.0073078617102022,0.0093062596575162,112.0,99.35365747689005,0.5524439144592665,common,55.24439144592665,,peak_abundance_with_occupancy_days_modifiers,0.9935365747689004
meapip1,BE,1.3089801491403348,1.109072274112086,2.7023958944964948,postbreeding_migration,0.920330960118268,0.0060486345454895,0.0086236090521864,105.0,92.0330960118268,0.5458871219228604,common,54.58871219228604,,peak_abundance_with_occupancy_days_modifiers,0.920330960118268
pifgoo,BE,1.2594482846983615,1.4233460754475535,2.523476994838542,nonbreeding,0.0953518247195303,0.0126848561186303,0.0170828432384992,77.0,9.53518247195303,0.5252307300429228,common,52.52307300429228,,peak_abundance_with_occupancy_days_modifiers,0.0953518247195303
fieldf,BE,1.2551600930950895,1.5655000000000001,2.5084,nonbreeding,0.9325,0.0011,0.0003,91.0,93.25,0.5234424152437248,common,52.34424152437248,,peak_abundance_with_occupancy_days_modifiers,0.9325
eurwig,BE,1.1876387146577811,0.9246940704737149,2.279328627338405,nonbreeding,0.0661206541013203,0.0012550309256607,0.0059075555545991,147.0,6.61206541013203,0.49528381332175253,common,49.52838133217525,,peak_abundance_with_occupancy_days_modifiers,0.0661206541013203
comchi1,BE,1.1749574331593016,1.4855022935163105,2.238005109256724,prebreeding_migration,0.9926613255107798,0.0047819686826156,0.0122969699049735,119.0,99.26613255107797,0.4899953081721176,common,48.99953081721176,,peak_abundance_with_occupancy_days_modifiers,0.9926613255107798
comhom1,BE,1.1420560632510657,1.0630769699966025,2.133203812292461,breeding,0.8868876890291503,0.004606929777956,0.0046507850108169,91.0,88.68876890291503,0.4762743711981522,common,47.62743711981522,,peak_abundance_with_occupancy_days_modifiers,0.8868876890291503
blackc1,BE,1.1416271576497241,1.0195417955779564,2.1318602517781358,breeding,0.9842707643953954,0.0051233370319506,0.0104057899226136,119.0,98.42707643953955,0.47609550366952946,common,47.609550366952945,,peak_abundance_with_occupancy_days_modifiers,0.9842707643953954
comswi,BE,1.1169779215551232,0.8055342906823196,2.055605954973145,breeding,0.5832006356834173,0.0022714315370359,0.0023665828629363,63.0,58.32006356834173,0.46581597379421724,common,46.58159737942172,,peak_abundance_with_occupancy_days_modifiers,0.5832006356834173
eurlin1,BE,1.0837144404365506,1.3049018162951547,1.955637727009382,postbreeding_migration,0.6569087454540301,0.0037665659483076,0.0052180405324852,147.0,65.690874545403,0.4519440247162436,common,45.194402471624365,,peak_abundance_with_occupancy_days_modifiers,0.6569087454540301
rook1,BE,1.078097424400003,1.2773910933203492,1.9390824017900543,nonbreeding,0.4630141723702785,0.0025145731587512,0.0016239930514854,217.0,46.30141723702785,0.44960154708585387,common,44.960154708585385,,peak_abundance_with_occupancy_days_modifiers,0.4630141723702785
eursis,BE,0.9837998364565592,0.9116749999999999,1.6746,nonbreeding,0.9209,0.0032,0.0046,154.0,92.09,0.41027639848026126,common,41.027639848026126,,peak_abundance_with_occupancy_days_modifiers,0.9209
sonthr1,BE,0.9399209753255817,0.9317759579647928,1.5597791246243735,postbreeding_migration,0.985801395033994,0.0064612958241865,0.0072910115401818,112.0,98.5801395033994,0.39197749208983734,common,39.19774920898374,,peak_abundance_with_occupancy_days_modifiers,0.985801395033994
houspa,BE,0.8507623450752355,1.3414311502204408,1.3414311502204408,resident,0.7920272129657453,0.0016830076317795,0.0005080581866620948,365.0,79.20272129657452,0.3547954553004253,common,35.47954553004253,,peak_abundance_with_occupancy_days_modifiers,0.7920272129657453
cangoo,BE,0.8458273325543875,1.037881584753917,1.3299046233480294,postbreeding_migration,0.2138415943084831,0.0043218010811855,0.0014396413248992,147.0,21.38415943084831,0.3527373952271474,common,35.27373952271474,,peak_abundance_with_occupancy_days_modifiers,0.2138415943084831
brambl,BE,0.8335450734896368,0.7081292668209079,1.3014631514721082,postbreeding_migration,0.9402622141446808,0.0038405798203378,0.0012349205041604,91.0,94.02622141446808,0.34761529535728236,common,34.761529535728236,,peak_abundance_with_occupancy_days_modifiers,0.9402622141446808
winwre4,BE,0.7790037243196284,0.97175,1.1793,prebreeding_migration,0.9963,,,,99.63,0.32486978608140893,common,32.486978608140895,,peak_abundance_with_occupancy_days_modifiers,0.9963
gadwal,BE,0.774861191144763,0.7536958451492918,1.1702908506854883,nonbreeding,0.1559594290437461,0.0027745859088216,0.0034800483991948,140.0,15.59594290437461,0.32314221556494055,common,32.314221556494054,,peak_abundance_with_occupancy_days_modifiers,0.1559594290437461
grecor,BE,0.7583320866449937,0.661757735366162,1.134712733651725,nonbreeding,0.2290645170851729,0.0026077987419716,0.0016732468326193,133.0,22.906451708517288,0.3162490435873005,common,31.62490435873005,,peak_abundance_with_occupancy_days_modifiers,0.2290645170851729
eugplo,BE,0.7374413613524461,0.5859530717859206,1.090579627695594,nonbreeding,0.097231948889948,0.0052377713398199,0.0028665735619578,147.0,9.7231948889948,0.3075369344599624,common,30.753693445996237,,peak_abundance_with_occupancy_days_modifiers,0.097231948889948
combuz1,BE,0.7250425794695271,0.9520251615996314,1.0648190169931562,prebreeding_migration,0.9623800403783502,0.0038562063422713,0.006451428927837,105.0,96.23800403783503,0.30236624080058105,common,30.236624080058107,,peak_abundance_with_occupancy_days_modifiers,0.9623800403783502
eurcur,BE,0.7162424806305007,0.45019009334875304,1.0467281231349743,nonbreeding,0.129351755976484,0.0020624157296503,0.0039370514793706,182.0,12.9351755976484,0.29869631453697204,common,29.869631453697203,,peak_abundance_with_occupancy_days_modifiers,0.129351755976484
eurjay1,BE,0.708323832197109,1.030584803680261,1.030584803680261,resident,0.960559135010594,0.0021393482224499,0.0037664151230315,365.0,96.0559135010594,0.295393981643947,common,29.539398164394697,,peak_abundance_with_occupancy_days_modifiers,0.960559135010594
