species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
categr1,BF,1.1843298268065723,0.9869373472000826,2.268495629155294,prebreeding_migration,0.559772954012801,0.0112274297017515,0.0151833845054096,98.0,55.9772954012801,0.49390389990820827,common,49.39038999082083,,peak_abundance_with_occupancy_days_modifiers,0.559772954012801
combul2,BF,0.8489795753354366,1.3372606362556372,1.3372606362556372,resident,0.8640030928018271,0.0236141855510042,0.0158549968869672,365.0,86.40030928018271,0.35405198257247816,common,35.40519825724782,,peak_abundance_with_occupancy_days_modifiers,0.8640030928018271
litswi1,BF,0.8134603460699539,0.8095,1.2557,breeding,0.9971,0.0221,0.0215,84.0,99.71,0.33923931345034786,common,33.92393134503479,,peak_abundance_with_occupancy_days_modifiers,0.9971
blakit1,BF,0.6970395952752891,0.757525,1.0078,nonbreeding,0.9959,0.0152,0.0178,147.0,99.59,0.29068808933504264,common,29.068808933504265,,peak_abundance_with_occupancy_days_modifiers,0.9959
afghor1,BF,0.6058994119956651,0.8329,0.8329,resident,0.9345,0.0296,0.0727,365.0,93.45,0.2526796807470969,common,25.26796807470969,,peak_abundance_with_occupancy_days_modifiers,0.9345
orabis1,BF,0.5874532760008814,0.7994,0.7994,resident,0.9013,0.0719,0.1329,365.0,90.13,0.24498704454065534,common,24.498704454065535,,peak_abundance_with_occupancy_days_modifiers,0.9013
bkrwax,BF,0.570900988362054,0.7698609574056209,0.7698609574056209,resident,0.9386521402375824,0.1378024374170568,0.270275114416717,365.0,93.86521402375824,0.23808420444309322,common,23.808420444309323,,peak_abundance_with_occupancy_days_modifiers,0.9386521402375824
piecro1,BF,0.5065163521778923,0.6595,0.6595,resident,0.8695,0.0336,0.0493,365.0,86.95,0.21123372564423215,common,21.123372564423214,,peak_abundance_with_occupancy_days_modifiers,0.8695
barswa,BF,0.4399309449894429,0.3703,0.5526,prebreeding_migration,1.0,0.0058,0.0014,112.0,100.0,0.1834654540504759,fairly_common,18.34654540504759,,peak_abundance_with_occupancy_days_modifiers,1.0
yefcan,BF,0.439028824946305,0.5512,0.5512,resident,0.8491,0.0329,0.0654,365.0,84.91,0.1830892407715344,common,18.308924077153442,,peak_abundance_with_occupancy_days_modifiers,0.8491
rorpar,BF,0.4173278006506765,0.5179,0.5179,resident,0.9457,0.0475,0.0161,365.0,94.57,0.17403921071317274,common,17.403921071317274,,peak_abundance_with_occupancy_days_modifiers,0.9457
afpswi1,BF,0.36241270023051936,0.4367917839193627,0.4367917839193627,resident,0.7328435631219655,0.063268491080093,0.0508174251845034,365.0,73.28435631219655,0.15113783505965198,common,15.113783505965198,,peak_abundance_with_occupancy_days_modifiers,0.7328435631219655
vilwea1,BF,0.35013608041807814,0.4192606690382084,0.4192606690382084,resident,0.5993879571796812,0.0333471842543707,0.0114403207494798,365.0,59.93879571796812,0.14601808694066332,common,14.601808694066332,,peak_abundance_with_occupancy_days_modifiers,0.5993879571796812
comhom1,BF,0.2630008165003526,0.21106813856339954,0.3008277810776326,postbreeding_migration,0.2351284820981804,0.0166248017280499,0.0200167287792722,14.0,23.512848209818042,0.1096798594516714,rare,10.96798594516714,rare,peak_abundance_with_occupancy_days_modifiers,0.2351284820981804
pitwhy,BF,0.23023832379007655,0.2589,0.2589,resident,0.7482,0.0194,0.035,365.0,74.82,0.0960168387676856,common,9.60168387676856,,peak_abundance_with_occupancy_days_modifiers,0.7482
wfwduc1,BF,0.19449713272408808,0.2147,0.2147,resident,0.0446,0.0016,0.0032,365.0,4.46,0.08111160438508552,rare,8.111160438508552,rare,peak_abundance_with_occupancy_days_modifiers,0.0446
reedov1,BF,0.19037239498366548,0.2097,0.2097,resident,0.6484,0.0129,0.0058,365.0,64.84,0.0793914551411992,common,7.939145514119921,,peak_abundance_with_occupancy_days_modifiers,0.6484
litegr,BF,0.1840700273280715,0.1011,0.2021,nonbreeding,0.7315,0.0159,0.0046,84.0,73.15,0.07676316368615202,fairly_common,7.676316368615202,,peak_abundance_with_occupancy_days_modifiers,0.7315
spwlap1,BF,0.1770577271188556,0.1524,0.1937,nonbreeding,0.3438,0.0226,0.0172,77.0,34.38,0.07383880736051796,uncommon,7.383880736051795,,peak_abundance_with_occupancy_days_modifiers,0.3438
broman1,BF,0.17581439254406953,0.1922167537947996,0.1922167537947996,resident,0.4272557798747844,0.0246181453106841,0.0098490220002362,365.0,42.72557798747844,0.0733202965694545,uncommon,7.33202965694545,,peak_abundance_with_occupancy_days_modifiers,0.4272557798747844
comswi,BF,0.17134486608032248,0.0892,0.1869,nonbreeding,0.3282,0.0086,0.0039,98.0,32.82,0.07145635925974413,uncommon,7.145635925974412,,peak_abundance_with_occupancy_days_modifiers,0.3282
hoovul1,BF,0.1707549204224892,0.1862,0.1862,resident,0.6845,,,,68.45,0.0712103328112475,uncommon,7.12103328112475,,peak_abundance_with_occupancy_days_modifiers,0.6845
graher1,BF,0.16228890304371854,0.08354999999999999,0.1762,nonbreeding,0.8496,0.0131,0.0062,84.0,84.96000000000001,0.06767972933793956,uncommon,6.767972933793956,,peak_abundance_with_occupancy_days_modifiers,0.8496
norwhe,BF,0.1558064511381996,0.11253333333333333,0.1686,prebreeding_migration,0.698,,,,69.8,0.06497633691748839,uncommon,6.497633691748838,,peak_abundance_with_occupancy_days_modifiers,0.698
grbcam1,BF,0.15527328508208488,0.1679771082139584,0.1679771082139584,resident,0.8217627247233559,0.0221291219873033,0.0099669656551169,365.0,82.17627247233558,0.06475398940208058,fairly_common,6.475398940208057,,peak_abundance_with_occupancy_days_modifiers,0.8217627247233559
