species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,BG,3.3919749858000126,17.791075,28.7246,postbreeding_migration,0.6159,0.0057,0.017,140.0,61.59,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6159
comhom1,BG,1.9618574948156795,3.829454264554458,6.1125262833195375,breeding,0.9411337297010524,0.0180290605019264,0.0499135634277765,91.0,94.11337297010523,0.8181581226965636,abundant,81.81581226965636,,peak_abundance_with_occupancy_days_modifiers,0.9411337297010524
barswa,BG,1.8553600506376497,3.7739,5.394,postbreeding_migration,0.9394,0.0019,0.0061,140.0,93.94,0.7737452388704298,abundant,77.37452388704298,,peak_abundance_with_occupancy_days_modifiers,0.9394
comcha,BG,1.727985100496096,3.28065,4.6293,nonbreeding,0.9956,0.0103,0.0147,112.0,99.56,0.7206257588053535,common,72.06257588053535,,peak_abundance_with_occupancy_days_modifiers,0.9956
cowpig1,BG,1.7247646004037767,2.494775,4.6112,nonbreeding,0.9842,0.029,0.0292,112.0,98.42,0.7192827059502714,common,71.92827059502714,,peak_abundance_with_occupancy_days_modifiers,0.9842
gwfgoo,BG,1.668272698154993,2.6224666666666665,4.303,prebreeding_migration,0.1095,0.0025,0.0017,42.0,10.95,0.6957237528593565,common,69.57237528593565,,peak_abundance_with_occupancy_days_modifiers,0.1095
mallar3,BG,1.6538374997307848,2.4306,4.227,nonbreeding,0.1483,0.0017,0.0029,126.0,14.829999999999998,0.6897038075398254,common,68.97038075398254,,peak_abundance_with_occupancy_days_modifiers,0.1483
eubeat1,BG,1.4849172297249744,1.8798333333333332,3.4146,postbreeding_migration,0.9926,0.0082,0.0197,84.0,99.26,0.619258583379273,common,61.925858337927295,,peak_abundance_with_occupancy_days_modifiers,0.9926
fieldf,BG,1.4036184291280855,1.3706,3.0699,nonbreeding,0.9776,0.0011,0.0,49.0,97.76,0.5853543501464296,common,58.53543501464296,,peak_abundance_with_occupancy_days_modifiers,0.9776
eurgol,BG,1.153384524515089,1.4560499999999998,2.1689,nonbreeding,0.9874,0.01,0.0171,245.0,98.74000000000001,0.48099870649024484,common,48.09987064902448,,peak_abundance_with_occupancy_days_modifiers,0.9874
rook1,BG,1.0228465328937295,1.20355,1.7811,nonbreeding,0.35,0.0043,0.0066,217.0,35.0,0.42656013567267104,common,42.6560135672671,,peak_abundance_with_occupancy_days_modifiers,0.35
gretit1,BG,0.9835006815668851,1.6738,1.6738,resident,0.9914,,,,99.14,0.4101516412012142,common,41.01516412012142,,peak_abundance_with_occupancy_days_modifiers,0.9914
corbun1,BG,0.9258053242427405,1.2625000000000002,1.5239,nonbreeding,0.5492,0.0154,0.0349,91.0,54.92,0.38609080836224985,common,38.60908083622498,,peak_abundance_with_occupancy_days_modifiers,0.5492
hoocro1,BG,0.9209598147224176,0.8808750000000001,1.5117,nonbreeding,0.8705,0.023,0.0175,168.0,87.05000000000001,0.38407007393932063,common,38.40700739393206,,peak_abundance_with_occupancy_days_modifiers,0.8705
eurcoo,BG,0.920521768401971,0.81015,1.5106,nonbreeding,0.0813,0.0022,0.0035,154.0,8.129999999999999,0.3838873944347502,common,38.38873944347502,,peak_abundance_with_occupancy_days_modifiers,0.0813
eurbla,BG,0.8153648132841945,1.08535,1.26,breeding,0.9745,0.0135,0.0159,119.0,97.45,0.3400335379670916,common,34.00335379670916,,peak_abundance_with_occupancy_days_modifiers,0.9745
grecor,BG,0.7963804352015975,0.7954,1.2175,postbreeding_migration,0.123,0.0018,0.0054,98.0,12.3,0.33211643737560426,common,33.21164373756042,,peak_abundance_with_occupancy_days_modifiers,0.123
gnwtea,BG,0.7914528693440686,0.5821,1.2066,nonbreeding,0.1059,0.0014,0.0021,147.0,10.59,0.3300614828021385,common,33.00614828021385,,peak_abundance_with_occupancy_days_modifiers,0.1059
yellow2,BG,0.7689501439754459,0.564025,1.1575,nonbreeding,0.8745,0.019,0.0138,112.0,87.45,0.3206771174280987,common,32.06771174280987,,peak_abundance_with_occupancy_days_modifiers,0.8745
eursis,BG,0.752924384595806,0.465425,1.1232,nonbreeding,0.9756,0.0127,0.0114,154.0,97.56,0.3139938566696179,common,31.399385666961788,,peak_abundance_with_occupancy_days_modifiers,0.9756
whiwag,BG,0.7369726600999749,0.43629999999999997,1.0896,postbreeding_migration,0.9673,0.0032,0.0034,112.0,96.73,0.30734147085578073,common,30.734147085578073,,peak_abundance_with_occupancy_days_modifiers,0.9673
yelgul1,BG,0.72880385776798,0.9254,1.0726,breeding,0.0969,0.0221,0.0303,238.0,9.69,0.30393481568419695,common,30.393481568419695,,peak_abundance_with_occupancy_days_modifiers,0.0969
spaspa1,BG,0.7210055086883417,0.54825,1.0565,breeding,0.4571,,,,45.71,0.30068265151835427,common,30.068265151835426,,peak_abundance_with_occupancy_days_modifiers,0.4571
eutspa,BG,0.6858707715891691,0.9855,0.9855,resident,0.6107,0.005,0.0024,365.0,61.07,0.2860303280838242,common,28.603032808382423,,peak_abundance_with_occupancy_days_modifiers,0.6107
combuz1,BG,0.673301552339239,0.73915,0.9607,postbreeding_migration,0.9933,0.0111,0.0294,154.0,99.33,0.2807885565216902,fairly_common,28.078855652169022,,peak_abundance_with_occupancy_days_modifiers,0.9933
rebshr1,BG,0.6447444413317779,0.6966333333333333,0.9055,breeding,0.9774,0.0043,0.0126,49.0,97.74000000000001,0.26887931622608097,fairly_common,26.887931622608097,,peak_abundance_with_occupancy_days_modifiers,0.9774
houspa,BG,0.6358887617196634,0.8887,0.8887,resident,0.5863,0.0034,0.0018,365.0,58.63,0.2651862109797539,common,26.51862109797539,,peak_abundance_with_occupancy_days_modifiers,0.5863
