species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
houspa,BH,2.8685727646306276,16.611863978419425,16.611863978419425,resident,0.6711519515697605,7.625381734049004e-05,0.0003364017014480017,365.0,67.11519515697604,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6711519515697605
bkhgul,BH,3.45914062639023,10.909742023064712,30.789645590127996,nonbreeding,0.6329563120495302,0.0010810911564879,0.0017117607482203,112.0,63.29563120495302,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6329563120495302
grefla3,BH,2.265707071426389,4.45807774782204,8.637936902227642,nonbreeding,0.4069845451904493,0.0014517835913324,0.0011944806379478,126.0,40.69845451904493,0.9448732382637728,abundant,94.48732382637728,,peak_abundance_with_occupancy_days_modifiers,0.4069845451904493
eucdov,BH,2.125633462738631,7.3782030869725395,7.3782030869725395,resident,0.6056737123922229,7.411759992521467e-05,0.0003573132789174032,365.0,60.56737123922229,0.8864580062572929,abundant,88.6458006257293,,peak_abundance_with_occupancy_days_modifiers,0.6056737123922229
grecor,BH,2.007820879869163,1.792390538324081,6.447071589402552,nonbreeding,0.6798105417635226,0.00041380801327347286,0.0005083131283141294,133.0,67.98105417635226,0.8373263430833713,abundant,83.73263430833713,,peak_abundance_with_occupancy_days_modifiers,0.6798105417635226
dunlin,BH,1.985828795446377,2.879469574733849,6.285082727466953,nonbreeding,0.4146955147910715,0.0011937860295619,0.0011733692881209,161.0,41.469551479107146,0.828154931524133,abundant,82.8154931524133,,peak_abundance_with_occupancy_days_modifiers,0.4146955147910715
lbbgul,BH,1.8521012321003403,2.69705348387998,5.373197029236271,nonbreeding,0.6835218439752349,0.0018061710472885,0.0021479873254494,140.0,68.35218439752349,0.7723862059825979,abundant,77.23862059825979,,peak_abundance_with_occupancy_days_modifiers,0.6835218439752349
kenplo1,BH,1.668406728471536,2.5600507631633067,4.303710810402635,postbreeding_migration,0.4833758242309098,0.0008229447603451774,0.002017893792332,98.0,48.33758242309098,0.6957796478427878,common,69.57796478427878,,peak_abundance_with_occupancy_days_modifiers,0.4833758242309098
rocpig,BH,1.1495034416597947,2.1566250719541507,2.1566250719541507,resident,0.2782825165045348,4.6044339796393735e-05,7.008550065872864e-05,365.0,27.828251650453478,0.4793801692257857,common,47.93801692257857,,peak_abundance_with_occupancy_days_modifiers,0.2782825165045348
graher1,BH,1.0217865255292502,0.7189654590625207,1.778153575410416,nonbreeding,0.3874129151337642,0.00016948626564465652,0.0005932083989640269,168.0,38.74129151337642,0.4261180782665349,common,42.61180782665349,,peak_abundance_with_occupancy_days_modifiers,0.3874129151337642
litsti,BH,0.9927876850616979,0.900664709917236,1.6987472532536374,nonbreeding,0.3601303154764568,0.0003583159151985667,0.0007292904556131646,126.0,36.01303154764568,0.41402462247782135,common,41.40246224778213,,peak_abundance_with_occupancy_days_modifiers,0.3601303154764568
whiwag,BH,0.9268206454563253,0.9318842317002597,1.5264638705668012,nonbreeding,0.5129128735573779,9.06568474370634e-05,0.00014316199745251443,77.0,51.29128735573779,0.38651423019601483,common,38.65142301960148,,peak_abundance_with_occupancy_days_modifiers,0.5129128735573779
comred1,BH,0.8681181288064748,0.6431066879281421,1.382423218647308,nonbreeding,0.4233541049848337,0.0005841370379248892,0.0011943208119053,168.0,42.33541049848337,0.36203337929490603,common,36.2033379294906,,peak_abundance_with_occupancy_days_modifiers,0.4233541049848337
comred,BH,0.8681181288064748,0.6431066879281421,1.382423218647308,nonbreeding,0.4233541049848337,0.0005841370379248892,0.0011943208119053,168.0,42.33541049848337,0.36203337929490603,common,36.2033379294906,,peak_abundance_with_occupancy_days_modifiers,0.4233541049848337
commyn,BH,0.809941722172309,1.2477769872993754,1.2477769872993754,resident,0.3328477158191495,0.00010091702139275416,0.00010776796558836292,365.0,33.28477158191495,0.33777193331179056,common,33.777193331179056,,peak_abundance_with_occupancy_days_modifiers,0.3328477158191495
crelar1,BH,0.6868737362505548,0.791562545456049,0.9874923853141944,nonbreeding,0.6438693519124531,0.0001021396526039985,8.453038124828092e-05,161.0,64.38693519124531,0.2864485968350759,fairly_common,28.64485968350759,,peak_abundance_with_occupancy_days_modifiers,0.6438693519124531
rudtur,BH,0.678594395411947,0.5791547812179622,0.9711051896395436,postbreeding_migration,0.6998914037696193,0.0017873442907725,0.0015025658508205,154.0,69.98914037696193,0.28299584352573487,fairly_common,28.299584352573486,,peak_abundance_with_occupancy_days_modifiers,0.6998914037696193
renpha,BH,0.6497854442334687,0.6106337664859595,0.9151298827700246,prebreeding_migration,0.25345358319977,6.067458710248366e-05,3.190848922733687e-05,70.0,25.345358319977002,0.2709815777213496,fairly_common,27.09815777213496,,peak_abundance_with_occupancy_days_modifiers,0.25345358319977
batgod,BH,0.6367651054441721,0.6762201088242588,0.8903558758447092,nonbreeding,0.420152034722533,0.0035110346804241,0.0016469535774529,147.0,42.0152034722533,0.26555167469889546,fairly_common,26.555167469889547,,peak_abundance_with_occupancy_days_modifiers,0.420152034722533
werher,BH,0.6329913210369539,0.8832355241028834,0.8832355241028834,resident,0.4560932245736025,0.0026438143278181,0.0034806318026144,365.0,45.60932245736025,0.2639778843628337,fairly_common,26.39778843628337,,peak_abundance_with_occupancy_days_modifiers,0.4560932245736025
palswi3,BH,0.6224092601923373,0.39467421496512584,0.8634120826194691,prebreeding_migration,0.3546737955449954,0.0022339800117577,0.0103562653248419,105.0,35.46737955449954,0.25956482222260635,fairly_common,25.956482222260636,,peak_abundance_with_occupancy_days_modifiers,0.3546737955449954
categr1,BH,0.5582627106560413,0.4010816030653982,0.7476337160046574,nonbreeding,0.221978499477611,3.1995379539036824e-05,2.9775163963359944e-05,126.0,22.1978499477611,0.23281363326787094,fairly_common,23.281363326787094,,peak_abundance_with_occupancy_days_modifiers,0.221978499477611
rebshr1,BH,0.5287547431674454,0.3527814146707566,0.6968180182436762,prebreeding_migration,0.9017826412336936,8.429310121563173e-05,0.00017028539799103864,84.0,90.17826412336936,0.22050785502003292,fairly_common,22.050785502003293,,peak_abundance_with_occupancy_days_modifiers,0.9017826412336936
comter,BH,0.5115090521035179,0.2869989047015531,0.6678061032131409,prebreeding_migration,0.6111302323236844,8.954804493667209e-05,2.957536337411352e-05,140.0,61.113023232368434,0.21331584323387945,fairly_common,21.331584323387943,,peak_abundance_with_occupancy_days_modifiers,0.6111302323236844
barswa,BH,0.486663127645713,0.3378908453795872,0.6268784666774996,prebreeding_migration,0.4583476742427632,1.955772077116093e-05,7.904150622710587e-06,119.0,45.834767424276315,0.20295428794009493,fairly_common,20.295428794009492,,peak_abundance_with_occupancy_days_modifiers,0.4583476742427632
