species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
whwter,BI,2.343895233351077,6.239114640356813,9.421752760409834,postbreeding_migration,0.0749497780733282,0.0014084038032784,0.0066750435590019,119.0,7.49497780733282,0.9774802344122916,abundant,97.74802344122917,,peak_abundance_with_occupancy_days_modifiers,0.0749497780733282
lesfla1,BI,2.2049279770030705,6.578172976733892,8.069598324680138,breeding,0.131674815393964,0.0063110550373711,0.0023257842796677,133.0,13.1674815393964,0.9195263871678161,abundant,91.9526387167816,,peak_abundance_with_occupancy_days_modifiers,0.131674815393964
combul2,BI,1.5118469354450128,3.5350990993490843,3.5350990993490843,resident,0.9878831324697908,0.0026148668627091,0.004059177382621,365.0,98.78831324697907,0.6304891429560517,common,63.04891429560517,,peak_abundance_with_occupancy_days_modifiers,0.9878831324697908
spemou2,BI,1.3522541467537217,2.866130541434591,2.866130541434591,resident,0.935954845166096,0.0130682819470864,0.0324424170097398,365.0,93.59548451660959,0.5639337806340583,common,56.393378063405834,,peak_abundance_with_occupancy_days_modifiers,0.935954845166096
broman1,BI,1.1866510669151489,2.2760914047032235,2.2760914047032235,resident,0.8253429028455301,0.0062985140118203,0.0154464208092683,365.0,82.53429028455301,0.4948719322217578,common,49.487193222175776,,peak_abundance_with_occupancy_days_modifiers,0.8253429028455301
barswa,BI,1.1221615279206085,1.6704399186405225,2.0714861361979406,postbreeding_migration,0.9051166257515318,0.0005892710705884443,0.00032665598912668374,126.0,90.51166257515318,0.4679777055530175,common,46.797770555301746,,peak_abundance_with_occupancy_days_modifiers,0.9051166257515318
vilwea1,BI,0.8355989466533194,1.3061949224414533,1.3061949224414533,resident,0.6172210789791598,0.003375116236429,0.0035031513224076,365.0,61.722107897915976,0.34847182699441503,common,34.847182699441504,,peak_abundance_with_occupancy_days_modifiers,0.6172210789791598
eubeat1,BI,0.7564773662871667,0.833010735979656,1.1307571079102456,postbreeding_migration,0.980047592726924,0.0022686142367507,0.0009917456009971262,105.0,98.0047592726924,0.3154755651210526,common,31.547556512105263,,peak_abundance_with_occupancy_days_modifiers,0.980047592726924
reedov1,BI,0.6584562078278974,0.9318077215452876,0.9318077215452876,resident,0.7587251414013719,0.0026694156329109,0.0034093885663911,365.0,75.8725141401372,0.2745975669986086,common,27.45975669986086,,peak_abundance_with_occupancy_days_modifiers,0.7587251414013719
lessts1,BI,0.6050612914116672,0.502850295998677,0.8313644523585197,postbreeding_migration,0.6542157926892411,0.0026680796502324,0.0051313679700004,168.0,65.42157926892412,0.25233015731565034,fairly_common,25.233015731565033,,peak_abundance_with_occupancy_days_modifiers,0.6542157926892411
rindov,BI,0.5615093878046282,0.7533169392578474,0.7533169392578474,resident,0.7056242616057686,0.002519339895324,0.000731851873405378,365.0,70.56242616057686,0.23416760280332863,common,23.416760280332863,,peak_abundance_with_occupancy_days_modifiers,0.7056242616057686
categr1,BI,0.5384514238532823,0.49230159839184534,0.7133515513965886,nonbreeding,0.1980443513248279,0.0004997210983436954,0.0005074161671769099,140.0,19.80443513248279,0.2245516849553248,fairly_common,22.45516849553248,,peak_abundance_with_occupancy_days_modifiers,0.1980443513248279
