species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
colpra,BJ,1.3766748462310539,1.5355269548061472,2.961706418574127,nonbreeding,0.2821134808575049,0.0017566379093662,0.0204413427837868,28.0,28.211348085750487,0.574118003337343,rare,57.4118003337343,rare,peak_abundance_with_occupancy_days_modifiers,0.2821134808575049
categr1,BJ,1.3504449520908848,1.4363698899724309,2.8591422821600427,prebreeding_migration,0.837604788982458,0.0090024784452931,0.0101046349067731,140.0,83.76047889824581,0.5631792878572633,common,56.31792878572634,,peak_abundance_with_occupancy_days_modifiers,0.837604788982458
combul2,BJ,1.1866746461655406,2.2761686533934906,2.2761686533934906,resident,0.9930137751035946,0.0120000420281284,0.0119323053360256,365.0,99.30137751035946,0.4948817655329367,common,49.48817655329367,,peak_abundance_with_occupancy_days_modifiers,0.9930137751035946
litswi1,BJ,0.9004865003291879,0.8885000000000001,1.4608,breeding,0.9982,0.009,0.0106,84.0,99.82,0.3755320386775315,common,37.55320386775315,,peak_abundance_with_occupancy_days_modifiers,0.9982
vilwea1,BJ,0.7609976456776558,1.1404105269896327,1.1404105269896327,resident,0.831138818867838,0.02242125139736,0.0150886512478919,365.0,83.1138818867838,0.31736066804517404,common,31.736066804517403,,peak_abundance_with_occupancy_days_modifiers,0.831138818867838
broman1,BJ,0.5764175219910306,0.7796514348159455,0.7796514348159455,resident,0.747742377201414,0.0260518852033876,0.0241558391302785,365.0,74.7742377201414,0.24038477765475755,common,24.038477765475754,,peak_abundance_with_occupancy_days_modifiers,0.747742377201414
spepig1,BJ,0.5398044715336359,0.7156713667953435,0.7156713667953435,resident,0.605797431399709,0.0186249721906098,0.0188433822171295,365.0,60.5797431399709,0.22511594966517362,common,22.51159496651736,,peak_abundance_with_occupancy_days_modifiers,0.605797431399709
afghor1,BJ,0.5208155577953387,0.6834,0.6834,resident,0.9571,0.0129,0.0254,365.0,95.71,0.21719695755834284,common,21.719695755834284,,peak_abundance_with_occupancy_days_modifiers,0.9571
reedov1,BJ,0.5095417386841982,0.6645282312434243,0.6645282312434243,resident,0.4168121445962832,0.0066950769269019,0.0111006168824178,365.0,41.68121445962832,0.2124954098139395,fairly_common,21.24954098139395,,peak_abundance_with_occupancy_days_modifiers,0.4168121445962832
orabis1,BJ,0.4990053326685982,0.6470821568352223,0.6470821568352223,resident,0.9584033612672348,0.0377765615920427,0.0525248095633424,365.0,95.84033612672349,0.20810138721623708,common,20.81013872162371,,peak_abundance_with_occupancy_days_modifiers,0.9584033612672348
wfwduc1,BJ,0.45893851781554756,0.5823934107881436,0.5823934107881436,resident,0.1508310714378123,0.0020717962678829,0.0039408132107069,365.0,15.08310714378123,0.1913922276013169,fairly_common,19.13922276013169,,peak_abundance_with_occupancy_days_modifiers,0.1508310714378123
fotdro5,BJ,0.39761018438504875,0.4882637683610464,0.4882637683610464,resident,0.731138042868312,0.011199053744526,0.0082390648062075,365.0,73.1138042868312,0.16581632604873242,common,16.581632604873242,,peak_abundance_with_occupancy_days_modifiers,0.731138042868312
corplo,BJ,0.39220916005458084,0.3953856919106462,0.4802472876291432,nonbreeding,0.1849822658796719,0.0022673614517257,0.0037763769916901,70.0,18.49822658796719,0.16356392395605684,fairly_common,16.356392395605685,,peak_abundance_with_occupancy_days_modifiers,0.1849822658796719
bkwsti,BJ,0.33692612635338987,0.26281324518419585,0.4006355898579911,prebreeding_migration,0.1156144260529954,0.0005270867125885104,0.0003675509581144512,91.0,11.56144260529954,0.14050910820646198,fairly_common,14.050910820646198,,peak_abundance_with_occupancy_days_modifiers,0.1156144260529954
