species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
laugul,BL,2.4095595213041654,4.800112636316389,10.129057952335902,breeding,1.0,0.0003255056963496861,0.000252385016363811,119.0,100.0,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,1.0
zendov,BL,1.337122198296167,2.808068854468209,2.808068854468209,resident,0.6428571428571429,0.0007083825265643448,0.0038433777544864,365.0,64.28571428571429,0.5576232679818958,common,55.76232679818958,,peak_abundance_with_occupancy_days_modifiers,0.6428571428571429
leater1,BL,1.2787337963060172,1.0679420278895468,2.592088529041835,breeding,0.7142857142857143,0.0005192300560026704,0.0005356998860439901,56.0,71.42857142857143,0.5332734130685034,common,53.32734130685034,,peak_abundance_with_occupancy_days_modifiers,0.7142857142857143
banana,BL,1.2136117353034628,2.3656184503010342,2.3656184503010342,resident,0.6428571428571429,1.8915868522103196e-05,0.00025384033932308506,365.0,64.28571428571429,0.5061154042341325,common,50.611540423413246,,peak_abundance_with_occupancy_days_modifiers,0.6428571428571429
whwdov,BL,1.0200472808411558,0.9560859783419542,1.7733258860451837,postbreeding_migration,0.6428571428571429,6.331518298087882e-05,4.205800510806513e-05,98.0,64.28571428571429,0.42539275689498696,common,42.539275689498695,,peak_abundance_with_occupancy_days_modifiers,0.6428571428571429
magfri,BL,0.958625270146863,1.2835936626153335,1.608108563082559,breeding,1.0,0.0003627036969869686,9.493746173506396e-05,140.0,100.0,0.39977778888906046,common,39.977778888906045,,peak_abundance_with_occupancy_days_modifiers,1.0
barswa,BL,0.8595702895435189,0.4115221235136102,1.3621454369941992,postbreeding_migration,1.0,5.042570500738457e-06,7.513259811133213e-07,140.0,100.0,0.35846865344556544,common,35.84686534455655,,peak_abundance_with_occupancy_days_modifiers,1.0
grykin,BL,0.8434972726783551,1.167627497443131,1.3244821258953638,breeding,0.6428571428571429,0.0003219805380652547,0.00037404103423357407,98.0,64.28571428571429,0.351765684784884,common,35.1765684784884,,peak_abundance_with_occupancy_days_modifiers,0.6428571428571429
whcpin,BL,0.6518122903185332,0.741598014320646,0.9190154927117484,nonbreeding,0.6428571428571429,0.00011009039644774988,0.0001803446084159914,154.0,64.28571428571429,0.2718268381912529,fairly_common,27.18268381912529,,peak_abundance_with_occupancy_days_modifiers,0.6428571428571429
bknsti,BL,0.5364834462172752,0.34381324438644306,0.7099830295358386,nonbreeding,0.5,2.702754879437827e-05,1.4928759880005197e-05,77.0,50.0,0.22373097453551127,fairly_common,22.37309745355113,,peak_abundance_with_occupancy_days_modifiers,0.5
royter1,BL,0.5149140834398135,0.3175105612192835,0.6734947147113937,breeding,1.0,0.0003747624273897797,2.945750950664184e-05,84.0,100.0,0.2147358515949293,fairly_common,21.47358515949293,,peak_abundance_with_occupancy_days_modifiers,1.0
brnpel,BL,0.4928114964858169,0.4770090452262334,0.636911928653717,breeding,0.8571428571428571,0.0003660098822668212,2.9802851798617315e-05,161.0,85.71428571428571,0.20551835690084178,fairly_common,20.55183569008418,,peak_abundance_with_occupancy_days_modifiers,0.8571428571428571
sposan,BL,0.34699345276736326,0.28591623108479236,0.4148074622665132,postbreeding_migration,0.6428571428571429,5.343355092662683e-05,8.11745124688521e-05,147.0,64.28571428571429,0.14470750941612975,fairly_common,14.470750941612975,,peak_abundance_with_occupancy_days_modifiers,0.6428571428571429
whcpig2,BL,0.28942780206098956,0.3356630057096481,0.3356630057096481,resident,0.6428571428571429,0.0009621552277100704,0.00033263030293794333,365.0,64.28571428571429,0.12070076843815788,common,12.070076843815789,,peak_abundance_with_occupancy_days_modifiers,0.6428571428571429
semplo,BL,0.24383043200070734,0.23031754951391897,0.2761279216834477,postbreeding_migration,0.5714285714285714,3.305785123966942e-05,2.9712333124778403e-05,56.0,57.14285714285714,0.10168518815926202,fairly_common,10.168518815926202,,peak_abundance_with_occupancy_days_modifiers,0.5714285714285714
comgal1,BL,0.24013091179631338,0.240644667829786,0.2714155827249799,nonbreeding,0.1428571428571428,1.1609143361311368e-05,2.5130663462298648e-05,133.0,14.28571428571428,0.10014236840130136,fairly_common,10.014236840130136,,peak_abundance_with_occupancy_days_modifiers,0.1428571428571428
grnher,BL,0.239681550899285,0.1831071942911616,0.2708443866244384,breeding,0.6428571428571429,4.7658384698481285e-05,0.00010243093738490922,119.0,64.28571428571429,0.09995497035180102,fairly_common,9.995497035180103,,peak_abundance_with_occupancy_days_modifiers,0.6428571428571429
stisan,BL,0.22531882193786457,0.20665329441960367,0.2527220478015287,nonbreeding,0.4285714285714285,0.00012519300588407128,8.185038920463224e-05,70.0,42.85714285714285,0.09396524714564156,fairly_common,9.396524714564155,,peak_abundance_with_occupancy_days_modifiers,0.4285714285714285
yelwar,BL,0.19119870473155756,0.14415,0.2107,breeding,0.5333,0.0,0.0,98.0,53.33,0.07973605307141984,fairly_common,7.973605307141984,,peak_abundance_with_occupancy_days_modifiers,0.5333
ycnher,BL,0.1911693001790915,0.14139395017575998,0.2106644004317266,breeding,0.6428571428571429,0.0001912167760851552,0.00022693286508544572,126.0,64.28571428571429,0.07972379042058614,fairly_common,7.972379042058614,,peak_abundance_with_occupancy_days_modifiers,0.6428571428571429
scnpig1,BL,0.19093064427990583,0.210375502705574,0.210375502705574,resident,0.6428571428571429,0.0005844155844155844,0.00021607411619282383,365.0,64.28571428571429,0.07962426318022124,common,7.962426318022124,,peak_abundance_with_occupancy_days_modifiers,0.6428571428571429
amekes,BL,0.18762525162042598,0.16226916400981797,0.2063813411763736,prebreeding_migration,0.6428571428571429,6.136797396361424e-06,8.291927693471932e-06,98.0,64.28571428571429,0.07824580737484216,fairly_common,7.824580737484216,,peak_abundance_with_occupancy_days_modifiers,0.6428571428571429
buwtea,BL,0.16362353839824323,0.10155569841819145,0.1777708461242062,postbreeding_migration,0.4285714285714285,2.816438613373389e-05,5.0226765041431525e-06,84.0,42.85714285714285,0.06823631551151638,uncommon,6.823631551151638,,peak_abundance_with_occupancy_days_modifiers,0.4285714285714285
lesyel,BL,0.16115114326519264,0.10488100323293889,0.1748625279537269,prebreeding_migration,0.4285714285714285,1.1415872629303784e-05,5.576182994746769e-06,70.0,42.85714285714285,0.06720524665663458,uncommon,6.720524665663458,,peak_abundance_with_occupancy_days_modifiers,0.4285714285714285
santer1,BL,0.15377053837517501,0.08481579107631525,0.1662232525912778,postbreeding_migration,0.8571428571428571,0.00015097188148707302,1.4916662848351378e-05,91.0,85.71428571428571,0.06412729534919302,uncommon,6.412729534919302,,peak_abundance_with_occupancy_days_modifiers,0.8571428571428571
killde,BL,0.1508977587262844,0.11055524801901938,0.1628777579005275,nonbreeding,0.5,4.128332153809861e-05,5.571722326912321e-06,98.0,50.0,0.06292925318218134,uncommon,6.292925318218135,,peak_abundance_with_occupancy_days_modifiers,0.5
peethr1,BL,0.1440830170722606,0.1549799876021487,0.1549799876021487,resident,0.5,0.0043451272501551,0.0010048323846213,365.0,50.0,0.06008728517326533,uncommon,6.008728517326533,,peak_abundance_with_occupancy_days_modifiers,0.5
eucdov,BL,0.1316206513404765,0.1406755234513964,0.1406755234513964,resident,0.1428571428571428,1.3354522509047688e-06,5.204282615065965e-07,365.0,14.28571428571428,0.054890074989335826,uncommon,5.489007498933582,,peak_abundance_with_occupancy_days_modifiers,0.1428571428571428
roster,BL,0.11258961637811882,0.0471770334988832,0.1191725486091205,breeding,0.2857142857142857,1.2917810431131922e-05,5.62994380595172e-06,49.0,28.57142857142857,0.04695351696770534,uncommon,4.695351696770534,,peak_abundance_with_occupancy_days_modifiers,0.2857142857142857
greegr,BL,0.10009977813500956,0.0765544258590255,0.1052811954702649,nonbreeding,0.1428571428571428,2.70226449764903e-06,1.0162100050808674e-06,84.0,14.28571428571428,0.04174484985667948,uncommon,4.174484985667948,,peak_abundance_with_occupancy_days_modifiers,0.1428571428571428
snoegr,BL,0.0944742260104122,0.03986964481217515,0.0990808350699288,breeding,0.1428571428571428,6.380704748839509e-06,3.129787611062334e-06,49.0,14.28571428571428,0.039398812401076934,uncommon,3.9398812401076935,,peak_abundance_with_occupancy_days_modifiers,0.1428571428571428
osprey,BL,0.08901447347154794,0.043752658164261646,0.0930964771125997,nonbreeding,0.5714285714285714,3.895085862298977e-05,2.6937947409449635e-05,56.0,57.14285714285714,0.03712191874320977,uncommon,3.7121918743209767,,peak_abundance_with_occupancy_days_modifiers,0.5714285714285714
