species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,BM,2.708032708505308,9.935409907909001,13.999737613341388,nonbreeding,0.8529411764705882,3.917214401301055e-05,1.667121296159818e-05,126.0,85.29411764705883,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8529411764705882
grekis,BM,2.2716803932410325,8.695679687401828,8.695679687401828,resident,0.6470588235294118,1.993614994884565e-05,0.00019599806452058613,365.0,64.70588235294117,0.94736430694488,abundant,94.736430694488,,peak_abundance_with_occupancy_days_modifiers,0.6470588235294118
houspa,BM,2.073952823530595,6.956210538744927,6.956210538744927,resident,0.5,1.0539145486083987e-05,2.613407892447251e-05,365.0,50.0,0.8649055056980319,abundant,86.49055056980319,,peak_abundance_with_occupancy_days_modifiers,0.5
greshe,BM,1.399699264071994,3.0539806058814114,3.0539806058814114,nonbreeding,0.4744090673478741,2.0005628250081023e-05,1.28234441979729e-05,28.0,47.44090673478741,0.5837199313707013,rare,58.371993137070135,rare,peak_abundance_with_occupancy_days_modifiers,0.4744090673478741
moudov,BM,1.3766976179174546,2.634681926273248,2.9617966343374813,postbreeding_migration,0.5882352941176471,4.188832572362083e-05,6.009013287457041e-05,112.0,58.82352941176471,0.5741274998681795,common,57.41274998681794,,peak_abundance_with_occupancy_days_modifiers,0.5882352941176471
manshe,BM,1.0840753320117542,1.9567045842627315,1.9567045842627315,prebreeding_migration,0.5692908808174489,8.845600051107912e-05,2.912115769725678e-05,35.0,56.929088081744894,0.4520945281928957,common,45.20945281928957,,peak_abundance_with_occupancy_days_modifiers,0.5692908808174489
whevir,BM,1.0835878285471348,1.6267816309324084,1.955263531821616,postbreeding_migration,0.5882352941176471,0.0001731496792402192,0.0016155077168304,112.0,58.82352941176471,0.4518912234572177,common,45.18912234572177,,peak_abundance_with_occupancy_days_modifiers,0.5882352941176471
eurgol,BM,1.068805789085445,1.4085999999999999,1.9119,nonbreeding,0.6579,0.0,0.0,245.0,65.79,0.4457266341903817,common,44.57266341903817,,peak_abundance_with_occupancy_days_modifiers,0.6579
lbbgul,BM,0.9406590758077539,0.777690812991019,1.5616691962761038,nonbreeding,0.8235294117647058,0.0004037199913488573,0.0001158197585953967,133.0,82.35294117647058,0.392285303899029,common,39.2285303899029,,peak_abundance_with_occupancy_days_modifiers,0.8235294117647058
bkbplo,BM,0.8530369099419148,0.6032174735186281,1.34676294871451,nonbreeding,0.1605095523278341,8.02932119174019e-05,0.00010268525564957276,140.0,16.05095523278341,0.35574402252622617,common,35.57440225262262,,peak_abundance_with_occupancy_days_modifiers,0.1605095523278341
rocpig,BM,0.7113851442979711,1.0368105821749742,1.0368105821749742,resident,0.4411764705882353,1.3542452881292276e-05,6.250972875572587e-06,365.0,44.11764705882353,0.2966706479502654,common,29.667064795026537,,peak_abundance_with_occupancy_days_modifiers,0.4411764705882353
grycat,BM,0.6563232466625937,0.798453682796876,0.9276916419758516,nonbreeding,0.5294117647058824,0.00010610329745469978,0.0004141634519076573,119.0,52.94117647058824,0.2737080531030269,fairly_common,27.370805310302693,,peak_abundance_with_occupancy_days_modifiers,0.5294117647058824
amecro,BM,0.6022234406866207,0.6609788413214333,0.8261746808009989,nonbreeding,0.6470588235294118,5.095718438393922e-05,1.2982922589310048e-05,126.0,64.70588235294117,0.2511466816412792,fairly_common,25.114668164127917,,peak_abundance_with_occupancy_days_modifiers,0.6470588235294118
