species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,BN,2.11306972265982,2.244825,7.2736,nonbreeding,0.9555,0.0002,0.0005,154.0,95.55,0.8812185196869936,abundant,88.12185196869936,,peak_abundance_with_occupancy_days_modifiers,0.9555
pltswi1,BN,1.8218264003747862,5.1831410345917055,5.1831410345917055,resident,0.9068477925174409,0.007514911228902,0.0110425981750128,365.0,90.68477925174409,0.7597606205081235,abundant,75.97606205081236,,peak_abundance_with_occupancy_days_modifiers,0.9068477925174409
asgsta1,BN,0.7511802118105547,1.1195,1.1195,resident,0.2712,0.0057,0.0075,365.0,27.12,0.3132664801219275,common,31.32664801219275,,peak_abundance_with_occupancy_days_modifiers,0.2712
yevbul1,BN,0.6586556470092153,0.93219303811807,0.93219303811807,resident,0.3771453861289757,0.0020492533531069,0.0023485518325361,365.0,37.71453861289757,0.27468073959733724,fairly_common,27.468073959733726,,peak_abundance_with_occupancy_days_modifiers,0.3771453861289757
categr2,BN,0.6495205065270961,0.5557914601910419,0.9146225598589298,postbreeding_migration,0.7339731961310408,0.0009442473211946724,0.00018878794545763904,126.0,73.39731961310409,0.27087109011608274,fairly_common,27.087109011608273,,peak_abundance_with_occupancy_days_modifiers,0.7339731961310408
pacswa1,BN,0.6126418659002952,0.8453,0.8453,resident,0.9467,0.0033,0.0029,365.0,94.67,0.25549150242301255,common,25.549150242301256,,peak_abundance_with_occupancy_days_modifiers,0.9467
ashtai1,BN,0.5555827893619404,0.7429564653260194,0.7429564653260194,resident,0.956002313571463,0.0053890707826836,0.0077367373523609,365.0,95.6002313571463,0.2316960192817633,common,23.16960192817633,,peak_abundance_with_occupancy_days_modifiers,0.956002313571463
eutspa,BN,0.5376622777195503,0.712,0.712,resident,0.2364,0.0001,0.0001,365.0,23.64,0.22422258545599133,fairly_common,22.42225854559913,,peak_abundance_with_occupancy_days_modifiers,0.2364
chemun,BN,0.47137768479887937,0.6022,0.6022,resident,0.2396,0.0037,0.0046,365.0,23.96,0.19657976315570122,fairly_common,19.65797631557012,,peak_abundance_with_occupancy_days_modifiers,0.2396
yebpri1,BN,0.47037855895080877,0.6006,0.6006,resident,0.9468,,,,94.67999999999999,0.19616309531394657,fairly_common,19.616309531394656,,peak_abundance_with_occupancy_days_modifiers,0.9468
