species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
soumar,BR,1.7454053136741428,3.244071139620357,4.728222731972821,nonbreeding,0.0089601396147501,0.4907976197387506,0.7684365015127381,105.0,0.89601396147501,0.7278905519661145,very_rare,72.78905519661146,very_rare,peak_abundance_with_occupancy_days_modifiers,0.0089601396147501
purmar,BR,1.6678900389414144,2.511508811364594,4.300971146394913,prebreeding_migration,0.0724961430631956,0.8651150132684788,0.967585488724147,56.0,7.24961430631956,0.6955641715724175,common,69.55641715724174,,peak_abundance_with_occupancy_days_modifiers,0.0724961430631956
cliswa,BR,1.3465517575358343,1.249321783525777,2.844147098962876,nonbreeding,0.2043106804314371,0.2543256174111831,0.6968170823841049,70.0,20.43106804314371,0.5615556996216908,common,56.15556996216908,,peak_abundance_with_occupancy_days_modifiers,0.2043106804314371
whfibi,BR,1.2233104356470292,1.4528627301052326,2.398419381203875,prebreeding_migration,0.0938419877491012,0.1364088424940126,0.1362281385931089,133.0,9.38419877491012,0.5101600764321171,common,51.016007643211715,,peak_abundance_with_occupancy_days_modifiers,0.0938419877491012
picpig2,BR,1.0660119821178087,1.9037760671252577,1.9037760671252577,resident,0.6987632203903521,0.6398387591607273,0.5725061363049663,365.0,69.87632203903522,0.4445615261894907,common,44.45615261894907,,peak_abundance_with_occupancy_days_modifiers,0.6987632203903521
semsan,BR,0.9351783491556012,0.7424000602244385,1.5476677916221593,nonbreeding,0.0163451114104207,0.2484393791879044,0.7361815901946004,119.0,1.63451114104207,0.3899996633565392,rare,38.999966335653916,rare,peak_abundance_with_occupancy_days_modifiers,0.0163451114104207
eardov1,BR,0.8130051081884534,1.2296605079958316,1.254673353612593,nonbreeding,0.3667682350607318,0.4188674438675352,0.1817511929170867,140.0,36.676823506073184,0.3390494645079588,common,33.90494645079588,,peak_abundance_with_occupancy_days_modifiers,0.3667682350607318
smbani,BR,0.708502900714555,1.0309484500484405,1.0309484500484405,resident,0.5552246483026446,0.5732324811158986,0.6265172886330659,365.0,55.52246483026446,0.2954686590160063,common,29.546865901600626,,peak_abundance_with_occupancy_days_modifiers,0.5552246483026446
rugdov,BR,0.6910543945051819,0.9958188045902464,0.9958188045902464,resident,0.5478070682790789,0.6057481929794515,0.689477191176201,365.0,54.780706827907885,0.2881920667447305,common,28.81920667447305,,peak_abundance_with_occupancy_days_modifiers,0.5478070682790789
monpar,BR,0.6877912208967613,0.9893167158318186,0.9893167158318186,resident,0.1577556775124957,0.1368753674420014,0.0798493724866925,365.0,15.77556775124957,0.28683121765117836,fairly_common,28.683121765117836,,peak_abundance_with_occupancy_days_modifiers,0.1577556775124957
soulap1,BR,0.6161765592335431,0.8121581781375096,0.8518341108437334,nonbreeding,0.4876488145067895,0.5465661847817154,0.3651802980678743,182.0,48.76488145067895,0.25696558403672826,fairly_common,25.696558403672825,,peak_abundance_with_occupancy_days_modifiers,0.4876488145067895
yecpar,BR,0.5870854946236059,0.7987383358710611,0.7987383358710611,resident,0.339892246794049,0.8681890167408917,0.8788881591847184,365.0,33.9892246794049,0.24483366779336888,fairly_common,24.483366779336887,,peak_abundance_with_occupancy_days_modifiers,0.339892246794049
blkvul,BR,0.5763495019180763,0.7795303869124065,0.7795303869124065,resident,0.5828628946141194,0.4118205793656507,0.3548719615805141,365.0,58.28628946141195,0.2403564110810686,common,24.03564110810686,,peak_abundance_with_occupancy_days_modifiers,0.5828628946141194
categr1,BR,0.55512858982322,0.5206022980615462,0.7421649950597801,breeding,0.3906827407236573,0.3380901594478978,0.2669787384650885,140.0,39.068274072365725,0.23150660336194698,fairly_common,23.150660336194697,,peak_abundance_with_occupancy_days_modifiers,0.3906827407236573
grekis,BR,0.5290891068300713,0.6973854673929669,0.6973854673929669,resident,0.5531541321987468,0.4744997727610525,0.4376364252906212,365.0,55.31541321987468,0.2206472954978631,common,22.06472954978631,,peak_abundance_with_occupancy_days_modifiers,0.5531541321987468
blbgra1,BR,0.5088736544234541,0.6634165575177745,0.6634165575177745,resident,0.6099097673626417,0.535499721718993,0.8123081260937438,365.0,60.990976736264166,0.21221679703700852,common,21.22167970370085,,peak_abundance_with_occupancy_days_modifiers,0.6099097673626417
guicuc1,BR,0.5055469986107458,0.6578921371750047,0.6578921371750047,resident,0.5089277056383008,0.6250831147364295,0.4949534942159621,365.0,50.892770563830084,0.2108294738079894,common,21.082947380798938,,peak_abundance_with_occupancy_days_modifiers,0.5089277056383008
saffin,BR,0.49594173091975946,0.642043874644757,0.642043874644757,resident,0.379818565846087,0.4846355580550578,0.3974129506201402,365.0,37.9818565846087,0.20682376605254738,fairly_common,20.68237660525474,,peak_abundance_with_occupancy_days_modifiers,0.379818565846087
trokin,BR,0.4891112641803222,0.532872240393623,0.6308661665143241,nonbreeding,0.801978083639105,0.5496798196375473,0.489572240650152,126.0,80.19780836391051,0.2039752401736561,fairly_common,20.39752401736561,,peak_abundance_with_occupancy_days_modifiers,0.801978083639105
blhpar1,BR,0.4866660913790793,0.6268832883186392,0.6268832883186392,resident,0.5000180734940162,0.5455318172013333,0.5681584232983039,365.0,50.001807349401616,0.20295552391290816,common,20.295552391290816,,peak_abundance_with_occupancy_days_modifiers,0.5000180734940162
pigdov1,BR,0.43868761498457726,0.5506708053957375,0.5506708053957375,resident,0.3419153461239009,0.4072296871398657,0.1681078404910569,365.0,34.19153461239009,0.18294694516521726,fairly_common,18.294694516521727,,peak_abundance_with_occupancy_days_modifiers,0.3419153461239009
sibtan2,BR,0.4194596733015803,0.5211394212867313,0.5211394212867313,resident,0.5659290286082478,0.6190912546575306,0.5808634741393496,365.0,56.59290286082478,0.1749282706629911,common,17.49282706629911,,peak_abundance_with_occupancy_days_modifiers,0.5659290286082478
compau,BR,0.4042385256432883,0.498161254219885,0.498161254219885,resident,0.8429119926780354,0.5980992036832884,0.7412675188916417,365.0,84.29119926780353,0.16858055905483205,common,16.858055905483205,,peak_abundance_with_occupancy_days_modifiers,0.8429119926780354
whtdov,BR,0.398135022239498,0.4890450705346313,0.4890450705346313,resident,0.6207724776403343,0.5455249314196234,0.4661043794688158,365.0,62.07724776403343,0.16603520043428335,common,16.603520043428336,,peak_abundance_with_occupancy_days_modifiers,0.6207724776403343
brtpar1,BR,0.39739277518390753,0.4879402412942346,0.4879402412942346,resident,0.2481117336746668,0.0612802436133801,0.040462031215463,365.0,24.81117336746668,0.16572565936966285,fairly_common,16.572565936966285,,peak_abundance_with_occupancy_days_modifiers,0.2481117336746668
whepar2,BR,0.3952172955862455,0.4847067761007924,0.4847067761007924,resident,0.4114087379930824,0.6150478560041587,0.707295127370222,365.0,41.14087379930824,0.16481841391055518,fairly_common,16.481841391055518,,peak_abundance_with_occupancy_days_modifiers,0.4114087379930824
whttou1,BR,0.39377582500146235,0.4825681567047992,0.4825681567047992,resident,0.6256224953979982,0.5821724488840359,0.6335735760693697,365.0,62.56224953979982,0.16421727398541539,common,16.421727398541538,,peak_abundance_with_occupancy_days_modifiers,0.6256224953979982
shicow,BR,0.3920680144000786,0.30695338846865117,0.4800383719010261,breeding,0.3785689291068852,0.4864351438850006,0.2620005660416366,140.0,37.85689291068852,0.16350506164622064,fairly_common,16.350506164622065,,peak_abundance_with_occupancy_days_modifiers,0.3785689291068852
scrpih1,BR,0.38934396994274934,0.47601216784651,0.47601216784651,resident,0.448199382305727,0.6084818845889496,0.6947076867474965,365.0,44.819938230572696,0.1623690468718346,fairly_common,16.236904687183458,,peak_abundance_with_occupancy_days_modifiers,0.448199382305727
chbmoc1,BR,0.37350318476994443,0.4528151904182751,0.4528151904182751,resident,0.4807228989835482,0.608765113425255,0.5526078183070359,365.0,48.07228989835482,0.15576292634918207,fairly_common,15.576292634918207,,peak_abundance_with_occupancy_days_modifiers,0.4807228989835482
docsee1,BR,0.36231984103014486,0.1875505444053786,0.436658370777618,breeding,0.4890903182106319,0.8130318456224401,0.8871891178410612,119.0,48.909031821063195,0.15109910976525406,fairly_common,15.109910976525406,,peak_abundance_with_occupancy_days_modifiers,0.4890903182106319
chcbla2,BR,0.36197267372397346,0.436159696527853,0.436159696527853,resident,0.2251210798169968,0.5655566559017022,0.3847576808002992,365.0,22.512107981699682,0.1509543297533371,fairly_common,15.095432975333711,,peak_abundance_with_occupancy_days_modifiers,0.2251210798169968
bufpar,BR,0.36169120334582566,0.4357555169999415,0.4357555169999415,resident,0.4543576553552173,0.7201471506324159,0.5900322136481403,365.0,45.43576553552173,0.15083694748842302,fairly_common,15.083694748842301,,peak_abundance_with_occupancy_days_modifiers,0.4543576553552173
trsowl,BR,0.3438376754707819,0.4103496825775856,0.4103496825775856,resident,0.9655276474647344,0.5891435429602102,0.5888451514947696,365.0,96.55276474647344,0.1433914480633341,common,14.33914480633341,,peak_abundance_with_occupancy_days_modifiers,0.9655276474647344
relser1,BR,0.34158023660591275,0.4071694952808071,0.4071694952808071,resident,0.5603984988573619,0.8569119658013139,0.941091108355766,365.0,56.039849885736196,0.14245002293502368,common,14.245002293502369,,peak_abundance_with_occupancy_days_modifiers,0.5603984988573619
yebtea1,BR,0.3390962540405438,0.29186568951304304,0.4036784484327922,nonbreeding,0.2785241648549687,0.0837858848544036,0.0439522080361333,217.0,27.85241648549687,0.1414141217455317,fairly_common,14.14141217455317,,peak_abundance_with_occupancy_days_modifiers,0.2785241648549687
srwswa1,BR,0.3340257047286868,0.3560227836794839,0.3965790417984854,nonbreeding,0.7365060527721,0.7318274832211379,0.7217800720213617,168.0,73.65060527721,0.1392995384401734,fairly_common,13.92995384401734,,peak_abundance_with_occupancy_days_modifiers,0.7365060527721
rucspa1,BR,0.3281518235475901,0.3883997480638689,0.3883997480638689,resident,0.3343683914774349,0.3281504207138186,0.1067169621046822,365.0,33.43683914774349,0.13684993972427875,fairly_common,13.684993972427876,,peak_abundance_with_occupancy_days_modifiers,0.3343683914774349
y00678,BR,0.3237256096069172,0.3822679740264424,0.3822679740264424,resident,0.5083121381471241,0.4193017685220538,0.3063832645548004,365.0,50.831213814712406,0.1350040651396446,common,13.50040651396446,,peak_abundance_with_occupancy_days_modifiers,0.5083121381471241
brhgul2,BR,0.3168150572103458,0.2811721948888717,0.372748668479134,nonbreeding,0.0699680669408518,0.0881539598407909,0.047845746722616,140.0,6.99680669408518,0.13212214094763988,fairly_common,13.212214094763988,,peak_abundance_with_occupancy_days_modifiers,0.0699680669408518
