species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
grefla2,BS,1.885492648644902,5.5896,5.5896,resident,0.1387,0.0503,0.1854,365.0,13.87,0.7863115082772196,abundant,78.63115082772197,,peak_abundance_with_occupancy_days_modifiers,0.1387
laugul,BS,1.4767747142482652,1.97775,3.3788,breeding,0.7291,0.0634,0.0252,161.0,72.91,0.6158628906778121,common,61.58628906778121,,peak_abundance_with_occupancy_days_modifiers,0.7291
grykin,BS,0.8458682675776092,0.6782,1.33,breeding,0.674,0.0699,0.0733,112.0,67.4,0.35275446645777464,common,35.275446645777464,,peak_abundance_with_occupancy_days_modifiers,0.674
shbdow,BS,0.7761087012742927,0.32420000000000004,1.173,nonbreeding,0.5697,0.0875,0.0812,147.0,56.97,0.3236624676975842,common,32.36624676975842,,peak_abundance_with_occupancy_days_modifiers,0.5697
palwar,BS,0.7077894572968154,0.7158000000000001,1.0295,nonbreeding,0.6861,0.0271,0.0494,91.0,68.61,0.29517113000136036,common,29.517113000136035,,peak_abundance_with_occupancy_days_modifiers,0.6861
turvul,BS,0.678439551687671,0.743225,0.9708,nonbreeding,0.3297,0.0005,0.002,126.0,32.97,0.282931268677103,fairly_common,28.2931268677103,,peak_abundance_with_occupancy_days_modifiers,0.3297
cogdov,BS,0.5775118369610208,0.7816,0.7816,resident,0.6173,0.0075,0.0202,365.0,61.73,0.24084114244366397,common,24.084114244366397,,peak_abundance_with_occupancy_days_modifiers,0.6173
magfri,BS,0.541277231221819,0.43742499999999995,0.7182,postbreeding_migration,0.3127,0.0361,0.0155,140.0,31.269999999999996,0.2257301381599299,fairly_common,22.57301381599299,,peak_abundance_with_occupancy_days_modifiers,0.3127
whcpig2,BS,0.5016839658487072,0.6515,0.6515,resident,0.4563,0.198,0.1917,365.0,45.629999999999995,0.2092184640170863,fairly_common,20.92184640170863,,peak_abundance_with_occupancy_days_modifiers,0.4563
normoc,BS,0.4869836492804198,0.573825,0.6274,prebreeding_migration,0.6009,0.0042,0.0073,112.0,60.089999999999996,0.20308795584391992,fairly_common,20.30879558439199,,peak_abundance_with_occupancy_days_modifiers,0.6009
bkbplo,BS,0.4501835017964291,0.257025,0.5686,nonbreeding,0.4136,0.0182,0.0152,140.0,41.36,0.18774110233390628,fairly_common,18.77411023339063,,peak_abundance_with_occupancy_days_modifiers,0.4136
thbvir,BS,0.4174595529565324,0.5181,0.5181,resident,0.4588,0.9309,0.94,365.0,45.879999999999995,0.17409415569235948,fairly_common,17.409415569235946,,peak_abundance_with_occupancy_days_modifiers,0.4588
banana,BS,0.3932575650004195,0.4818,0.4818,resident,0.3991,0.0013,0.0071,365.0,39.910000000000004,0.16400114277780092,fairly_common,16.40011427778009,,peak_abundance_with_occupancy_days_modifiers,0.3991
leater1,BS,0.38390093019232385,0.2665,0.468,breeding,0.4752,0.0688,0.0332,77.0,47.52,0.16009912298809742,fairly_common,16.00991229880974,,peak_abundance_with_occupancy_days_modifiers,0.4752
rewbla,BS,0.3832194991608447,0.389025,0.467,postbreeding_migration,0.3337,0.0021,0.0003,126.0,33.37,0.15981494417544903,fairly_common,15.981494417544903,,peak_abundance_with_occupancy_days_modifiers,0.3337
barswa,BS,0.3815821676448323,0.152325,0.4646,postbreeding_migration,0.6551,0.0002,0.0001,147.0,65.51,0.15913212389777207,fairly_common,15.913212389777206,,peak_abundance_with_occupancy_days_modifiers,0.6551
doccor,BS,0.37857341263984834,0.386675,0.4602,nonbreeding,0.2517,0.0134,0.0043,147.0,25.169999999999998,0.1578773756028339,fairly_common,15.787737560283391,,peak_abundance_with_occupancy_days_modifiers,0.2517
amekes,BS,0.3765854085575139,0.1969,0.4573,nonbreeding,0.6749,0.0012,0.0061,105.0,67.49000000000001,0.15704831350621684,fairly_common,15.704831350621685,,peak_abundance_with_occupancy_days_modifiers,0.6749
bahswa,BS,0.3519958534303615,0.4219026276880884,0.4219026276880884,resident,0.667723525681674,0.9943342776203966,0.9975287763850168,365.0,66.7723525681674,0.14679367252748216,common,14.679367252748216,,peak_abundance_with_occupancy_days_modifiers,0.667723525681674
leasan,BS,0.34557355086755853,0.30806666666666666,0.4128,nonbreeding,0.3238,0.0094,0.0085,161.0,32.379999999999995,0.14411536433126637,fairly_common,14.411536433126637,,peak_abundance_with_occupancy_days_modifiers,0.3238
bkfgra,BS,0.34507795809306924,0.4121,0.4121,resident,0.4127,0.1195,0.1588,365.0,41.27,0.14390868609134855,fairly_common,14.390868609134856,,peak_abundance_with_occupancy_days_modifiers,0.4127
greegr,BS,0.33002291294130587,0.221275,0.391,nonbreeding,0.6307,0.0005,0.0007,133.0,63.07000000000001,0.13763024460870862,fairly_common,13.763024460870863,,peak_abundance_with_occupancy_days_modifiers,0.6307
audshe,BS,0.32289019222620124,0.1982889960999065,0.3811136855595911,breeding,0.3032698526769673,0.0060951830721455,0.0045476385426522,98.0,30.32698526769673,0.1346556690315273,fairly_common,13.465566903152729,,peak_abundance_with_occupancy_days_modifiers,0.3032698526769673
antnig,BS,0.32150362092729157,0.3792,0.3792,breeding,0.6743,0.1095,0.1067,98.0,67.43,0.13407742388686275,fairly_common,13.407742388686275,,peak_abundance_with_occupancy_days_modifiers,0.6743
lesyel,BS,0.31605084650222426,0.18114999999999998,0.3717,nonbreeding,0.2402,0.0017,0.006,154.0,24.02,0.13180344032847996,fairly_common,13.180344032847996,,peak_abundance_with_occupancy_days_modifiers,0.2402
gubter2,BS,0.31411612955314044,0.15942555473181752,0.3690487143316103,breeding,0.503984923328001,0.0083834622362264,0.0072727838298447,98.0,50.3984923328001,0.13099660069247454,fairly_common,13.099660069247454,,peak_abundance_with_occupancy_days_modifiers,0.503984923328001
rudtur,BS,0.3119599649113044,0.23355,0.3661,nonbreeding,0.3916,0.0163,0.0167,119.0,39.160000000000004,0.13009741019558518,fairly_common,13.009741019558518,,peak_abundance_with_occupancy_days_modifiers,0.3916
bknsti,BS,0.3004008448595556,0.24735000000000001,0.3504,breeding,0.2563,0.0018,0.0018,140.0,25.629999999999995,0.1252768827176445,fairly_common,12.52768827176445,,peak_abundance_with_occupancy_days_modifiers,0.2563
royter1,BS,0.29736008900305205,0.28265,0.3463,postbreeding_migration,0.5071,0.0623,0.0343,126.0,50.71,0.12400878903106956,fairly_common,12.400878903106955,,peak_abundance_with_occupancy_days_modifiers,0.5071
santer1,BS,0.2952037138506271,0.14780000000000001,0.3434,breeding,0.3706,0.0262,0.0083,133.0,37.059999999999995,0.1231095107444459,fairly_common,12.31095107444459,,peak_abundance_with_occupancy_days_modifiers,0.3706
whiibi,BS,0.2838246421244762,0.1644,0.3282,postbreeding_migration,0.222,0.0105,0.0072,105.0,22.2,0.11836406925030123,fairly_common,11.836406925030122,,peak_abundance_with_occupancy_days_modifiers,0.222
grycat,BS,0.27543235002286376,0.21656666666666669,0.3171,nonbreeding,0.4994,0.0092,0.0193,98.0,49.94,0.11486421160563491,fairly_common,11.486421160563491,,peak_abundance_with_occupancy_days_modifiers,0.4994
wessan,BS,0.274824770449225,0.09182500000000002,0.3163,nonbreeding,0.4068,0.0383,0.003,140.0,40.68,0.11461083124305983,fairly_common,11.461083124305983,,peak_abundance_with_occupancy_days_modifiers,0.4068
smbani,BS,0.26528307750830193,0.3038,0.3038,resident,0.4186,0.0011,0.001,365.0,41.86,0.11063163621767086,fairly_common,11.063163621767085,,peak_abundance_with_occupancy_days_modifiers,0.4186
semplo,BS,0.24709442546999627,0.09722499999999999,0.2803,nonbreeding,0.3288,0.0327,0.0131,161.0,32.879999999999995,0.10304637916135273,fairly_common,10.304637916135274,,peak_abundance_with_occupancy_days_modifiers,0.3288
yerwar,BS,0.24623488253760742,0.1299,0.2792,nonbreeding,0.5161,0.003,0.0013,91.0,51.61,0.10268792191672677,fairly_common,10.268792191672677,,peak_abundance_with_occupancy_days_modifiers,0.5161
whcpin,BS,0.234043925782498,0.204025,0.2637,prebreeding_migration,0.2322,0.0058,0.0104,105.0,23.22,0.09760389806739397,fairly_common,9.760389806739397,,peak_abundance_with_occupancy_days_modifiers,0.2322
