species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
blabul1,BT,0.5222995458396185,0.457075,0.6859,nonbreeding,0.4291,0.0155,0.0159,126.0,42.91,0.21781582864129384,fairly_common,21.781582864129383,,peak_abundance_with_occupancy_days_modifiers,0.4291
whiyuh1,BT,0.44051044985096505,0.5535,0.5535,resident,0.4874,0.0575,0.0849,365.0,48.74,0.1837071263487185,fairly_common,18.37071263487185,,peak_abundance_with_occupancy_days_modifiers,0.4874
blflau1,BT,0.3859706882337037,0.4710415513566269,0.4710415513566269,resident,0.655331103508924,0.0612439124880699,0.1062895215929283,365.0,65.5331103508924,0.16096227913376362,common,16.096227913376364,,peak_abundance_with_occupancy_days_modifiers,0.655331103508924
revbul,BT,0.35150158516473495,0.4212,0.4212,resident,0.2362,0.0022,0.0014,365.0,23.62,0.14658754665066281,fairly_common,14.658754665066281,,peak_abundance_with_occupancy_days_modifiers,0.2362
amufal1,BT,0.3504950733012748,0.21123300035911205,0.4197702649829798,postbreeding_migration,0.021153021447965,0.0002415541928418475,4.152760074129135e-05,28.0,2.1153021447965,0.1461677986012471,rare,14.61677986012471,rare,peak_abundance_with_occupancy_days_modifiers,0.021153021447965
olbpip,BT,0.3341839061032007,0.219025,0.3968,nonbreeding,0.975,0.0046,0.0056,119.0,97.5,0.1393655135377136,fairly_common,13.936551353771359,,peak_abundance_with_occupancy_days_modifiers,0.975
ortdov,BT,0.33382588096601196,0.29657500000000003,0.3963,prebreeding_migration,0.8262,0.0049,0.0035,140.0,82.62,0.13921620545856178,fairly_common,13.921620545856179,,peak_abundance_with_occupancy_days_modifiers,0.8262
whtlau1,BT,0.32497785719547784,0.384,0.384,resident,0.3485,0.113,0.1818,365.0,34.849999999999994,0.13552629294615728,fairly_common,13.552629294615729,,peak_abundance_with_occupancy_days_modifiers,0.3485
rufsib1,BT,0.31554040058017735,0.371,0.371,resident,0.4641,0.2011,0.2125,365.0,46.410000000000004,0.131590567844916,fairly_common,13.159056784491598,,peak_abundance_with_occupancy_days_modifiers,0.4641
labcro1,BT,0.3151756367607034,0.3705,0.3705,resident,0.7586,0.0039,0.0022,365.0,75.86,0.13143844951697575,common,13.143844951697575,,peak_abundance_with_occupancy_days_modifiers,0.7586
siemes1,BT,0.29223776844628263,0.3394214519385243,0.3394214519385243,resident,0.4106398454276762,0.0240433447990811,0.0266314229055929,365.0,41.06398454276762,0.1218726154396384,fairly_common,12.18726154396384,,peak_abundance_with_occupancy_days_modifiers,0.4106398454276762
grebar1,BT,0.26466929814270806,0.303,0.303,resident,0.4356,0.0124,0.0247,365.0,43.56,0.11037567034103035,fairly_common,11.037567034103034,,peak_abundance_with_occupancy_days_modifiers,0.4356
blfred1,BT,0.26074757371157625,0.160775,0.2979,nonbreeding,0.7649,0.017,0.042,126.0,76.49000000000001,0.10874018422300859,fairly_common,10.874018422300859,,peak_abundance_with_occupancy_days_modifiers,0.7649
grbtit1,BT,0.26028518159482966,0.2973,0.2973,resident,0.542,0.0266,0.0248,365.0,54.2,0.108547351732786,common,10.8547351732786,,peak_abundance_with_occupancy_days_modifiers,0.542
grtsun1,BT,0.25912826503371983,0.2958,0.2958,resident,0.5043,0.0981,0.1142,365.0,50.43,0.1080648800526281,common,10.80648800526281,,peak_abundance_with_occupancy_days_modifiers,0.5043
ashdro1,BT,0.25557201853354733,0.209425,0.2912,breeding,0.7284,0.0066,0.0145,140.0,72.84,0.106581810070167,fairly_common,10.6581810070167,,peak_abundance_with_occupancy_days_modifiers,0.7284
blwthr1,BT,0.24787518753339344,0.244975,0.2813,nonbreeding,0.9834,0.013,0.0223,105.0,98.34,0.10337198223178455,fairly_common,10.337198223178454,,peak_abundance_with_occupancy_days_modifiers,0.9834
whbful1,BT,0.24373018492259815,0.276,0.276,resident,0.3113,0.088,0.147,365.0,31.130000000000003,0.10164338188054488,fairly_common,10.164338188054488,,peak_abundance_with_occupancy_days_modifiers,0.3113
rebcho1,BT,0.24137631957526948,0.273,0.273,resident,0.1969,0.0016,0.0015,365.0,19.689999999999998,0.10066174378565777,fairly_common,10.066174378565778,,peak_abundance_with_occupancy_days_modifiers,0.1969
grytre1,BT,0.20904462693470813,0.2325,0.2325,resident,0.3502,0.0116,0.0172,365.0,35.02,0.0871783806849707,fairly_common,8.71783806849707,,peak_abundance_with_occupancy_days_modifiers,0.3502
russpa2,BT,0.2000796117156581,0.12715,0.2215,prebreeding_migration,0.4067,0.0059,0.0073,49.0,40.67,0.08343967894901556,fairly_common,8.343967894901557,,peak_abundance_with_occupancy_days_modifiers,0.4067
verfly4,BT,0.19614227581126634,0.123525,0.2167,breeding,0.8011,0.0151,0.0312,126.0,80.11,0.08179768234096646,fairly_common,8.179768234096645,,peak_abundance_with_occupancy_days_modifiers,0.8011
blttit2,BT,0.19210685752875162,0.2118,0.2118,resident,0.3313,0.0066,0.0043,365.0,33.129999999999995,0.08011478220421227,fairly_common,8.011478220421226,,peak_abundance_with_occupancy_days_modifiers,0.3313
chclau2,BT,0.1839036379766061,0.2019,0.2019,resident,0.3621,0.1751,0.1791,365.0,36.21,0.07669377393700287,fairly_common,7.669377393700287,,peak_abundance_with_occupancy_days_modifiers,0.3621
lotmin1,BT,0.1763034844683916,0.15287499999999998,0.1928,prebreeding_migration,0.867,0.0205,0.0159,98.0,86.7,0.07352426374428084,uncommon,7.3524263744280836,,peak_abundance_with_occupancy_days_modifiers,0.867
strlau2,BT,0.17504514782317843,0.1913,0.1913,resident,0.3305,0.132,0.1494,365.0,33.050000000000004,0.07299949660391081,uncommon,7.29994966039108,,peak_abundance_with_occupancy_days_modifiers,0.3305
gyhcaf1,BT,0.17328081214180557,0.15105000000000002,0.1892,prebreeding_migration,0.6973,0.0089,0.012,140.0,69.73,0.07226371147543276,uncommon,7.226371147543276,,peak_abundance_with_occupancy_days_modifiers,0.6973
ashmar1,BT,0.16109792034232798,0.09475000000000001,0.1748,postbreeding_migration,0.9727,0.0118,0.0057,126.0,97.27,0.06718305097383379,uncommon,6.718305097383379,,peak_abundance_with_occupancy_days_modifiers,0.9727
himcuc1,BT,0.16002482477668659,0.1735400034987244,0.1735400034987244,breeding,0.9343431098436652,0.0273841490019533,0.0302452675531345,70.0,93.43431098436652,0.06673553536386762,uncommon,6.673553536386762,,peak_abundance_with_occupancy_days_modifiers,0.9343431098436652
scamin1,BT,0.15554970074096566,0.1683,0.1683,resident,0.2945,0.0059,0.0081,365.0,29.45,0.06486926368533072,uncommon,6.486926368533072,,peak_abundance_with_occupancy_days_modifiers,0.2945
categr2,BT,0.15003222735561006,0.13205432513480753,0.1618716861769319,postbreeding_migration,0.0312767614927511,0.0001290091817430677,6.149718862997581e-05,126.0,3.1276761492751097,0.06256829856481626,rare,6.256829856481626,rare,peak_abundance_with_occupancy_days_modifiers,0.0312767614927511
larhac2,BT,0.14833379450569348,0.05512499999999999,0.1599,breeding,0.6759,0.012,0.0107,84.0,67.58999999999999,0.06185999705174205,uncommon,6.185999705174205,,peak_abundance_with_occupancy_days_modifiers,0.6759
parwar1,BT,0.14660801963609033,0.07339999999999999,0.1579,prebreeding_migration,0.8868,,,,88.68,0.06114029303081157,uncommon,6.114029303081157,,peak_abundance_with_occupancy_days_modifiers,0.8868
