species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,BW,2.50221837370487,8.681691965850524,11.20954928327838,nonbreeding,0.9888851892469128,0.0356456645394045,0.0562020211563562,105.0,98.88851892469128,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9888851892469128
rindov,BW,2.3067594467608825,9.041830785173628,9.041830785173628,resident,0.992772275684446,0.0806487735508082,0.1998649772182025,365.0,99.2772275684446,0.9619934085231621,abundant,96.19934085231621,,peak_abundance_with_occupancy_days_modifiers,0.992772275684446
socwea1,BW,1.3991442577957824,3.051731245463821,3.051731245463821,resident,0.6050580658566522,0.0867494960971547,0.0808114629825138,365.0,60.505806585665226,0.5834884757760772,common,58.34884757760772,,peak_abundance_with_occupancy_days_modifiers,0.6050580658566522
helgui,BW,1.2719362236811649,2.56775384847264,2.56775384847264,resident,0.8412794672370769,0.1041647675815803,0.1372911670552596,365.0,84.1279467237077,0.5304386051008813,common,53.04386051008812,,peak_abundance_with_occupancy_days_modifiers,0.8412794672370769
comswi,BW,1.0793692656057732,0.8844664102719614,1.942822826004423,nonbreeding,0.9952303958624628,0.0767487837716394,0.1301800618590944,70.0,99.52303958624627,0.450131946065408,common,45.0131946065408,,peak_abundance_with_occupancy_days_modifiers,0.9952303958624628
fotdro5,BW,0.8931521005633455,1.4428175349613517,1.4428175349613517,resident,0.9867258568484232,0.075380488133689,0.1214270157258365,365.0,98.67258568484232,0.3724733564035208,common,37.247335640352084,,peak_abundance_with_occupancy_days_modifiers,0.9867258568484232
categr1,BW,0.8077820633755995,0.6047308328564454,1.2429277941418135,prebreeding_migration,0.5041497679284695,0.0266093094834285,0.0218918338335062,140.0,50.41497679284696,0.3368712856391383,common,33.68712856391383,,peak_abundance_with_occupancy_days_modifiers,0.5041497679284695
wbswea1,BW,0.8044201829693741,1.2354,1.2354,resident,0.9846,0.175,0.2196,365.0,98.46000000000001,0.3354692726136479,common,33.546927261364786,,peak_abundance_with_occupancy_days_modifiers,0.9846
whbvul1,BW,0.7995195294175249,1.2244718783903614,1.2244718783903614,resident,0.969138580033039,0.1502155164704418,0.2421002869398231,365.0,96.9138580033039,0.33342554134337854,common,33.34255413433785,,peak_abundance_with_occupancy_days_modifiers,0.969138580033039
colpra,BW,0.7406212503996871,0.37896071569077605,1.0972380198195475,prebreeding_migration,0.6686797897642406,0.1802316267468205,0.1929362651569719,119.0,66.86797897642406,0.3088630511937971,common,30.88630511937971,,peak_abundance_with_occupancy_days_modifiers,0.6686797897642406
bubcor1,BW,0.5658446726922817,0.7609345680524614,0.7609345680524614,resident,0.4330879748772641,0.0926354253972605,0.1102604915899312,365.0,43.30879748772641,0.2359755570275321,fairly_common,23.59755570275321,,peak_abundance_with_occupancy_days_modifiers,0.4330879748772641
eubeat1,BW,0.5430887426828058,0.5337502596730224,0.721315359895405,prebreeding_migration,0.7625348274255369,0.0645051961574988,0.0467484581221334,105.0,76.25348274255369,0.22648559711659763,fairly_common,22.648559711659765,,peak_abundance_with_occupancy_days_modifiers,0.7625348274255369
blaplo1,BW,0.5327774150493545,0.7036575076622814,0.7036575076622814,resident,0.4954427942299875,0.2239517928362758,0.2234855123737512,365.0,49.54427942299875,0.2221854394948605,fairly_common,22.21854394948605,,peak_abundance_with_occupancy_days_modifiers,0.4954427942299875
blakit1,BW,0.5079618985896152,0.31217595660078284,0.6619006189552838,nonbreeding,0.9218492109089794,0.0564895415467255,0.0385322559256171,105.0,92.18492109089794,0.2118365653212277,fairly_common,21.183656532122768,,peak_abundance_with_occupancy_days_modifiers,0.9218492109089794
grygab1,BW,0.48702890850425024,0.6274736565276676,0.6274736565276676,resident,0.5691866732885997,0.2074729046774442,0.21783824712021,365.0,56.918667328859975,0.2031068304062679,common,20.310683040626788,,peak_abundance_with_occupancy_days_modifiers,0.5691866732885997
amufal1,BW,0.458818047043247,0.4907991937440335,0.5822027901142031,nonbreeding,0.7868084824177092,0.2613799878410293,0.1885050070312355,77.0,78.68084824177092,0.19134198738704766,fairly_common,19.134198738704768,,peak_abundance_with_occupancy_days_modifiers,0.7868084824177092
librol2,BW,0.4360037166700495,0.5465145426229776,0.5465145426229776,resident,0.9937684445881486,0.1819681990880656,0.2767503710573705,365.0,99.37684445881486,0.18182767263277025,common,18.182767263277025,,peak_abundance_with_occupancy_days_modifiers,0.9937684445881486
ostric2,BW,0.4217660470284975,0.5246517861390115,0.5246517861390115,resident,0.963528106889784,0.2337705796398551,0.3263289131816232,365.0,96.3528106889784,0.1758901032138455,common,17.58901032138455,,peak_abundance_with_occupancy_days_modifiers,0.963528106889784
rebshr1,BW,0.38970028998533585,0.4216406311805277,0.4765381942763297,nonbreeding,0.9939792720254575,0.1335234565840768,0.2347012336990253,91.0,99.39792720254576,0.1625176438713069,fairly_common,16.25176438713069,,peak_abundance_with_occupancy_days_modifiers,0.9939792720254575
rebduc1,BW,0.38797979376714486,0.4446,0.474,breeding,0.9939,,,,99.39,0.1618001412189983,fairly_common,16.18001412189983,,peak_abundance_with_occupancy_days_modifiers,0.9939
wfwduc1,BW,0.3704212231551318,0.4483445624585553,0.4483445624585553,resident,0.484269101834359,0.0331508276454907,0.0151193349887407,365.0,48.4269101834359,0.154477648526679,fairly_common,15.4477648526679,,peak_abundance_with_occupancy_days_modifiers,0.484269101834359
woosan,BW,0.3599561022377278,0.22040492708693304,0.4332664959874445,nonbreeding,0.883772095883672,0.0938239327531735,0.0637404484919017,140.0,88.3772095883672,0.15011335412395016,fairly_common,15.011335412395017,,peak_abundance_with_occupancy_days_modifiers,0.883772095883672
comhom1,BW,0.3566499242146614,0.17136763481531317,0.4285356865555996,prebreeding_migration,0.979225776585496,0.0592465798869733,0.0461603880848359,105.0,97.9225776585496,0.14873457079651645,fairly_common,14.873457079651645,,peak_abundance_with_occupancy_days_modifiers,0.979225776585496
legshr2,BW,0.2963106382520315,0.26827831099535865,0.3448878655662762,prebreeding_migration,0.9988794256947509,0.2255512715543435,0.3056405719591109,91.0,99.88794256947509,0.12357113407468946,fairly_common,12.357113407468946,,peak_abundance_with_occupancy_days_modifiers,0.9988794256947509
bkwsti,BW,0.2856374271669504,0.20241475994522196,0.3306099247712478,prebreeding_migration,0.6438724607609335,0.1049119266910829,0.0152751842134024,105.0,64.38724607609335,0.11912005933170228,fairly_common,11.912005933170228,,peak_abundance_with_occupancy_days_modifiers,0.6438724607609335
spwgoo1,BW,0.27778324027253337,0.3202,0.3202,resident,0.713,,,,71.3,0.11584460898843062,fairly_common,11.584460898843062,,peak_abundance_with_occupancy_days_modifiers,0.713
litswi1,BW,0.25013595637781094,0.19985,0.2842,nonbreeding,0.5708,0.0276,0.0216,84.0,57.08,0.10431479606942945,fairly_common,10.431479606942945,,peak_abundance_with_occupancy_days_modifiers,0.5708
