species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,BY,3.1575279415612196,10.687325,22.5124,postbreeding_migration,0.8394,0.0112,0.0301,140.0,83.94,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8394
gwfgoo,BY,2.296546899741712,3.8678333333333335,8.9398,prebreeding_migration,0.5907,0.013,0.0023,35.0,59.07,0.957734445617225,abundant,95.7734445617225,,peak_abundance_with_occupancy_days_modifiers,0.5907
comcra,BY,2.1682076282657268,3.003633333333333,7.7426,postbreeding_migration,0.8941,0.0158,0.0218,133.0,89.41,0.9042128123199492,abundant,90.42128123199493,,peak_abundance_with_occupancy_days_modifiers,0.8941
norlap,BY,2.1165566742687645,4.636633333333333,7.3025,postbreeding_migration,0.4864,0.0215,0.0397,133.0,48.64,0.8826726914552524,abundant,88.26726914552523,,peak_abundance_with_occupancy_days_modifiers,0.4864
comcha,BY,1.8538731778825988,2.2742500000000003,5.3845,postbreeding_migration,1.0,0.0179,0.0199,112.0,100.0,0.7731251647696473,abundant,77.31251647696473,,peak_abundance_with_occupancy_days_modifiers,1.0
mallar3,BY,1.694458976731489,3.094725,4.4437,prebreeding_migration,0.9928,0.0072,0.0103,126.0,99.28,0.7066442792366142,common,70.66442792366142,,peak_abundance_with_occupancy_days_modifiers,0.9928
redpol1,BY,1.6332486447980348,2.2208304367671166,4.1204823561426895,postbreeding_migration,0.9990457806222226,0.0257888813861508,0.021743631023135,56.0,99.90457806222226,0.6811175881305338,common,68.11175881305338,,peak_abundance_with_occupancy_days_modifiers,0.9990457806222226
barswa,BY,1.6238535066684106,2.1534666666666666,4.0726,postbreeding_migration,0.9996,0.0039,0.0047,105.0,99.96000000000001,0.6771995112085756,common,67.71995112085756,,peak_abundance_with_occupancy_days_modifiers,0.9996
tunbeg1,BY,1.5417935694250908,2.1395519920696984,3.6729640447062097,nonbreeding,0.2098296411551222,0.0287819383399806,0.0204546690695246,98.0,20.98296411551222,0.6429778593398704,common,64.29778593398704,,peak_abundance_with_occupancy_days_modifiers,0.2098296411551222
yellow2,BY,1.4944085818493344,1.71605,3.4567,nonbreeding,0.9378,0.037,0.0748,112.0,93.78,0.6232167846535445,common,62.321678465354445,,peak_abundance_with_occupancy_days_modifiers,0.9378
fieldf,BY,1.3492412969171799,1.4745999999999997,2.8545,postbreeding_migration,0.9657,0.019,0.0143,91.0,96.57,0.562677324661723,common,56.267732466172305,,peak_abundance_with_occupancy_days_modifiers,0.9657
bkhgul,BY,1.3269423666696194,1.374225,2.7695,prebreeding_migration,0.414,0.0098,0.0174,175.0,41.4,0.5533779484543805,common,55.33779484543805,,peak_abundance_with_occupancy_days_modifiers,0.414
cowpig1,BY,1.3238336797772852,1.6833,2.7578,postbreeding_migration,1.0,0.0201,0.0166,98.0,100.0,0.5520815253254812,common,55.20815253254811,,peak_abundance_with_occupancy_days_modifiers,1.0
eursis,BY,1.1152399464379659,1.20395,2.0503,nonbreeding,0.9886,0.0234,0.038,154.0,98.86,0.4650911818748732,common,46.50911818748732,,peak_abundance_with_occupancy_days_modifiers,0.9886
skylar,BY,0.8944131533548377,0.9509333333333333,1.4459,prebreeding_migration,0.9905,0.0195,0.0192,154.0,99.05000000000001,0.37299925626486913,common,37.29992562648691,,peak_abundance_with_occupancy_days_modifiers,0.9905
eugplo,BY,0.8922439107156022,1.20575,1.4406,postbreeding_migration,0.3133,,,,31.330000000000002,0.3720946118194492,common,37.20946118194492,,peak_abundance_with_occupancy_days_modifiers,0.3133
ruff,BY,0.8197357776595193,0.5128333333333334,1.2699,prebreeding_migration,0.2694,0.0042,0.0136,147.0,26.939999999999998,0.3418563716933635,common,34.18563716933635,,peak_abundance_with_occupancy_days_modifiers,0.2694
taibeg1,BY,0.786364262271079,0.74195,1.1954,prebreeding_migration,0.6148,,,,61.480000000000004,0.32793936882547137,common,32.793936882547136,,peak_abundance_with_occupancy_days_modifiers,0.6148
eurgol,BY,0.7665834986331276,0.74655,1.1524,nonbreeding,0.9949,0.0183,0.0165,245.0,99.49,0.31969014966133863,common,31.969014966133862,,peak_abundance_with_occupancy_days_modifiers,0.9949
gretit1,BY,0.761413121230034,1.1413,1.1413,resident,1.0,,,,100.0,0.3175339348083607,common,31.753393480836067,,peak_abundance_with_occupancy_days_modifiers,1.0
banswa,BY,0.7115763160283125,0.7746,1.0372,breeding,0.6156,,,,61.56,0.29675037275414234,common,29.675037275414233,,peak_abundance_with_occupancy_days_modifiers,0.6156
bohwax,BY,0.6653133896305093,0.38916666666666666,0.9451,nonbreeding,0.7698,0.0527,0.0337,49.0,76.98,0.2774572339241827,fairly_common,27.74572339241827,,peak_abundance_with_occupancy_days_modifiers,0.7698
eurwig,BY,0.658296903124199,0.275225,0.9315,prebreeding_migration,0.4594,0.0032,0.0003,49.0,45.94,0.27453113177706007,fairly_common,27.45311317770601,,peak_abundance_with_occupancy_days_modifiers,0.4594
eurlin1,BY,0.6571054092126798,0.5654500000000001,0.9292,nonbreeding,0.3935,0.0173,0.0173,133.0,39.35,0.2740342402217718,fairly_common,27.40342402217718,,peak_abundance_with_occupancy_days_modifiers,0.3935
meapip1,BY,0.6568980478848242,0.39693333333333336,0.9288,postbreeding_migration,0.9234,0.042,0.0198,84.0,92.34,0.2739477638313273,fairly_common,27.39477638313273,,peak_abundance_with_occupancy_days_modifiers,0.9234
whiwag,BY,0.641274771149234,0.5636,0.8989,postbreeding_migration,0.9993,0.0059,0.0065,98.0,99.92999999999999,0.26743235137240134,fairly_common,26.743235137240134,,peak_abundance_with_occupancy_days_modifiers,0.9993
comrav,BY,0.6138874995743133,0.8476,0.8476,resident,0.9976,0.0051,0.0051,365.0,99.76,0.2560109720129268,common,25.601097201292678,,peak_abundance_with_occupancy_days_modifiers,0.9976
eurbul,BY,0.5862855387758519,0.42547499999999994,0.7973,nonbreeding,1.0,,,,100.0,0.24450006029314617,fairly_common,24.450006029314615,,peak_abundance_with_occupancy_days_modifiers,1.0
gragoo,BY,0.5195078241488246,0.490525,0.6812,prebreeding_migration,0.3279,0.0101,0.0116,112.0,32.79,0.21665159026839112,fairly_common,21.665159026839113,,peak_abundance_with_occupancy_days_modifiers,0.3279
comswi,BY,0.49713229663398817,0.2392,0.644,breeding,0.6553,0.0079,0.0056,70.0,65.53,0.2073202705194999,fairly_common,20.732027051949988,,peak_abundance_with_occupancy_days_modifiers,0.6553
comchi1,BY,0.47137768479887937,0.5779000000000001,0.6022,breeding,0.9994,0.0079,0.0122,91.0,99.94,0.19657976315570122,fairly_common,19.65797631557012,,peak_abundance_with_occupancy_days_modifiers,0.9994
whisto1,BY,0.4669364301962654,0.48905,0.5951,breeding,0.8362,0.0532,0.0406,28.0,83.62,0.19472761612784922,rare,19.47276161278492,rare,peak_abundance_with_occupancy_days_modifiers,0.8362
eurgre1,BY,0.4472466421231193,0.40654999999999997,0.564,nonbreeding,0.9947,0.0174,0.0181,287.0,99.47,0.18651633672106852,common,18.65163367210685,,peak_abundance_with_occupancy_days_modifiers,0.9947
eutspa,BY,0.4434029474485566,0.558,0.558,resident,0.4113,0.0061,0.0025,365.0,41.13,0.18491339153903094,fairly_common,18.491339153903095,,peak_abundance_with_occupancy_days_modifiers,0.4113
blackc1,BY,0.4270308860227249,0.3204666666666666,0.5327,breeding,1.0,0.0286,0.0224,91.0,100.0,0.17808571161007172,fairly_common,17.808571161007173,,peak_abundance_with_occupancy_days_modifiers,1.0
comhom1,BY,0.417974024690416,0.23420207667993878,0.5188812204799049,breeding,0.4791767146272673,0.0167426275913061,0.0076093368783417,91.0,47.91767146272673,0.17430870706986112,fairly_common,17.430870706986113,,peak_abundance_with_occupancy_days_modifiers,0.4791767146272673
comcuc,BY,0.4129040372051627,0.30356666666666665,0.5112,breeding,0.9942,0.007,0.0136,77.0,99.42,0.172194358064395,fairly_common,17.219435806439503,,peak_abundance_with_occupancy_days_modifiers,0.9942
brambl,BY,0.4057983858982847,0.2613666666666667,0.5005,postbreeding_migration,0.9992,0.009,0.003,70.0,99.92,0.16923107130726084,fairly_common,16.923107130726084,,peak_abundance_with_occupancy_days_modifiers,0.9992
whinch1,BY,0.40212620684264977,0.3755,0.495,breeding,0.9821,0.0069,0.0228,98.0,98.21,0.16769965369395134,fairly_common,16.769965369395134,,peak_abundance_with_occupancy_days_modifiers,0.9821
grewhi1,BY,0.3912309480803398,0.27636666666666665,0.4788,breeding,0.9997,0.016,0.024,84.0,99.97,0.16315597787711927,fairly_common,16.315597787711926,,peak_abundance_with_occupancy_days_modifiers,0.9997
hoocro1,BY,0.37190832457932166,0.2583,0.4505,postbreeding_migration,0.6418,0.0101,0.006,168.0,64.18,0.1550978179898993,fairly_common,15.50978179898993,,peak_abundance_with_occupancy_days_modifiers,0.6418
whoswa,BY,0.366654977321073,0.24065000000000003,0.4429,prebreeding_migration,0.6248,0.0116,0.0042,56.0,62.480000000000004,0.1529070020198099,fairly_common,15.29070020198099,,peak_abundance_with_occupancy_days_modifiers,0.6248
woosan,BY,0.3616525351515112,0.26243333333333335,0.4357,postbreeding_migration,0.5247,0.0048,0.0075,105.0,52.470000000000006,0.150820821598876,fairly_common,15.0820821598876,,peak_abundance_with_occupancy_days_modifiers,0.5247
sonthr1,BY,0.3602585152700852,0.3658666666666666,0.4337,postbreeding_migration,0.9998,,,,99.98,0.15023947015403197,fairly_common,15.023947015403197,,peak_abundance_with_occupancy_days_modifiers,0.9998
gnwtea,BY,0.3563448894767504,0.251475,0.4281,postbreeding_migration,0.6463,0.0083,0.0054,147.0,64.63,0.14860736143029793,fairly_common,14.860736143029794,,peak_abundance_with_occupancy_days_modifiers,0.6463
combuz1,BY,0.3519940054201917,0.32377500000000003,0.4219,postbreeding_migration,0.9978,0.0204,0.0197,154.0,99.78,0.14679290184738164,fairly_common,14.679290184738164,,peak_abundance_with_occupancy_days_modifiers,0.9978
trepip,BY,0.3447946519080169,0.28636666666666666,0.4117,postbreeding_migration,0.9991,,,,99.91,0.14379053823549084,fairly_common,14.379053823549084,,peak_abundance_with_occupancy_days_modifiers,0.9991
eaywag1,BY,0.3363293692733022,0.3194333333333333,0.3998,postbreeding_migration,0.6287,0.0037,0.0044,63.0,62.870000000000005,0.14026024117425365,fairly_common,14.026024117425365,,peak_abundance_with_occupancy_days_modifiers,0.6287
sedwar1,BY,0.3301666840579362,0.2689,0.3912,breeding,0.9311,,,,93.11,0.1376902018212947,fairly_common,13.769020182129472,,peak_abundance_with_occupancy_days_modifiers,0.9311
woowar,BY,0.3289439702004214,0.22840000000000002,0.3895,breeding,0.7149,0.037,0.0802,91.0,71.49,0.1371802905372677,fairly_common,13.718029053726772,,peak_abundance_with_occupancy_days_modifiers,0.7149
wlwwar,BY,0.32844006492394867,0.3215666666666666,0.3888,breeding,0.9568,0.0049,0.0087,105.0,95.67999999999999,0.13697014571476904,fairly_common,13.697014571476904,,peak_abundance_with_occupancy_days_modifiers,0.9568
eurbla,BY,0.3246887980808766,0.251025,0.3836,breeding,0.9977,0.0195,0.0088,119.0,99.77000000000001,0.13540574593233218,fairly_common,13.540574593233218,,peak_abundance_with_occupancy_days_modifiers,0.9977
eugori2,BY,0.3207782999409705,0.22346666666666667,0.3782,breeding,0.9967,,,,99.67,0.1337749415413871,fairly_common,13.377494154138711,,peak_abundance_with_occupancy_days_modifiers,0.9967
rebshr1,BY,0.31677960327547683,0.2873666666666666,0.3727,breeding,0.9977,0.0078,0.0071,49.0,99.77000000000001,0.1321073555083961,fairly_common,13.210735550839612,,peak_abundance_with_occupancy_days_modifiers,0.9977
goldcr1,BY,0.30306317449008324,0.20809999999999998,0.354,nonbreeding,0.9107,,,,91.07,0.12638716041022308,fairly_common,12.638716041022308,,peak_abundance_with_occupancy_days_modifiers,0.9107
blutit,BY,0.3028415842096035,0.3537,0.3537,resident,1.0,0.0228,0.013,365.0,100.0,0.12629475008563817,common,12.629475008563817,,peak_abundance_with_occupancy_days_modifiers,1.0
eurrob1,BY,0.3004008448595556,0.18942499999999998,0.3504,postbreeding_migration,1.0,0.0245,0.0164,119.0,100.0,0.1252768827176445,fairly_common,12.52768827176445,,peak_abundance_with_occupancy_days_modifiers,1.0
mutswa,BY,0.2972858085944757,0.20705,0.3462,prebreeding_migration,0.1978,,,,19.78,0.12397781169464497,fairly_common,12.397781169464498,,peak_abundance_with_occupancy_days_modifiers,0.1978
eurcoo,BY,0.27922138153391396,0.15955,0.3221,postbreeding_migration,0.0789,0.0021,0.0015,154.0,7.89,0.11644436047787003,fairly_common,11.644436047787003,,peak_abundance_with_occupancy_days_modifiers,0.0789
reebun,BY,0.2780104527550499,0.216675,0.3205,prebreeding_migration,0.9589,0.0198,0.0345,91.0,95.89,0.11593936395337588,fairly_common,11.593936395337588,,peak_abundance_with_occupancy_days_modifiers,0.9589
eurjay1,BY,0.26259500707513717,0.3003,0.3003,year_round,1.0,,,,100.0,0.10951062377661132,fairly_common,10.951062377661131,,peak_abundance_with_occupancy_days_modifiers,1.0
whwter,BY,0.24865534048293306,0.19553333333333334,0.2823,breeding,0.2538,0.0083,0.0039,63.0,25.380000000000003,0.10369733128200777,fairly_common,10.369733128200776,,peak_abundance_with_occupancy_days_modifiers,0.2538
corcra,BY,0.24278930356104428,0.19845,0.2748,breeding,0.9895,,,,98.95,0.10125100387628955,fairly_common,10.125100387628954,,peak_abundance_with_occupancy_days_modifiers,0.9895
eubeat1,BY,0.23657297162587054,0.1549,0.2669,postbreeding_migration,0.1969,0.0054,0.0036,56.0,19.689999999999998,0.09865859210347719,fairly_common,9.865859210347718,,peak_abundance_with_occupancy_days_modifiers,0.1969
greegr,BY,0.23617822958466536,0.18525,0.2664,breeding,0.642,0.0041,0.0038,133.0,64.2,0.09849397188603765,fairly_common,9.849397188603765,,peak_abundance_with_occupancy_days_modifiers,0.642
dunnoc1,BY,0.23602028912788908,0.11499999999999999,0.2662,postbreeding_migration,0.9946,0.0271,0.0313,56.0,99.46000000000001,0.09842810559964563,fairly_common,9.842810559964562,,peak_abundance_with_occupancy_days_modifiers,0.9946
grswoo,BY,0.2331730869513882,0.2626,0.2626,resident,0.9318,,,,93.17999999999999,0.09724073006711112,fairly_common,9.724073006711112,,peak_abundance_with_occupancy_days_modifiers,0.9318
thrnig1,BY,0.23063541707250526,0.16426666666666667,0.2594,prebreeding_migration,0.9978,0.0424,0.0624,56.0,99.78,0.09618243952887533,fairly_common,9.618243952887532,,peak_abundance_with_occupancy_days_modifiers,0.9978
wemhar1,BY,0.22290352250960094,0.20833333333333334,0.2497,breeding,0.8462,0.0219,0.0244,91.0,84.61999999999999,0.0929579890490672,fairly_common,9.29579890490672,,peak_abundance_with_occupancy_days_modifiers,0.8462
comsni,BY,0.21905520540560322,0.21293333333333334,0.2449,prebreeding_migration,0.8756,0.0098,0.0142,140.0,87.56,0.09135311616422816,fairly_common,9.135311616422817,,peak_abundance_with_occupancy_days_modifiers,0.8756
misthr1,BY,0.21849275309878236,0.1373,0.2442,postbreeding_migration,0.9903,0.0334,0.0141,112.0,99.03,0.0911185553336526,fairly_common,9.11185553336526,,peak_abundance_with_occupancy_days_modifiers,0.9903
graher1,BY,0.21357794644450878,0.15130000000000002,0.2381,breeding,0.9083,0.0071,0.0054,147.0,90.83,0.08906892176123309,fairly_common,8.906892176123309,,peak_abundance_with_occupancy_days_modifiers,0.9083
norpin,BY,0.20953132389434773,0.07936666666666667,0.2331,prebreeding_migration,0.2747,0.0028,0.0018,119.0,27.47,0.08738134908194817,fairly_common,8.738134908194816,,peak_abundance_with_occupancy_days_modifiers,0.2747
redwin,BY,0.20945022418220727,0.1308,0.233,prebreeding_migration,0.9969,,,,99.69,0.08734752787505042,fairly_common,8.734752787505041,,peak_abundance_with_occupancy_days_modifiers,0.9969
woolar1,BY,0.19876888817255486,0.12863333333333335,0.2199,prebreeding_migration,0.9159,0.045,0.0436,154.0,91.59,0.08289306477533913,fairly_common,8.289306477533913,,peak_abundance_with_occupancy_days_modifiers,0.9159
wiltit1,BY,0.19704595219233664,0.2178,0.2178,resident,0.8334,0.0232,0.0114,365.0,83.34,0.08217454466323786,common,8.217454466323785,,peak_abundance_with_occupancy_days_modifiers,0.8334
rook1,BY,0.1957312437038723,0.19905,0.2162,breeding,0.2405,0.0054,0.0035,217.0,24.05,0.0816262686382678,fairly_common,8.16262686382678,,peak_abundance_with_occupancy_days_modifiers,0.2405
garwar1,BY,0.19276681465549328,0.11399999999999999,0.2126,breeding,0.9958,0.0307,0.0372,56.0,99.58,0.08039000570301484,fairly_common,8.039000570301484,,peak_abundance_with_occupancy_days_modifiers,0.9958
comros,BY,0.1895454018832742,0.126,0.2087,breeding,0.9939,0.0105,0.008,49.0,99.39,0.07904657223085165,fairly_common,7.904657223085165,,peak_abundance_with_occupancy_days_modifiers,0.9939
stodov1,BY,0.18490155905734176,0.1056,0.2031,prebreeding_migration,0.9344,,,,93.44,0.07710993935175477,fairly_common,7.710993935175477,,peak_abundance_with_occupancy_days_modifiers,0.9344
winwre4,BY,0.1798184265758361,0.17077499999999998,0.197,postbreeding_migration,1.0,,,,100.0,0.07499010845706619,uncommon,7.499010845706619,,peak_abundance_with_occupancy_days_modifiers,1.0
marwar3,BY,0.173953307123438,0.084,0.19,breeding,0.9761,0.054,0.0585,42.0,97.61,0.07254416366584371,uncommon,7.254416366584371,,peak_abundance_with_occupancy_days_modifiers,0.9761
grrwar1,BY,0.16653087088763055,0.11423333333333334,0.1812,breeding,0.8239,0.0368,0.022,28.0,82.39,0.06944876733223097,rare,6.944876733223097,rare,peak_abundance_with_occupancy_days_modifiers,0.8239
spofly1,BY,0.1658533640866473,0.13726666666666668,0.1804,breeding,0.871,0.0198,0.0248,91.0,87.1,0.06916622505081077,uncommon,6.916622505081077,,peak_abundance_with_occupancy_days_modifiers,0.871
blkter,BY,0.15794347806595455,0.13146666666666665,0.1711,breeding,0.3052,0.0199,0.0163,84.0,30.520000000000003,0.06586754636770802,uncommon,6.586754636770801,,peak_abundance_with_occupancy_days_modifiers,0.3052
eurmag1,BY,0.15546410262407195,0.1682,0.1682,resident,0.6404,0.0079,0.0026,365.0,64.03999999999999,0.06483356649794114,fairly_common,6.483356649794114,,peak_abundance_with_occupancy_days_modifiers,0.6404
hawfin,BY,0.15486471056091533,0.12575,0.1675,breeding,0.905,,,,90.5,0.06458360059244224,uncommon,6.458360059244224,,peak_abundance_with_occupancy_days_modifiers,0.905
gargan,BY,0.15435065982992457,0.10853333333333333,0.1669,prebreeding_migration,0.5756,0.0119,0.0071,112.0,57.56,0.06436922478678381,uncommon,6.4369224786783805,,peak_abundance_with_occupancy_days_modifiers,0.5756
comgol,BY,0.1520341558554981,0.10830000000000001,0.1642,nonbreeding,0.0259,0.0126,0.0034,70.0,2.59,0.06340316759458499,rare,6.340316759458499,rare,peak_abundance_with_occupancy_days_modifiers,0.0259
redcro,BY,0.1508308897025838,0.0945,0.1628,postbreeding_migration,0.6548,,,,65.48,0.06290136663331528,uncommon,6.290136663331528,,peak_abundance_with_occupancy_days_modifiers,0.6548
cretit2,BY,0.13706265038833976,0.1469,0.1469,resident,0.449,0.0385,0.0431,365.0,44.9,0.05715956486639474,uncommon,5.715956486639474,,peak_abundance_with_occupancy_days_modifiers,0.449
grecor,BY,0.13645212313550004,0.0821,0.1462,postbreeding_migration,0.0323,0.0009,0.0012,98.0,3.2300000000000004,0.05690495522611327,rare,5.690495522611327,rare,peak_abundance_with_occupancy_days_modifiers,0.0323
grnsan,BY,0.13619035445026548,0.12486666666666667,0.1459,postbreeding_migration,0.9813,0.0102,0.0165,98.0,98.13,0.05679578920530992,uncommon,5.679578920530992,,peak_abundance_with_occupancy_days_modifiers,0.9813
eurjac,BY,0.13216796357741728,0.10275000000000001,0.1413,nonbreeding,0.0837,0.0059,0.0032,140.0,8.37,0.055118321920363006,uncommon,5.511832192036301,,peak_abundance_with_occupancy_days_modifiers,0.0837
bktgod,BY,0.12962376779350557,0.07343333333333334,0.1384,prebreeding_migration,0.2394,0.0085,0.0049,70.0,23.94,0.05405730986834685,uncommon,5.405730986834685,,peak_abundance_with_occupancy_days_modifiers,0.2394
martit2,BY,0.12777736994182637,0.1363,0.1363,resident,0.6838,,,,68.38,0.05328730215674048,uncommon,5.328730215674049,,peak_abundance_with_occupancy_days_modifiers,0.6838
norsho,BY,0.12319061055519832,0.05859999999999999,0.1311,prebreeding_migration,0.2484,0.0069,0.0012,119.0,24.84,0.05137447492084735,uncommon,5.1374474920847355,,peak_abundance_with_occupancy_days_modifiers,0.2484
comter,BY,0.12301377589514423,0.06976666666666666,0.1309,breeding,0.2278,0.0034,0.0017,63.0,22.78,0.051300729139678314,uncommon,5.130072913967831,,peak_abundance_with_occupancy_days_modifiers,0.2278
ictwar1,BY,0.11991409666533759,0.067,0.1274,breeding,0.9918,,,,99.18,0.05000806249782395,uncommon,5.000806249782395,,peak_abundance_with_occupancy_days_modifiers,0.9918
eurwoo,BY,0.11831622681804224,0.06956666666666667,0.1256,breeding,0.6407,,,,64.07000000000001,0.049341699014221675,uncommon,4.934169901422168,,peak_abundance_with_occupancy_days_modifiers,0.6407
rolhaw,BY,0.11662681193171963,0.08206666666666666,0.1237,nonbreeding,0.6859,,,,68.58999999999999,0.04863715828407083,uncommon,4.8637158284070825,,peak_abundance_with_occupancy_days_modifiers,0.6859
eurnut2,BY,0.1147562372981886,0.1216,0.1216,resident,0.5981,,,,59.809999999999995,0.04785706807131185,uncommon,4.785706807131184,,peak_abundance_with_occupancy_days_modifiers,0.5981
blueth,BY,0.1086750166256561,0.06186666666666666,0.1148,breeding,0.7729,,,,77.29,0.04532100207146709,uncommon,4.5321002071467085,,peak_abundance_with_occupancy_days_modifiers,0.7729
comred1,BY,0.10858531041344074,0.0858,0.1147,breeding,0.2774,0.0089,0.0076,119.0,27.74,0.04528359167526132,uncommon,4.528359167526132,,peak_abundance_with_occupancy_days_modifiers,0.2774
coatit2,BY,0.10741839676727034,0.1134,0.1134,resident,0.5685,,,,56.85,0.04479695088681326,uncommon,4.479695088681326,,peak_abundance_with_occupancy_days_modifiers,0.5685
snobun,BY,0.10589037525743225,0.040766666666666666,0.1117,nonbreeding,0.0782,,,,7.82,0.044159716422417776,uncommon,4.415971642241778,,peak_abundance_with_occupancy_days_modifiers,0.0782
blrwar1,BY,0.09984533496971613,0.05153333333333334,0.105,breeding,0.9042,0.0224,0.018,42.0,90.42,0.041638738814975644,uncommon,4.163873881497564,,peak_abundance_with_occupancy_days_modifiers,0.9042
blawoo1,BY,0.09893994785490356,0.104,0.104,resident,0.6713,,,,67.13,0.041261163061320695,uncommon,4.12611630613207,,peak_abundance_with_occupancy_days_modifiers,0.6713
grcgre1,BY,0.09503741533475173,0.05025,0.0997,breeding,0.0607,0.0037,0.0063,112.0,6.069999999999999,0.03963368059183081,uncommon,3.963368059183081,,peak_abundance_with_occupancy_days_modifiers,0.0607
eurspa1,BY,0.09403664192638297,0.053875,0.0986,postbreeding_migration,1.0,0.0128,0.0186,126.0,100.0,0.03921632566406504,uncommon,3.921632566406504,,peak_abundance_with_occupancy_days_modifiers,1.0
leswhi4,BY,0.09066303489724216,0.05936666666666667,0.0949,breeding,0.9997,0.0137,0.0114,98.0,99.97,0.03780942225697679,uncommon,3.780942225697679,,peak_abundance_with_occupancy_days_modifiers,0.9997
twite1,BY,0.0900235026475885,0.06076666666666667,0.0942,nonbreeding,0.2411,0.0129,0.005,49.0,24.11,0.03754271659351082,uncommon,3.754271659351082,,peak_abundance_with_occupancy_days_modifiers,0.2411
casgul2,BY,0.08865169759456264,0.061875,0.0927,postbreeding_migration,0.1906,0.0076,0.0044,147.0,19.06,0.03697062945167956,uncommon,3.697062945167956,,peak_abundance_with_occupancy_days_modifiers,0.1906
norshr1,BY,0.08672800350982414,0.06395,0.0906,nonbreeding,0.9828,,,,98.28,0.03616838670715239,uncommon,3.616838670715239,,peak_abundance_with_occupancy_days_modifiers,0.9828
hoopoe,BY,0.08231704248921366,0.07416666666666667,0.0858,breeding,0.7934,0.0048,0.0027,70.0,79.34,0.034328873084248104,uncommon,3.4328873084248106,,peak_abundance_with_occupancy_days_modifiers,0.7934
blared1,BY,0.08038111194681247,0.06616666666666667,0.0837,postbreeding_migration,0.8685,0.0239,0.0059,119.0,86.85000000000001,0.03352152734051921,uncommon,3.3521527340519213,,peak_abundance_with_occupancy_days_modifiers,0.8685
leseag1,BY,0.0752929840354313,0.0782,0.0782,breeding,0.8884,0.0591,0.1152,28.0,88.84,0.03139961318976353,rare,3.1399613189763533,rare,peak_abundance_with_occupancy_days_modifiers,0.8884
