species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
treswa,BZ,1.293301494270726,1.0298666666666667,2.6448,nonbreeding,0.3464,0.015,0.02,91.0,34.64,0.539348614988272,common,53.9348614988272,,peak_abundance_with_occupancy_days_modifiers,0.3464
easkin,BZ,1.001807659396918,0.97505,1.7232,postbreeding_migration,0.9576,0.0031,0.0155,77.0,95.76,0.4177862439454235,common,41.778624394542355,,peak_abundance_with_occupancy_days_modifiers,0.9576
categr1,BZ,0.8986160892277548,0.9896882316304846,1.4562015941568656,nonbreeding,0.3013962384038197,0.0007947717597259242,0.0010654847362159,140.0,30.13962384038197,0.3747520166629545,common,37.47520166629545,,peak_abundance_with_occupancy_days_modifiers,0.3013962384038197
blkvul,BZ,0.8900699522310727,1.4353,1.4353,resident,0.8893,0.0013,0.002,365.0,88.92999999999999,0.3711880007137888,common,37.118800071378885,,peak_abundance_with_occupancy_days_modifiers,0.8893
brnjay,BZ,0.8705818157805052,1.3883,1.3883,resident,0.8331,0.0421,0.0597,365.0,83.31,0.3630608165654067,common,36.30608165654067,,peak_abundance_with_occupancy_days_modifiers,0.8331
grtgra,BZ,0.8545429795827456,1.09455,1.3503,nonbreeding,0.4731,0.0115,0.0097,126.0,47.31,0.35637210235019323,common,35.637210235019325,,peak_abundance_with_occupancy_days_modifiers,0.4731
whcsee1,BZ,0.81110797819351,1.2504,1.2504,resident,0.8521,0.0375,0.0726,365.0,85.21,0.3382582998493249,common,33.82582998493249,,peak_abundance_with_occupancy_days_modifiers,0.8521
oltpar1,BZ,0.8027188169892362,1.2316,1.2316,resident,0.7148,0.042,0.0629,365.0,71.48,0.33475974789026314,common,33.47597478902632,,peak_abundance_with_occupancy_days_modifiers,0.7148
turvul,BZ,0.7709412079999655,0.9525,1.1618,postbreeding_migration,0.9017,0.0011,0.0019,126.0,90.16999999999999,0.3215074556197229,common,32.150745561972286,,peak_abundance_with_occupancy_days_modifiers,0.9017
buwtea,BZ,0.749669280884271,0.7288666666666668,1.1163,nonbreeding,0.1675,0.0056,0.0119,126.0,16.75,0.31263637298446245,common,31.263637298446245,,peak_abundance_with_occupancy_days_modifiers,0.1675
placha,BZ,0.7313577683236974,1.0779,1.0779,resident,0.8562,0.0503,0.0812,365.0,85.61999999999999,0.30499987911073145,common,30.499987911073145,,peak_abundance_with_occupancy_days_modifiers,0.8562
socfly1,BZ,0.7003213843079457,1.0144,1.0144,resident,0.8469,0.0032,0.0166,365.0,84.69,0.29205670166348124,common,29.205670166348124,,peak_abundance_with_occupancy_days_modifiers,0.8469
melbla1,BZ,0.6913455586133171,0.9964,0.9964,resident,0.8304,0.0284,0.0356,365.0,83.04,0.288313491609043,common,28.831349160904303,,peak_abundance_with_occupancy_days_modifiers,0.8304
purmar,BZ,0.6666491892537171,0.25525,0.9477,postbreeding_migration,0.4974,0.0053,0.0043,140.0,49.74,0.27801430563551255,fairly_common,27.801430563551254,,peak_abundance_with_occupancy_days_modifiers,0.4974
bbwduc,BZ,0.6508657883033392,0.7743499999999999,0.9172,postbreeding_migration,0.3641,0.0024,0.0043,161.0,36.41,0.2714321161923688,fairly_common,27.14321161923688,,peak_abundance_with_occupancy_days_modifiers,0.3641
spbwre1,BZ,0.6393243738624387,0.8952,0.8952,resident,0.817,0.0483,0.092,365.0,81.69999999999999,0.2666189725276617,common,26.66189725276617,,peak_abundance_with_occupancy_days_modifiers,0.817
magfri,BZ,0.6281819017075861,0.6913,0.8742,prebreeding_migration,0.1572,0.0149,0.0205,140.0,15.72,0.26197220071854554,fairly_common,26.197220071854556,,peak_abundance_with_occupancy_days_modifiers,0.1572
grycat,BZ,0.5967464062735909,0.4722,0.8162,nonbreeding,0.889,0.0147,0.0447,98.0,88.9,0.2488625808821005,fairly_common,24.88625808821005,,peak_abundance_with_occupancy_days_modifiers,0.889
whfpar1,BZ,0.587397700376336,0.7993,0.7993,resident,0.6305,0.0332,0.0429,365.0,63.05,0.2449638677050463,common,24.49638677050463,,peak_abundance_with_occupancy_days_modifiers,0.6305
barswa,BZ,0.5564679816446918,0.297025,0.7445,postbreeding_migration,0.5257,0.0002,0.0001,154.0,52.56999999999999,0.23206517313630937,fairly_common,23.206517313630936,,peak_abundance_with_occupancy_days_modifiers,0.5257
yegvir,BZ,0.5556077665378839,0.37986666666666663,0.743,breeding,0.7782,0.0217,0.0446,84.0,77.82,0.23170643557317802,fairly_common,23.170643557317803,,peak_abundance_with_occupancy_days_modifiers,0.7782
grekis,BZ,0.46555625431845554,0.5929,0.5929,resident,0.6818,0.0014,0.0014,365.0,68.17999999999999,0.19415203808094011,common,19.415203808094013,,peak_abundance_with_occupancy_days_modifiers,0.6818
blhsal1,BZ,0.45723495559291444,0.5797,0.5797,resident,0.7488,0.0352,0.0434,365.0,74.88,0.19068178697367213,common,19.068178697367212,,peak_abundance_with_occupancy_days_modifiers,0.7488
brnpel,BZ,0.45037473685677276,0.37305,0.5689,nonbreeding,0.1551,0.0165,0.0085,161.0,15.509999999999998,0.1878208535484456,fairly_common,18.78208535484456,,peak_abundance_with_occupancy_days_modifiers,0.1551
blbgra1,BZ,0.42402513362907446,0.5281,0.5281,resident,0.4585,0.0011,0.0018,365.0,45.85,0.17683221550131853,fairly_common,17.683221550131854,,peak_abundance_with_occupancy_days_modifiers,0.4585
whcpar,BZ,0.4148872466870692,0.5142,0.5142,resident,0.4621,0.0424,0.0612,365.0,46.21,0.17302142065732967,fairly_common,17.302142065732966,,peak_abundance_with_occupancy_days_modifiers,0.4621
