species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
cangoo,CA-AB,2.696571235815865,6.99395,13.8288,postbreeding_migration,0.6977,0.0679,0.1234,119.0,69.77,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6977
snogoo,CA-AB,2.56477241873188,4.3386,11.9977,postbreeding_migration,0.3149,0.0481,0.0612,119.0,31.490000000000002,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3149
mallar3,CA-AB,1.6704577502600457,2.099025,4.3146,postbreeding_migration,0.6647,0.0214,0.0265,126.0,66.47,0.6966349903641132,common,69.66349903641132,,peak_abundance_with_occupancy_days_modifiers,0.6647
gwfgoo,CA-AB,1.43727260588452,1.5352,3.2092,postbreeding_migration,0.3726,,,,37.26,0.5993892319605796,common,59.93892319605796,,peak_abundance_with_occupancy_days_modifiers,0.3726
redpol1,CA-AB,1.180619416058957,0.8465237395449996,2.2563906389747705,postbreeding_migration,0.9927920859909088,0.0422390188920662,0.0319911277252408,77.0,99.27920859909088,0.492356538440964,common,49.2356538440964,,peak_abundance_with_occupancy_days_modifiers,0.9927920859909088
eursta,CA-AB,1.1282681735756204,1.009325,2.0903,postbreeding_migration,0.2882,0.012,0.0067,140.0,28.82,0.47052437459410756,common,47.052437459410754,,peak_abundance_with_occupancy_days_modifiers,0.2882
fragul,CA-AB,1.1093214074764612,1.343,2.0323,breeding,0.3508,0.2198,0.3225,112.0,35.08,0.4626229594180194,common,46.26229594180194,,peak_abundance_with_occupancy_days_modifiers,0.3508
rewbla,CA-AB,0.9899871907964919,0.5544250000000001,1.6912,breeding,0.7466,0.0549,0.0416,105.0,74.66000000000001,0.41285672565723264,common,41.28567256572326,,peak_abundance_with_occupancy_days_modifiers,0.7466
comrav,CA-AB,0.9717632809979795,1.6426,1.6426,resident,0.9996,0.0161,0.0317,365.0,99.96000000000001,0.4052567649728592,common,40.525676497285914,,peak_abundance_with_occupancy_days_modifiers,0.9996
norpin,CA-AB,0.9548958709852218,0.5033,1.5984,prebreeding_migration,0.3652,0.0143,0.0384,140.0,36.52,0.3982225086381056,common,39.82225086381056,,peak_abundance_with_occupancy_days_modifiers,0.3652
sancra,CA-AB,0.9528926343187035,1.0040333333333333,1.5932,postbreeding_migration,0.7119,0.0724,0.0468,84.0,71.19,0.39738709406047873,common,39.738709406047874,,peak_abundance_with_occupancy_days_modifiers,0.7119
snobun,CA-AB,0.8921619602955603,1.1928666666666665,1.4404,nonbreeding,0.3727,,,,37.269999999999996,0.372060435839801,common,37.2060435839801,,peak_abundance_with_occupancy_days_modifiers,0.3727
amerob,CA-AB,0.8699954528888514,0.8131999999999999,1.3869,prebreeding_migration,0.9987,0.0462,0.0459,98.0,99.87,0.36281628424645784,common,36.28162842464578,,peak_abundance_with_occupancy_days_modifiers,0.9987
y00475,CA-AB,0.7666299573197488,0.631375,1.1525,postbreeding_migration,0.2072,0.1098,0.1687,105.0,20.72,0.3197095244385227,common,31.97095244385227,,peak_abundance_with_occupancy_days_modifiers,0.2072
pingro,CA-AB,0.7342891238911206,0.40115,1.084,nonbreeding,0.827,,,,82.69999999999999,0.30622234933312864,common,30.622234933312864,,peak_abundance_with_occupancy_days_modifiers,0.827
cedwax,CA-AB,0.6414853972360535,0.325125,0.8993,breeding,0.8771,0.0741,0.0918,70.0,87.71,0.26752018927308396,fairly_common,26.752018927308395,,peak_abundance_with_occupancy_days_modifiers,0.8771
yerwar,CA-AB,0.6279684545349509,0.6843333333333333,0.8738,postbreeding_migration,0.9991,0.0551,0.0526,91.0,99.91,0.2618831863336986,fairly_common,26.18831863336986,,peak_abundance_with_occupancy_days_modifiers,0.9991
pinsis,CA-AB,0.6150234637783663,0.48985,0.8497,postbreeding_migration,0.866,0.072,0.0982,119.0,86.6,0.25648470588151534,fairly_common,25.648470588151532,,peak_abundance_with_occupancy_days_modifiers,0.866
whtspa,CA-AB,0.5859516489563893,0.32425,0.7967,breeding,0.7249,0.0922,0.0777,77.0,72.49,0.24436081742326352,fairly_common,24.43608174232635,,peak_abundance_with_occupancy_days_modifiers,0.7249
tunswa,CA-AB,0.5611003996396132,0.302325,0.7526,prebreeding_migration,0.3692,0.0039,0.0001,21.0,36.919999999999995,0.23399704149080824,rare,23.399704149080826,rare,peak_abundance_with_occupancy_days_modifiers,0.3692
