species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
pinsis,CA-BC,1.3861193458056038,2.2175000000000002,2.9993,nonbreeding,0.5741,0.1343,0.4152,119.0,57.410000000000004,0.5780566655807228,common,57.805666558072275,,peak_abundance_with_occupancy_days_modifiers,0.5741
amerob,CA-BC,1.209467679807897,1.1866750000000001,2.3517,prebreeding_migration,0.9657,0.0662,0.0855,98.0,96.57,0.5043871988606219,common,50.43871988606219,,peak_abundance_with_occupancy_days_modifiers,0.9657
redpol1,CA-BC,1.0650411039066165,0.8163738255079755,1.9009582223249069,postbreeding_migration,0.8297626682215196,0.0480720153634975,0.0397913976475887,112.0,82.97626682215196,0.4441566385272955,common,44.41566385272955,,peak_abundance_with_occupancy_days_modifiers,0.8297626682215196
daejun,CA-BC,0.9302725293945739,0.841575,1.5352,prebreeding_migration,0.9587,0.1095,0.1517,105.0,95.87,0.38795377760970157,common,38.795377760970155,,peak_abundance_with_occupancy_days_modifiers,0.9587
cangoo,CA-BC,0.81518780646897,0.66455,1.2596,prebreeding_migration,0.4807,0.0515,0.016,119.0,48.07,0.3399597203916402,common,33.995972039164016,,peak_abundance_with_occupancy_days_modifiers,0.4807
yerwar,CA-BC,0.790546086547078,0.721625,1.2046,prebreeding_migration,0.9511,0.1074,0.136,133.0,95.11,0.32968332500380715,common,32.96833250038071,,peak_abundance_with_occupancy_days_modifiers,0.9511
comrav,CA-BC,0.6999738259022227,1.0137,1.0137,resident,0.9658,0.0231,0.0289,365.0,96.58,0.291911758550383,common,29.1911758550383,,peak_abundance_with_occupancy_days_modifiers,0.9658
whwcro,CA-BC,0.6307397204313283,0.473775,0.879,nonbreeding,0.7697,,,,76.97,0.2630388939777374,fairly_common,26.303889397773737,,peak_abundance_with_occupancy_days_modifiers,0.7697
glwgul,CA-BC,0.5927189257254523,0.5283,0.8089,nonbreeding,0.0404,0.2083,0.2793,154.0,4.04,0.24718299103769556,rare,24.718299103769557,rare,peak_abundance_with_occupancy_days_modifiers,0.0404
swathr,CA-BC,0.5479479830677406,0.3136333333333333,0.7297,breeding,0.8671,0.1194,0.1615,70.0,86.71,0.2285120577548323,fairly_common,22.85120577548323,,peak_abundance_with_occupancy_days_modifiers,0.8671
gockin,CA-BC,0.5385380623325264,0.46025,0.7135,postbreeding_migration,0.7897,0.2007,0.2877,98.0,78.97,0.22458781600751332,fairly_common,22.458781600751333,,peak_abundance_with_occupancy_days_modifiers,0.7897
amepip,CA-BC,0.5357328474720906,0.360925,0.7087,prebreeding_migration,0.8205,0.0004,0.0005,0.0,82.05,0.2234179505458069,very_rare,22.34179505458069,very_rare,peak_abundance_with_occupancy_days_modifiers,0.8205
pingro,CA-BC,0.5259112611840315,0.29367499999999996,0.692,nonbreeding,0.7445,,,,74.45,0.21932203092851804,fairly_common,21.932203092851804,,peak_abundance_with_occupancy_days_modifiers,0.7445
mallar3,CA-BC,0.5041030780051639,0.3912,0.6555,prebreeding_migration,0.3717,0.0128,0.0072,126.0,37.169999999999995,0.21022731214481688,fairly_common,21.022731214481688,,peak_abundance_with_occupancy_days_modifiers,0.3717
redcro,CA-BC,0.44031731887537523,0.42212500000000003,0.5532,nonbreeding,0.5066,,,,50.660000000000004,0.18362658447611013,fairly_common,18.362658447611015,,peak_abundance_with_occupancy_days_modifiers,0.5066
sancra,CA-BC,0.41903922813528227,0.195975,0.5205,postbreeding_migration,0.2365,0.0356,0.0226,84.0,23.65,0.17475293140982706,fairly_common,17.475293140982707,,peak_abundance_with_occupancy_days_modifiers,0.2365
rhiauk,CA-BC,0.40162689743549046,0.194622063063605,0.4942537187644221,breeding,0.0222185268216277,0.0436228987892323,0.1137280210093972,105.0,2.22185268216277,0.16749142549782306,rare,16.749142549782306,rare,peak_abundance_with_occupancy_days_modifiers,0.0222185268216277
ruckin,CA-BC,0.4007205370774074,0.29464999999999997,0.4929,prebreeding_migration,0.9351,0.1119,0.1004,119.0,93.51,0.1671134438701996,fairly_common,16.71134438701996,,peak_abundance_with_occupancy_days_modifiers,0.9351
chispa,CA-BC,0.39393219229444015,0.28143333333333337,0.4828,breeding,0.7517,0.0817,0.0912,98.0,75.17,0.16428248421154648,fairly_common,16.42824842115465,,peak_abundance_with_occupancy_days_modifiers,0.7517
sursco,CA-BC,0.38994529645012754,0.270075,0.4769,prebreeding_migration,0.0542,0.1965,0.2512,126.0,5.42,0.16261981950323337,fairly_common,16.26198195032334,,peak_abundance_with_occupancy_days_modifiers,0.0542
cedwax,CA-BC,0.3832876631634613,0.15610000000000002,0.4671,breeding,0.5528,0.0691,0.0706,126.0,55.279999999999994,0.15984337077246927,fairly_common,15.984337077246927,,peak_abundance_with_occupancy_days_modifiers,0.5528
varthr,CA-BC,0.3424543082987604,0.24785,0.4084,prebreeding_migration,0.8002,0.3305,0.5283,112.0,80.02,0.14281453914336814,fairly_common,14.281453914336813,,peak_abundance_with_occupancy_days_modifiers,0.8002
commur,CA-BC,0.32902353938451,0.2255510213192258,0.3896105657800473,postbreeding_migration,0.0257654698090811,0.0044965373273683,0.0087124337761391,105.0,2.57654698090811,0.1372134734643919,rare,13.721347346439188,rare,peak_abundance_with_occupancy_days_modifiers,0.0257654698090811
herthr,CA-BC,0.31159389249809377,0.12605,0.3656,breeding,0.9154,0.1199,0.1135,105.0,91.53999999999999,0.12994474614166956,fairly_common,12.994474614166956,,peak_abundance_with_occupancy_days_modifiers,0.9154
rebnut,CA-BC,0.2945335474008827,0.29225,0.3425,postbreeding_migration,0.806,0.1487,0.1509,119.0,80.60000000000001,0.12283002962725671,fairly_common,12.283002962725671,,peak_abundance_with_occupancy_days_modifiers,0.806
amewig,CA-BC,0.29042829811980614,0.179175,0.337,postbreeding_migration,0.1236,0.0319,0.0707,126.0,12.36,0.12111800770217666,fairly_common,12.111800770217666,,peak_abundance_with_occupancy_days_modifiers,0.1236
lotduc,CA-BC,0.25858791224740446,0.10737499999999998,0.2951,postbreeding_migration,0.0296,0.0594,0.0384,91.0,2.96,0.1078395354379382,rare,10.78395354379382,rare,peak_abundance_with_occupancy_days_modifiers,0.0296
orcwar,CA-BC,0.2542545463392624,0.143175,0.2895,breeding,0.8536,0.139,0.157,133.0,85.36,0.10603238149034941,fairly_common,10.60323814903494,,peak_abundance_with_occupancy_days_modifiers,0.8536
mewgul2,CA-BC,0.2442002938398199,0.176125,0.2766,nonbreeding,0.0301,0.2331,0.173,84.0,3.01,0.10183943252652371,rare,10.183943252652371,rare,peak_abundance_with_occupancy_days_modifiers,0.0301
wlswar,CA-BC,0.2303177550622101,0.153975,0.259,breeding,0.7868,0.1324,0.169,105.0,78.68,0.09604996418105725,fairly_common,9.604996418105726,,peak_abundance_with_occupancy_days_modifiers,0.7868
