species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
cangoo,CA-MB,2.4456372687837917,5.3582,10.5379,postbreeding_migration,0.6295,0.0513,0.1178,119.0,62.949999999999996,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6295
snogoo,CA-MB,2.8928520128526465,8.103766666666667,17.0447,prebreeding_migration,0.4724,0.0723,0.0634,105.0,47.24,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4724
redpol1,CA-MB,1.1853385932241682,0.9120858657409789,2.2717944413677915,postbreeding_migration,0.9899680626742214,0.0367673252701871,0.0304851312283994,112.0,98.99680626742214,0.4943245881797268,common,49.43245881797268,,peak_abundance_with_occupancy_days_modifiers,0.9899680626742214
mallar3,CA-MB,1.0786476482485126,1.1850749999999999,1.9407,postbreeding_migration,0.6051,0.0257,0.0256,119.0,60.51,0.4498310082532165,common,44.98310082532165,,peak_abundance_with_occupancy_days_modifiers,0.6051
rewbla,CA-MB,1.0024684281152074,0.7488250000000001,1.725,breeding,0.6708,0.0469,0.0404,126.0,67.08,0.41806180590419006,common,41.806180590419004,,peak_abundance_with_occupancy_days_modifiers,0.6708
ribgul,CA-MB,0.9311399347243609,1.3097666666666667,1.5374,breeding,0.6751,0.2284,0.1988,105.0,67.51,0.38831551372871675,common,38.83155137287167,,peak_abundance_with_occupancy_days_modifiers,0.6751
snobun,CA-MB,0.9155304429277463,0.816325,1.4981,postbreeding_migration,0.7973,0.0006,0.0003,28.0,79.73,0.3818058500358575,rare,38.18058500358575,rare,peak_abundance_with_occupancy_days_modifiers,0.7973
comrav,CA-MB,0.8294684279181836,1.2921,1.2921,resident,0.9998,0.0153,0.0237,365.0,99.98,0.34591520210563015,common,34.59152021056301,,peak_abundance_with_occupancy_days_modifiers,0.9998
fragul,CA-MB,0.7172542559031784,0.8722333333333333,1.0488,breeding,0.1836,0.1094,0.1583,112.0,18.360000000000003,0.29911825759852084,common,29.911825759852086,,peak_abundance_with_occupancy_days_modifiers,0.1836
amerob,CA-MB,0.6450068052320104,0.568325,0.906,breeding,0.9991,0.0419,0.0296,98.0,99.91,0.2689887304708184,fairly_common,26.89887304708184,,peak_abundance_with_occupancy_days_modifiers,0.9991
