species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
bkcchi,CA-NB,1.3755114337544214,2.9571,2.9571,resident,0.9647,0.0139,0.0361,365.0,96.47,0.57363282265,common,57.363282265,,peak_abundance_with_occupancy_days_modifiers,0.9647
amerob,CA-NB,1.3086570913927382,1.7664750000000002,2.7012,postbreeding_migration,0.9695,0.0054,0.0084,98.0,96.95,0.545752396377812,common,54.5752396377812,,peak_abundance_with_occupancy_days_modifiers,0.9695
cangoo,CA-NB,1.176714653555072,0.8527499999999999,2.2437,postbreeding_migration,0.2525,0.0048,0.0024,119.0,25.25,0.49072812599602517,common,49.072812599602514,,peak_abundance_with_occupancy_days_modifiers,0.2525
amhgul1,CA-NB,1.1434282557174882,1.7271898291873125,2.1375061220829235,prebreeding_migration,0.0779493820289289,0.0136438183952078,0.050020751518029,133.0,7.79493820289289,0.47684661990391863,common,47.68466199039187,,peak_abundance_with_occupancy_days_modifiers,0.0779493820289289
amecro,CA-NB,1.0969442315674127,1.372325,1.995,prebreeding_migration,0.9889,0.0109,0.0127,147.0,98.89,0.4574612761495903,common,45.74612761495903,,peak_abundance_with_occupancy_days_modifiers,0.9889
blujay,CA-NB,1.0840061362787474,1.309625,1.9565,nonbreeding,0.9538,0.0132,0.0172,112.0,95.38,0.45206567133088355,common,45.206567133088356,,peak_abundance_with_occupancy_days_modifiers,0.9538
evegro,CA-NB,1.0750706800850756,0.83545,1.9302,nonbreeding,0.8753,0.03,0.0581,161.0,87.53,0.44833929666596994,common,44.833929666596994,,peak_abundance_with_occupancy_days_modifiers,0.8753
cedwax,CA-NB,0.9928813340358676,0.641875,1.699,breeding,0.9672,0.0096,0.0204,126.0,96.72,0.41406367713347375,common,41.40636771334737,,peak_abundance_with_occupancy_days_modifiers,0.9672
reevir1,CA-NB,0.974710572003549,0.7207,1.6504,breeding,0.9634,0.011,0.0214,98.0,96.34,0.4064858807891351,common,40.64858807891351,,peak_abundance_with_occupancy_days_modifiers,0.9634
eursta,CA-NB,0.9177296960684094,1.0403,1.5036,postbreeding_migration,0.2908,0.0018,0.0008,140.0,29.080000000000002,0.38272300983245544,common,38.27230098324554,,peak_abundance_with_occupancy_days_modifiers,0.2908
redpol1,CA-NB,0.913243712867627,0.8914364119169016,1.4923940461113885,nonbreeding,0.7849909459735633,0.0076112367573703,0.0047613685528752,91.0,78.49909459735633,0.3808522095303442,common,38.08522095303442,,peak_abundance_with_occupancy_days_modifiers,0.7849909459735633
whtspa,CA-NB,0.8980860272193087,0.761025,1.4549,breeding,0.9635,0.0144,0.0167,105.0,96.35000000000001,0.3745309636359691,common,37.45309636359691,,peak_abundance_with_occupancy_days_modifiers,0.9635
amegfi,CA-NB,0.8018221971856014,0.9656,1.2296,postbreeding_migration,0.9618,0.0121,0.0114,112.0,96.17999999999999,0.33438582838935493,common,33.438582838935496,,peak_abundance_with_occupancy_days_modifiers,0.9618
comter,CA-NB,0.7640249411933822,0.5893666666666666,1.1469,breeding,0.0541,0.0004,0.0048,105.0,5.41,0.31862314833364525,common,31.862314833364525,,peak_abundance_with_occupancy_days_modifiers,0.0541
comyel,CA-NB,0.7403169850363353,0.5607333333333334,1.0966,breeding,0.9729,0.0092,0.0165,119.0,97.28999999999999,0.30873616268169085,common,30.873616268169084,,peak_abundance_with_occupancy_days_modifiers,0.9729
amered,CA-NB,0.7112326481063302,0.5973333333333334,1.0365,breeding,0.9679,0.018,0.0429,91.0,96.78999999999999,0.29660705209878235,common,29.660705209878234,,peak_abundance_with_occupancy_days_modifiers,0.9679
doccor,CA-NB,0.6876319998718351,0.53045,0.989,postbreeding_migration,0.0823,0.0057,0.0234,147.0,8.23,0.28676481732638837,fairly_common,28.676481732638837,,peak_abundance_with_occupancy_days_modifiers,0.0823
yerwar,CA-NB,0.6824906003714165,0.540075,0.9788,postbreeding_migration,0.974,0.0087,0.0068,133.0,97.39999999999999,0.2846206871974614,fairly_common,28.462068719746142,,peak_abundance_with_occupancy_days_modifiers,0.974
norgan,CA-NB,0.6750850377415368,0.9642,0.9642,breeding,0.0496,0.0003,0.0003,77.0,4.96,0.28153232770408065,rare,28.153232770408067,rare,peak_abundance_with_occupancy_days_modifiers,0.0496
blksco2,CA-NB,0.6706459152134318,0.282625,0.9555,prebreeding_migration,0.0577,0.0099,0.0502,112.0,5.7700000000000005,0.2796810698203598,fairly_common,27.968106982035977,,peak_abundance_with_occupancy_days_modifiers,0.0577
norpar,CA-NB,0.6678293725756554,0.4608999999999999,0.95,breeding,0.9631,0.0274,0.0648,112.0,96.31,0.27850648030857955,fairly_common,27.850648030857954,,peak_abundance_with_occupancy_days_modifiers,0.9631
whwcro,CA-NB,0.6591249319455091,0.582175,0.9331,nonbreeding,0.9135,,,,91.35,0.27487644661657923,fairly_common,27.487644661657924,,peak_abundance_with_occupancy_days_modifiers,0.9135
gockin,CA-NB,0.6565350620632132,0.6134,0.9281,postbreeding_migration,0.9532,0.0183,0.026,98.0,95.32000000000001,0.27379638698608777,fairly_common,27.379638698608776,,peak_abundance_with_occupancy_days_modifiers,0.9532
rebnut,CA-NB,0.6462651946598149,0.7372749999999999,0.9084,nonbreeding,0.9271,0.0149,0.0287,119.0,92.71000000000001,0.26951351962323866,fairly_common,26.951351962323866,,peak_abundance_with_occupancy_days_modifiers,0.9271
comgra,CA-NB,0.6375287567969331,0.49545000000000006,0.8918,prebreeding_migration,0.9441,0.0121,0.0072,105.0,94.41000000000001,0.2658701420487517,fairly_common,26.58701420487517,,peak_abundance_with_occupancy_days_modifiers,0.9441
ovenbi1,CA-NB,0.6313249669166024,0.3953333333333333,0.8801,breeding,0.9252,0.0204,0.0325,77.0,92.52,0.26328296071906393,fairly_common,26.328296071906394,,peak_abundance_with_occupancy_days_modifiers,0.9252
daejun,CA-NB,0.6281285441854969,0.549975,0.8741,prebreeding_migration,0.9394,0.0079,0.0056,105.0,93.94,0.2619499489035081,fairly_common,26.19499489035081,,peak_abundance_with_occupancy_days_modifiers,0.9394
comeid,CA-NB,0.6226710667556208,0.641675,0.8639,prebreeding_migration,0.0571,0.0161,0.0103,84.0,5.71,0.2596740040397831,fairly_common,25.967400403978306,,peak_abundance_with_occupancy_days_modifiers,0.0571
purfin,CA-NB,0.6070444815065336,0.527475,0.835,postbreeding_migration,0.9537,0.0276,0.0643,126.0,95.37,0.2531572118235613,fairly_common,25.315721182356132,,peak_abundance_with_occupancy_days_modifiers,0.9537
semsan,CA-NB,0.5948726112916048,0.2044,0.8128,postbreeding_migration,0.0322,0.0035,0.0023,133.0,3.2199999999999998,0.24808114767972403,rare,24.808114767972402,rare,peak_abundance_with_occupancy_days_modifiers,0.0322
pinsis,CA-NB,0.5684905759603895,0.370575,0.7656,postbreeding_migration,0.9417,0.0124,0.0063,119.0,94.17,0.2370789843949084,fairly_common,23.70789843949084,,peak_abundance_with_occupancy_days_modifiers,0.9417
herthr,CA-NB,0.5592157079140829,0.297675,0.7493,breeding,0.9401,0.0098,0.023,105.0,94.01,0.2332110639934128,fairly_common,23.32110639934128,,peak_abundance_with_occupancy_days_modifiers,0.9401
magwar,CA-NB,0.5558372295953385,0.3876666666666666,0.7434,breeding,0.9568,0.0217,0.0366,84.0,95.67999999999999,0.23180212910077186,fairly_common,23.180212910077184,,peak_abundance_with_occupancy_days_modifiers,0.9568
aldfly,CA-NB,0.515872864987504,0.37696666666666667,0.6751,breeding,0.9704,0.0115,0.0201,70.0,97.04,0.2151356945566161,fairly_common,21.51356945566161,,peak_abundance_with_occupancy_days_modifiers,0.9704
sonspa,CA-NB,0.5122246446796981,0.43045,0.669,breeding,0.7201,0.0075,0.0094,119.0,72.00999999999999,0.2136142685172093,fairly_common,21.36142685172093,,peak_abundance_with_occupancy_days_modifiers,0.7201
bawwar,CA-NB,0.509885181688934,0.3585,0.6651,breeding,0.9597,0.0188,0.0437,119.0,95.97,0.21263863667152247,fairly_common,21.263863667152247,,peak_abundance_with_occupancy_days_modifiers,0.9597
buhvir,CA-NB,0.4637340162321401,0.32716666666666666,0.59,breeding,0.9426,0.0231,0.0568,98.0,94.26,0.19339210577405963,fairly_common,19.339210577405964,,peak_abundance_with_occupancy_days_modifiers,0.9426
naswar,CA-NB,0.45906906419295596,0.2689666666666667,0.5826,breeding,0.9305,0.0261,0.0257,112.0,93.05,0.19144666966927923,fairly_common,19.14466696692792,,peak_abundance_with_occupancy_days_modifiers,0.9305
btnwar,CA-NB,0.4447499217710667,0.31893333333333335,0.5601,breeding,0.9315,0.0354,0.0556,98.0,93.15,0.1854751234619344,fairly_common,18.54751234619344,,peak_abundance_with_occupancy_days_modifiers,0.9315
comrav,CA-NB,0.44025293359382833,0.5531,0.5531,resident,0.9739,0.0018,0.0013,365.0,97.39,0.18359973372817415,common,18.359973372817414,,peak_abundance_with_occupancy_days_modifiers,0.9739
pingro,CA-NB,0.43405256496007694,0.218175,0.5435,nonbreeding,0.8596,,,,85.96000000000001,0.18101397916912887,fairly_common,18.101397916912887,,peak_abundance_with_occupancy_days_modifiers,0.8596
chswar,CA-NB,0.4278135117719262,0.2441,0.5339,breeding,0.9399,0.0364,0.047,70.0,93.99,0.17841209189785134,fairly_common,17.841209189785133,,peak_abundance_with_occupancy_days_modifiers,0.9399
treswa,CA-NB,0.42402513362907446,0.26163333333333333,0.5281,breeding,0.5836,0.0058,0.0071,91.0,58.36,0.17683221550131853,fairly_common,17.683221550131854,,peak_abundance_with_occupancy_days_modifiers,0.5836
snobun,CA-NB,0.4133671380040184,0.3194333333333333,0.5119,nonbreeding,0.2018,,,,20.18,0.17238748609801227,fairly_common,17.238748609801227,,peak_abundance_with_occupancy_days_modifiers,0.2018
gbbgul,CA-NB,0.40925790634686066,0.5057,0.5057,resident,0.0652,0.0093,0.0312,365.0,6.52,0.17067380339311153,fairly_common,17.067380339311153,,peak_abundance_with_occupancy_days_modifiers,0.0652
lotduc,CA-NB,0.4080617339554304,0.2647,0.5039,nonbreeding,0.0389,0.0098,0.0116,98.0,3.8899999999999997,0.1701749607601577,rare,17.01749607601577,rare,peak_abundance_with_occupancy_days_modifiers,0.0389
swathr,CA-NB,0.4058650281294913,0.2113666666666667,0.5006,breeding,0.9138,0.01,0.0088,77.0,91.38,0.16925886327631073,fairly_common,16.925886327631073,,peak_abundance_with_occupancy_days_modifiers,0.9138
leafly,CA-NB,0.4036634861615362,0.26066666666666666,0.4973,breeding,0.9253,0.0134,0.0205,91.0,92.53,0.1683407489645936,fairly_common,16.834074896459363,,peak_abundance_with_occupancy_days_modifiers,0.9253
norfli,CA-NB,0.3841733726405422,0.244775,0.4684,breeding,0.9652,0.0061,0.0113,112.0,96.52,0.1602127403138034,fairly_common,16.02127403138034,,peak_abundance_with_occupancy_days_modifiers,0.9652
bongul,CA-NB,0.37383683264998774,0.121175,0.4533,postbreeding_migration,0.06,0.0052,0.0195,154.0,6.0,0.15590206832249015,fairly_common,15.590206832249015,,peak_abundance_with_occupancy_days_modifiers,0.06
veery,CA-NB,0.3470588572197696,0.18186666666666665,0.4149,breeding,0.9059,0.033,0.0413,63.0,90.59,0.14473478519132657,fairly_common,14.473478519132657,,peak_abundance_with_occupancy_days_modifiers,0.9059
yebsap,CA-NB,0.3300948010833878,0.24783333333333335,0.3911,breeding,0.9001,0.019,0.0397,91.0,90.01,0.1376602242925161,fairly_common,13.76602242925161,,peak_abundance_with_occupancy_days_modifiers,0.9001
moudov,CA-NB,0.31983459546818965,0.243375,0.3769,prebreeding_migration,0.7937,0.0066,0.0026,119.0,79.36999999999999,0.13338138620830553,fairly_common,13.338138620830552,,peak_abundance_with_occupancy_days_modifiers,0.7937
sursco,CA-NB,0.31005492330350615,0.11397499999999999,0.3635,prebreeding_migration,0.0485,0.0105,0.0122,126.0,4.8500000000000005,0.1293029461381224,rare,12.93029461381224,rare,peak_abundance_with_occupancy_days_modifiers,0.0485
bkbwar,CA-NB,0.2814879282884534,0.14833333333333334,0.3251,breeding,0.9058,0.0431,0.048,77.0,90.58,0.11738958389119046,fairly_common,11.738958389119047,,peak_abundance_with_occupancy_days_modifiers,0.9058
ruckin,CA-NB,0.2800530452872898,0.19902499999999998,0.3232,breeding,0.9067,0.0094,0.0063,98.0,90.67,0.11679119120180119,fairly_common,11.679119120180118,,peak_abundance_with_occupancy_days_modifiers,0.9067
rewbla,CA-NB,0.27907009560321694,0.1649,0.3219,breeding,0.5519,0.0059,0.0009,126.0,55.19,0.11638126934440261,fairly_common,11.638126934440262,,peak_abundance_with_occupancy_days_modifiers,0.5519
ribgul,CA-NB,0.2718575221048095,0.19892500000000002,0.3124,postbreeding_migration,0.0742,0.006,0.0049,105.0,7.42,0.11337339257003862,fairly_common,11.337339257003862,,peak_abundance_with_occupancy_days_modifiers,0.0742
swaspa,CA-NB,0.25626880174603756,0.12395,0.2921,breeding,0.874,0.0134,0.0155,112.0,87.4,0.10687239123957609,fairly_common,10.687239123957609,,peak_abundance_with_occupancy_days_modifiers,0.874
ambduc,CA-NB,0.25215851638273423,0.18284999999999998,0.2868,postbreeding_migration,0.116,0.0259,0.0765,147.0,11.600000000000001,0.10515826910508162,fairly_common,10.515826910508162,,peak_abundance_with_occupancy_days_modifiers,0.116
winwre3,CA-NB,0.2381503834207318,0.102575,0.2689,breeding,0.8941,0.0218,0.0235,91.0,89.41,0.09931642391654895,fairly_common,9.931642391654895,,peak_abundance_with_occupancy_days_modifiers,0.8941
bklkit,CA-NB,0.2337182789878295,0.15169726352250076,0.2632885471433654,nonbreeding,0.0452675893652076,0.0005059205478146243,0.0006863589526864201,119.0,4.52675893652076,0.09746809280585372,rare,9.746809280585373,rare,peak_abundance_with_occupancy_days_modifiers,0.0452675893652076
norwat,CA-NB,0.2113948042796617,0.15663333333333332,0.2354,breeding,0.8783,0.0103,0.0088,70.0,87.83,0.08815848076340783,fairly_common,8.815848076340783,,peak_abundance_with_occupancy_days_modifiers,0.8783
btbwar,CA-NB,0.21042298690482944,0.12009999999999998,0.2342,breeding,0.8594,0.0636,0.0615,70.0,85.94000000000001,0.08775320143955387,fairly_common,8.775320143955387,,peak_abundance_with_occupancy_days_modifiers,0.8594
comnig,CA-NB,0.19983398187858573,0.1554,0.2212,postbreeding_migration,0.9235,0.0092,0.0056,70.0,92.35,0.08333724335065612,fairly_common,8.333724335065613,,peak_abundance_with_occupancy_days_modifiers,0.9235
rufgro,CA-NB,0.19786676812941692,0.2188,0.2188,resident,0.883,0.017,0.0229,365.0,88.3,0.08251685149639755,common,8.251685149639755,,peak_abundance_with_occupancy_days_modifiers,0.883
palwar,CA-NB,0.17571645774181885,0.13776666666666668,0.1921,breeding,0.7436,0.0223,0.0212,119.0,74.36,0.07327945458466821,uncommon,7.327945458466821,,peak_abundance_with_occupancy_days_modifiers,0.7436
haiwoo,CA-NB,0.16568391564093132,0.1802,0.1802,resident,0.9232,0.0112,0.0144,365.0,92.32000000000001,0.06909555956027065,fairly_common,6.909555956027065,,peak_abundance_with_occupancy_days_modifiers,0.9232
mallar3,CA-NB,0.16551443847757338,0.1338,0.18,postbreeding_migration,0.0867,0.0005,0.0003,126.0,8.67,0.0690248820935437,uncommon,6.902488209354369,,peak_abundance_with_occupancy_days_modifiers,0.0867
razorb,CA-NB,0.15365943424973777,0.11333656881228035,0.1660936875744713,breeding,0.0324282798073882,0.0007090911103445925,0.0007526229587454474,126.0,3.24282798073882,0.06408096133006484,rare,6.4080961330064845,rare,peak_abundance_with_occupancy_days_modifiers,0.0324282798073882
pilwoo,CA-NB,0.153235975898858,0.1656,0.1656,resident,0.8886,0.0145,0.0124,365.0,88.86,0.06390436548132891,fairly_common,6.390436548132891,,peak_abundance_with_occupancy_days_modifiers,0.8886
dowwoo,CA-NB,0.15040080066752523,0.1623,0.1623,resident,0.9093,0.0134,0.0072,365.0,90.93,0.06272200557449946,fairly_common,6.2722005574499455,,peak_abundance_with_occupancy_days_modifiers,0.9093
babwar,CA-NB,0.14893711277437086,0.08846666666666668,0.1606,breeding,0.8304,0.0365,0.0477,84.0,83.04,0.06211160031211857,uncommon,6.211160031211857,,peak_abundance_with_occupancy_days_modifiers,0.8304
canwar,CA-NB,0.14591687490015473,0.06846666666666666,0.1571,breeding,0.8605,0.0423,0.0557,70.0,86.05000000000001,0.06085206328876413,uncommon,6.085206328876413,,peak_abundance_with_occupancy_days_modifiers,0.8605
chispa,CA-NB,0.143407463294729,0.08295000000000001,0.1542,breeding,0.6131,0.0053,0.0023,133.0,61.309999999999995,0.059805557365885616,uncommon,5.9805557365885615,,peak_abundance_with_occupancy_days_modifiers,0.6131
gryjay,CA-NB,0.13749851318563364,0.1474,0.1474,resident,0.6274,0.0074,0.0043,365.0,62.739999999999995,0.057341333771083046,fairly_common,5.7341333771083045,,peak_abundance_with_occupancy_days_modifiers,0.6274
borchi2,CA-NB,0.13514259394229358,0.1447,0.1447,resident,0.5504,0.008,0.0073,365.0,55.04,0.05635883913503057,fairly_common,5.635883913503057,,peak_abundance_with_occupancy_days_modifiers,0.5504
redcro,CA-NB,0.13243078718048962,0.1042,0.1416,nonbreeding,0.8702,,,,87.02,0.05522792787607498,uncommon,5.522792787607498,,peak_abundance_with_occupancy_days_modifiers,0.8702
brncre,CA-NB,0.1291844583808259,0.11127500000000001,0.1379,prebreeding_migration,0.8947,0.0173,0.0194,119.0,89.47,0.05387410361340181,uncommon,5.387410361340181,,peak_abundance_with_occupancy_days_modifiers,0.8947
robgro,CA-NB,0.12777736994182637,0.06453333333333333,0.1363,breeding,0.7743,0.0206,0.0171,70.0,77.42999999999999,0.05328730215674048,uncommon,5.328730215674049,,peak_abundance_with_occupancy_days_modifiers,0.7743
yebfly,CA-NB,0.12557482290806626,0.07876666666666667,0.1338,breeding,0.8279,0.0154,0.0102,70.0,82.78999999999999,0.052368768700027074,uncommon,5.236876870002708,,peak_abundance_with_occupancy_days_modifiers,0.8279
savspa,CA-NB,0.11831622681804224,0.053625000000000006,0.1256,breeding,0.3165,0.003,0.0017,112.0,31.65,0.049341699014221675,uncommon,4.934169901422168,,peak_abundance_with_occupancy_days_modifiers,0.3165
