species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
amhgul1,CA-NS,1.6772539029592375,3.889909945855547,4.3508418462017415,postbreeding_migration,0.2407301546879993,0.035403349682468,0.1127558984648888,133.0,24.07301546879993,0.6994692061767415,common,69.94692061767415,,peak_abundance_with_occupancy_days_modifiers,0.2407301546879993
bkcchi,CA-NS,1.3197538373116464,2.7425,2.7425,resident,0.9136,0.0115,0.0291,365.0,91.36,0.5503800988654015,common,55.03800988654015,,peak_abundance_with_occupancy_days_modifiers,0.9136
amecro,CA-NS,1.2732656308218853,1.97035,2.5725,prebreeding_migration,0.9432,0.0131,0.0142,147.0,94.32000000000001,0.5309930109399524,common,53.099301093995244,,peak_abundance_with_occupancy_days_modifiers,0.9432
amerob,CA-NS,1.1522162447529012,1.6506500000000002,2.1652,postbreeding_migration,0.9193,0.0049,0.0069,98.0,91.93,0.480511495987167,common,48.051149598716705,,peak_abundance_with_occupancy_days_modifiers,0.9193
doccor,CA-NS,1.1281387279264314,1.0809,2.0899,breeding,0.2199,0.0148,0.0505,147.0,21.990000000000002,0.47047039156546683,common,47.04703915654668,,peak_abundance_with_occupancy_days_modifiers,0.2199
eursta,CA-NS,1.1156660432339371,1.584975,2.0516,nonbreeding,0.2588,0.0016,0.0012,140.0,25.88,0.4652688780406754,common,46.52688780406754,,peak_abundance_with_occupancy_days_modifiers,0.2588
blujay,CA-NS,1.0158102219069718,1.21325,1.7616,postbreeding_migration,0.9179,0.0107,0.0121,112.0,91.79,0.4236257660750587,common,42.36257660750587,,peak_abundance_with_occupancy_days_modifiers,0.9179
comeid,CA-NS,0.9945472298399225,1.10545,1.7035,prebreeding_migration,0.1529,0.0341,0.0176,84.0,15.290000000000001,0.4147584096445024,common,41.47584096445024,,peak_abundance_with_occupancy_days_modifiers,0.1529
amegfi,CA-NS,0.9449948000025101,1.400175,1.5728,postbreeding_migration,0.9248,0.0097,0.0168,112.0,92.47999999999999,0.39409344132852414,common,39.40934413285241,,peak_abundance_with_occupancy_days_modifiers,0.9248
reevir1,CA-NS,0.8709585818760138,0.6092000000000001,1.3892,breeding,0.8929,0.0089,0.0157,105.0,89.29,0.3632179402312243,common,36.32179402312243,,peak_abundance_with_occupancy_days_modifiers,0.8929
