species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
snogoo,CA-NT,2.0129010178715916,2.9767333333333332,6.485,prebreeding_migration,0.5312,0.1466,0.0517,63.0,53.12,0.8394449251832894,abundant,83.94449251832894,,peak_abundance_with_occupancy_days_modifiers,0.5312
gwfgoo,CA-NT,1.2948915376465466,1.1375666666666666,2.6506,prebreeding_migration,0.5735,,,,57.35,0.5400117145797588,common,54.001171457975886,,peak_abundance_with_occupancy_days_modifiers,0.5735
cangoo,CA-NT,1.2776785527413916,1.7685333333333333,2.5883,postbreeding_migration,0.4038,0.0827,0.0683,84.0,40.38,0.5328333423212125,common,53.28333423212125,,peak_abundance_with_occupancy_days_modifiers,0.4038
cacgoo1,CA-NT,1.1608043089245572,0.8498999999999999,2.1925,prebreeding_migration,0.3163,0.1114,0.2244,56.0,31.630000000000003,0.48409299692637764,common,48.40929969263777,,peak_abundance_with_occupancy_days_modifiers,0.3163
comrav,CA-NT,1.0738755084356957,1.9267,1.9267,resident,0.8691,0.0286,0.0757,365.0,86.91,0.4478408713748665,common,44.78408713748665,,peak_abundance_with_occupancy_days_modifiers,0.8691
redpol1,CA-NT,1.0383613612430875,0.7781662541211553,1.8245847460438405,postbreeding_migration,0.7874283269643072,0.1237445517596289,0.0884223465876497,112.0,78.74283269643072,0.43303032164174055,common,43.303032164174056,,peak_abundance_with_occupancy_days_modifiers,0.7874283269643072
snobun,CA-NT,0.8000265421870414,0.7087333333333333,1.2256,prebreeding_migration,0.8111,0.022,0.0369,42.0,81.11,0.3336369820911325,common,33.36369820911325,,peak_abundance_with_occupancy_days_modifiers,0.8111
mallar3,CA-NT,0.7087744364456444,0.7381333333333334,1.0315,prebreeding_migration,0.4616,0.0281,0.0173,77.0,46.160000000000004,0.2955818982112996,common,29.55818982112996,,peak_abundance_with_occupancy_days_modifiers,0.4616
laplon,CA-NT,0.7022060250482913,0.7361000000000001,1.0182,breeding,0.416,0.0707,0.0991,63.0,41.6,0.2928426578984032,common,29.28426578984032,,peak_abundance_with_occupancy_days_modifiers,0.416
glagul,CA-NT,0.6920966289237662,0.7928000000000001,0.9979,prebreeding_migration,0.1151,0.0379,0.0467,98.0,11.51,0.28862671225673736,fairly_common,28.862671225673736,,peak_abundance_with_occupancy_days_modifiers,0.1151
norpin,CA-NT,0.6730975227542416,0.5956333333333333,0.9603,prebreeding_migration,0.7077,0.067,0.065,70.0,70.77,0.28070346957593745,fairly_common,28.070346957593745,,peak_abundance_with_occupancy_days_modifiers,0.7077
amewig,CA-NT,0.5603583692964816,0.5580333333333334,0.7513,postbreeding_migration,0.5049,0.1815,0.2925,70.0,50.49,0.23368759080230272,fairly_common,23.368759080230273,,peak_abundance_with_occupancy_days_modifiers,0.5049
amepip,CA-NT,0.5515836162381584,0.44526666666666664,0.736,postbreeding_migration,0.8742,,,,87.42,0.23002823455023294,fairly_common,23.002823455023293,,peak_abundance_with_occupancy_days_modifiers,0.8742
yerwar,CA-NT,0.5482370087641368,0.5661333333333333,0.7302,prebreeding_migration,0.6643,0.1078,0.0917,77.0,66.43,0.22863259083218346,fairly_common,22.863259083218345,,peak_abundance_with_occupancy_days_modifiers,0.6643
sancra,CA-NT,0.5278007279719523,0.45153333333333334,0.6952,postbreeding_migration,0.3654,0.1522,0.1319,84.0,36.54,0.22010999978160137,fairly_common,22.010999978160136,,peak_abundance_with_occupancy_days_modifiers,0.3654
lessca,CA-NT,0.5079615261513406,0.4668333333333334,0.6619,prebreeding_migration,0.3277,0.2428,0.4132,91.0,32.769999999999996,0.2118364100024034,fairly_common,21.183641000240343,,peak_abundance_with_occupancy_days_modifiers,0.3277
tunswa,CA-NT,0.49469624183610705,0.46059999999999995,0.64,prebreeding_migration,0.5681,,,,56.81,0.20630435676149902,fairly_common,20.6304356761499,,peak_abundance_with_occupancy_days_modifiers,0.5681
amerob,CA-NT,0.46555625431845554,0.4524333333333333,0.5929,prebreeding_migration,0.3085,0.0725,0.0385,98.0,30.85,0.19415203808094011,fairly_common,19.415203808094013,,peak_abundance_with_occupancy_days_modifiers,0.3085
kineid,CA-NT,0.45729825674818164,0.4273333333333333,0.5798,breeding,0.1363,0.1514,0.1479,42.0,13.63,0.19070818560583322,fairly_common,19.070818560583323,,peak_abundance_with_occupancy_days_modifiers,0.1363
whcspa,CA-NT,0.4259211166755467,0.4448666666666667,0.531,prebreeding_migration,0.6966,0.1498,0.1176,63.0,69.66,0.1776229018452887,fairly_common,17.76229018452887,,peak_abundance_with_occupancy_days_modifiers,0.6966
whwcro,CA-NT,0.4104526496192034,0.3266,0.5075,nonbreeding,0.6488,,,,64.88000000000001,0.17117205003711464,fairly_common,17.117205003711465,,peak_abundance_with_occupancy_days_modifiers,0.6488
lotduc,CA-NT,0.38994529645012754,0.34623333333333334,0.4769,breeding,0.4226,0.1635,0.149,105.0,42.26,0.16261981950323337,fairly_common,16.26198195032334,,peak_abundance_with_occupancy_days_modifiers,0.4226
gnwtea,CA-NT,0.3658923329883412,0.30340000000000006,0.4418,prebreeding_migration,0.6352,0.053,0.0517,77.0,63.519999999999996,0.15258895462992456,fairly_common,15.258895462992456,,peak_abundance_with_occupancy_days_modifiers,0.6352
savspa,CA-NT,0.35368046495840344,0.29869999999999997,0.4243,postbreeding_migration,0.7102,0.1052,0.111,63.0,71.02000000000001,0.14749621010164238,fairly_common,14.749621010164237,,peak_abundance_with_occupancy_days_modifiers,0.7102
amhgul1,CA-NT,0.34260753654228904,0.27135598516438636,0.4086158231928678,prebreeding_migration,0.0481562958292759,0.1270506713400096,0.0725506370222793,70.0,4.81562958292759,0.14287844028420063,rare,14.287844028420063,rare,peak_abundance_with_occupancy_days_modifiers,0.0481562958292759
daejun,CA-NT,0.3394677456010114,0.3349333333333333,0.4042,postbreeding_migration,0.4875,0.0998,0.0598,98.0,48.75,0.14156904575938742,fairly_common,14.156904575938741,,peak_abundance_with_occupancy_days_modifiers,0.4875
chispa,CA-NT,0.31364217412131257,0.27776666666666666,0.3684,breeding,0.5881,0.088,0.0958,63.0,58.809999999999995,0.13079894592531086,fairly_common,13.079894592531085,,peak_abundance_with_occupancy_days_modifiers,0.5881
comeid,CA-NT,0.2919977465193834,0.24613333333333332,0.3391,breeding,0.0831,0.054,0.0454,70.0,8.309999999999999,0.12177251852146936,fairly_common,12.177251852146936,,peak_abundance_with_occupancy_days_modifiers,0.0831
amtspa,CA-NT,0.28141245943818555,0.22330000000000003,0.325,postbreeding_migration,0.7975,0.1492,0.1462,84.0,79.75,0.1173581109360852,fairly_common,11.73581109360852,,peak_abundance_with_occupancy_days_modifiers,0.7975
buffle,CA-NT,0.2797507021255006,0.23006666666666664,0.3228,postbreeding_migration,0.205,0.1919,0.2785,98.0,20.5,0.11666510431000951,fairly_common,11.666510431000951,,peak_abundance_with_occupancy_days_modifiers,0.205
pingro,CA-NT,0.27490073808704785,0.15365,0.3164,nonbreeding,0.3541,,,,35.410000000000004,0.11464251220873194,fairly_common,11.464251220873194,,peak_abundance_with_occupancy_days_modifiers,0.3541
lesyel,CA-NT,0.2617486904252765,0.27003333333333335,0.2992,postbreeding_migration,0.6726,0.2468,0.363,77.0,67.25999999999999,0.10915768232021772,fairly_common,10.915768232021772,,peak_abundance_with_occupancy_days_modifiers,0.6726
whwsco2,CA-NT,0.25192535273966177,0.16606666666666667,0.2865,prebreeding_migration,0.5145,0.4507,0.3807,105.0,51.449999999999996,0.10506103231341794,fairly_common,10.506103231341795,,peak_abundance_with_occupancy_days_modifiers,0.5145
arcter,CA-NT,0.24920108563349935,0.283,0.283,breeding,0.2474,0.0799,0.0508,42.0,24.740000000000002,0.10392492468725661,fairly_common,10.392492468725662,,peak_abundance_with_occupancy_days_modifiers,0.2474
tenwar,CA-NT,0.24787518753339344,0.16956666666666664,0.2813,breeding,0.4061,0.117,0.1349,63.0,40.61,0.10337198223178455,fairly_common,10.337198223178454,,peak_abundance_with_occupancy_days_modifiers,0.4061
rusbla,CA-NT,0.24646937661770646,0.1828,0.2795,prebreeding_migration,0.3662,0.1538,0.2732,91.0,36.620000000000005,0.10278571354372536,fairly_common,10.278571354372536,,peak_abundance_with_occupancy_days_modifiers,0.3662
linspa,CA-NT,0.24553107019183898,0.24033333333333332,0.2783,breeding,0.6507,0.1184,0.152,63.0,65.07,0.10239440937105708,fairly_common,10.239440937105709,,peak_abundance_with_occupancy_days_modifiers,0.6507
