species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
snogoo,CA-NU,2.89477316857266,12.2129,17.0794,prebreeding_migration,0.6118,0.659,0.9177,70.0,61.18,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6118
thbmur,CA-NU,3.5955993114352447,30.43506280328765,35.43753087440077,breeding,0.0297454545113453,0.0203063307177659,0.5350714706391265,56.0,2.97454545113453,1.0,rare,100.0,rare,peak_abundance_with_occupancy_days_modifiers,0.0297454545113453
glagul,CA-NU,1.9189352912663291,4.983966666666666,5.8137,postbreeding_migration,0.5923,0.2327,0.4362,98.0,59.230000000000004,0.8002581735051799,abundant,80.025817350518,,peak_abundance_with_occupancy_days_modifiers,0.5923
cangoo,CA-NU,1.5241196467767624,2.9599,3.5911,postbreeding_migration,0.3022,0.1157,0.1938,84.0,30.220000000000002,0.6356072611119907,common,63.560726111199074,,peak_abundance_with_occupancy_days_modifiers,0.3022
bklkit,CA-NU,1.3332313402308569,1.431723472574569,2.7932809864561543,breeding,0.0178717545623721,0.0031029952671352,0.0148737437046206,42.0,1.78717545623721,0.5560006541382272,rare,55.60006541382272,rare,peak_abundance_with_occupancy_days_modifiers,0.0178717545623721
laplon,CA-NU,1.302450688924314,1.9196333333333333,2.6783,breeding,0.7553,0.2235,0.4541,63.0,75.53,0.5431641255142637,common,54.316412551426374,,peak_abundance_with_occupancy_days_modifiers,0.7553
cacgoo1,CA-NU,1.1965251391907785,1.0138666666666667,2.3086,prebreeding_migration,0.5736,0.7282,0.6936,56.0,57.36,0.4989897401959596,common,49.89897401959596,,peak_abundance_with_occupancy_days_modifiers,0.5736
comrav,CA-NU,1.116026444921897,2.0527,2.0527,resident,0.7335,0.042,0.1404,365.0,73.35000000000001,0.46541917721847864,common,46.54191772184787,,peak_abundance_with_occupancy_days_modifiers,0.7335
comeid,CA-NU,1.1106726031604761,1.1021,2.0364,prebreeding_migration,0.0874,0.2114,0.287,70.0,8.74,0.46318645178540624,common,46.31864517854062,,peak_abundance_with_occupancy_days_modifiers,0.0874
snobun,CA-NU,1.0963096396054341,1.6348666666666667,1.9931,postbreeding_migration,0.812,0.2759,0.4059,42.0,81.2,0.4571966307461078,common,45.71966307461078,,peak_abundance_with_occupancy_days_modifiers,0.812
norful,CA-NU,1.082200147693675,1.0970563840603318,1.9511654132995144,breeding,0.0405404226994905,0.0061243335640986,0.0050670060674695,49.0,4.05404226994905,0.45131251559236574,rare,45.131251559236574,rare,peak_abundance_with_occupancy_days_modifiers,0.0405404226994905
amhgul1,CA-NU,1.0689605541156775,1.2090302149619327,1.91235069516656,prebreeding_migration,0.2261105963256091,0.4635062075190085,0.4629103556176953,70.0,22.61105963256091,0.44579117622104836,common,44.57911762210484,,peak_abundance_with_occupancy_days_modifiers,0.2261105963256091
kineid,CA-NU,1.007884925035152,1.3600333333333332,1.7398,prebreeding_migration,0.1912,0.5352,0.7358,42.0,19.12,0.42032066056785666,common,42.032066056785666,,peak_abundance_with_occupancy_days_modifiers,0.1912
gwfgoo,CA-NU,0.935583425254564,0.8027000000000001,1.5487,prebreeding_migration,0.4523,,,,45.23,0.39016859321079844,common,39.01685932107984,,peak_abundance_with_occupancy_days_modifiers,0.4523
whrsan,CA-NU,0.9319672112591627,0.8531000000000001,1.5395,postbreeding_migration,0.487,0.3551,0.3214,49.0,48.699999999999996,0.38866051484039443,common,38.866051484039446,,peak_abundance_with_occupancy_days_modifiers,0.487
semsan,CA-NU,0.7831706832075338,0.648,1.1884,postbreeding_migration,0.4096,0.4743,0.6304,49.0,40.96,0.3266075429113986,common,32.66075429113986,,peak_abundance_with_occupancy_days_modifiers,0.4096
lotduc,CA-NU,0.7087744364456444,0.8400333333333333,1.0315,breeding,0.8508,0.5358,0.5611,84.0,85.08,0.2955818982112996,common,29.55818982112996,,peak_abundance_with_occupancy_days_modifiers,0.8508
amepip,CA-NU,0.5232481437645479,0.3764,0.6875,postbreeding_migration,0.6959,,,,69.59,0.21821142470242721,fairly_common,21.821142470242723,,peak_abundance_with_occupancy_days_modifiers,0.6959
arcter,CA-NU,0.4500559914360395,0.5684,0.5684,breeding,0.305,0.1715,0.1776,42.0,30.5,0.18768792638338166,fairly_common,18.768792638338166,,peak_abundance_with_occupancy_days_modifiers,0.305
y00478,CA-NU,0.4112483528638917,0.34306666666666663,0.5087,postbreeding_migration,0.4454,0.5738,0.5503,77.0,44.54,0.1715038840641111,fairly_common,17.15038840641111,,peak_abundance_with_occupancy_days_modifiers,0.4454
retloo,CA-NU,0.3989103391374901,0.3029,0.4902,breeding,0.837,,,,83.7,0.16635853269436457,fairly_common,16.635853269436456,,peak_abundance_with_occupancy_days_modifiers,0.837
sancra,CA-NU,0.39089277892490715,0.36446666666666666,0.4783,postbreeding_migration,0.229,0.1786,0.287,84.0,22.900000000000002,0.16301495038552322,fairly_common,16.30149503855232,,peak_abundance_with_occupancy_days_modifiers,0.229
norpin,CA-NU,0.38723324651336033,0.4152666666666667,0.4729,prebreeding_migration,0.4582,0.0785,0.1235,49.0,45.82,0.16148880683244135,fairly_common,16.148880683244133,,peak_abundance_with_occupancy_days_modifiers,0.4582
rosgoo,CA-NU,0.372873043507505,0.30536666666666673,0.4519,postbreeding_migration,0.0419,0.9738,0.9917,28.0,4.19,0.15550013703157184,rare,15.550013703157184,rare,peak_abundance_with_occupancy_days_modifiers,0.0419
brant,CA-NU,0.3690085710975492,0.37736666666666663,0.4463,prebreeding_migration,0.1309,,,,13.089999999999998,0.15388852686085494,fairly_common,15.388852686085494,,peak_abundance_with_occupancy_days_modifiers,0.1309
horlar,CA-NU,0.3649902755424461,0.3067333333333333,0.4405,breeding,0.6697,,,,66.97,0.15221276745606094,fairly_common,15.221276745606094,,peak_abundance_with_occupancy_days_modifiers,0.6697
savspa,CA-NU,0.2945335474008827,0.2147666666666667,0.3425,breeding,0.3557,0.1031,0.1438,63.0,35.57,0.12283002962725671,fairly_common,12.283002962725671,,peak_abundance_with_occupancy_days_modifiers,0.3557
redpol1,CA-NU,0.2921947467913784,0.22404089524632567,0.3393638290505726,postbreeding_migration,0.2499642665416964,0.1278916727338043,0.0966358506121419,91.0,24.99642665416964,0.12185467401601069,fairly_common,12.18546740160107,,peak_abundance_with_occupancy_days_modifiers,0.2499642665416964
tunswa,CA-NU,0.26259500707513717,0.2384666666666667,0.3003,postbreeding_migration,0.3895,,,,38.95,0.10951062377661132,fairly_common,10.951062377661131,,peak_abundance_with_occupancy_days_modifiers,0.3895
amgplo,CA-NU,0.23230148909897538,0.13856666666666667,0.2615,prebreeding_migration,0.4466,0.5287,0.5664,70.0,44.66,0.09687724553035922,fairly_common,9.687724553035922,,peak_abundance_with_occupancy_days_modifiers,0.4466
baisan,CA-NU,0.2295231582782488,0.20946666666666666,0.258,postbreeding_migration,0.3454,0.7591,0.824,56.0,34.54,0.09571859158402389,fairly_common,9.57185915840239,,peak_abundance_with_occupancy_days_modifiers,0.3454
whcspa,CA-NU,0.22593963861621102,0.18753333333333333,0.2535,breeding,0.354,0.1414,0.1106,49.0,35.4,0.09422414780964848,fairly_common,9.422414780964848,,peak_abundance_with_occupancy_days_modifiers,0.354
semplo,CA-NU,0.2014703756327155,0.1685,0.2232,postbreeding_migration,0.6367,0.4376,0.5114,56.0,63.67,0.08401967255125256,fairly_common,8.401967255125257,,peak_abundance_with_occupancy_days_modifiers,0.6367
sabgul,CA-NU,0.17965132823807575,0.15163333333333331,0.1968,breeding,0.1207,0.5676,0.7189,14.0,12.07,0.07492042303766698,rare,7.492042303766698,rare,peak_abundance_with_occupancy_days_modifiers,0.1207
lotjae,CA-NU,0.16703869992943715,0.1818,0.1818,breeding,0.4687,0.1557,0.1586,56.0,46.87,0.06966054849197026,uncommon,6.966054849197026,,peak_abundance_with_occupancy_days_modifiers,0.4687
blkgui,CA-NU,0.15690835783994736,0.1698883978884321,0.1698883978884321,breeding,0.0522993639505033,0.0168133985766656,0.0204209800318045,56.0,5.229936395050331,0.0654358677044446,uncommon,6.54358677044446,,peak_abundance_with_occupancy_days_modifiers,0.0522993639505033
doveki,CA-NU,0.1556483473259168,0.1684152544898359,0.1684152544898359,breeding,0.0049346240122988,0.0041964320568372,0.0025045381511415,14.0,0.49346240122988005,0.06491040250655876,very_rare,6.4910402506558755,rare,peak_abundance_with_occupancy_days_modifiers,0.0049346240122988
dunlin,CA-NU,0.14418692031249758,0.0725,0.1551,postbreeding_migration,0.1673,0.0915,0.0487,28.0,16.73,0.06013061619001811,rare,6.013061619001811,rare,peak_abundance_with_occupancy_days_modifiers,0.1673
pacloo,CA-NU,0.13592851722424412,0.1065,0.1456,postbreeding_migration,0.6639,0.4434,0.4343,70.0,66.39,0.05668659460077836,uncommon,5.668659460077836,,peak_abundance_with_occupancy_days_modifiers,0.6639
rocpta1,CA-NU,0.13566661142153352,0.1453,0.1453,resident,0.259,,,,25.900000000000002,0.05657737139754608,uncommon,5.657737139754608,,peak_abundance_with_occupancy_days_modifiers,0.259
redpha1,CA-NU,0.13283174062704628,0.11130864125654263,0.1420578202307554,breeding,0.1268679466595164,0.2896556917476899,0.2860480617099047,28.0,12.68679466595164,0.05539513845074233,rare,5.539513845074233,rare,peak_abundance_with_occupancy_days_modifiers,0.1268679466595164
renpha,CA-NU,0.13137907805637988,0.10433333333333333,0.1404,postbreeding_migration,0.2572,0.1128,0.0531,14.0,25.72,0.05478933110496485,rare,5.478933110496485,rare,peak_abundance_with_occupancy_days_modifiers,0.2572
leasan,CA-NU,0.12257155238818063,0.1163,0.1304,prebreeding_migration,0.2236,0.2434,0.3267,49.0,22.36,0.05111630761302528,uncommon,5.1116307613025285,,peak_abundance_with_occupancy_days_modifiers,0.2236
rebmer,CA-NU,0.11893792407151377,0.0688,0.1263,breeding,0.4241,,,,42.41,0.04960096690657885,uncommon,4.960096690657885,,peak_abundance_with_occupancy_days_modifiers,0.4241
parjae,CA-NU,0.10786737086900704,0.11065,0.1139,breeding,0.2394,0.2482,0.3226,28.0,23.94,0.04498418763014813,rare,4.498418763014813,rare,peak_abundance_with_occupancy_days_modifiers,0.2394
harspa,CA-NU,0.10508047645050743,0.049699999999999994,0.1108,breeding,0.2926,0.5002,0.5291,63.0,29.26,0.04382196238615431,uncommon,4.382196238615431,,peak_abundance_with_occupancy_days_modifiers,0.2926
amerob,CA-NU,0.10372918576247687,0.1093,0.1093,breeding,0.1959,0.0307,0.0133,70.0,19.59,0.0432584303990156,uncommon,4.32584303990156,,peak_abundance_with_occupancy_days_modifiers,0.1959
redkno,CA-NU,0.10002631406712442,0.07973333333333334,0.1052,postbreeding_migration,0.1157,,,,11.57,0.04171421296076561,uncommon,4.171421296076561,,peak_abundance_with_occupancy_days_modifiers,0.1157
amtspa,CA-NU,0.09957380489609238,0.05973333333333333,0.1047,breeding,0.3352,0.1833,0.1524,84.0,33.52,0.04152550197902874,uncommon,4.152550197902874,,peak_abundance_with_occupancy_days_modifiers,0.3352
blksco2,CA-NU,0.09767102717344615,0.0768,0.1026,breeding,0.0944,0.0687,0.1989,49.0,9.44,0.040731982035004805,uncommon,4.07319820350048,,peak_abundance_with_occupancy_days_modifiers,0.0944
pecsan,CA-NU,0.087186361678916,0.064,0.0911,postbreeding_migration,0.2636,0.3059,0.2379,70.0,26.36,0.03635953691053758,uncommon,3.635953691053758,,peak_abundance_with_occupancy_days_modifiers,0.2636
rudtur,CA-NU,0.07797904131658864,0.0506,0.0811,breeding,0.1359,,,,13.59,0.03251978608122705,uncommon,3.251978608122705,,peak_abundance_with_occupancy_days_modifiers,0.1359
gnwtea,CA-NU,0.07677583880204955,0.04346666666666666,0.0798,breeding,0.2434,0.032,0.0287,56.0,24.34,0.032018011659221204,uncommon,3.2018011659221206,,peak_abundance_with_occupancy_days_modifiers,0.2434
lesyel,CA-NU,0.07622002591140908,0.0361,0.0792,postbreeding_migration,0.1338,0.0417,0.0561,49.0,13.38,0.03178621968025292,uncommon,3.178621968025292,,peak_abundance_with_occupancy_days_modifiers,0.1338
