species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
semsan,CA-ON,3.0872032749531675,5.235275,20.9157,postbreeding_migration,0.2063,0.0659,0.7678,119.0,20.630000000000003,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.2063
whrsan,CA-ON,2.7657717896628347,7.44645,14.8913,postbreeding_migration,0.2154,0.0672,0.7469,133.0,21.54,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.2154
dunlin,CA-ON,2.163231067409519,1.9369500000000002,7.6992,postbreeding_migration,0.2313,0.0553,0.0106,28.0,23.13,0.9021374252450168,abundant,90.21374252450168,,peak_abundance_with_occupancy_days_modifiers,0.2313
cangoo,CA-ON,1.9661188563548329,3.4385250000000003,6.1429,postbreeding_migration,0.6596,0.0858,0.1105,119.0,65.96,0.8199352484899601,abundant,81.99352484899602,,peak_abundance_with_occupancy_days_modifiers,0.6596
snogoo,CA-ON,1.7757655794737055,1.7857,4.9048,postbreeding_migration,0.2027,0.047,0.0379,133.0,20.27,0.740551766216782,common,74.0551766216782,,peak_abundance_with_occupancy_days_modifiers,0.2027
redpol1,CA-ON,1.5191489658089274,1.191264356838669,3.568335730440281,postbreeding_migration,0.8609338963425878,0.0511098177018841,0.0765382303636097,98.0,86.09338963425877,0.6335343261409675,common,63.35343261409675,,peak_abundance_with_occupancy_days_modifiers,0.8609338963425878
comgra,CA-ON,1.0909160820336394,0.76485,1.977,postbreeding_migration,0.5578,0.115,0.0694,112.0,55.779999999999994,0.45494734253365793,common,45.49473425336579,,peak_abundance_with_occupancy_days_modifiers,0.5578
rewbla,CA-ON,1.0120008316998068,0.8156749999999999,1.7511,postbreeding_migration,0.2552,0.07,0.0339,126.0,25.52,0.42203712696709667,common,42.203712696709665,,peak_abundance_with_occupancy_days_modifiers,0.2552
redkno,CA-ON,0.9752009437528749,0.5505666666666666,1.6517,postbreeding_migration,0.1292,,,,12.920000000000002,0.4066903816924433,common,40.66903816924433,,peak_abundance_with_occupancy_days_modifiers,0.1292
eursta,CA-ON,0.8726731667184319,0.7712,1.3933,postbreeding_migration,0.0916,0.0068,0.0058,140.0,9.16,0.3639329776483576,common,36.39329776483576,,peak_abundance_with_occupancy_days_modifiers,0.0916
whtspa,CA-ON,0.8326482193375029,0.579775,1.2994,breeding,0.9363,0.1807,0.1921,105.0,93.63,0.3472412781254592,common,34.724127812545916,,peak_abundance_with_occupancy_days_modifiers,0.9363
reevir1,CA-ON,0.7806084563299399,0.5002,1.1828,breeding,0.852,0.1259,0.1984,91.0,85.2,0.32553901130926416,common,32.55390113092641,,peak_abundance_with_occupancy_days_modifiers,0.852
bkcchi,CA-ON,0.750944279286162,1.119,1.119,resident,0.7737,0.1445,0.1765,365.0,77.37,0.3131680886170652,common,31.31680886170652,,peak_abundance_with_occupancy_days_modifiers,0.7737
snobun,CA-ON,0.7272587101887131,0.5092,1.0694,postbreeding_migration,0.8982,0.0005,0.0002,7.0,89.82,0.3032904390941119,very_rare,30.32904390941119,very_rare,peak_abundance_with_occupancy_days_modifiers,0.8982
blujay,CA-ON,0.6939968195145233,0.678075,1.0017,postbreeding_migration,0.6553,0.1113,0.0989,112.0,65.53,0.2894191532829627,common,28.94191532829627,,peak_abundance_with_occupancy_days_modifiers,0.6553
amerob,CA-ON,0.691245373270349,0.6922250000000001,0.9962,breeding,0.9974,0.0667,0.0519,98.0,99.74,0.2882717110758794,fairly_common,28.82717110758794,,peak_abundance_with_occupancy_days_modifiers,0.9974
comrav,CA-ON,0.6888379089718468,0.9914,0.9914,resident,0.9761,0.0239,0.029,365.0,97.61,0.2872677204822066,common,28.72677204822066,,peak_abundance_with_occupancy_days_modifiers,0.9761
pingro,CA-ON,0.6416959789688664,0.31662500000000005,0.8997,nonbreeding,0.6672,,,,66.72,0.26760800867670925,fairly_common,26.760800867670927,,peak_abundance_with_occupancy_days_modifiers,0.6672
ribgul,CA-ON,0.6374758956894806,0.510275,0.8917,breeding,0.3525,0.1901,0.1839,105.0,35.25,0.2658480972546975,fairly_common,26.58480972546975,,peak_abundance_with_occupancy_days_modifiers,0.3525
cedwax,CA-ON,0.6287686466237393,0.34347500000000003,0.8753,breeding,0.9849,0.1263,0.1356,126.0,98.49,0.26221689235408485,fairly_common,26.221689235408483,,peak_abundance_with_occupancy_days_modifiers,0.9849
amecro,CA-ON,0.6192314976097772,0.643175,0.8575,postbreeding_migration,0.947,0.1114,0.0719,147.0,94.69999999999999,0.2582395922934228,fairly_common,25.82395922934228,,peak_abundance_with_occupancy_days_modifiers,0.947
gnwtea,CA-ON,0.5802024215438111,0.2785,0.7864,postbreeding_migration,0.1507,0.0187,0.04,140.0,15.07,0.24196320336655414,fairly_common,24.196320336655415,,peak_abundance_with_occupancy_days_modifiers,0.1507
daejun,CA-ON,0.5646317583245181,0.438275,0.7588,postbreeding_migration,0.8122,0.1058,0.0536,105.0,81.22,0.23546973244815078,fairly_common,23.546973244815078,,peak_abundance_with_occupancy_days_modifiers,0.8122
whwcro,CA-ON,0.5636078092049601,0.5217499999999999,0.757,postbreeding_migration,0.9327,,,,93.27,0.2350427124981249,fairly_common,23.50427124981249,,peak_abundance_with_occupancy_days_modifiers,0.9327
mallar3,CA-ON,0.5578427885290469,0.49624999999999997,0.7469,breeding,0.7023,0.0291,0.0221,126.0,70.23,0.23263851213903858,fairly_common,23.26385121390386,,peak_abundance_with_occupancy_days_modifiers,0.7023
amepip,CA-ON,0.5189723489017593,0.212225,0.6803,postbreeding_migration,0.9413,0.0002,0.0,0.0,94.13,0.21642827974555895,very_rare,21.642827974555896,very_rare,peak_abundance_with_occupancy_days_modifiers,0.9413
pinsis,CA-ON,0.4826730323463984,0.2788,0.6204,postbreeding_migration,0.6885,0.1058,0.0662,119.0,68.85,0.20129028895541112,fairly_common,20.12902889554111,,peak_abundance_with_occupancy_days_modifiers,0.6885
naswar,CA-ON,0.47921110999664873,0.2153,0.6148,breeding,0.7424,0.269,0.3498,119.0,74.24,0.19984655519896993,fairly_common,19.984655519896993,,peak_abundance_with_occupancy_days_modifiers,0.7424
laplon,CA-ON,0.46831470381377394,0.2167,0.5973,prebreeding_migration,0.2828,0.0161,0.0065,28.0,28.28,0.19530240087059578,rare,19.53024008705958,rare,peak_abundance_with_occupancy_days_modifiers,0.2828
yerwar,CA-ON,0.4207477316393213,0.37565000000000004,0.5231,prebreeding_migration,0.9793,0.1081,0.0828,133.0,97.92999999999999,0.17546543271187312,fairly_common,17.54654327118731,,peak_abundance_with_occupancy_days_modifiers,0.9793
sonspa,CA-ON,0.4186445432202785,0.2679,0.5199,breeding,0.8382,0.1131,0.0945,119.0,83.82,0.17458833501586396,fairly_common,17.458833501586398,,peak_abundance_with_occupancy_days_modifiers,0.8382
rebnut,CA-ON,0.3867578806424685,0.386575,0.4722,postbreeding_migration,0.7256,0.1492,0.1792,119.0,72.56,0.16129056386650184,fairly_common,16.129056386650184,,peak_abundance_with_occupancy_days_modifiers,0.7256
amhgul1,CA-ON,0.38643512848265854,0.3172653082797114,0.471724920940848,prebreeding_migration,0.1564468055720171,0.1015647373174973,0.0674040874795615,133.0,15.64468055720171,0.16115596576145896,fairly_common,16.115596576145897,,peak_abundance_with_occupancy_days_modifiers,0.1564468055720171
ruckin,CA-ON,0.3806258180945189,0.236375,0.4632,breeding,0.9124,0.1226,0.1173,119.0,91.24,0.15873329515776738,fairly_common,15.873329515776739,,peak_abundance_with_occupancy_days_modifiers,0.9124
bongul,CA-ON,0.3730107845545547,0.275175,0.4521,postbreeding_migration,0.5444,0.2841,0.2666,154.0,54.44,0.15555757950982024,fairly_common,15.555757950982024,,peak_abundance_with_occupancy_days_modifiers,0.5444
comyel,CA-ON,0.3723908003787351,0.15727499999999997,0.4512,breeding,0.903,0.0914,0.0811,112.0,90.3,0.15529902602633305,fairly_common,15.529902602633305,,peak_abundance_with_occupancy_days_modifiers,0.903
ovenbi1,CA-ON,0.3614435560138345,0.1945,0.4354,breeding,0.6797,0.1937,0.2078,84.0,67.97,0.15073367052933292,fairly_common,15.073367052933293,,peak_abundance_with_occupancy_days_modifiers,0.6797
norpin,CA-ON,0.35739468486308124,0.192475,0.4296,postbreeding_migration,0.2517,0.0196,0.0301,147.0,25.169999999999998,0.14904516011076563,fairly_common,14.904516011076563,,peak_abundance_with_occupancy_days_modifiers,0.2517
swathr,CA-ON,0.339040364726923,0.145375,0.4036,breeding,0.8821,0.1245,0.0916,77.0,88.21,0.14139081409141735,fairly_common,14.139081409141735,,peak_abundance_with_occupancy_days_modifiers,0.8821
aldfly,CA-ON,0.33540023365987737,0.25353333333333333,0.3985,breeding,0.9496,0.145,0.1533,63.0,94.96,0.13987276152742967,fairly_common,13.987276152742966,,peak_abundance_with_occupancy_days_modifiers,0.9496
amegfi,CA-ON,0.33540023365987737,0.28935,0.3985,postbreeding_migration,0.5594,0.0688,0.0475,112.0,55.94,0.13987276152742967,fairly_common,13.987276152742966,,peak_abundance_with_occupancy_days_modifiers,0.5594
greyel,CA-ON,0.3313879047118487,0.19540000000000002,0.3929,postbreeding_migration,0.5891,0.1603,0.2255,161.0,58.91,0.1381994903910525,fairly_common,13.81994903910525,,peak_abundance_with_occupancy_days_modifiers,0.5891
herthr,CA-ON,0.33059787342861263,0.1352,0.3918,breeding,0.899,0.1208,0.1247,105.0,89.9,0.1378700217557046,fairly_common,13.787002175570459,,peak_abundance_with_occupancy_days_modifiers,0.899
lesyel,CA-ON,0.3283680577231975,0.120775,0.3887,postbreeding_migration,0.2773,0.061,0.1178,154.0,27.73,0.13694011637964001,fairly_common,13.694011637964001,,peak_abundance_with_occupancy_days_modifiers,0.2773
amered,CA-ON,0.3188173013824922,0.23306666666666667,0.3755,breeding,0.7167,0.1718,0.2009,98.0,71.67,0.13295714162296537,fairly_common,13.295714162296537,,peak_abundance_with_occupancy_days_modifiers,0.7167
swaspa,CA-ON,0.31561333738047226,0.15175,0.3711,breeding,0.9637,0.1907,0.2538,112.0,96.37,0.1316209848531658,fairly_common,13.162098485316582,,peak_abundance_with_occupancy_days_modifiers,0.9637
gockin,CA-ON,0.3140805463063118,0.21739999999999998,0.369,postbreeding_migration,0.6776,0.1715,0.15,98.0,67.75999999999999,0.13098176132595496,fairly_common,13.098176132595496,,peak_abundance_with_occupancy_days_modifiers,0.6776
pecsan,CA-ON,0.31232590336454086,0.09182499999999999,0.3666,postbreeding_migration,0.2245,0.039,0.1305,147.0,22.45,0.13025001838385253,fairly_common,13.025001838385252,,peak_abundance_with_occupancy_days_modifiers,0.2245
sancra,CA-ON,0.31152066193162264,0.22139999999999999,0.3655,postbreeding_migration,0.4603,0.1167,0.1079,119.0,46.03,0.12991420662340872,fairly_common,12.991420662340872,,peak_abundance_with_occupancy_days_modifiers,0.4603
horlar,CA-ON,0.30770526365724726,0.1232,0.3603,postbreeding_migration,0.3774,,,,37.74,0.12832306195681006,fairly_common,12.832306195681006,,peak_abundance_with_occupancy_days_modifiers,0.3774
treswa,CA-ON,0.30608666412788554,0.19147499999999998,0.3581,breeding,0.6452,0.0791,0.0618,140.0,64.52,0.12764805352432212,fairly_common,12.764805352432212,,peak_abundance_with_occupancy_days_modifiers,0.6452
savspa,CA-ON,0.29773140830478234,0.170075,0.3468,breeding,0.3372,0.0418,0.0623,112.0,33.72,0.1241636412074521,fairly_common,12.416364120745211,,peak_abundance_with_occupancy_days_modifiers,0.3372
magwar,CA-ON,0.2949803749328925,0.1737666666666667,0.3431,breeding,0.7632,0.2234,0.2181,84.0,76.32,0.12301637118148494,fairly_common,12.301637118148493,,peak_abundance_with_occupancy_days_modifiers,0.7632
comgol,CA-ON,0.2912506973288061,0.21342499999999998,0.3381,postbreeding_migration,0.4826,0.0729,0.0491,70.0,48.26,0.12146097481101137,fairly_common,12.146097481101137,,peak_abundance_with_occupancy_days_modifiers,0.4826
tenwar,CA-ON,0.2826192781093186,0.1956,0.3266,breeding,0.8557,0.1834,0.1153,119.0,85.57000000000001,0.11786139341252326,fairly_common,11.786139341252326,,peak_abundance_with_occupancy_days_modifiers,0.8557
