species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
cangoo,CA-PE,2.7401430068716954,8.022725000000001,14.4892,postbreeding_migration,0.8351,0.0017,0.0017,119.0,83.50999999999999,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8351
eursta,CA-PE,2.4098418097257532,7.2109000000000005,10.1322,nonbreeding,0.7955,0.0005,0.0007,140.0,79.55,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7955
amecro,CA-PE,2.163472439785048,5.134975,7.7013,nonbreeding,0.9486,0.0016,0.0049,147.0,94.86,0.9022380853440072,abundant,90.22380853440072,,peak_abundance_with_occupancy_days_modifiers,0.9486
amhgul1,CA-PE,2.043946048622908,4.9797212854190605,6.721016671944185,postbreeding_migration,0.4918032786885246,0.0082770312383136,0.0138086012535592,133.0,49.18032786885246,0.8523917085993501,abundant,85.23917085993502,,peak_abundance_with_occupancy_days_modifiers,0.4918032786885246
doccor,CA-PE,1.8375292034722437,2.465,5.281,postbreeding_migration,0.4497,0.0033,0.0115,147.0,44.97,0.7663091980359202,abundant,76.63091980359202,,peak_abundance_with_occupancy_days_modifiers,0.4497
snobun,CA-PE,1.780597404521863,2.2349666666666663,4.9334,nonbreeding,0.6435,,,,64.35,0.7425667937715585,common,74.25667937715585,,peak_abundance_with_occupancy_days_modifiers,0.6435
comeid,CA-PE,1.698492201257612,2.2365500000000003,4.4657,postbreeding_migration,0.2366,0.004,0.0036,84.0,23.66,0.7083262645058941,common,70.8326264505894,,peak_abundance_with_occupancy_days_modifiers,0.2366
amerob,CA-PE,1.4319128341236875,2.063775,3.1867,postbreeding_migration,0.8726,0.001,0.0011,98.0,87.26,0.5971540335256715,common,59.71540335256715,,peak_abundance_with_occupancy_days_modifiers,0.8726
blksco2,CA-PE,1.3662957146132007,1.363225,2.9208,prebreeding_migration,0.2698,0.003,0.0163,112.0,26.979999999999997,0.5697895692578425,common,56.97895692578425,,peak_abundance_with_occupancy_days_modifiers,0.2698
ribgul,CA-PE,1.3428648031925547,1.20105,2.83,postbreeding_migration,0.4486,0.0036,0.0038,105.0,44.86,0.5600181202348409,common,56.001812023484085,,peak_abundance_with_occupancy_days_modifiers,0.4486
norgan,CA-PE,1.2793214351157847,2.5942,2.5942,breeding,0.3094,0.0002,0.0001,77.0,30.94,0.5335184774866344,common,53.35184774866344,,peak_abundance_with_occupancy_days_modifiers,0.3094
bongul,CA-PE,1.2368368179451088,0.70695,2.4447,postbreeding_migration,0.455,0.0085,0.0111,154.0,45.5,0.5158010159892038,common,51.58010159892038,,peak_abundance_with_occupancy_days_modifiers,0.455
ambduc,CA-PE,1.1600209167967532,1.186275,2.19,nonbreeding,0.2473,0.0192,0.0702,147.0,24.73,0.4837662970338966,common,48.37662970338966,,peak_abundance_with_occupancy_days_modifiers,0.2473
blujay,CA-PE,1.1385378815404292,1.5866249999999997,2.1222,nonbreeding,0.9507,0.0013,0.002,112.0,95.07,0.4748071754659004,common,47.48071754659004,,peak_abundance_with_occupancy_days_modifiers,0.9507
sonspa,CA-PE,1.0924265295810236,1.1698250000000001,1.9815,breeding,0.8844,0.001,0.003,119.0,88.44,0.4555772480864644,common,45.55772480864644,,peak_abundance_with_occupancy_days_modifiers,0.8844
bkcchi,CA-PE,1.0403473805361338,1.8302,1.8302,resident,0.8608,0.0013,0.0024,365.0,86.08,0.43385855601693435,common,43.385855601693436,,peak_abundance_with_occupancy_days_modifiers,0.8608
lotduc,CA-PE,0.9149298062348136,1.1825666666666665,1.4966,postbreeding_migration,0.2976,0.004,0.0035,91.0,29.759999999999998,0.38155536507942656,common,38.15553650794266,,peak_abundance_with_occupancy_days_modifiers,0.2976
