species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
snogoo,CA-QC,1.5384573525169982,1.5987,3.6574,postbreeding_migration,0.1205,0.0429,0.0434,133.0,12.049999999999999,0.6415865488243785,common,64.15865488243784,,peak_abundance_with_occupancy_days_modifiers,0.1205
thbmur,CA-QC,1.5364134831070961,0.941888862209765,3.647890603902597,breeding,0.0031026350280653,0.0026179950109906,0.007770288380796,42.0,0.31026350280653,0.6407341890766082,very_rare,64.07341890766082,very_rare,peak_abundance_with_occupancy_days_modifiers,0.0031026350280653
redpol1,CA-QC,1.3906260445693666,1.6874501516076466,3.0173643150046208,postbreeding_migration,0.6269422727574085,0.0939510013362919,0.1507743355413423,112.0,62.69422727574086,0.5799361049436035,common,57.99361049436035,,peak_abundance_with_occupancy_days_modifiers,0.6269422727574085
cangoo,CA-QC,1.2923956846758329,1.9109500000000001,2.6415,breeding,0.9318,0.1171,0.1443,119.0,93.17999999999999,0.5389708630467387,common,53.89708630467387,,peak_abundance_with_occupancy_days_modifiers,0.9318
whtspa,CA-QC,0.9809542451998773,0.6960999999999999,1.667,breeding,0.7597,0.2251,0.3784,105.0,75.97,0.40908969475347123,common,40.90896947534712,,peak_abundance_with_occupancy_days_modifiers,0.7597
amerob,CA-QC,0.7827136239189884,0.645575,1.1874,breeding,0.8971,0.0921,0.0951,98.0,89.71000000000001,0.3264169343832739,common,32.641693438327394,,peak_abundance_with_occupancy_days_modifiers,0.8971
whwcro,CA-QC,0.6757466658797779,0.639575,0.9655,breeding,0.8219,,,,82.19,0.28180824806880495,fairly_common,28.180824806880494,,peak_abundance_with_occupancy_days_modifiers,0.8219
ruckin,CA-QC,0.632016180555714,0.364325,0.8814,breeding,0.7843,0.1618,0.3428,105.0,78.43,0.2635712191959676,fairly_common,26.35712191959676,,peak_abundance_with_occupancy_days_modifiers,0.7843
daejun,CA-QC,0.5875088485369483,0.4553,0.7995,breeding,0.8034,0.1443,0.193,105.0,80.34,0.2450102200882689,fairly_common,24.50102200882689,,peak_abundance_with_occupancy_days_modifiers,0.8034
pinsis,CA-QC,0.5589870188730085,0.35025,0.7489,postbreeding_migration,0.495,0.1157,0.1226,119.0,49.5,0.233115693255721,fairly_common,23.3115693255721,,peak_abundance_with_occupancy_days_modifiers,0.495
comrav,CA-QC,0.5519867607709316,0.7367,0.7367,resident,0.9892,0.0372,0.0331,365.0,98.92,0.23019635887882492,common,23.01963588788249,,peak_abundance_with_occupancy_days_modifiers,0.9892
yerwar,CA-QC,0.5491035849759681,0.42269999999999996,0.7317,breeding,0.7773,0.1411,0.183,112.0,77.73,0.22899398118215483,fairly_common,22.899398118215483,,peak_abundance_with_occupancy_days_modifiers,0.7773
amhgul1,CA-QC,0.5479308528276948,0.43346554986467883,0.7296703700775773,prebreeding_migration,0.1154730471203079,0.1524398100949934,0.1261810396403709,133.0,11.54730471203079,0.2285049138898603,fairly_common,22.85049138898603,,peak_abundance_with_occupancy_days_modifiers,0.1154730471203079
semsan,CA-QC,0.517066111355445,0.21430000000000002,0.6771,postbreeding_migration,0.1564,0.1658,0.0998,133.0,15.64,0.2156333169429969,fairly_common,21.563331694299688,,peak_abundance_with_occupancy_days_modifiers,0.1564
snobun,CA-QC,0.4951839277760338,0.33975,0.6408,prebreeding_migration,0.4277,0.0208,0.0063,42.0,42.77,0.20650773759529065,fairly_common,20.650773759529066,,peak_abundance_with_occupancy_days_modifiers,0.4277
cedwax,CA-QC,0.4945132982736857,0.223775,0.6397,breeding,0.5478,0.1078,0.1521,126.0,54.779999999999994,0.20622806337016672,fairly_common,20.622806337016673,,peak_abundance_with_occupancy_days_modifiers,0.5478
amecro,CA-QC,0.47710336636095857,0.3499,0.6114,prebreeding_migration,0.4525,0.0795,0.0772,147.0,45.25,0.1989675578300689,fairly_common,19.89675578300689,,peak_abundance_with_occupancy_days_modifiers,0.4525
whcspa,CA-QC,0.4761099476774964,0.29512499999999997,0.6098,breeding,0.5533,0.1451,0.1747,112.0,55.33,0.19855327006081908,fairly_common,19.855327006081907,,peak_abundance_with_occupancy_days_modifiers,0.5533
bkcchi,CA-QC,0.4541282800874454,0.5748,0.5748,resident,0.341,0.0978,0.1392,365.0,34.1,0.18938620265824727,fairly_common,18.938620265824728,,peak_abundance_with_occupancy_days_modifiers,0.341
pingro,CA-QC,0.45342953462468166,0.2901,0.5737,nonbreeding,0.4868,,,,48.68,0.1890948031669141,fairly_common,18.90948031669141,,peak_abundance_with_occupancy_days_modifiers,0.4868
swathr,CA-QC,0.44641509443711846,0.18805,0.5627,breeding,0.673,0.1459,0.196,77.0,67.30000000000001,0.18616955440099225,fairly_common,18.616955440099225,,peak_abundance_with_occupancy_days_modifiers,0.673
reevir1,CA-QC,0.44076789981055137,0.23423333333333332,0.5539,breeding,0.4614,0.1047,0.1426,84.0,46.14,0.18381449132103686,fairly_common,18.381449132103686,,peak_abundance_with_occupancy_days_modifiers,0.4614
