species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
snogoo,CA-SK,4.00791301709748,17.660875,54.0319,postbreeding_migration,0.5687,0.0926,0.2671,119.0,56.87,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5687
cangoo,CA-SK,2.797378891047,7.802900000000001,15.4016,postbreeding_migration,0.8952,0.0744,0.1333,119.0,89.52,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8952
mallar3,CA-SK,1.8565323379040968,2.537375,5.4015,postbreeding_migration,0.8508,0.0265,0.0367,126.0,85.08,0.7742341206325923,abundant,77.42341206325924,,peak_abundance_with_occupancy_days_modifiers,0.8508
sancra,CA-SK,1.499042520811644,1.6096333333333332,3.4774,postbreeding_migration,0.8086,0.0864,0.099,84.0,80.86,0.6251492873007104,common,62.51492873007104,,peak_abundance_with_occupancy_days_modifiers,0.8086
gwfgoo,CA-SK,1.4710260582795585,2.1545,3.3537,postbreeding_migration,0.4027,,,,40.27,0.613465514931707,common,61.3465514931707,,peak_abundance_with_occupancy_days_modifiers,0.4027
rewbla,CA-SK,1.4134960185450356,1.212475,3.1103,breeding,0.8896,0.0634,0.0742,126.0,88.96,0.589473624882487,common,58.9473624882487,,peak_abundance_with_occupancy_days_modifiers,0.8896
redpol1,CA-SK,1.1853295961826522,0.9034018521106915,2.2717650050297906,postbreeding_migration,0.9938373125296058,0.0436042325283321,0.0347325555941772,112.0,99.38373125296059,0.4943208361219876,common,49.43208361219876,,peak_abundance_with_occupancy_days_modifiers,0.9938373125296058
snobun,CA-SK,0.9827524025735747,1.3918,1.6718,nonbreeding,0.4293,,,,42.93,0.4098395846231815,common,40.98395846231815,,peak_abundance_with_occupancy_days_modifiers,0.4293
fragul,CA-SK,0.9537021168723012,1.4166666666666667,1.5953,breeding,0.5113,0.3106,0.2455,112.0,51.129999999999995,0.39772467450562177,common,39.772467450562175,,peak_abundance_with_occupancy_days_modifiers,0.5113
laplon,CA-SK,0.9341699419613917,0.649825,1.5451,postbreeding_migration,0.7857,0.0002,0.0,7.0,78.57,0.3895791248928085,very_rare,38.95791248928085,very_rare,peak_abundance_with_occupancy_days_modifiers,0.7857
comrav,CA-SK,0.8189865653990931,1.2682,1.2682,resident,0.9996,0.0156,0.0237,365.0,99.96000000000001,0.3415439259127137,common,34.15439259127137,,peak_abundance_with_occupancy_days_modifiers,0.9996
eursta,CA-SK,0.8099964470562376,0.5875250000000001,1.2479,postbreeding_migration,0.4187,0.0151,0.0035,140.0,41.870000000000005,0.33779475536100567,common,33.77947553610057,,peak_abundance_with_occupancy_days_modifiers,0.4187
amerob,CA-SK,0.781661594090684,0.7512749999999999,1.1851,prebreeding_migration,0.9292,0.0427,0.034,98.0,92.92,0.32597820386812654,common,32.59782038681266,,peak_abundance_with_occupancy_days_modifiers,0.9292
cacgoo1,CA-SK,0.7629064249747981,0.4046,1.1445,prebreeding_migration,0.6105,0.1002,0.0741,105.0,61.050000000000004,0.31815669084016235,common,31.815669084016236,,peak_abundance_with_occupancy_days_modifiers,0.6105
bnhcow,CA-SK,0.7106432281766965,0.44373333333333337,1.0353,breeding,0.6118,0.0421,0.0668,70.0,61.18,0.29636124489597404,common,29.636124489597403,,peak_abundance_with_occupancy_days_modifiers,0.6118
y00475,CA-SK,0.6773734264439045,0.48082499999999995,0.9687,breeding,0.4245,0.1526,0.1439,105.0,42.449999999999996,0.2824866599171373,fairly_common,28.24866599171373,,peak_abundance_with_occupancy_days_modifiers,0.4245
clcspa,CA-SK,0.6484112867185539,0.335075,0.9125,breeding,0.7043,0.1983,0.3293,91.0,70.43,0.27040850952671114,fairly_common,27.040850952671114,,peak_abundance_with_occupancy_days_modifiers,0.7043
pingro,CA-SK,0.6263661468695941,0.311325,0.8708,nonbreeding,0.6158,,,,61.58,0.2612149721362175,fairly_common,26.12149721362175,,peak_abundance_with_occupancy_days_modifiers,0.6158
buwtea,CA-SK,0.5936582820592029,0.6255,0.8106,breeding,0.6022,0.1479,0.2292,119.0,60.22,0.24757473305595915,fairly_common,24.757473305595916,,peak_abundance_with_occupancy_days_modifiers,0.6022
norpin,CA-SK,0.5875088485369483,0.4993,0.7995,prebreeding_migration,0.4577,0.0242,0.0239,133.0,45.769999999999996,0.2450102200882689,fairly_common,24.50102200882689,,peak_abundance_with_occupancy_days_modifiers,0.4577
tunswa,CA-SK,0.5692831933375594,0.67595,0.767,prebreeding_migration,0.5658,,,,56.58,0.2374095315151939,fairly_common,23.74095315151939,,peak_abundance_with_occupancy_days_modifiers,0.5658
yehbla,CA-SK,0.5417427264007122,0.3974333333333333,0.719,breeding,0.4015,0.1853,0.1832,119.0,40.150000000000006,0.22592426472758015,fairly_common,22.592426472758014,,peak_abundance_with_occupancy_days_modifiers,0.4015
gadwal,CA-SK,0.5392381382026686,0.5725333333333333,0.7147,breeding,0.4261,0.0257,0.0256,126.0,42.61,0.22487977032181714,fairly_common,22.487977032181714,,peak_abundance_with_occupancy_days_modifiers,0.4261
ribgul,CA-SK,0.5279776825835563,0.5881,0.6955,breeding,0.4487,0.1548,0.0917,105.0,44.87,0.2201837955864521,fairly_common,22.01837955864521,,peak_abundance_with_occupancy_days_modifiers,0.4487
barswa,CA-SK,0.5238997832532625,0.4807666666666666,0.6886,postbreeding_migration,0.9185,0.0102,0.0063,91.0,91.85,0.2184831794767524,fairly_common,21.848317947675238,,peak_abundance_with_occupancy_days_modifiers,0.9185
treswa,CA-SK,0.5168872151445859,0.3831,0.6768,breeding,0.8775,0.0688,0.0747,84.0,87.75,0.21555871142836558,fairly_common,21.55587114283656,,peak_abundance_with_occupancy_days_modifiers,0.8775
amecro,CA-SK,0.5161713100907428,0.3926,0.6756,prebreeding_migration,0.8818,0.071,0.046,105.0,88.18,0.21526015583172864,fairly_common,21.526015583172864,,peak_abundance_with_occupancy_days_modifiers,0.8818
norsho,CA-SK,0.515335439243819,0.6189,0.6742,postbreeding_migration,0.4179,0.0379,0.0971,126.0,41.79,0.21491157061351418,fairly_common,21.49115706135142,,peak_abundance_with_occupancy_days_modifiers,0.4179
yerwar,CA-SK,0.5050087384444258,0.5147,0.657,postbreeding_migration,0.9978,0.0422,0.0378,84.0,99.78,0.21060500188362064,fairly_common,21.060500188362063,,peak_abundance_with_occupancy_days_modifiers,0.9978
cedwax,CA-SK,0.5024103141646434,0.2839,0.6527,breeding,0.8991,0.0737,0.0646,126.0,89.91,0.2095213747922881,fairly_common,20.95213747922881,,peak_abundance_with_occupancy_days_modifiers,0.8991
whtspa,CA-SK,0.5002296845525873,0.3137,0.6491,breeding,0.5916,0.073,0.0614,77.0,59.160000000000004,0.20861198161036185,fairly_common,20.861198161036185,,peak_abundance_with_occupancy_days_modifiers,0.5916
comgol,CA-SK,0.4827964510444879,0.33725,0.6206,postbreeding_migration,0.5435,0.0398,0.0292,70.0,54.35,0.20134175855022182,fairly_common,20.134175855022182,,peak_abundance_with_occupancy_days_modifiers,0.5435
moudov,CA-SK,0.47274985491376076,0.27640000000000003,0.6044,breeding,0.4519,0.0306,0.0202,119.0,45.190000000000005,0.19715200254015114,fairly_common,19.715200254015112,,peak_abundance_with_occupancy_days_modifiers,0.4519
wesmea,CA-SK,0.4685650950513888,0.29793333333333333,0.5977,breeding,0.4145,0.072,0.0772,112.0,41.449999999999996,0.19540682212720997,fairly_common,19.540682212721,,peak_abundance_with_occupancy_days_modifiers,0.4145
daejun,CA-SK,0.46536790084120744,0.32130000000000003,0.5926,prebreeding_migration,0.7987,0.0414,0.0267,105.0,79.86999999999999,0.19407348857989026,fairly_common,19.407348857989028,,peak_abundance_with_occupancy_days_modifiers,0.7987
savspa,CA-SK,0.46178242758665955,0.299,0.5869,breeding,0.5061,0.0401,0.0674,70.0,50.61,0.19257823009415848,fairly_common,19.257823009415848,,peak_abundance_with_occupancy_days_modifiers,0.5061
lobdow,CA-SK,0.4506933807112358,0.207,0.5694,postbreeding_migration,0.3779,0.1153,0.1411,126.0,37.79,0.18795373835708493,fairly_common,18.795373835708492,,peak_abundance_with_occupancy_days_modifiers,0.3779
buffle,CA-SK,0.4443652570657209,0.28135,0.5595,postbreeding_migration,0.3874,0.1641,0.1897,98.0,38.74,0.1853147058199675,fairly_common,18.53147058199675,,peak_abundance_with_occupancy_days_modifiers,0.3874
horlar,CA-SK,0.431262800929305,0.41017500000000007,0.5392,prebreeding_migration,0.3966,,,,39.660000000000004,0.17985055720386675,fairly_common,17.985055720386676,,peak_abundance_with_occupancy_days_modifiers,0.3966
tenwar,CA-SK,0.42911652843944553,0.3104666666666667,0.5359,breeding,0.5436,0.0745,0.1203,84.0,54.36,0.17895549205477257,fairly_common,17.895549205477256,,peak_abundance_with_occupancy_days_modifiers,0.5436
wilpha,CA-SK,0.4254637946148535,0.3252,0.5303,breeding,0.3803,0.1656,0.0648,84.0,38.03,0.1774321837326667,fairly_common,17.74321837326667,,peak_abundance_with_occupancy_days_modifiers,0.3803
lessca,CA-SK,0.4208133850549638,0.36534999999999995,0.5232,prebreeding_migration,0.5748,0.1745,0.176,140.0,57.48,0.17549281231280378,fairly_common,17.54928123128038,,peak_abundance_with_occupancy_days_modifiers,0.5748
sonspa,CA-SK,0.41310253523737567,0.3131,0.5115,breeding,0.974,0.084,0.0594,105.0,97.39999999999999,0.1722771381734617,fairly_common,17.22771381734617,,peak_abundance_with_occupancy_days_modifiers,0.974
amegfi,CA-SK,0.40112235867402746,0.190375,0.4935,breeding,0.5319,0.0521,0.0448,98.0,53.190000000000005,0.16728101649156393,fairly_common,16.728101649156393,,peak_abundance_with_occupancy_days_modifiers,0.5319
doccor,CA-SK,0.4000504754066655,0.2984,0.4919,breeding,0.1024,0.0744,0.1131,140.0,10.24,0.16683400644924834,fairly_common,16.683400644924834,,peak_abundance_with_occupancy_days_modifiers,0.1024
comgra,CA-SK,0.3989103391374901,0.2356,0.4902,breeding,0.4293,0.0461,0.0413,105.0,42.93,0.16635853269436457,fairly_common,16.635853269436456,,peak_abundance_with_occupancy_days_modifiers,0.4293
rosgoo,CA-SK,0.39709685843764775,0.2843,0.4875,postbreeding_migration,0.3277,0.2308,0.1502,91.0,32.769999999999996,0.16560225250130767,fairly_common,16.560225250130767,,peak_abundance_with_occupancy_days_modifiers,0.3277
gnwtea,CA-SK,0.3913661837286627,0.3893666666666667,0.479,postbreeding_migration,0.5,0.032,0.0294,126.0,50.0,0.1632123755229452,fairly_common,16.32123755229452,,peak_abundance_with_occupancy_days_modifiers,0.5
chispa,CA-SK,0.36817852332214773,0.36423333333333335,0.4451,breeding,0.6198,0.0442,0.0551,112.0,61.980000000000004,0.15354237005208293,fairly_common,15.354237005208294,,peak_abundance_with_occupancy_days_modifiers,0.6198
eargre,CA-SK,0.36707072012085273,0.20709999999999998,0.4435,breeding,0.3055,0.0359,0.0705,112.0,30.55,0.15308038023381942,fairly_common,15.308038023381943,,peak_abundance_with_occupancy_days_modifiers,0.3055
easkin,CA-SK,0.36018876323852894,0.23856666666666668,0.4336,breeding,0.5903,0.0627,0.0854,56.0,59.03,0.15021038129750539,fairly_common,15.021038129750538,,peak_abundance_with_occupancy_days_modifiers,0.5903
