species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
redpol1,CA-YT,1.5192906408126878,2.635520768541277,3.568982995271611,prebreeding_migration,0.898301191838842,0.0685620458002822,0.1218268506589189,112.0,89.83011918388421,0.6335934092065908,common,63.35934092065908,,peak_abundance_with_occupancy_days_modifiers,0.898301191838842
pingro,CA-YT,0.8993480111438431,0.593,1.458,nonbreeding,0.888,,,,88.8,0.3750572518099566,common,37.50572518099566,,peak_abundance_with_occupancy_days_modifiers,0.888
amerob,CA-YT,0.8446228571827985,0.57525,1.3271,prebreeding_migration,0.8796,0.0322,0.0237,98.0,87.96000000000001,0.35223508998252206,common,35.22350899825221,,peak_abundance_with_occupancy_days_modifiers,0.8796
comrav,CA-YT,0.7619733714897978,1.1425,1.1425,resident,0.9622,0.0114,0.0161,365.0,96.22,0.317767577313986,common,31.776757731398604,,peak_abundance_with_occupancy_days_modifiers,0.9622
whwcro,CA-YT,0.7466405529999453,0.72635,1.1099,nonbreeding,0.9044,,,,90.44,0.3113732953518889,common,31.13732953518889,,peak_abundance_with_occupancy_days_modifiers,0.9044
yerwar,CA-YT,0.746119065326051,0.8070666666666666,1.1088,prebreeding_migration,0.9424,0.0457,0.0527,91.0,94.24,0.31115581810014653,common,31.115581810014653,,peak_abundance_with_occupancy_days_modifiers,0.9424
amepip,CA-YT,0.687682275128878,0.6601,0.9891,prebreeding_migration,0.9924,,,,99.24,0.2867857837370625,fairly_common,28.678578373706248,,peak_abundance_with_occupancy_days_modifiers,0.9924
daejun,CA-YT,0.6819345533458422,0.8926666666666666,0.9777,breeding,0.9526,0.0538,0.0742,98.0,95.26,0.2843887975766418,fairly_common,28.438879757664182,,peak_abundance_with_occupancy_days_modifiers,0.9526
whcspa,CA-YT,0.6387437916805588,0.6913,0.8941,breeding,0.8786,0.0725,0.0805,70.0,87.86,0.26637685095193403,fairly_common,26.637685095193405,,peak_abundance_with_occupancy_days_modifiers,0.8786
snobun,CA-YT,0.5080216964332565,0.2268,0.662,prebreeding_migration,0.7609,0.0018,0.0001,35.0,76.09,0.21186150295896342,fairly_common,21.18615029589634,,peak_abundance_with_occupancy_days_modifiers,0.7609
pinsis,CA-YT,0.4577412526735354,0.27097499999999997,0.5805,postbreeding_migration,0.6415,0.0584,0.0426,84.0,64.14999999999999,0.19089292925597462,fairly_common,19.089292925597462,,peak_abundance_with_occupancy_days_modifiers,0.6415
mallar3,CA-YT,0.44743843958558754,0.2894666666666667,0.5643,prebreeding_migration,0.3147,0.0053,0.0031,84.0,31.47,0.18659632247551072,fairly_common,18.659632247551073,,peak_abundance_with_occupancy_days_modifiers,0.3147
truswa,CA-YT,0.3682477202913481,0.1595,0.4452,postbreeding_migration,0.3855,0.1438,0.2462,119.0,38.550000000000004,0.15357122742962787,fairly_common,15.357122742962787,,peak_abundance_with_occupancy_days_modifiers,0.3855
savspa,CA-YT,0.3609557681222072,0.31406666666666666,0.4347,postbreeding_migration,0.9892,0.0508,0.0409,63.0,98.92,0.15053024717837976,fairly_common,15.053024717837976,,peak_abundance_with_occupancy_days_modifiers,0.9892
amewig,CA-YT,0.3607466433087861,0.33313333333333334,0.4344,prebreeding_migration,0.2196,0.0291,0.0538,84.0,21.959999999999997,0.15044303535733267,fairly_common,15.044303535733267,,peak_abundance_with_occupancy_days_modifiers,0.2196
swathr,CA-YT,0.3393253056036194,0.24683333333333335,0.404,breeding,0.7038,0.048,0.0684,63.0,70.38,0.14150964366664057,fairly_common,14.150964366664057,,peak_abundance_with_occupancy_days_modifiers,0.7038
sancra,CA-YT,0.33704350198950506,0.2474333333333333,0.4008,postbreeding_migration,0.1204,0.009,0.0088,84.0,12.04,0.14055805764868604,fairly_common,14.055805764868603,,peak_abundance_with_occupancy_days_modifiers,0.1204
wlswar,CA-YT,0.32208349916911333,0.3065666666666667,0.38,prebreeding_migration,0.9782,0.0759,0.107,70.0,97.82,0.13431925189678454,fairly_common,13.431925189678454,,peak_abundance_with_occupancy_days_modifiers,0.9782
norpin,CA-YT,0.2989187043777686,0.15739999999999998,0.3484,prebreeding_migration,0.182,0.0044,0.0061,84.0,18.2,0.12465878212809818,fairly_common,12.465878212809818,,peak_abundance_with_occupancy_days_modifiers,0.182
amtspa,CA-YT,0.29289346950231393,0.2871333333333333,0.3403,postbreeding_migration,0.9523,0.0748,0.0646,91.0,95.23,0.12214606401909453,fairly_common,12.214606401909453,,peak_abundance_with_occupancy_days_modifiers,0.9523
ruckin,CA-YT,0.2871319211462997,0.29350000000000004,0.3326,prebreeding_migration,0.6996,0.0436,0.0367,77.0,69.96,0.11974331172987948,fairly_common,11.974331172987949,,peak_abundance_with_occupancy_days_modifiers,0.6996
gryjay,CA-YT,0.28420102061512514,0.3287,0.3287,resident,0.7933,0.0583,0.0594,365.0,79.33,0.11852103127233715,common,11.852103127233715,,peak_abundance_with_occupancy_days_modifiers,0.7933
gnwtea,CA-YT,0.26535977344728956,0.15683333333333335,0.3039,prebreeding_migration,0.296,0.009,0.008,70.0,29.599999999999998,0.11066362090851939,fairly_common,11.06636209085194,,peak_abundance_with_occupancy_days_modifiers,0.296
laplon,CA-YT,0.2575063299417192,0.18843333333333334,0.2937,prebreeding_migration,0.3415,0.0059,0.001,63.0,34.150000000000006,0.10738848058247617,fairly_common,10.738848058247617,,peak_abundance_with_occupancy_days_modifiers,0.3415
orcwar,CA-YT,0.2559591802558328,0.2239,0.2917,breeding,0.9544,0.0769,0.0783,77.0,95.44,0.1067432690490797,fairly_common,10.67432690490797,,peak_abundance_with_occupancy_days_modifiers,0.9544
goleag,CA-YT,0.2527800204425161,0.15410000000000001,0.2876,prebreeding_migration,0.8602,0.0273,0.1203,91.0,86.02,0.10541745642941236,fairly_common,10.541745642941237,,peak_abundance_with_occupancy_days_modifiers,0.8602
borchi2,CA-YT,0.24646937661770646,0.2795,0.2795,resident,0.6488,0.0587,0.0885,365.0,64.88000000000001,0.10278571354372536,common,10.278571354372536,,peak_abundance_with_occupancy_days_modifiers,0.6488
linspa,CA-YT,0.23253927295457202,0.17106666666666667,0.2618,breeding,0.7036,0.046,0.046,63.0,70.36,0.09697640910030075,fairly_common,9.697640910030076,,peak_abundance_with_occupancy_days_modifiers,0.7036
bohwax,CA-YT,0.2108280255915609,0.0972,0.2347,breeding,0.8524,0.0,0.0,0.0,85.24000000000001,0.08792211569170082,very_rare,8.792211569170082,very_rare,peak_abundance_with_occupancy_days_modifiers,0.8524
foxspa,CA-YT,0.18813794211539445,0.13049999999999998,0.207,breeding,0.9619,0.0747,0.0565,77.0,96.19,0.07845961591801939,fairly_common,7.845961591801939,,peak_abundance_with_occupancy_days_modifiers,0.9619
banswa,CA-YT,0.17789510784104107,0.1396666666666667,0.1947,breeding,0.1595,,,,15.950000000000001,0.07418802224562357,uncommon,7.418802224562357,,peak_abundance_with_occupancy_days_modifiers,0.1595
cliswa,CA-YT,0.17083921968492055,0.12259999999999999,0.1863,postbreeding_migration,0.2054,0.0133,0.0127,42.0,20.54,0.07124548833425456,uncommon,7.1245488334254565,,peak_abundance_with_occupancy_days_modifiers,0.2054
lessca,CA-YT,0.17008027037160076,0.1301,0.1854,breeding,0.2018,0.0409,0.0518,119.0,20.18,0.07092898188715105,uncommon,7.092898188715105,,peak_abundance_with_occupancy_days_modifiers,0.2018
chispa,CA-YT,0.1648362424529351,0.10460000000000001,0.1792,breeding,0.529,0.0285,0.0168,49.0,52.900000000000006,0.06874205238353441,uncommon,6.874205238353441,,peak_abundance_with_occupancy_days_modifiers,0.529
varthr,CA-YT,0.14712606489029384,0.12476666666666665,0.1585,prebreeding_migration,0.7845,0.1498,0.1071,91.0,78.45,0.06135633468203812,uncommon,6.135633468203812,,peak_abundance_with_occupancy_days_modifiers,0.7845
aldfly,CA-YT,0.13435605249907878,0.09523333333333334,0.1438,breeding,0.554,0.0408,0.0276,49.0,55.400000000000006,0.05603082587601237,uncommon,5.603082587601238,,peak_abundance_with_occupancy_days_modifiers,0.554
towsol,CA-YT,0.1241626426204225,0.07936666666666667,0.1322,prebreeding_migration,0.6501,0.177,0.2326,84.0,65.01,0.051779843777548865,uncommon,5.177984377754886,,peak_abundance_with_occupancy_days_modifiers,0.6501
