species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
thbmur,CA,3.0709542210639964,8.489450163828247,20.56246822277243,breeding,0.0205925750143751,0.0392642676869644,0.5369448560216704,112.0,2.05925750143751,1.0,rare,100.0,rare,peak_abundance_with_occupancy_days_modifiers,0.0205925750143751
snogoo,CA,2.206459580896663,4.5803,8.0835,postbreeding_migration,0.3133,0.9258,0.9908,126.0,31.330000000000002,0.9201651156022754,abundant,92.01651156022754,,peak_abundance_with_occupancy_days_modifiers,0.3133
cangoo,CA,1.7539883715410562,2.5058749999999996,4.7776,postbreeding_migration,0.3988,0.6098,0.7709,119.0,39.879999999999995,0.731469965114086,common,73.1469965114086,,peak_abundance_with_occupancy_days_modifiers,0.3988
semsan,CA,1.2513619875797397,0.6850499999999999,2.4951,postbreeding_migration,0.2124,0.8044,0.9342,119.0,21.240000000000002,0.5218584822177769,common,52.18584822177769,,peak_abundance_with_occupancy_days_modifiers,0.2124
redpol1,CA,1.1098970666397894,1.0163253588389949,2.0340460738044346,postbreeding_migration,0.6956967296675519,0.4888444464083276,0.4459284842648116,112.0,69.56967296675519,0.4628630279355474,common,46.28630279355474,,peak_abundance_with_occupancy_days_modifiers,0.6956967296675519
whrsan,CA,1.0639518284044849,0.6482,1.8978,postbreeding_migration,0.1612,0.5125,0.9708,140.0,16.12,0.4437023753597217,common,44.370237535972166,,peak_abundance_with_occupancy_days_modifiers,0.1612
atlpuf,CA,0.9559801197757163,0.6867123568712344,1.601218839942969,breeding,0.0147715962962507,0.0076408705362602,0.0101739437107296,98.0,1.47715962962507,0.39867467550410435,rare,39.86746755041043,rare,peak_abundance_with_occupancy_days_modifiers,0.0147715962962507
bklkit,CA,0.9049703488138067,0.44724103423007944,1.4718586284304054,breeding,0.0175062106321265,0.0090362949400852,0.0181955820442256,119.0,1.7506210632126502,0.37740194873385613,rare,37.74019487338561,rare,peak_abundance_with_occupancy_days_modifiers,0.0175062106321265
glagul,CA,0.892407791410823,0.9531,1.441,postbreeding_migration,0.1977,0.3223,0.5136,98.0,19.77,0.37216295537768546,common,37.216295537768545,,peak_abundance_with_occupancy_days_modifiers,0.1977
comrav,CA,0.8657129709051838,1.3767,1.3767,resident,0.9089,0.2268,0.4105,365.0,90.89,0.36103035054357774,common,36.103035054357775,,peak_abundance_with_occupancy_days_modifiers,0.9089
commur,CA,0.8211320061925103,0.587180162048221,1.273071512710079,breeding,0.0167569890711543,0.0129989823512565,0.0174599085226348,105.0,1.67569890711543,0.3424386442174515,rare,34.24386442174515,rare,peak_abundance_with_occupancy_days_modifiers,0.0167569890711543
gwfgoo,CA,0.7094141530238173,0.439475,1.0328,prebreeding_migration,0.2679,0.0014,0.0,0.0,26.790000000000003,0.2958486807457287,very_rare,29.584868074572867,very_rare,peak_abundance_with_occupancy_days_modifiers,0.2679
snobun,CA,0.6973881748171998,0.652025,1.0085,postbreeding_migration,0.5962,0.3255,0.4515,42.0,59.62,0.2908334582950071,common,29.08334582950071,,peak_abundance_with_occupancy_days_modifiers,0.5962
