species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,CD,1.1200475693881746,1.14665,2.065,nonbreeding,0.9882,0.0607,0.0528,154.0,98.82,0.46709611637086496,common,46.709611637086496,,peak_abundance_with_occupancy_days_modifiers,0.9882
whwter,CD,1.0132722415010942,0.904025,1.7546,prebreeding_migration,0.0204,0.0054,0.2159,112.0,2.04,0.4225673460370078,rare,42.25673460370078,rare,peak_abundance_with_occupancy_days_modifiers,0.0204
amufal1,CD,0.795113553198014,0.42191782471808104,1.2146924679384803,prebreeding_migration,0.0338035770942663,0.0129925985674556,0.0686064274629627,49.0,3.38035770942663,0.33158810654399745,rare,33.158810654399744,rare,peak_abundance_with_occupancy_days_modifiers,0.0338035770942663
comswi,CD,0.7398876264437602,0.9034333333333334,1.0957,nonbreeding,0.8978,0.1565,0.1976,126.0,89.78,0.3085571062410507,common,30.855710624105072,,peak_abundance_with_occupancy_days_modifiers,0.8978
eubeat1,CD,0.6444295137625153,0.5989666666666666,0.9049,prebreeding_migration,0.9926,0.1543,0.1326,91.0,99.26,0.26874798122874605,fairly_common,26.874798122874605,,peak_abundance_with_occupancy_days_modifiers,0.9926
combul2,CD,0.5868851266613179,0.7983779624408638,0.7983779624408638,resident,0.2907589364177941,0.060083609032918,0.0715688281863286,365.0,29.07589364177941,0.24475010786289106,fairly_common,24.475010786289104,,peak_abundance_with_occupancy_days_modifiers,0.2907589364177941
lessts1,CD,0.5669034539856949,0.7023,0.7628,nonbreeding,0.983,0.2255,0.2622,287.0,98.3,0.23641710312231948,common,23.641710312231947,,peak_abundance_with_occupancy_days_modifiers,0.983
reedov1,CD,0.4913981260998923,0.6346,0.6346,resident,0.9937,0.1679,0.1491,365.0,99.37,0.20492893566883144,common,20.492893566883144,,peak_abundance_with_occupancy_days_modifiers,0.9937
banswa,CD,0.47555071567485213,0.3534,0.6089,prebreeding_migration,0.7958,,,,79.58,0.1983200522013954,fairly_common,19.83200522013954,,peak_abundance_with_occupancy_days_modifiers,0.7958
litswi1,CD,0.4154154389613325,0.27575,0.515,breeding,0.936,0.1176,0.0746,84.0,93.60000000000001,0.1732416939445975,fairly_common,17.32416939445975,,peak_abundance_with_occupancy_days_modifiers,0.936
hadibi1,CD,0.18398683611301583,0.202,0.202,resident,0.801,0.2064,0.1211,365.0,80.10000000000001,0.07672847025479186,common,7.672847025479186,,peak_abundance_with_occupancy_days_modifiers,0.801
