species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,CF,1.3158987204979216,1.43735,2.7281,nonbreeding,1.0,0.0164,0.0187,154.0,100.0,0.548772390281354,common,54.877239028135406,,peak_abundance_with_occupancy_days_modifiers,1.0
blakit1,CF,0.6966908941833104,0.469225,1.0071,nonbreeding,0.8128,0.0282,0.0402,147.0,81.28,0.2905426696847625,common,29.05426696847625,,peak_abundance_with_occupancy_days_modifiers,0.8128
banswa,CF,0.692897149304736,0.5196666666666667,0.9995,prebreeding_migration,0.5533,,,,55.33,0.2889605551855971,fairly_common,28.89605551855971,,peak_abundance_with_occupancy_days_modifiers,0.5533
litswi1,CF,0.6836017677164139,0.5981,0.981,breeding,0.916,0.0308,0.038,84.0,91.60000000000001,0.28508407997261814,fairly_common,28.508407997261813,,peak_abundance_with_occupancy_days_modifiers,0.916
comswi,CF,0.5315102149588233,0.5996,0.7015,postbreeding_migration,0.9771,0.0427,0.036,112.0,97.71,0.22165697601069334,fairly_common,22.165697601069333,,peak_abundance_with_occupancy_days_modifiers,0.9771
reedov1,CF,0.45767797955509865,0.5804,0.5804,resident,0.9626,0.0435,0.0365,365.0,96.26,0.1908665423160801,common,19.086654231608012,,peak_abundance_with_occupancy_days_modifiers,0.9626
lessts1,CF,0.44992846481468457,0.4963,0.5682,nonbreeding,0.7312,0.0449,0.0523,259.0,73.11999999999999,0.18763474365150776,common,18.763474365150774,,peak_abundance_with_occupancy_days_modifiers,0.7312
eubeat1,CF,0.44250395554315075,0.4154,0.5566,postbreeding_migration,0.9993,0.0333,0.0257,91.0,99.92999999999999,0.18453848279484852,fairly_common,18.453848279484852,,peak_abundance_with_occupancy_days_modifiers,0.9993
eaywag1,CF,0.3694924476493468,0.3067,0.447,nonbreeding,0.7918,0.0301,0.0331,63.0,79.17999999999999,0.15409031905640524,fairly_common,15.409031905640525,,peak_abundance_with_occupancy_days_modifiers,0.7918
trepip,CF,0.3317468036138815,0.24016666666666667,0.3934,nonbreeding,0.9217,0.0439,0.2108,14.0,92.17,0.13834916285844678,rare,13.834916285844677,rare,peak_abundance_with_occupancy_days_modifiers,0.9217
hadibi1,CF,0.2222631638869024,0.2489,0.2489,resident,0.862,0.0595,0.04,365.0,86.2,0.09269093876127404,common,9.269093876127405,,peak_abundance_with_occupancy_days_modifiers,0.862
wookin1,CF,0.14833379450569348,0.14915,0.1599,breeding,0.9989,0.0407,0.0458,203.0,99.89,0.06185999705174205,fairly_common,6.185999705174205,,peak_abundance_with_occupancy_days_modifiers,0.9989
whrswi1,CF,0.12000279239469637,0.1275,0.1275,breeding,0.5528,,,,55.279999999999994,0.050045051489947555,uncommon,5.004505148994755,,peak_abundance_with_occupancy_days_modifiers,0.5528
yefcan,CF,0.09585548564352137,0.1006,0.1006,resident,0.3108,0.0273,0.027,365.0,31.080000000000002,0.039974842409050235,uncommon,3.9974842409050235,,peak_abundance_with_occupancy_days_modifiers,0.3108
wlwwar,CF,0.09585548564352137,0.09373333333333334,0.1006,nonbreeding,0.9777,0.0337,0.0379,98.0,97.77,0.039974842409050235,uncommon,3.9974842409050235,,peak_abundance_with_occupancy_days_modifiers,0.9777
combul2,CF,0.09362372254873301,0.0981464604157993,0.0981464604157993,resident,0.0486383719248586,0.0009774541068639866,0.0008556268685728738,365.0,4.86383719248586,0.039044124908538265,rare,3.9044124908538267,rare,peak_abundance_with_occupancy_days_modifiers,0.0486383719248586
afghor1,CF,0.07371503782228067,0.0765,0.0765,resident,0.249,0.0179,0.0151,365.0,24.9,0.030741558506954477,uncommon,3.0741558506954476,,peak_abundance_with_occupancy_days_modifiers,0.249
whwter,CF,0.07194849931258404,0.035366666666666664,0.0746,postbreeding_migration,0.0007,0.0,0.0025,7.0,0.06999999999999999,0.030004854727712662,very_rare,3.000485472771266,very_rare,peak_abundance_with_occupancy_days_modifiers,0.0007
litsti,CF,0.07176236622689076,0.0391,0.0744,nonbreeding,0.1212,0.0086,0.0055,77.0,12.120000000000001,0.02992723120186283,uncommon,2.992723120186283,,peak_abundance_with_occupancy_days_modifiers,0.1212
piecro1,CF,0.06915285868831662,0.0716,0.0716,resident,0.1922,0.0168,0.0121,365.0,19.220000000000002,0.02883898203261169,uncommon,2.883898203261169,,peak_abundance_with_occupancy_days_modifiers,0.1922
whinch1,CF,0.06905953593149465,0.0635,0.0715,nonbreeding,0.7863,0.0207,0.0148,70.0,78.63,0.02880006342015984,uncommon,2.8800063420159843,,peak_abundance_with_occupancy_days_modifiers,0.7863
ruff,CF,0.06728474680559636,0.0465,0.0696,prebreeding_migration,0.0456,0.0017,0.0022,105.0,4.5600000000000005,0.028059918866712726,rare,2.8059918866712725,rare,peak_abundance_with_occupancy_days_modifiers,0.0456
spofly1,CF,0.05638033343610764,0.038566666666666666,0.058,prebreeding_migration,0.9123,0.0401,0.0136,91.0,91.23,0.02351242528215638,uncommon,2.351242528215638,,peak_abundance_with_occupancy_days_modifiers,0.9123
comsan,CF,0.05173819540441444,0.02576666666666667,0.0531,nonbreeding,0.5142,0.0189,0.0102,105.0,51.42,0.021576503357477874,uncommon,2.157650335747787,,peak_abundance_with_occupancy_days_modifiers,0.5142
hoopoe,CF,0.03469123978993036,0.0215,0.0353,nonbreeding,0.2709,0.0084,0.0073,42.0,27.089999999999996,0.014467370691066583,rare,1.4467370691066583,,peak_abundance_with_occupancy_days_modifiers,0.2709
shikra1,CF,0.029752958149347798,0.014275000000000001,0.0302,nonbreeding,0.7791,,,,77.91,0.01240794728896803,rare,1.240794728896803,,peak_abundance_with_occupancy_days_modifiers,0.7791
spwlap1,CF,0.026447170014848292,0.01595,0.0268,nonbreeding,0.0478,0.0071,0.0054,28.0,4.78,0.011029326557695776,rare,1.1029326557695776,rare,peak_abundance_with_occupancy_days_modifiers,0.0478
panvul1,CF,0.024725502096891023,0.0250337122985699,0.0250337122985699,resident,0.0521656354504093,0.001890815778944,0.0033539722369421,365.0,5.2165635450409304,0.010311335268631715,rare,1.0311335268631716,,peak_abundance_with_occupancy_days_modifiers,0.0521656354504093
litegr,CF,0.0246926125903715,0.025,0.025,nonbreeding,0.0783,0.0039,0.0013,63.0,7.829999999999999,0.010297619279075043,rare,1.0297619279075043,,peak_abundance_with_occupancy_days_modifiers,0.0783
squher1,CF,0.023911820046312877,0.014225,0.0242,nonbreeding,0.0508,0.0065,0.0068,105.0,5.08,0.00997200349722009,rare,0.997200349722009,,peak_abundance_with_occupancy_days_modifiers,0.0508
alpswi1,CF,0.023032699110572687,0.011525,0.0233,prebreeding_migration,0.1468,0.0125,0.0093,105.0,14.680000000000001,0.009605381591037278,rare,0.9605381591037278,,peak_abundance_with_occupancy_days_modifiers,0.1468
woosan,CF,0.02058663360838838,0.019799999999999998,0.0208,nonbreeding,0.1109,0.0061,0.0027,147.0,11.09,0.008585293045080938,rare,0.8585293045080938,,peak_abundance_with_occupancy_days_modifiers,0.1109
bkwsti,CF,0.019900661706336167,0.01005,0.0201,nonbreeding,0.0412,0.0027,0.001,35.0,4.12,0.008299220542318296,rare,0.8299220542318295,rare,peak_abundance_with_occupancy_days_modifiers,0.0412
grbcam1,CF,0.019104840850192716,0.0192885060893661,0.0192885060893661,resident,0.0466483345618757,0.0007601674622818523,0.000692575049679445,365.0,4.66483345618757,0.007967337467535524,rare,0.7967337467535524,rare,peak_abundance_with_occupancy_days_modifiers,0.0466483345618757
norwhe,CF,0.018036362486098582,0.008733333333333334,0.0182,prebreeding_migration,0.2236,,,,22.36,0.007521747380172253,rare,0.7521747380172252,,peak_abundance_with_occupancy_days_modifiers,0.2236
graher1,CF,0.017250353406527592,0.007699999999999999,0.0174,postbreeding_migration,0.1534,0.0031,0.0007,70.0,15.340000000000002,0.00719395613403763,rare,0.7193956134037629,,peak_abundance_with_occupancy_days_modifiers,0.1534
eupfly1,CF,0.01626697246387197,0.013800000000000002,0.0164,nonbreeding,0.3446,0.0098,0.0067,49.0,34.46,0.006783854427840878,rare,0.6783854427840877,,peak_abundance_with_occupancy_days_modifiers,0.3446
rorpar,CF,0.014100124378781637,0.0142,0.0142,resident,0.0421,0.0048,0.001,365.0,4.21,0.005880208589062617,rare,0.5880208589062617,rare,peak_abundance_with_occupancy_days_modifiers,0.0421
woowar,CF,0.013804280976397056,0.0115,0.0139,postbreeding_migration,0.5717,0.026,0.0147,63.0,57.17,0.005756832307479104,rare,0.5756832307479104,,peak_abundance_with_occupancy_days_modifiers,0.5717
