species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,CG,0.8979230745159701,0.9713749999999999,1.4545,postbreeding_migration,1.0,0.0092,0.0053,133.0,100.0,0.3744630070804067,common,37.44630070804067,,peak_abundance_with_occupancy_days_modifiers,1.0
comswi,CG,0.8783811588009349,0.9649999999999999,1.407,postbreeding_migration,0.9843,0.0243,0.0404,112.0,98.42999999999999,0.36631339523675455,common,36.63133952367546,,peak_abundance_with_occupancy_days_modifiers,0.9843
combul2,CG,0.6804051353400004,0.9746775818693514,0.9746775818693514,resident,0.4684997302302203,0.0168325399614668,0.015191257037011,365.0,46.84997302302203,0.28375098072817834,fairly_common,28.375098072817835,,peak_abundance_with_occupancy_days_modifiers,0.4684997302302203
vilwea1,CG,0.48571524859497583,0.6253371132845417,0.6253371132845417,resident,0.2591548560030527,0.0173214651455198,0.0204994589797104,365.0,25.91548560030527,0.2025589916727851,fairly_common,20.25589916727851,,peak_abundance_with_occupancy_days_modifiers,0.2591548560030527
litswi1,CG,0.47921110999664873,0.33875,0.6148,breeding,0.9494,0.0179,0.0133,84.0,94.94,0.19984655519896993,fairly_common,19.984655519896993,,peak_abundance_with_occupancy_days_modifiers,0.9494
orcwax,CG,0.3513861886862276,0.4210360079869777,0.4210360079869777,resident,0.5733558969972219,0.0832049226009187,0.1030203624812915,365.0,57.33558969972219,0.14653942258126892,common,14.653942258126893,,peak_abundance_with_occupancy_days_modifiers,0.5733558969972219
eubeat1,CG,0.34017964140953494,0.3900666666666666,0.4052,postbreeding_migration,0.9952,0.0232,0.0178,91.0,99.52,0.1418659293708609,fairly_common,14.18659293708609,,peak_abundance_with_occupancy_days_modifiers,0.9952
reedov1,CG,0.31100789775527765,0.3648,0.3648,resident,0.8151,0.0206,0.0128,365.0,81.51,0.12970036735271093,common,12.970036735271092,,peak_abundance_with_occupancy_days_modifiers,0.8151
lessts1,CG,0.2961709398476872,0.3362,0.3447,nonbreeding,0.5933,0.0233,0.0188,231.0,59.330000000000005,0.1235128753150476,common,12.35128753150476,,peak_abundance_with_occupancy_days_modifiers,0.5933
blakit1,CG,0.26482277830569834,0.1398,0.3032,prebreeding_migration,0.9413,0.0074,0.0045,133.0,94.13,0.11043967654043836,fairly_common,11.043967654043836,,peak_abundance_with_occupancy_days_modifiers,0.9413
whwter,CG,0.25851069515150105,0.2473,0.295,prebreeding_migration,0.0051,0.0004,0.0053,21.0,0.51,0.10780733340777478,very_rare,10.780733340777477,rare,peak_abundance_with_occupancy_days_modifiers,0.0051
panvul1,CG,0.2550552938655811,0.2905329774570646,0.2905329774570646,resident,0.7258361491102626,0.1128191485252928,0.1669202973131147,365.0,72.58361491102626,0.1063663191461772,common,10.63663191461772,,peak_abundance_with_occupancy_days_modifiers,0.7258361491102626
banswa,CG,0.17454136947499233,0.09655000000000001,0.1907,nonbreeding,0.1062,,,,10.620000000000001,0.07278940471461903,uncommon,7.278940471461903,,peak_abundance_with_occupancy_days_modifiers,0.1062
wookin1,CG,0.143667349812413,0.135,0.1545,breeding,0.9992,0.022,0.0247,203.0,99.92,0.05991393846185436,fairly_common,5.991393846185436,,peak_abundance_with_occupancy_days_modifiers,0.9992
grbcam1,CG,0.1249777338900038,0.1331232225396222,0.1331232225396222,resident,0.4591010361264082,0.0190194453443698,0.0121517412386552,365.0,45.91010361264082,0.05211976323893134,uncommon,5.211976323893134,,peak_abundance_with_occupancy_days_modifiers,0.4591010361264082
hadibi1,CG,0.10273707745111223,0.1082,0.1082,resident,0.5876,0.0227,0.0097,365.0,58.76,0.04284468909737537,fairly_common,4.284468909737537,,peak_abundance_with_occupancy_days_modifiers,0.5876
comwax,CG,0.09367247586263519,0.0982,0.0982,resident,0.5081,0.0283,0.0135,365.0,50.81,0.039064456619624766,fairly_common,3.9064456619624766,,peak_abundance_with_occupancy_days_modifiers,0.5081
helgui,CG,0.09339170164496802,0.0978916970379448,0.0978916970379448,resident,0.2014441312824846,0.0015050368666032,0.0003158253779045701,365.0,20.14441312824846,0.038947364676180755,uncommon,3.8947364676180753,,peak_abundance_with_occupancy_days_modifiers,0.2014441312824846
eaywag1,CG,0.09248801943515139,0.08013333333333333,0.0969,nonbreeding,0.502,0.0107,0.004,49.0,50.2,0.03857049992313335,uncommon,3.857049992313335,,peak_abundance_with_occupancy_days_modifiers,0.502
wlwwar,CG,0.08516801236987823,0.07483333333333334,0.0889,postbreeding_migration,0.9995,0.019,0.0153,70.0,99.95,0.0355178198714601,uncommon,3.55178198714601,,peak_abundance_with_occupancy_days_modifiers,0.9995
yefcan,CG,0.07622002591140908,0.0792,0.0792,resident,0.2562,0.0126,0.0119,365.0,25.619999999999997,0.03178621968025292,uncommon,3.178621968025292,,peak_abundance_with_occupancy_days_modifiers,0.2562
pitwhy,CG,0.0729716124558227,0.0757,0.0757,resident,0.3376,0.0111,0.013,365.0,33.76,0.0304315260485351,uncommon,3.04315260485351,,peak_abundance_with_occupancy_days_modifiers,0.3376
hamerk1,CG,0.0673782353299481,0.0697,0.0697,resident,0.4875,0.0258,0.0247,365.0,48.75,0.028098906609593934,uncommon,2.809890660959393,,peak_abundance_with_occupancy_days_modifiers,0.4875
litsti,CG,0.0573250666192694,0.0344,0.059,nonbreeding,0.1121,0.0044,0.0024,56.0,11.21,0.02390640962078813,uncommon,2.390640962078813,,peak_abundance_with_occupancy_days_modifiers,0.1121
klacuc1,CG,0.052864513812268345,0.03538740521890705,0.054286794143893,prebreeding_migration,0.3408688463342696,0.0122910347782529,0.0153724872757028,56.0,34.08688463342696,0.022046214616610337,uncommon,2.204621461661034,,peak_abundance_with_occupancy_days_modifiers,0.3408688463342696
categr1,CG,0.0512212441719346,0.0525557393473037,0.0525557393473037,postbreeding_migration,0.0434366090654536,0.00032708704266105724,0.00015561509684051034,56.0,4.34366090654536,0.021360917948747137,rare,2.1360917948747136,rare,peak_abundance_with_occupancy_days_modifiers,0.0434366090654536
broman1,CG,0.04966895466820256,0.0509231355856906,0.0509231355856906,resident,0.0352527951494542,0.0036516869024878,0.0046908289703225,365.0,3.5252795149454204,0.020713562944822954,rare,2.071356294482295,rare,peak_abundance_with_occupancy_days_modifiers,0.0352527951494542
comsan,CG,0.04812327518172827,0.02946666666666667,0.0493,nonbreeding,0.474,0.0098,0.0053,112.0,47.4,0.020068964532203182,rare,2.0068964532203184,,peak_abundance_with_occupancy_days_modifiers,0.474
graher1,CG,0.046024438311279336,0.0386,0.0471,nonbreeding,0.5051,0.0099,0.0021,84.0,50.51,0.019193681572910487,rare,1.9193681572910486,,peak_abundance_with_occupancy_days_modifiers,0.5051
grwpel1,CG,0.04459088332787514,0.0435,0.0456,breeding,0.1745,0.0127,0.0055,70.0,17.45,0.018595842709943355,rare,1.8595842709943355,,peak_abundance_with_occupancy_days_modifiers,0.1745
