species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
brambl,CH,2.5760794947349765,4.3472,12.1455,nonbreeding,0.4973,0.0015,0.0014,49.0,49.730000000000004,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4973
comcha,CH,2.0258693367576375,3.616975,6.5827,postbreeding_migration,0.9912,0.0034,0.0051,112.0,99.11999999999999,0.8448531342210893,abundant,84.48531342210893,,peak_abundance_with_occupancy_days_modifiers,0.9912
cowpig1,CH,1.9338954030484972,1.90205,5.9164,postbreeding_migration,0.4552,0.0032,0.0061,112.0,45.519999999999996,0.8064970246976714,abundant,80.64970246976713,,peak_abundance_with_occupancy_days_modifiers,0.4552
eursta,CH,1.637072534530741,1.9194,4.1401,postbreeding_migration,0.3178,0.0008,0.0007,140.0,31.78,0.682712274010307,common,68.2712274010307,,peak_abundance_with_occupancy_days_modifiers,0.3178
carcro1,CH,1.207855257840158,1.7616749999999999,2.3463,nonbreeding,0.6916,0.0049,0.011,105.0,69.16,0.5037147666714308,common,50.37147666714308,,peak_abundance_with_occupancy_days_modifiers,0.6916
yebcho1,CH,1.1793009415202862,2.2521,2.2521,resident,0.3539,0.0125,0.0382,365.0,35.39,0.49180669185107023,common,49.18066918510702,,peak_abundance_with_occupancy_days_modifiers,0.3539
eurcoo,CH,1.1781009967583655,1.1718000000000002,2.2482,nonbreeding,0.115,0.0007,0.0019,154.0,11.5,0.4913062760174293,common,49.13062760174293,,peak_abundance_with_occupancy_days_modifiers,0.115
comhom1,CH,1.0685440572000493,1.2727045339618612,1.9111379626520029,breeding,0.5644011689824339,0.0039469570810997,0.0083548671225932,91.0,56.44011689824339,0.4456174835163032,common,44.56174835163032,,peak_abundance_with_occupancy_days_modifiers,0.5644011689824339
eursis,CH,1.0677062459722269,1.05375,1.9087,nonbreeding,0.8351,0.0039,0.0071,154.0,83.50999999999999,0.44526808909640225,common,44.52680890964022,,peak_abundance_with_occupancy_days_modifiers,0.8351
tufduc,CH,0.9474017268992078,0.58785,1.579,nonbreeding,0.0528,0.001,0.0143,105.0,5.28,0.3950972078082372,common,39.50972078082372,,peak_abundance_with_occupancy_days_modifiers,0.0528
mallar3,CH,0.9308640237236155,1.11095,1.5367,nonbreeding,0.1448,0.0006,0.0008,126.0,14.48,0.3882004499042557,common,38.820044990425565,,peak_abundance_with_occupancy_days_modifiers,0.1448
eurbla,CH,0.8845110653381288,1.1151,1.4218,prebreeding_migration,0.8025,0.0034,0.0063,119.0,80.25,0.36886976481916767,common,36.88697648191677,,peak_abundance_with_occupancy_days_modifiers,0.8025
bkhgul,CH,0.8201762286884862,0.75215,1.2709,nonbreeding,0.0479,0.0018,0.0029,175.0,4.79,0.3420400540392789,rare,34.20400540392789,rare,peak_abundance_with_occupancy_days_modifiers,0.0479
barswa,CH,0.8195595429143833,0.8323,1.2695,postbreeding_migration,0.5173,0.0004,0.0004,133.0,51.73,0.34178287609614744,common,34.17828760961474,,peak_abundance_with_occupancy_days_modifiers,0.5173
comswi,CH,0.8070560546677282,0.4794333333333333,1.2413,breeding,0.8471,0.002,0.0022,70.0,84.71,0.33656851649149994,common,33.65685164914999,,peak_abundance_with_occupancy_days_modifiers,0.8471
fieldf,CH,0.7370683676178735,0.64705,1.0898,postbreeding_migration,0.7836,0.0029,0.0016,91.0,78.36,0.3073813839908473,common,30.73813839908473,,peak_abundance_with_occupancy_days_modifiers,0.7836
gretit1,CH,0.7304911337003664,1.0761,1.0761,resident,0.6735,,,,67.35,0.30463846440127273,common,30.463846440127273,,peak_abundance_with_occupancy_days_modifiers,0.6735
blackc1,CH,0.700966529612077,0.46977499999999994,1.0157,breeding,0.7672,0.0044,0.0085,140.0,76.72,0.29232574815247914,common,29.232574815247915,,peak_abundance_with_occupancy_days_modifiers,0.7672
eurrob1,CH,0.6048622656923737,0.5541,0.831,prebreeding_migration,0.862,0.0043,0.0072,119.0,86.2,0.25224715714397844,fairly_common,25.224715714397846,,peak_abundance_with_occupancy_days_modifiers,0.862
