species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
vilwea1,CI,1.5396608277153534,3.663008439520835,3.663008439520835,resident,0.9238459398079544,0.0691502753732991,0.1344730329713354,365.0,92.38459398079544,0.6420884369643683,common,64.20884369643683,,peak_abundance_with_occupancy_days_modifiers,0.9238459398079544
combul2,CI,1.4797707397173254,3.391938668388575,3.391938668388575,resident,0.9594991794079534,0.0321721570209578,0.0493373692920083,365.0,95.94991794079533,0.6171123303439421,common,61.71123303439421,,peak_abundance_with_occupancy_days_modifiers,0.9594991794079534
broman1,CI,0.9498886272512331,1.5854216977594078,1.5854216977594078,resident,0.9319377765742716,0.0900911552373522,0.1362933046381122,365.0,93.19377765742716,0.3961343258092762,common,39.61343258092762,,peak_abundance_with_occupancy_days_modifiers,0.9319377765742716
reedov1,CI,0.7708024251255494,1.1615,1.1615,resident,0.997,0.0235,0.0381,365.0,99.7,0.3214495786657165,common,32.14495786657165,,peak_abundance_with_occupancy_days_modifiers,0.997
barswa,CI,0.765700373241654,0.8249333333333334,1.1505,postbreeding_migration,0.9896,0.008,0.0022,112.0,98.96000000000001,0.3193218577674049,common,31.93218577674049,,peak_abundance_with_occupancy_days_modifiers,0.9896
blakit1,CI,0.7466405529999453,0.768375,1.1099,prebreeding_migration,0.9906,0.0174,0.0218,147.0,99.06,0.3113732953518889,common,31.13732953518889,,peak_abundance_with_occupancy_days_modifiers,0.9906
litswi1,CI,0.6947958208054698,0.7178500000000001,1.0033,breeding,0.9979,0.0266,0.0203,84.0,99.79,0.28975236270207716,common,28.975236270207716,,peak_abundance_with_occupancy_days_modifiers,0.9979
piecro1,CI,0.5350303124628081,0.7075,0.7075,resident,0.7658,0.035,0.0626,365.0,76.58,0.22312497069082657,common,22.312497069082657,,peak_abundance_with_occupancy_days_modifiers,0.7658
grbcam1,CI,0.45136704926831817,0.5704576116333386,0.5704576116333386,resident,0.9514094855201376,0.0367973651027169,0.0486147145792887,365.0,95.14094855201375,0.18823467996647233,common,18.823467996647235,,peak_abundance_with_occupancy_days_modifiers,0.9514094855201376
orcwax,CI,0.40987196692217953,0.5066248749438158,0.5066248749438158,resident,0.7403827201961858,0.1090043943067493,0.1257631302386874,365.0,74.03827201961857,0.1709298865433161,common,17.09298865433161,,peak_abundance_with_occupancy_days_modifiers,0.7403827201961858
