species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
sooshe,CL,1.8381203535201915,3.165735368462034,5.284714111141489,breeding,0.058433964293049,0.0055653665612139,0.012106613617876,112.0,5.8433964293049,0.7665557267541064,abundant,76.65557267541064,,peak_abundance_with_occupancy_days_modifiers,0.058433964293049
kelgul,CL,1.7272742800016456,4.6253,4.6253,resident,0.1712,0.2761,0.4954,365.0,17.119999999999997,0.7203293236346795,common,72.03293236346795,,peak_abundance_with_occupancy_days_modifiers,0.1712
magpen1,CL,1.6883599303755592,2.3106551085561566,4.410599664199916,breeding,0.1450407470502465,0.6912975438879617,0.6277486231870174,154.0,14.50407470502465,0.7041007793493934,common,70.41007793493934,,peak_abundance_with_occupancy_days_modifiers,0.1450407470502465
gryfin3,CL,1.3665616268111185,2.037782680117612,2.9218427271763896,nonbreeding,0.5828317545668303,0.2763263161283883,0.3840800325394987,133.0,58.28317545668303,0.5699004632576492,common,56.99004632576492,,peak_abundance_with_occupancy_days_modifiers,0.5828317545668303
burpar,CL,1.0846835996412714,1.9585035990371416,1.9585035990371416,resident,0.1342052687320086,0.0267217332163662,0.0619274604608194,365.0,13.420526873200862,0.45234819549705907,common,45.234819549705904,,peak_abundance_with_occupancy_days_modifiers,0.1342052687320086
maspet,CL,1.0347191519314025,0.9079594750181894,1.8143157294861492,breeding,0.0729409648563752,0.1088618964305591,0.0898296210712963,14.0,7.29409648563752,0.43151140238242086,rare,43.151140238242085,rare,peak_abundance_with_occupancy_days_modifiers,0.0729409648563752
guacor1,CL,0.9400934157060836,1.560220571971205,1.560220571971205,resident,0.0356453471013676,0.4878208807384256,0.0499231516602224,365.0,3.56453471013676,0.39204940531409616,rare,39.20494053140962,rare,peak_abundance_with_occupancy_days_modifiers,0.0356453471013676
slbpar1,CL,0.8963471612617768,1.3027665153382055,1.4506349671956962,breeding,0.5405489489886446,1.0,1.0,140.0,54.05489489886446,0.3738058002073333,common,37.380580020733326,,peak_abundance_with_occupancy_days_modifiers,0.5405489489886446
soulap1,CL,0.8843458852915028,0.97915,1.4214,prebreeding_migration,0.4953,0.0315,0.0592,175.0,49.53,0.3688008793893077,common,36.88008793893077,,peak_abundance_with_occupancy_days_modifiers,0.4953
rucspa1,CL,0.8304713714231642,1.2944,1.2944,resident,0.7381,0.0834,0.0729,365.0,73.81,0.34633346203397564,common,34.633346203397565,,peak_abundance_with_occupancy_days_modifiers,0.7381
