species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,CM,0.8279839707821562,1.0902666666666665,1.2887,postbreeding_migration,0.9942,0.0123,0.0053,112.0,99.42,0.34529613539622594,common,34.529613539622595,,peak_abundance_with_occupancy_days_modifiers,0.9942
combul2,CM,0.6836712154233087,0.9811375806846347,0.9811375806846347,resident,0.5413770913297248,0.0242935904499454,0.0190991556517609,365.0,54.137709132972475,0.2851130419159034,common,28.51130419159034,,peak_abundance_with_occupancy_days_modifiers,0.5413770913297248
litswi1,CM,0.6624817662490602,0.577,0.9396,breeding,0.9665,0.0245,0.0275,84.0,96.65,0.27627635525380406,fairly_common,27.627635525380406,,peak_abundance_with_occupancy_days_modifiers,0.9665
comswi,CM,0.5697924015298403,0.5703666666666667,0.7679,postbreeding_migration,0.8274,0.0237,0.0297,112.0,82.74000000000001,0.23762188782535368,fairly_common,23.762188782535368,,peak_abundance_with_occupancy_days_modifiers,0.8274
orcwax,CM,0.3746765403752365,0.4545208597480484,0.4545208597480484,resident,0.641437377707047,0.1220294702455404,0.145795251351484,365.0,64.1437377707047,0.15625225364324805,common,15.625225364324805,,peak_abundance_with_occupancy_days_modifiers,0.641437377707047
blakit1,CM,0.3592815438036824,0.26635,0.4323,prebreeding_migration,0.9917,0.0123,0.0116,147.0,99.17,0.14983204140704479,fairly_common,14.983204140704478,,peak_abundance_with_occupancy_days_modifiers,0.9917
wfwduc1,CM,0.3519236745132457,0.4218,0.4218,resident,0.0987,0.0062,0.0107,365.0,9.87,0.1467635715810669,fairly_common,14.67635715810669,,peak_abundance_with_occupancy_days_modifiers,0.0987
vilwea1,CM,0.2534452320015796,0.2884568113522626,0.2884568113522626,resident,0.2062541670242087,0.0174669802040393,0.0119811585831239,365.0,20.62541670242087,0.10569487119669164,fairly_common,10.569487119669164,,peak_abundance_with_occupancy_days_modifiers,0.2062541670242087
spemou2,CM,0.21196823781493554,0.2361086229441395,0.2361086229441395,resident,0.2024844790953989,0.0479295286553139,0.0453082098864657,365.0,20.24844790953989,0.08839762112194596,fairly_common,8.839762112194597,,peak_abundance_with_occupancy_days_modifiers,0.2024844790953989
eubeat1,CM,0.20016147492228561,0.13183333333333333,0.2216,prebreeding_migration,0.5832,0.0117,0.0053,42.0,58.32000000000001,0.08347381855784508,fairly_common,8.347381855784509,,peak_abundance_with_occupancy_days_modifiers,0.5832
panvul1,CM,0.17890367783487687,0.195905546408411,0.195905546408411,resident,0.6487938076135059,0.1064797248265466,0.1188437772182107,365.0,64.87938076135059,0.07460862860207161,fairly_common,7.460862860207161,,peak_abundance_with_occupancy_days_modifiers,0.6487938076135059
piecro1,CM,0.16067222538889842,0.1743,0.1743,resident,0.4257,0.0281,0.0223,365.0,42.57,0.06700552238938785,uncommon,6.700552238938785,,peak_abundance_with_occupancy_days_modifiers,0.4257
