species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
gwfgoo,CN-NORTH,4.486626486100012,20.911949999999997,87.8213,nonbreeding,0.203,0.0423,0.1595,42.0,20.3,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.203
comcra,CN-NORTH,3.837924264001052,11.428566666666665,45.429,nonbreeding,0.6992,0.1425,0.231,133.0,69.92,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6992
eutspa,CN-NORTH,2.819424597076813,8.8271,15.7672,resident,0.993,0.0712,0.1066,365.0,99.3,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.993
mallar3,CN-NORTH,4.211091505764818,15.796960714285714,66.4301,nonbreeding,0.9834,0.0401,0.0744,126.0,98.34,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9834
spbduc,CN-NORTH,2.4667087342529106,3.0356571428571426,10.7836,nonbreeding,0.9461,0.1829,0.1895,126.0,94.61,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9461
tunbeg1,CN-NORTH,2.873749207004431,4.706139303777402,16.70326714491125,prebreeding_migration,0.3560323273159749,0.0902808155816581,0.1485825705458923,91.0,35.60323273159749,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3560323273159749
dunlin,CN-NORTH,2.2565935091430527,1.8541894736842104,8.5505,prebreeding_migration,0.0557,0.0049,0.0962,70.0,5.57,0.941072587590359,abundant,94.1072587590359,,peak_abundance_with_occupancy_days_modifiers,0.0557
taibeg1,CN-NORTH,2.2223398648146158,2.691921428571429,8.2289,prebreeding_migration,0.3939,,,,39.39,0.9267877083810754,abundant,92.67877083810754,,peak_abundance_with_occupancy_days_modifiers,0.3939
eurcoo,CN-NORTH,2.1070080693976414,2.2067249999999996,7.2236,prebreeding_migration,0.8089,0.062,0.0993,154.0,80.89,0.8786906139310827,abundant,87.86906139310827,,peak_abundance_with_occupancy_days_modifiers,0.8089
bktgul,CN-NORTH,1.9938019506342106,1.0413099999999997,6.3434,breeding,0.0879,0.0602,0.1315,147.0,8.790000000000001,0.831479995499312,abundant,83.1479995499312,,peak_abundance_with_occupancy_days_modifiers,0.0879
gnwtea,CN-NORTH,1.942203287123987,1.6771785714285714,5.9741,nonbreeding,0.841,0.0468,0.0783,126.0,84.1,0.8099616814613483,abundant,80.99616814613483,,peak_abundance_with_occupancy_days_modifiers,0.841
orimag1,CN-NORTH,1.8835178944675957,2.977228571428572,5.5766,resident,0.9902,0.1138,0.1281,365.0,99.02,0.7854879718201826,abundant,78.54879718201826,,peak_abundance_with_occupancy_days_modifiers,0.9902
barswa,CN-NORTH,1.7811702676737866,1.87336,4.9368,postbreeding_migration,0.9955,0.0156,0.015,154.0,99.55000000000001,0.7428056962617642,common,74.28056962617642,,peak_abundance_with_occupancy_days_modifiers,0.9955
commer,CN-NORTH,1.7752065558869867,1.316485185185185,4.9015,nonbreeding,0.979,0.1092,0.1112,49.0,97.89999999999999,0.74031863527355,common,74.031863527355,,peak_abundance_with_occupancy_days_modifiers,0.979
compoc,CN-NORTH,1.7737482364262032,1.0818952380952382,4.8929,prebreeding_migration,0.7529,0.0766,0.1995,112.0,75.29,0.7397104688213589,common,73.9710468821359,,peak_abundance_with_occupancy_days_modifiers,0.7529
litbun,CN-NORTH,1.7126260702302691,1.122257142857143,4.5435,postbreeding_migration,0.9978,0.0878,0.0618,21.0,99.78,0.7142205456836385,rare,71.42205456836385,rare,peak_abundance_with_occupancy_days_modifiers,0.9978
